SA4_CODE_2021,Philippines_Before_1951,Philippines_1951_1960,Philippines_1961_1970,Philippines_1971_1980,Philippines_1981_1990,Philippines_1991_2000,Philippines_2001_2010,Philippines_2011_2015,Philippines_2016,Philippines_2017,Philippines_2018,Philippines_2019,Philippines_2020,Philippines_2021,Philippines_Yr_arrival_ns,Philippines_Tot,Poland_Before_1951,Poland_1951_1960,Poland_1961_1970,Poland_1971_1980,Poland_1981_1990,Poland_1991_2000,Poland_2001_2010,Poland_2011_2015,Poland_2016,Poland_2017,Poland_2018,Poland_2019,Poland_2020,Poland_2021,Poland_Yr_arrival_NS,Poland_Tot,Singapore_Before_1951,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2010,Singapore_2011_2015,Singapore_2016,Singapore_2017,Singapore_2018,Singapore_2019,Singapore_2020,Singapore_2021,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1951,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2010,South_Africa_2011_2015,South_Africa_2016,South_Africa_2017,South_Africa_2018,South_Africa_2019,South_Africa_2020,South_Africa_2021,South_Africa_Yr_arrival_ns,South_Africa_Tot,Sri_Lanka_Before_1951,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2010,Sri_Lanka_2011_2015,Sri_Lanka_2016,Sri_Lanka_2017,Sri_Lanka_2018,Sri_Lanka_2019,Sri_Lanka_2020,Sri_Lanka_2021,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Taiwan_Before_1951,Taiwan_1951_1960,Taiwan_1961_1970,Taiwan_1971_1980,Taiwan_1981_1990,Taiwan_1991_2000,Taiwan_2001_2010,Taiwan_2011_2015,Taiwan_2016,Taiwan_2017,Taiwan_2018,Taiwan_2019,Taiwan_2020,Taiwan_2021,Taiwan_Yr_arrival_ns,Taiwan_Tot,Thailand_Before_1951,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2010,Thailand_2011_2015,Thailand_2016,Thailand_2017,Thailand_2018,Thailand_2019,Thailand_2020,Thailand_2021,Thailand_Yr_arrival_ns,Thailand_Tot,United_Kingdom_Before_1951,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2010,United_Kingdom_2011_2015,United_Kingdom_2016,United_Kingdom_2017,United_Kingdom_2018,United_Kingdom_2019,United_Kingdom_2020,United_Kingdom_2021,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1951,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2010,USA_2011_2015,United_States_America_2016,United_States_America_2017,United_States_America_2018,United_States_America_2019,United_States_America_2020,United_States_America_2021,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1951,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2010,Vietnam_2011_2015,Vietnam_2016,Vietnam_2017,Vietnam_2018,Vietnam_2019,Vietnam_2020,Vietnam_2021,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1951,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2010,Born_elsewhere_2011_2015,Born_elsewhere_2016,Born_elsewhere_2017,Born_elsewhere_2018,Born_elsewhere_2019,Born_elsewhere_2020,Born_elsewhere_2021,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1951,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2010,Tot_2011_2015,Tot_2016,Tot_2017,Tot_2018,Tot_2019,Tot_2020,Tot_2021,Tot_Yr_arrival_NS,Tot_Tot
101,0,0,13,33,181,120,266,336,81,73,80,97,35,14,38,1377,18,16,20,19,77,10,10,12,0,6,0,5,0,0,3,207,0,9,16,32,26,15,24,18,0,0,0,0,0,3,4,152,0,19,47,94,83,143,205,80,30,10,24,37,7,11,17,802,0,3,6,18,35,27,46,47,11,8,11,19,4,0,3,234,0,0,0,0,10,11,26,22,4,7,15,44,6,0,10,143,0,3,4,19,27,48,144,85,19,13,14,24,13,7,22,447,317,1137,2629,1532,1016,582,847,392,35,41,35,70,25,11,359,9021,6,7,77,132,146,152,221,129,20,17,18,20,20,0,20,988,0,0,0,26,48,27,38,29,9,5,3,8,3,6,18,229,158,450,778,739,565,424,645,352,99,86,91,157,62,50,167,4826,843,2907,5142,4120,3619,2651,4603,3072,770,807,795,1052,371,191,1112,32050
102,0,0,27,129,475,405,470,432,94,95,92,138,60,11,61,2487,16,21,24,33,155,39,74,42,7,6,4,3,6,0,9,431,4,9,17,42,30,23,44,34,6,9,5,6,0,0,0,236,0,14,68,193,277,310,685,214,95,44,48,40,46,18,26,2100,0,6,38,35,56,23,48,43,0,11,0,7,3,4,13,306,0,0,0,0,13,17,29,21,9,0,8,6,0,3,7,115,0,0,7,13,44,105,284,193,58,39,32,35,14,11,29,856,475,1495,4293,2663,2236,1638,3027,1428,182,135,125,144,95,34,581,18560,3,12,78,154,139,192,285,208,43,48,23,32,21,6,22,1252,0,0,4,51,78,37,77,96,23,20,12,20,5,6,5,431,243,588,1120,1304,1067,841,1406,813,158,132,133,152,67,29,231,8278,1203,3656,7694,6862,7335,6135,10212,5973,1198,1093,970,1090,497,191,1562,55682
103,0,0,5,31,110,120,184,262,45,53,91,126,29,16,41,1117,23,13,11,7,21,6,10,4,0,0,3,3,0,0,7,102,0,0,8,12,6,12,21,11,0,6,0,0,7,0,9,94,0,6,16,35,61,97,210,81,29,21,34,32,21,0,12,641,0,6,4,10,23,23,46,48,10,19,19,21,0,0,6,236,0,0,0,0,3,10,8,13,0,0,6,0,7,0,0,50,0,0,0,0,18,27,87,77,18,22,23,24,9,0,19,315,189,558,1377,765,426,295,386,199,36,35,32,27,18,11,212,4558,5,0,33,54,41,61,109,61,12,23,16,13,8,0,17,429,0,0,0,10,23,21,39,44,8,9,10,15,9,0,21,216,88,180,302,296,234,232,373,284,82,55,83,115,52,12,109,2494,517,1336,2460,1908,1772,1514,2741,2144,512,613,632,674,299,83,787,17989
104,0,0,3,20,94,76,119,135,54,37,33,32,14,8,29,663,4,7,8,11,33,5,13,0,5,0,4,0,0,0,3,85,0,3,6,7,7,8,12,3,3,0,0,0,0,0,7,69,0,6,36,64,74,75,201,35,33,4,13,17,23,8,7,606,0,0,9,7,16,3,12,9,4,0,0,0,0,0,0,74,0,0,0,0,8,12,11,11,8,14,18,34,5,0,8,128,0,0,0,7,20,20,69,50,21,23,13,14,11,0,26,275,192,630,1527,801,503,322,576,291,21,49,37,35,24,10,234,5251,4,4,31,78,70,50,105,60,14,17,7,11,11,4,12,480,0,0,0,9,8,3,16,24,6,3,15,14,10,0,14,126,57,166,287,285,238,211,546,440,106,134,148,277,78,81,164,3211,415,1365,2493,2081,1958,1345,2875,1862,506,607,665,904,313,131,870,18389
105,0,0,3,10,64,58,111,165,32,44,84,98,36,19,20,741,4,0,4,0,11,0,3,0,0,0,0,0,0,0,0,23,0,0,0,3,4,3,6,0,0,0,0,6,0,0,0,24,3,0,9,12,18,23,80,42,0,3,21,4,12,6,0,237,0,0,0,4,12,16,52,54,13,6,19,16,11,0,4,197,0,0,0,0,0,0,0,11,0,3,8,11,0,0,7,45,0,0,0,3,7,6,29,24,8,5,3,8,0,0,19,116,66,174,383,193,110,61,98,80,18,18,21,25,18,7,74,1342,0,4,11,22,18,21,32,13,0,3,14,11,3,5,0,152,0,0,0,7,8,11,12,23,9,0,0,0,6,0,18,91,29,74,133,90,73,62,191,141,49,26,50,71,22,29,72,1104,154,470,773,558,625,485,1394,1380,426,457,492,474,208,130,429,8481
106,0,0,6,38,267,188,303,401,65,63,94,84,40,9,43,1602,30,11,13,18,49,12,17,7,0,0,0,0,0,0,7,165,0,3,16,21,15,13,11,5,0,7,0,0,7,0,0,110,0,11,31,77,91,132,457,179,21,24,41,50,23,12,21,1163,0,4,9,10,20,8,39,45,10,10,4,3,0,0,4,157,0,0,0,0,4,5,20,28,0,3,18,18,3,0,7,106,0,0,0,4,28,49,160,127,35,37,29,28,19,3,24,560,303,904,2187,1297,995,596,1057,522,65,44,56,77,69,35,294,8498,4,12,27,60,87,84,168,86,18,10,25,16,29,3,25,656,0,0,0,12,21,14,68,63,8,5,20,41,10,0,48,320,108,242,444,455,379,254,636,351,84,63,62,154,56,32,160,3475,789,2053,3603,3140,3222,2327,4803,3086,596,548,704,840,367,176,1102,27349
107,0,0,6,113,467,262,296,275,50,74,95,82,42,7,44,1823,29,24,33,68,185,56,43,15,0,3,0,9,0,0,15,478,7,6,11,30,21,15,45,38,11,8,11,3,3,5,3,216,0,8,42,102,145,180,356,135,29,24,24,44,22,10,12,1122,0,0,7,27,49,37,55,42,18,26,23,21,16,0,6,341,0,0,0,0,7,28,22,27,6,6,4,7,6,0,0,122,0,0,3,20,42,86,338,229,67,42,39,56,21,9,17,968,400,1727,5089,2509,1426,833,1539,801,107,98,117,98,57,16,495,15324,4,7,40,139,98,127,257,183,35,47,28,47,43,15,21,1105,0,0,4,221,226,98,121,154,40,50,67,71,25,3,38,1121,170,918,1953,2541,1219,1251,1500,1094,374,218,339,360,127,29,324,12407,1045,5605,11402,8913,5930,5150,7903,5734,1428,1320,1566,1843,884,177,1790,60704
108,0,0,9,28,177,136,173,174,64,48,69,73,26,7,52,1049,15,5,16,20,38,6,19,9,3,0,0,0,0,3,6,138,0,4,17,14,17,0,11,6,0,0,0,4,0,0,4,84,3,9,43,94,112,108,202,67,9,13,11,16,5,4,20,714,3,5,9,3,16,14,19,22,4,3,0,10,0,0,3,118,0,0,0,0,0,3,10,4,3,4,6,7,4,0,3,42,0,0,6,8,25,38,94,76,20,18,21,15,15,4,26,351,404,1184,2807,1486,933,546,817,309,44,55,46,63,27,13,451,9188,4,16,59,93,79,60,125,88,26,8,14,27,18,6,22,628,0,0,3,10,22,14,26,30,3,11,7,11,6,0,27,182,135,333,499,487,356,228,379,242,60,59,68,73,26,16,109,3062,891,2525,4501,3366,2888,1827,2972,1746,395,441,457,543,235,87,1162,24029
109,0,0,5,9,83,64,149,184,39,29,49,71,16,5,23,731,6,0,9,3,9,4,3,0,0,0,0,0,0,0,0,38,0,3,6,10,11,3,6,7,0,4,0,0,0,0,0,44,0,0,7,19,20,46,84,42,3,7,7,13,9,0,4,277,0,4,0,3,7,13,22,36,15,12,20,8,3,3,5,144,0,0,0,0,0,0,3,8,0,4,9,9,5,0,0,35,0,0,0,5,15,12,52,36,13,11,5,7,0,0,10,170,114,393,844,404,291,128,273,77,15,15,32,24,18,3,136,2765,4,5,9,11,22,30,39,31,6,0,3,4,8,0,14,193,0,0,0,8,5,10,19,32,4,16,7,6,5,4,4,122,44,143,178,166,125,88,315,324,42,42,86,128,38,32,73,1838,299,1130,1466,996,993,759,1841,1665,395,427,485,523,198,79,414,11656
110,0,0,0,14,86,56,216,368,60,66,74,85,27,19,38,1126,3,4,9,0,12,5,3,8,0,0,0,0,0,0,0,39,0,5,5,8,8,9,7,11,3,0,0,5,0,0,0,53,0,5,16,30,39,91,129,51,10,17,17,28,17,0,9,450,0,3,0,0,16,8,27,53,13,18,15,28,4,0,0,192,0,0,0,0,3,8,15,27,19,19,36,88,12,0,11,240,0,0,0,0,9,15,69,26,12,7,16,13,9,0,6,195,110,394,921,490,254,190,303,131,29,47,33,34,4,4,152,3099,5,8,58,62,53,55,143,55,12,24,9,15,12,0,9,528,0,0,0,4,22,9,49,60,41,107,104,54,10,4,27,493,32,82,176,182,134,130,325,258,91,93,124,207,101,36,77,2056,248,848,1518,1292,1150,1041,2246,1915,552,765,1035,1454,454,182,574,15268
