SA4_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
101,..,340,459,172,278,429,299,110,29,2127,..,351,910,833,1354,2823,3398,2676,1280,13622,256,380,289,165,205,398,311,156,70,2227,18625,10421,12419,12933,14940,16319,14117,7383,2365,109517,..,329,8138,14199,16550,18482,17204,8131,1487,84528,..,2098,6416,4186,4116,3482,1922,479,61,22756,..,268,1322,2099,2476,1428,745,552,365,9265,38118,..,..,..,..,..,..,..,..,38118,..,8305,..,..,..,..,..,..,..,8305,..,7023,3055,1108,881,546,111,5,0,12726,..,789,511,241,368,634,758,520,260,4083,..,621,735,244,222,197,112,30,13,2170,..,812,1260,464,585,899,661,251,59,4987,..,731,2084,1967,3244,5741,6125,4196,1812,25900,485,750,695,413,503,704,639,282,104,4579,38606,21720,24223,24919,28943,32110,28282,14443,4169,217416
102,..,619,714,269,503,738,562,249,60,3717,..,342,951,874,1715,3828,5585,4852,2663,20811,415,534,343,218,252,291,303,169,70,2609,28761,17987,18479,20435,21794,22487,20510,12539,4693,167699,..,440,10952,22306,23212,23892,22376,12574,2454,118204,..,3123,9746,6108,5235,3814,1987,753,91,30852,..,470,2408,4087,5090,2949,1428,1001,752,18198,58710,..,..,..,..,..,..,..,..,58710,..,14925,..,..,..,..,..,..,..,14925,..,12627,6128,2124,1574,1016,220,11,0,23703,..,1229,894,481,629,1309,1485,1049,592,7685,..,1175,1081,496,472,406,181,80,11,3907,..,1217,1810,721,1185,1557,1219,547,117,8359,..,678,2196,2383,4027,7049,8741,7157,3634,35862,879,996,748,560,546,566,532,258,104,5204,59596,36878,35961,39271,41974,42568,38173,23429,7762,325606
103,..,531,463,141,241,293,268,86,29,2048,..,462,836,636,1171,2383,2834,2714,1313,12354,279,387,275,149,171,224,197,133,55,1876,18610,10207,11634,11292,12345,12895,11212,6644,2350,97173,..,395,7717,12151,13613,14618,13594,6788,1302,70195,..,2512,6034,3405,2840,2270,1032,328,39,18466,..,384,1633,2246,2339,1225,660,533,416,9437,37864,..,..,..,..,..,..,..,..,37864,..,7391,..,..,..,..,..,..,..,7391,..,6313,2391,1005,805,557,110,0,0,11188,..,858,486,231,352,616,669,431,224,3863,..,562,438,203,192,157,82,29,15,1678,..,1090,1094,378,541,680,599,212,45,4631,..,934,2005,1741,2835,4841,5160,4214,1819,23550,558,771,625,418,410,433,375,211,89,3888,38427,21215,22426,21787,23917,25396,22291,12749,3946,192153
104,..,325,366,152,265,465,310,95,20,1998,..,162,389,386,802,1799,2283,2030,988,8833,180,290,142,107,132,240,192,88,34,1398,11450,6400,6949,7581,8838,10287,9627,5438,1916,68478,..,211,3956,7259,8607,10341,11120,5818,1184,48500,..,1292,3417,2454,2373,2235,1384,359,67,13580,..,200,1095,1715,1892,1012,567,431,328,7252,23041,..,..,..,..,..,..,..,..,23041,..,4766,..,..,..,..,..,..,..,4766,..,4073,1850,843,663,453,112,8,0,8003,..,618,372,191,263,531,587,353,258,3167,..,525,534,256,249,188,101,41,5,1904,..,615,815,377,572,895,688,203,49,4213,..,313,883,944,1703,3445,4067,3021,1374,15750,341,496,378,295,280,435,347,150,51,2784,23381,13104,13311,14327,16603,19548,18978,10378,3315,132948
105,..,263,321,89,151,186,130,57,15,1214,..,281,562,365,646,1285,1435,1363,680,6614,202,219,165,100,120,164,147,69,29,1205,9842,5259,6960,5755,6025,6804,5498,3343,1137,50625,..,165,4292,5771,5975,7217,6188,3263,632,33499,..,1371,3325,1732,1525,1247,556,165,24,9944,..,275,1178,1263,1235,725,434,270,184,5567,19771,..,..,..,..,..,..,..,..,19771,..,3262,..,..,..,..,..,..,..,3262,..,3053,1345,601,470,281,49,3,0,5798,..,693,366,140,262,406,416,236,108,2632,..,379,368,115,116,90,63,19,5,1156,..,512,768,209,300,374,303,119,39,2623,..,548,1284,933,1527,2726,2813,2122,920,12878,401,456,370,265,263,290,278,130,46,2502,20169,10717,13286,11032,11679,13360,11101,6323,1958,99620
106,..,420,466,225,353,464,341,118,22,2421,..,382,910,709,1332,2684,3489,2881,1448,13837,436,535,355,172,201,306,275,134,66,2482,26450,15371,17490,16914,17588,17849,15503,8315,2660,138143,..,493,11468,18305,19183,20727,19213,9413,1547,100355,..,3589,9408,5333,4481,3107,1548,471,52,27992,..,508,2568,3520,3684,1951,976,657,415,14280,53463,..,..,..,..,..,..,..,..,53463,..,11174,..,..,..,..,..,..,..,11174,..,10729,4337,1623,1216,618,121,0,0,18641,..,1236,758,334,546,1012,1037,691,338,5958,..,974,856,405,348,256,150,45,13,3050,..,907,1262,606,751,981,796,259,35,5597,..,795,2356,2185,3298,5314,6017,4335,1947,26245,887,985,773,500,508,587,479,233,81,5023,54352,31396,33803,32804,34003,34551,30337,16096,4432,271780
107,..,1877,1303,240,326,420,304,122,32,4624,..,430,1144,927,1471,2974,3841,3550,1959,16302,360,833,413,213,208,254,186,134,64,2659,26023,18791,19096,18881,19400,19358,15966,9745,3667,150929,..,406,11721,22024,22428,22729,19532,10350,2187,111375,..,2941,9864,5145,4113,2888,1335,429,74,26789,..,324,1653,3231,4084,2479,1052,906,642,14372,53050,..,..,..,..,..,..,..,..,53050,..,14386,..,..,..,..,..,..,..,14386,..,11714,5994,2029,1527,907,175,3,0,22345,..,1303,882,388,507,987,1020,778,448,6319,..,970,944,321,269,230,108,40,13,2891,..,3754,3413,655,724,911,634,264,59,10406,..,823,2538,2426,3482,5857,6249,5118,2658,29164,742,1478,874,517,475,484,380,203,103,5251,53792,38095,37879,36726,37617,37467,30492,18086,6196,296348
108,..,445,397,186,320,615,544,216,71,2791,..,252,597,461,1192,3009,4056,3786,2099,15455,305,392,263,167,208,333,306,169,76,2214,16443,9585,9415,10509,13135,17156,17504,10584,3751,108084,..,238,5123,9950,12722,17408,20922,11678,2317,80367,..,1865,4498,3372,3565,3470,2306,807,112,20004,..,346,1678,2443,2815,1677,940,731,516,11154,32886,..,..,..,..,..,..,..,..,32886,..,7210,..,..,..,..,..,..,..,7210,..,6327,2825,1418,1194,804,158,5,0,12743,..,932,483,212,388,849,976,647,395,4875,..,724,532,263,309,262,184,70,18,2361,..,799,901,454,710,1249,1134,473,123,5844,..,486,1290,1262,2657,5807,7343,5789,2934,27569,632,765,595,451,501,603,578,297,117,4540,33511,19703,17926,19824,24864,32133,34552,20501,6535,209557
109,..,387,277,93,140,209,157,66,10,1345,..,301,584,412,683,1446,1832,1669,865,7794,135,214,124,76,79,144,164,69,28,1033,10020,5928,6362,6496,7009,7918,7093,4234,1404,56465,..,148,4088,7002,7670,9010,8717,4541,859,42031,..,1351,3349,1888,1714,1483,775,235,26,10817,..,185,786,1250,1322,674,332,287,172,5005,20306,..,..,..,..,..,..,..,..,20306,..,4278,..,..,..,..,..,..,..,4278,..,3477,1299,481,401,251,49,0,0,5967,..,471,256,136,169,302,305,197,93,1934,..,333,247,100,92,53,43,21,10,907,..,743,776,238,324,392,376,138,20,3001,..,584,1317,1056,1642,2916,3297,2494,1216,14521,288,429,325,210,211,260,307,124,50,2205,20598,12000,12446,12370,13552,15341,14198,8034,2445,110971
110,..,554,458,164,216,336,230,77,24,2057,..,447,786,573,1055,2058,2460,2453,1171,11010,319,544,269,148,161,248,215,145,67,2109,15515,9206,10119,9447,10221,11327,9695,6156,2006,83689,..,331,6164,9763,10988,12535,11560,6338,1144,58828,..,2425,5025,2731,2386,1911,1001,257,29,15768,..,401,1635,2052,1831,1083,576,497,320,8399,31356,..,..,..,..,..,..,..,..,31356,..,5900,..,..,..,..,..,..,..,5900,..,4871,1952,862,741,449,89,4,0,8974,..,932,499,226,351,600,610,370,176,3766,..,585,549,225,177,135,70,22,5,1770,..,1156,1208,390,481,682,526,186,39,4673,..,928,1815,1523,2398,4214,4486,3634,1575,20570,670,967,570,392,384,427,415,246,97,4156,32021,18499,19423,18160,19730,22041,19343,11560,3381,164150
