SA4_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
101,2281,2071,4351,6688,6053,12746,2115,1904,4019,748,782,1535,9566,8750,18319,4362,4108,8477,1952,1918,3876,865,911,1772,7193,6945,14135,280,262,542,240,322,561,1075,735,1813,1017,1771,2791,29,20,42,2633,3111,5744,684,1082,1762,399,648,1048,185,343,527,852,1811,2663,12,14,26,2129,3901,6028,4766,7019,11784,257,221,476,363,635,997,10,13,20,631,868,1492,8553,7528,16078,32989,33174,66161
102,4254,3844,8097,10314,9479,19787,2335,2273,4605,1775,1603,3375,14454,13374,27821,7313,7053,14368,2002,1946,3944,1764,1846,3609,11100,10854,21955,427,577,1003,345,650,990,1799,1004,2806,1428,2600,4026,26,21,46,4022,4848,8873,1854,2721,4572,664,1190,1855,414,633,1043,1029,2274,3302,11,20,32,3963,6835,10802,7992,11698,19692,261,315,572,494,816,1321,13,10,17,762,1145,1908,8904,9881,18787,47474,50795,98266
103,2366,2192,4557,6508,6051,12557,2223,2185,4410,629,618,1247,9371,8867,18234,4234,3875,8108,1702,1995,3695,1156,1043,2203,7095,6921,14022,208,272,479,148,321,470,1019,742,1758,899,1632,2536,15,16,35,2286,2988,5272,609,1107,1716,264,482,744,174,327,501,648,1388,2039,9,7,10,1699,3311,5006,3990,6303,10292,134,151,275,222,428,646,4,13,17,355,584,943,8918,7356,16270,32101,32224,64322
104,1423,1351,2777,3986,3723,7707,1059,1077,2136,746,642,1388,5802,5450,11250,2895,2923,5818,736,761,1502,750,685,1433,4389,4373,8756,183,219,409,176,337,517,553,396,945,673,1134,1805,5,6,19,1600,2095,3694,256,535,795,165,408,577,90,176,262,391,931,1321,4,5,13,910,2064,2966,2514,4159,6673,99,115,216,163,321,483,10,9,16,273,450,725,5766,5039,10807,20168,20819,40983
105,1318,1226,2541,3050,2878,5933,1234,1332,2563,410,370,774,4703,4584,9286,2329,2259,4586,542,531,1073,394,464,860,3267,3260,6530,110,131,236,101,192,290,440,328,768,394,852,1239,12,3,14,1052,1501,2552,144,338,483,113,248,360,39,122,161,241,723,964,4,6,7,539,1437,1978,1600,2944,4538,104,92,194,136,222,356,4,3,11,242,310,559,7225,6566,13792,18352,18886,37242
106,3473,3286,6761,8880,8385,17256,2743,2541,5290,1402,1367,2771,13041,12307,25346,6000,5751,11748,2082,2223,4303,1433,1381,2815,9516,9361,18878,409,501,913,273,506,780,1530,1013,2538,1136,2246,3379,28,21,47,3380,4281,7661,1001,1654,2656,401,821,1221,242,487,734,814,1868,2687,9,13,21,2473,4844,7320,5859,9133,14990,277,246,522,395,701,1097,20,14,28,690,964,1649,9360,7198,16560,41937,42247,84188
107,3858,3505,7367,9630,8859,18497,2286,2292,4581,927,935,1863,12850,12115,24968,6483,6324,12806,2512,2551,5060,1063,1027,2090,10067,9921,19982,462,558,1022,410,684,1098,1803,1038,2844,1348,2240,3593,24,20,42,4049,4544,8597,3372,4610,7983,1310,1491,2808,546,731,1279,1173,2227,3402,13,14,23,6412,9081,15493,10475,13642,24119,295,304,595,444,713,1159,12,12,19,752,1026,1776,7103,7335,14434,45107,47547,92649
108,2026,1883,3910,5635,5467,11100,1556,1476,3031,979,969,1948,8181,7917,16099,3859,3741,7602,1759,1758,3521,929,947,1872,6552,6458,13011,257,323,581,186,431,614,832,625,1452,735,1605,2336,22,12,34,2022,2990,5016,523,1063,1592,248,597,848,99,245,347,482,1194,1677,5,6,12,1366,3103,4475,3393,6105,9498,121,151,269,215,444,656,15,10,25,343,605,950,8349,7938,16285,28839,30910,59748
109,1321,1217,2536,3150,2902,6056,1119,1139,2263,675,638,1310,4949,4687,9634,2218,2287,4500,785,757,1544,676,772,1446,3678,3815,7497,161,198,361,151,246,399,532,345,878,467,907,1373,11,6,16,1320,1711,3031,276,685,959,133,284,418,80,160,235,281,696,983,4,3,6,773,1830,2604,2103,3540,5641,117,109,223,178,323,500,6,3,12,302,436,733,4837,4561,9397,17186,18255,35441
110,2004,1802,3811,5276,5032,10306,1807,1729,3536,711,705,1414,7798,7472,15276,4077,3624,7696,909,1121,2027,817,1113,1932,5807,5861,11666,195,197,402,140,339,482,669,532,1196,694,1454,2145,8,10,20,1712,2530,4246,594,1091,1687,354,535,893,167,324,493,508,1182,1687,0,9,5,1622,3137,4764,3343,5672,9013,124,153,282,174,352,524,8,5,12,306,512,813,9179,9009,18188,28439,30332,58770
