SA4_CODE_2021,M_Y12e_15_19,M_Y12e_20_24,M_Y12e_25_34,M_Y12e_35_44,M_Y12e_45_54,M_Y12e_55_64,M_Y12e_65_74,M_Y12e_75_84,M_Y12e_85ov,M_Y12e_Tot,M_Y11e_15_19,M_Y11e_20_24,M_Y11e_25_34,M_Y11e_35_44,M_Y11e_45_54,M_Y11e_55_64,M_Y11e_65_74,M_Y11e_75_84,M_Y11e_85ov,M_Y11e_Tot,M_Y10e_15_19,M_Y10e_20_24,M_Y10e_25_34,M_Y10e_35_44,M_Y10e_45_54,M_Y10e_55_64,M_Y10e_65_74,M_Y10e_75_84,M_Y10e_85ov,M_Y10e_Tot,M_Y9e_15_19,M_Y9e_20_24,M_Y9e_25_34,M_Y9e_35_44,M_Y9e_45_54,M_Y9e_55_64,M_Y9e_65_74,M_Y9e_75_84,M_Y9e_85ov,M_Y9e_Tot,M_Y8b_15_19,M_Y8b_20_24,M_Y8b_25_34,M_Y8b_35_44,M_Y8b_45_54,M_Y8b_55_64,M_Y8b_65_74,M_Y8b_75_84,M_Y8b_85ov,M_Y8b_Tot,M_DNGTS_15_19,M_DNGTS_20_24,M_DNGTS_25_34,M_DNGTS_35_44,M_DNGTS_45_54,M_DNGTS_55_64,M_DNGTS_65_74,M_DNGTS_75_84,M_DNGTS_85_ov,M_DNGTS_Tot,M_Hghst_yr_schl_ns_15_19,M_Hghst_yr_schl_ns_20_24,M_Hghst_yr_schl_ns_25_34,M_Hghst_yr_schl_ns_35_44,M_Hghst_yr_schl_ns_45_54,M_Hghst_yr_schl_ns_55_64,M_Hghst_yr_schl_ns_65_74,M_Hghst_yr_schl_ns_75_84,M_Hghst_yr_schl_ns_85_ovr,M_Hghst_yr_schl_ns_Tot,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Y12e_15_19,F_Y12e_20_24,F_Y12e_25_34,F_Y12e_35_44,F_Y12e_45_54,F_Y12e_55_64,F_Y12e_65_74,F_Y12e_75_84,F_Y12e_85ov,F_Y12e_Tot,F_Y11e_15_19,F_Y11e_20_24,F_Y11e_25_34,F_Y11e_35_44,F_Y11e_45_54,F_Y11e_55_64,F_Y11e_65_74,F_Y11e_75_84,F_Y11e_85ov,F_Y11e_Tot,F_Y10e_15_19,F_Y10e_20_24,F_Y10e_25_34,F_Y10e_35_44,F_Y10e_45_54,F_Y10e_55_64,F_Y10e_65_74,F_Y10e_75_84,F_Y10e_85ov,F_Y10e_Tot,F_Y9e_15_19,F_Y9e_20_24,F_Y9e_25_34,F_Y9e_35_44,F_Y9e_45_54,F_Y9e_55_64,F_Y9e_65_74,F_Y9e_75_84,F_Y9e_85ov,F_Y9e_Tot,F_Y8b_15_19,F_Y8b_20_24,F_Y8b_25_34,F_Y8b_35_44,F_Y8b_45_54,F_Y8b_55_64,F_Y8b_65_74,F_Y8b_75_84,F_Y8b_85ov,F_Y8b_Tot,F_DNGTS_15_19,F_DNGTS_20_24,F_DNGTS_25_34,F_DNGTS_35_44,F_DNGTS_45_54,F_DNGTS_55_64,F_DNGTS_65_74,F_DNGTS_75_84,F_DNGTS_85_ov,F_DNGTS_Tot,F_Hghst_yr_schl_ns_15_19,F_Hghst_yr_schl_ns_20_24,F_Hghst_yr_schl_ns_25_34,F_Hghst_yr_schl_ns_35_44,F_Hghst_yr_schl_ns_45_54,F_Hghst_yr_schl_ns_55_64,F_Hghst_yr_schl_ns_65_74,F_Hghst_yr_schl_ns_75_84,F_Hghst_yr_schl_ns_85_ovr,F_Hghst_yr_schl_ns_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Y12e_15_19,P_Y12e_20_24,P_Y12e_25_34,P_Y12e_35_44,P_Y12e_45_54,P_Y12e_55_64,P_Y12e_65_74,P_Y12e_75_84,P_Y12e_85ov,P_Y12e_Tot,P_Y11e_15_19,P_Y11e_20_24,P_Y11e_25_34,P_Y11e_35_44,P_Y11e_45_54,P_Y11e_55_64,P_Y11e_65_74,P_Y11e_75_84,P_Y11e_85ov,P_Y11e_Tot,P_Y10e_15_19,P_Y10e_20_24,P_Y10e_25_34,P_Y10e_35_44,P_Y10e_45_54,P_Y10e_55_64,P_Y10e_65_74,P_Y10e_75_84,P_Y10e_85ov,P_Y10e_Tot,P_Y9e_15_19,P_Y9e_20_24,P_Y9e_25_34,P_Y9e_35_44,P_Y9e_45_54,P_Y9e_55_64,P_Y9e_65_74,P_Y9e_75_84,P_Y9e_85ov,P_Y9e_Tot
101,1111,3554,7897,7850,7577,6710,6315,2494,605,44105,395,582,939,920,1119,1184,804,361,91,6385,870,920,2660,2727,4473,6486,4440,2072,495,25135,200,148,358,407,663,1111,1670,1061,288,5900,58,25,151,192,337,631,1188,1032,420,4035,4,11,33,33,45,56,83,71,36,372,417,430,1214,1028,1200,1346,1264,819,387,8110,3054,5676,13247,13158,15409,17525,15745,7907,2329,94042,1313,3787,9667,9881,9301,7924,5620,2166,628,50288,285,406,784,841,1090,1279,913,477,152,6230,462,569,1770,1873,4025,6026,5185,2613,836,23370,129,66,261,314,485,975,1581,1072,531,5422,29,17,88,123,179,438,955,939,641,3396,3,4,23,31,30,46,66,79,56,341,360,334,901,889,922,1152,1183,897,598,7238,2580,5191,13493,13952,16030,17835,15510,8254,3445,96289,2420,7340,17568,17729,16881,14632,11929,4659,1237,94398,679,990,1721,1761,2205,2467,1719,838,243,12618,1330,1488,4428,4599,8495,12512,9628,4687,1337,48502,334,217,620,723,1146,2085,3245,2134,823,11320
102,1913,6017,11258,11788,10046,7623,7143,3475,959,60211,641,1082,1590,1611,1398,1181,879,546,149,9088,1425,1517,3982,4495,7239,9145,6133,3641,934,38510,277,232,478,709,1119,1417,2191,1795,540,8756,69,42,158,215,383,749,1230,1112,527,4491,6,21,42,57,62,90,119,101,46,547,469,462,1091,1027,1125,1068,1188,1166,768,8375,4804,9373,18605,19901,21380,21270,18884,11836,3926,129982,2199,6553,13518,14873,12199,8909,6371,2985,980,68576,474,798,1264,1384,1437,1278,891,571,193,8287,866,1124,3197,3456,7003,9871,8695,5106,1740,41054,192,147,383,532,866,1657,2958,2127,1152,10004,32,19,104,135,264,738,1349,1256,974,4881,8,7,34,44,59,81,86,83,81,494,412,436,993,1019,957,1047,1445,1711,1495,9510,4181,9081,19497,21435,22786,23581,21794,13837,6616,142803,4110,12572,24777,26655,22241,16529,13511,6461,1936,128789,1121,1876,2856,2990,2834,2463,1772,1113,340,17371,2286,2634,7180,7950,14244,19020,14824,8743,2675,79565,460,372,864,1240,1982,3080,5144,3922,1694,18763
103,943,3137,6176,5720,5023,3871,3611,1564,373,30421,465,661,936,955,852,640,490,261,64,5324,966,1124,3239,3233,4684,6308,4107,2099,492,26256,223,200,411,492,739,1143,1658,1144,351,6350,60,43,129,207,343,719,1324,981,457,4265,5,11,39,34,41,54,77,74,26,363,454,630,1334,1298,1151,1171,1112,847,314,8317,3122,5803,12268,11935,12832,13906,12388,6964,2090,81303,1206,3737,8279,7893,6871,4869,3346,1564,477,38243,279,464,881,837,916,808,525,352,84,5144,520,644,2125,2101,3863,5818,4830,2683,989,23577,144,107,328,374,577,1037,1537,1122,584,5816,28,19,87,110,192,506,956,811,671,3374,0,0,17,26,30,36,75,53,31,270,363,373,856,837,895,922,987,933,573,6755,2547,5348,12579,12180,13343,13997,12257,7513,3415,83185,2144,6873,14459,13615,11895,8739,6956,3123,855,68659,750,1129,1815,1790,1764,1452,1009,614,153,10469,1489,1771,5364,5336,8539,12126,8941,4787,1483,49834,369,303,735,868,1318,2184,3189,2263,940,12165
104,564,1750,3725,3847,3655,3141,3592,1417,390,22084,285,404,640,556,661,629,596,271,56,4116,552,621,1642,1876,2805,4382,3331,1646,406,17274,182,112,226,318,468,779,1248,864,250,4454,40,32,130,198,210,433,723,664,341,2775,5,7,67,65,39,47,45,26,18,321,272,347,967,849,788,769,704,566,295,5565,1906,3284,7409,7721,8637,10189,10244,5455,1758,56598,729,2016,4965,5180,4821,3929,3066,1295,393,26385,192,294,503,544,717,795,546,310,90,3997,386,430,1160,1481,2726,4521,4111,2182,693,17686,84,74,204,240,406,799,1350,935,433,4518,25,22,88,138,158,330,565,570,508,2399,4,16,67,58,59,64,51,20,34,365,248,219,618,595,584,616,721,714,572,4887,1671,3064,7611,8239,9464,11046,10397,6034,2718,60243,1293,3761,8695,9031,8479,7070,6654,2711,786,48475,478,701,1147,1111,1379,1424,1140,585,150,8116,942,1053,2802,3361,5531,8910,7436,3830,1093,34958,268,184,432,563,874,1577,2596,1795,681,8973
105,449,1499,3716,2824,2232,1594,1373,641,154,14476,213,359,509,501,461,390,253,122,34,2842,546,580,1773,1605,2320,3344,2079,962,231,13442,144,111,306,288,438,754,894,550,167,3651,35,33,94,138,242,532,927,638,270,2915,0,6,16,19,26,42,55,50,15,228,434,440,1163,975,883,905,836,556,233,6433,1834,3030,7577,6341,6602,7562,6416,3520,1106,43983,587,1826,4970,3819,3065,2220,1295,670,203,18657,190,288,520,469,504,472,292,142,54,2928,277,389,1214,1179,1944,3115,2352,1351,443,12272,76,70,236,250,392,638,854,574,279,3363,20,21,69,66,151,402,644,533,352,2247,4,0,10,11,16,26,33,35,8,150,330,352,887,838,773,788,738,671,422,5797,1485,2942,7907,6633,6847,7655,6204,3975,1758,45415,1034,3322,8683,6641,5298,3816,2666,1307,357,33132,405,641,1027,969,972,865,539,270,85,5765,831,971,2986,2782,4262,6459,4429,2317,674,25716,222,182,542,532,828,1396,1742,1122,444,7015
106,1560,4570,8560,8067,6200,4537,4581,2039,392,40498,837,1108,1903,1721,1331,1003,688,362,91,9039,1376,1639,5112,5183,7429,8806,5774,2623,527,38488,295,293,640,746,1098,1734,2371,1523,388,9085,75,72,221,260,405,805,1482,1060,445,4826,8,15,53,53,63,95,65,63,20,442,471,613,1588,1390,1233,1147,1118,922,389,8868,4620,8320,18083,17419,17771,18120,16072,8593,2258,111246,1630,5033,11101,10750,8138,5661,3997,1622,408,48342,557,896,1620,1514,1367,1064,652,362,88,8123,1026,1284,4036,3926,6765,8602,6685,3461,975,36770,228,176,609,599,1045,1865,2817,1637,723,9694,50,43,158,153,276,749,1322,944,733,4425,6,16,26,34,49,55,68,51,38,347,356,400,869,812,788,863,1039,1040,696,6867,3862,7842,18420,17789,18439,18861,16571,9123,3662,114565,3185,9600,19663,18815,14343,10194,8578,3661,797,88842,1389,1997,3527,3235,2701,2068,1335,724,180,17162,2401,2928,9148,9116,14197,17413,12456,6087,1507,75253,528,474,1250,1344,2143,3601,5180,3154,1109,18784
107,2118,7609,13078,11657,9376,6899,5880,2426,563,59610,664,1006,1449,1322,1374,1036,663,358,76,7946,1140,1439,3746,4103,6365,8232,4726,2555,660,32970,206,179,431,532,778,1237,1854,1344,487,7054,47,43,158,232,289,673,1299,1362,699,4811,13,19,62,86,83,101,176,169,110,821,411,521,971,844,830,796,859,917,582,6740,4597,10821,19893,18786,19108,18975,15451,9120,3187,119934,2652,8342,15052,14084,10990,7561,5003,2006,584,66277,379,656,1045,1117,1336,1019,619,333,104,6602,695,876,2583,3064,5986,8474,6192,3559,1138,32571,130,113,318,452,747,1499,2239,1653,860,8001,25,28,103,169,270,744,1631,1641,1110,5717,3,12,55,71,99,127,201,286,239,1090,392,444,926,809,723,731,944,1120,1013,7101,4275,10478,20084,19772,20145,20148,16817,10605,5038,127361,4770,15950,28130,25749,20375,14460,10882,4432,1145,125886,1037,1661,2491,2444,2703,2050,1282,691,180,14550,1833,2315,6332,7166,12355,16704,10916,6108,1802,65538,333,291,742,987,1520,2736,4094,2993,1346,15049
108,937,2670,4765,4977,4944,4500,5853,2756,737,32137,476,554,850,881,948,886,912,535,141,6191,832,927,2413,2744,4708,7580,6284,3329,779,29592,250,146,367,519,886,1426,2649,1947,544,8737,55,41,135,198,313,757,1522,1223,646,4891,0,10,21,14,43,49,48,51,27,270,433,468,1001,966,948,1197,1350,1062,531,7963,2996,4825,9552,10311,12787,16397,18621,10908,3396,89785,1196,3117,6436,6815,6663,5931,4916,2367,751,38197,327,402,757,845,1054,1114,879,542,157,6084,594,583,1818,2318,4542,8179,7703,4273,1336,31349,151,97,327,403,684,1462,2760,1985,976,8848,35,15,87,118,235,592,1221,1133,913,4348,5,4,12,14,25,41,44,59,44,244,357,311,767,789,790,1072,1360,1297,952,7690,2669,4515,10212,11303,13997,18388,18890,11651,5138,96760,2136,5786,11205,11796,11608,10423,10775,5124,1486,70335,801,958,1612,1731,2006,2007,1795,1074,298,12272,1433,1504,4232,5061,9248,15759,13986,7597,2116,60945,402,242,693,924,1569,2895,5403,3937,1512,17582
109,499,1738,3585,3302,2778,2207,2168,927,237,17433,277,491,768,722,1075,1112,913,345,82,5795,489,543,1412,1466,2074,2983,2388,1143,253,12739,131,87,239,296,422,817,1104,743,222,4063,40,23,97,152,192,407,796,691,316,2707,3,3,36,29,54,57,47,41,17,299,265,257,595,563,621,696,731,498,256,4481,1706,3140,6732,6527,7220,8277,8144,4386,1377,47519,662,2159,4792,4687,3804,2894,2031,909,285,22234,180,304,538,566,1037,1393,1005,444,107,5572,249,294,843,933,1749,2853,2656,1492,494,11569,70,58,133,177,296,654,1013,678,320,3395,12,23,72,112,108,235,572,669,444,2242,0,9,29,41,66,54,34,44,18,289,236,220,532,533,525,662,694,655,366,4418,1421,3069,6940,7044,7585,8741,8007,4883,2032,49713,1163,3899,8378,7993,6577,5097,4198,1843,523,39670,461,794,1314,1290,2112,2510,1921,788,188,11366,741,837,2256,2398,3825,5832,5041,2627,745,24309,198,140,373,472,721,1470,2120,1416,537,7459
110,849,2814,5577,4760,4084,3129,3030,1385,311,25943,374,532,805,693,682,610,416,216,68,4394,766,913,2418,2551,3700,5228,3470,1689,381,21124,200,193,399,505,699,1101,1471,983,262,5811,57,50,186,211,345,694,1215,1050,418,4235,4,19,58,41,50,61,93,56,13,396,585,638,1188,1075,1152,1211,1131,799,322,8099,2840,5159,10639,9837,10723,12038,10829,6165,1773,70004,1161,3227,7269,6459,5499,4184,2786,1469,409,32461,304,452,739,735,774,746,450,287,105,4592,537,607,1706,1777,3193,5089,4176,2345,781,20221,148,105,341,350,531,899,1397,1039,469,5286,29,35,92,108,188,467,834,817,558,3129,6,16,48,33,46,58,60,54,26,348,649,591,1106,1009,1063,1098,1034,965,549,8063,2830,5034,11299,10475,11296,12546,10734,6976,2898,74092,2014,6044,12848,11218,9581,7317,5823,2851,723,58403,679,986,1544,1427,1459,1358,868,500,172,8983,1302,1525,4123,4325,6901,10318,7649,4033,1170,41343,348,298,743,858,1231,2000,2873,2019,722,11099
