SA4_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
101,1271,70,38,8,4,1388,592,45,29,7,0,675,539,42,22,0,0,610,1029,54,52,3,3,1149,1413,90,121,8,5,1633,3992,309,237,6,5,4552,4274,473,116,7,4,4874,5520,339,67,8,12,5949,3106,75,28,3,8,3217,2761,62,20,0,4,2844,1570,32,15,3,8,1627,1412,83,32,4,0,1532,27477,1677,784,55,54,30048
102,1708,119,91,9,0,1923,630,61,51,4,0,743,587,74,28,5,0,690,1002,103,54,5,0,1156,1430,139,86,4,0,1657,4184,345,281,10,4,4820,5978,525,354,12,3,6865,9731,553,365,12,9,10671,5893,212,130,3,6,6241,4382,121,91,4,4,4605,2619,69,57,3,4,2760,2364,151,89,5,5,2611,40498,2468,1683,66,37,44753
103,1101,38,11,12,0,1164,566,19,6,5,0,593,609,20,5,0,0,637,1178,36,10,3,0,1223,1684,54,12,4,3,1758,4531,126,41,20,3,4718,4635,88,11,24,8,4760,4642,41,7,17,9,4717,1834,11,5,11,3,1869,1349,15,3,5,0,1377,948,7,3,9,3,973,1346,29,5,9,6,1388,24422,482,109,113,45,25177
104,731,40,18,8,3,797,378,16,10,3,0,411,324,31,11,3,0,368,649,25,16,8,3,707,894,59,42,4,0,999,2589,156,106,22,9,2879,2748,168,61,15,6,2995,3145,127,56,9,4,3343,1196,22,8,7,0,1233,759,26,14,3,0,804,426,21,10,7,0,461,848,47,22,12,0,933,14679,747,383,104,25,15934
105,759,5,4,3,7,774,472,12,5,0,0,489,489,9,4,0,0,512,943,11,5,8,0,966,1135,18,10,6,6,1169,2392,41,11,6,0,2450,1980,19,4,0,6,2015,1602,11,4,0,13,1628,580,10,0,0,0,586,386,3,0,0,0,390,350,5,0,0,9,361,787,14,3,4,0,808,11866,149,39,32,54,12139
106,1425,61,9,5,5,1501,607,35,12,0,0,658,536,40,3,0,0,587,1070,68,19,3,0,1162,1586,115,15,6,0,1724,5533,322,47,7,0,5912,7259,273,41,3,5,7584,8711,227,29,5,5,8979,3798,52,8,5,8,3867,2774,27,8,0,4,2820,1420,21,9,3,0,1448,2059,80,11,6,0,2162,36780,1324,208,48,40,38392
107,1329,145,115,0,0,1600,478,52,52,4,0,586,398,70,49,8,0,520,720,95,65,3,0,886,986,132,106,4,0,1230,3006,341,375,11,0,3732,3889,545,509,9,6,4958,7341,903,631,17,8,8902,5198,440,276,15,0,5931,4590,276,182,3,0,5047,2737,127,115,6,0,2980,1818,153,153,5,0,2129,32494,3275,2616,87,26,38496
108,1073,74,42,7,3,1205,590,55,26,0,0,667,540,39,32,3,0,616,1029,68,39,4,0,1141,1423,63,34,5,0,1536,3800,212,132,10,4,4160,3962,212,102,10,0,4282,4446,140,56,9,6,4647,1790,34,25,7,3,1858,1159,27,16,0,3,1211,655,19,17,0,0,692,1181,64,33,5,0,1282,21647,1021,551,58,27,23299
109,746,30,0,0,0,782,411,28,0,0,0,443,379,37,4,0,0,422,888,74,0,0,0,962,1263,69,0,0,3,1346,3215,109,7,5,4,3338,2671,37,0,4,3,2719,2120,24,3,4,0,2151,718,10,0,0,0,732,499,6,0,0,3,510,388,0,0,0,0,394,806,19,0,3,0,831,14112,451,21,22,23,14631
110,1054,34,0,3,7,1096,487,15,3,3,3,508,556,12,0,0,0,570,1145,22,4,4,0,1170,1667,36,6,5,3,1716,4275,68,9,10,4,4374,3493,54,4,9,3,3559,2906,29,5,8,0,2949,1076,13,0,0,0,1093,757,9,0,0,0,769,571,6,4,0,3,585,1138,18,3,10,0,1160,19125,311,47,49,27,19553
