SA4_CODE_2021,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
101,321,5779,596,6696,311,4889,466,5678,857,11112,1287,13251,1431,10670,1064,13167,2027,12182,1209,15413,2619,13605,1310,17535,1819,12832,1097,15755,805,6431,673,7909,232,1809,289,2332,10427,79303,7991,97725,347,5255,487,6085,388,4440,369,5199,1404,11127,968,13501,2265,10744,950,13960,3315,11789,937,16034,3841,12892,1105,17838,2476,12022,1018,15513,995,6507,755,8257,164,2832,456,3448,15187,77611,7042,99836,670,11034,1078,12785,702,9332,839,10876,2261,22239,2252,26755,3695,21413,2010,27123,5334,23969,2149,31454,6459,26496,2413,35370,4290,24857,2118,31264,1799,12935,1427,16162,394,4638,743,5776,25609,156913,15038,197558
102,467,9443,615,10523,531,8337,513,9383,1224,16189,1204,18615,2000,16767,1154,19909,2762,17431,1197,21395,3053,17193,1045,21289,2118,15729,1043,18898,1306,9534,1005,11851,323,2885,716,3929,13787,113511,8489,135785,511,8703,538,9754,646,7956,506,9107,1999,16368,1137,19505,3582,16730,1135,21445,4733,17055,1006,22793,5146,17454,994,23597,3372,17222,1200,21797,1430,10995,1420,13850,278,4853,1481,6619,21703,117335,9426,148463,983,18147,1149,20276,1179,16294,1013,18486,3226,32557,2341,38119,5578,33496,2287,41358,7493,34483,2208,44183,8197,34647,2036,44882,5499,32950,2248,40693,2737,20532,2434,25702,606,7741,2203,10545,35488,230845,17915,284248
103,268,5772,640,6682,286,4872,650,5806,738,10137,1395,12266,1202,9429,1312,11940,1737,9970,1140,12847,2009,10794,1108,13916,1386,10048,951,12385,708,5597,663,6972,208,1653,223,2090,8540,68269,8095,84902,338,5168,506,6010,384,4557,413,5354,1368,10309,912,12591,2051,9248,890,12185,2898,9557,894,13355,3148,9979,883,14006,1915,9530,821,12259,795,5995,722,7516,145,2850,420,3417,13039,67193,6459,86692,608,10938,1147,12689,671,9427,1062,11161,2108,20445,2303,24861,3249,18668,2202,24125,4638,19533,2036,26203,5159,20773,1990,27917,3301,19578,1772,24652,1496,11596,1390,14480,353,4508,646,5504,21578,135463,14550,171594
104,207,3517,374,4101,173,2747,367,3291,502,5919,996,7415,762,6072,895,7727,1147,6698,797,8641,1633,7830,732,10197,1272,8367,603,10242,589,4400,469,5462,172,1355,235,1758,6455,46902,5460,58824,225,3292,336,3849,232,2604,239,3073,882,6093,649,7617,1378,6213,653,8243,2003,6857,607,9471,2593,7851,613,11056,1817,7981,601,10399,752,4693,598,6036,139,2114,462,2718,10021,47696,4752,62467,428,6808,705,7950,405,5351,614,6369,1381,12009,1638,15030,2144,12284,1549,15975,3155,13554,1401,18106,4228,15683,1346,21252,3094,16354,1203,20649,1337,9094,1068,11492,310,3468,693,4473,16480,94597,10219,121293
105,152,2713,541,3408,153,2409,472,3038,419,5948,1212,7578,562,4791,989,6344,828,4892,888,6613,1047,5649,864,7562,614,5089,716,6418,345,2718,468,3526,99,812,191,1104,4217,35028,6338,45590,167,2535,425,3133,173,2407,361,2945,808,6150,950,7914,1078,4694,866,6641,1347,4725,780,6852,1691,5215,752,7663,946,4623,643,6204,428,2957,588,3973,87,1331,349,1761,6727,34643,5713,47084,316,5251,973,6541,323,4820,834,5979,1228,12099,2162,15489,1634,9489,1850,12978,2177,9619,1665,13463,2740,10865,1617,15228,1560,9713,1357,12627,770,5675,1051,7498,186,2141,534,2866,10946,69675,12054,92669
106,427,8133,646,9202,403,7232,693,8325,1185,15234,1674,18093,1830,14119,1475,17424,2257,14285,1242,17779,2684,14339,1109,18133,2026,13103,951,16078,933,6939,724,8597,201,1767,290,2259,11946,95139,8804,115891,476,7376,531,8383,637,6773,440,7855,2118,15333,972,18420,3277,13615,911,17801,4002,13619,833,18448,4314,13747,807,18866,2754,12991,834,16575,1001,7354,772,9129,159,2959,546,3668,18740,93761,6650,119155,903,15504,1184,17584,1042,14002,1138,16178,3298,30566,2649,36516,5107,27733,2383,35227,6258,27900,2076,36228,7005,28085,1912,37003,4779,26092,1783,32654,1941,14291,1496,17724,359,4726,837,5922,30684,188906,15455,235041
107,428,8756,517,9703,557,9684,593,10836,1317,17499,1089,19903,1897,15953,937,18791,2895,15338,878,19114,3381,14840,767,18989,2055,12680,738,15471,1062,7376,687,9129,332,2329,522,3187,13927,104467,6734,125125,502,8396,526,9419,752,9217,526,10487,1979,17086,1025,20093,3178,15685,918,19780,4418,14973,771,20156,5130,14332,699,20163,2816,13254,769,16842,1122,8651,844,10615,223,3924,891,5039,20118,105508,6972,132598,923,17155,1044,19124,1312,18900,1117,21328,3295,34584,2120,39997,5074,31641,1852,38572,7316,30310,1648,39273,8514,29171,1468,39152,4866,25936,1510,32307,2191,16026,1527,19744,554,6249,1421,8227,34042,209978,13703,257723
108,310,5321,634,6267,301,4023,512,4835,768,7718,1066,9552,1217,8094,1005,10315,1879,9961,955,12794,2475,12813,1119,16402,2205,15226,1207,18637,1252,8776,884,10910,343,2571,481,3396,10743,74496,7867,93102,335,5065,539,5942,386,3803,335,4529,1353,8041,823,10220,2240,8259,809,11306,3237,9960,814,14011,4342,13073,974,18396,3160,14579,1157,18899,1308,9250,1095,11656,265,3987,883,5138,16623,76020,7446,100094,645,10380,1176,12206,685,7825,847,9356,2116,15762,1896,19774,3455,16351,1819,21625,5111,19918,1775,26807,6812,25884,2099,34795,5363,29798,2367,37531,2563,18026,1979,22565,613,6561,1362,8536,27361,150517,15313,193195
109,170,3066,377,3602,160,2705,283,3152,454,5674,615,6738,702,5247,574,6530,985,5615,627,7224,1197,6437,647,8281,881,6605,660,8142,478,3502,412,4386,132,1041,201,1382,5161,39889,4398,49443,189,2960,341,3485,256,2570,246,3073,787,5598,566,6944,1246,5246,558,7048,1616,5446,521,7584,2078,6058,608,8737,1312,6119,578,8014,550,3772,573,4889,104,1654,278,2032,8133,39425,4268,51818,351,6022,719,7090,416,5275,529,6222,1236,11270,1181,13683,1946,10495,1133,13574,2601,11068,1144,14812,3271,12490,1257,17022,2194,12727,1240,16158,1022,7270,984,9280,238,2697,476,3413,13293,79310,8662,101262
110,288,4735,742,5771,273,4205,689,5172,771,8645,1228,10649,1017,7738,1096,9843,1396,8188,1148,10734,1741,9157,1143,12042,1167,8646,1023,10835,675,4793,700,6162,155,1326,293,1773,7493,57425,8054,72974,365,4644,784,5790,368,4055,620,5044,1215,8944,1147,11307,1706,7741,1040,10485,2388,7838,1067,11300,2871,8626,1056,12547,1727,8084,926,10739,755,5407,817,6981,144,2264,490,2895,11547,57597,7945,77085,652,9374,1528,11556,640,8262,1311,10211,1990,17589,2373,21953,2714,15478,2132,20328,3792,16025,2213,22031,4618,17778,2196,24586,2891,16731,1946,21574,1434,10197,1520,13144,305,3586,780,4669,19034,115023,15995,150057
