SA3_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
10102,248,307,554,3872,4470,8340,0,0,0,234,233,466,103,103,209,7472,7975,15447,3,11,13,810,764,1574,47,64,115,53,52,105,134,166,301,24,24,45,108,102,210,218,268,481,471,546,1021,55,44,105,58,42,98,580,663,1240,769,821,1591,25,21,41,15032,16367,31402,796,656,1450,474,399,873,30,18,53,8,6,12,406,327,732,93,138,228,503,474,976,13194,11766,24955,132,110,244,41,46,85,13355,11920,25281,2228,1977,4201,32664,32122,64793
10103,78,119,198,1595,1750,3343,4,0,5,143,132,274,0,0,0,2096,2108,4205,0,0,3,71,79,142,27,31,55,0,8,9,43,63,104,0,0,0,20,21,40,44,53,99,204,185,386,10,8,14,11,16,27,220,276,495,141,181,323,0,5,3,4629,4917,9543,40,32,73,56,36,92,5,9,17,0,0,0,7,7,23,24,57,87,36,62,105,4595,3968,8564,29,30,60,22,38,56,4652,4032,8684,1178,839,2014,10674,10046,20717
10104,236,426,661,5924,7008,12935,0,0,0,297,320,618,4,0,4,6252,6881,13130,14,22,32,160,136,299,217,309,526,31,34,67,88,146,235,12,8,15,127,138,259,192,234,431,772,899,1671,59,77,134,89,97,181,823,1176,1997,630,752,1385,16,25,44,15702,18269,33971,123,118,241,76,64,133,24,35,56,23,13,35,21,24,43,101,148,256,139,189,335,17504,16411,33915,152,121,275,73,127,208,17737,16660,34396,3586,3350,6937,37632,39101,76736
10105,112,142,257,3883,4305,8191,0,0,0,192,192,381,95,88,178,4757,5134,9891,6,15,20,157,127,284,54,68,123,11,21,37,30,39,65,4,8,9,43,59,101,78,85,164,348,331,682,39,61,101,38,50,88,600,672,1272,281,290,572,15,11,33,10632,11561,22190,169,165,332,115,89,204,8,12,17,0,0,0,33,34,63,56,86,136,90,111,208,6022,5429,11452,50,44,92,31,33,68,6111,5506,11613,2100,1487,3584,19335,19072,38403
10106,66,106,168,3341,3822,7164,0,0,0,147,183,324,57,62,118,4893,5267,10159,0,3,8,73,89,163,32,52,88,8,10,15,67,82,153,0,4,12,46,45,95,79,80,159,387,408,790,51,58,110,36,41,73,634,706,1341,295,350,644,6,11,22,10171,11263,21429,49,45,101,295,296,592,6,9,16,4,0,10,26,23,50,41,54,97,69,81,154,6472,6041,12512,52,32,80,21,35,54,6546,6101,12648,1575,1460,3040,18787,19369,38159
10201,804,1273,2078,12418,15516,27931,0,3,3,1243,1532,2776,92,108,204,17159,19864,37022,85,129,215,650,702,1349,290,399,688,160,179,340,183,230,422,100,89,190,968,1048,2016,778,983,1765,1712,1980,3693,104,162,264,348,403,749,1991,2650,4641,2022,2404,4423,79,97,170,40377,48481,88859,716,627,1345,453,398,853,154,174,329,33,15,49,174,147,319,184,281,469,384,441,828,37479,34618,72099,337,275,614,159,277,436,37977,35169,73144,5502,5480,10989,86375,92052,178427
10202,516,821,1336,13549,16632,30176,3,9,15,1089,1341,2426,28,37,67,17822,20507,38332,34,48,76,531,548,1079,280,411,687,164,197,365,108,142,250,75,74,151,577,633,1215,613,784,1391,1429,1773,3206,156,212,371,286,318,604,1547,2122,3674,1596,1777,3375,50,61,111,39950,47620,87572,455,407,861,356,296,650,57,57,115,29,36,70,108,119,226,219,287,504,360,441,802,33810,30661,64475,247,181,424,120,205,325,34181,31048,65228,5733,5883,11617,81600,86567,168171
10301,137,181,321,3607,4139,7749,0,0,0,230,276,505,89,84,177,6623,7337,13962,17,21,36,101,95,195,62,59,116,23,18,38,43,49,94,10,9,22,67,67,133,159,168,323,762,835,1594,39,42,80,61,81,147,663,814,1478,359,404,753,6,13,25,12914,14508,27420,248,233,479,178,140,312,12,6,19,6,16,22,88,85,176,67,78,144,164,175,341,8230,7375,15606,85,51,132,13,35,42,8323,7464,15789,2800,1658,4460,24775,24370,49146
10302,87,114,200,5492,6145,11639,3,5,3,347,385,733,201,192,392,6978,7398,14374,9,5,13,52,44,92,86,122,205,31,30,65,121,129,246,8,9,17,63,53,117,169,223,391,1029,1099,2128,50,74,121,31,41,73,1323,1469,2793,571,662,1232,15,19,40,16580,18102,34683,104,96,206,52,35,95,0,8,8,10,8,19,23,15,35,45,61,100,74,85,157,7481,6410,13892,31,31,61,18,23,47,7538,6462,13998,2792,2548,5339,27228,27455,54684
10303,105,189,289,4512,4988,9500,0,0,0,228,246,474,86,81,172,5302,5449,10753,0,0,0,77,67,143,66,97,158,21,27,48,24,35,61,0,0,0,60,59,121,150,165,313,673,738,1410,54,62,121,43,54,95,777,961,1734,343,372,721,15,26,39,12427,13439,25862,98,90,189,76,47,118,20,14,31,4,7,12,31,33,62,66,93,161,100,138,240,8704,7734,16438,79,64,150,28,44,79,8816,7845,16666,2501,1970,4473,24136,23731,47870
10304,186,234,423,4926,5702,10627,0,0,0,427,476,904,155,172,330,7578,8308,15892,16,23,39,111,105,219,74,94,162,27,30,56,51,56,105,17,8,27,270,294,567,300,403,699,668,746,1410,33,65,104,42,51,92,1360,1669,3033,732,767,1503,8,7,14,16803,18983,35783,266,233,500,167,143,312,23,13,34,3,4,5,70,54,128,64,124,188,141,179,317,10174,9175,19342,74,62,136,20,41,64,10262,9276,19545,2206,2141,4349,30057,31205,61266
10401,126,237,368,4872,5590,10456,0,0,0,312,334,641,0,0,0,4239,4886,9123,5,7,13,35,37,73,155,173,321,26,33,61,42,53,93,4,3,7,61,54,117,140,209,345,1161,1305,2463,83,100,184,61,89,149,675,804,1481,475,551,1029,0,6,10,12331,14238,26563,47,52,101,45,39,87,11,14,23,10,9,18,49,57,104,65,105,172,122,172,291,10718,9654,20376,73,57,137,34,58,90,10836,9771,20608,3308,2315,5619,26823,26846,53665
10402,408,601,1007,6048,7193,13241,0,0,0,665,733,1393,5,9,13,6881,8202,15083,23,27,48,93,93,191,249,316,565,28,42,74,85,117,204,18,21,39,178,217,393,618,747,1368,1130,1312,2445,63,102,161,132,156,284,968,1320,2288,938,1256,2195,29,35,62,18158,21892,40056,190,173,365,246,198,448,49,51,99,17,15,36,960,897,1859,368,486,854,1340,1404,2743,20240,19439,39678,168,130,302,94,184,278,20512,19747,40254,3768,3717,7491,44679,47787,92462
10501,40,53,93,2024,2167,4192,0,0,0,103,109,211,4,6,13,2775,2899,5679,9,5,8,39,35,77,19,31,49,7,12,19,22,20,38,7,4,11,20,9,33,32,47,80,303,333,639,10,13,23,23,33,54,254,275,527,116,141,261,4,9,7,5779,6142,11924,58,56,111,47,30,80,0,0,0,0,9,10,12,9,23,8,19,32,28,39,60,2974,2516,5484,20,15,35,7,5,18,2997,2534,5532,1900,1908,3808,10850,10754,21607
10502,39,43,82,863,958,1826,0,0,0,73,88,165,0,0,0,1670,1985,3665,17,22,40,27,31,47,9,14,27,16,14,34,53,77,134,6,5,17,51,51,102,47,64,111,86,85,175,49,73,126,14,20,35,474,682,1158,110,125,236,0,0,3,3577,4321,7893,43,32,72,29,28,52,0,0,3,0,3,0,0,0,6,22,36,57,24,37,66,4887,4535,9426,32,25,54,10,16,29,4930,4577,9512,1108,1094,2197,9753,10128,19876
10503,178,242,427,6677,7641,14321,0,0,3,529,582,1108,3,3,5,8517,9618,18129,11,20,35,76,86,158,71,82,155,26,24,49,102,116,218,19,13,35,88,97,181,266,318,586,1214,1320,2537,60,90,150,128,139,272,1360,1638,2998,768,880,1645,16,10,28,19920,22682,42599,670,615,1282,298,254,554,16,13,34,29,24,56,167,145,306,37,71,108,237,240,474,10366,9217,19581,66,46,116,25,39,64,10467,9298,19766,4928,4024,8954,36712,37368,74084
10601,196,347,545,9500,10752,20251,0,0,0,574,621,1194,72,65,133,8821,9508,18327,17,20,36,107,97,207,119,178,296,79,95,171,58,81,138,14,9,20,223,248,467,292,322,613,1023,1121,2140,104,148,250,174,195,368,1585,2059,3647,774,877,1651,61,55,112,23602,26441,50038,159,135,300,92,79,171,12,13,32,8,11,20,40,23,58,90,152,247,135,190,329,20312,18068,38383,136,95,234,61,85,142,20508,18252,38759,4820,2940,7756,49527,48403,97927
10602,195,290,485,7264,8574,15834,0,0,0,607,655,1270,95,94,191,9426,10702,20132,26,40,65,139,146,282,80,129,205,62,74,141,37,63,98,13,18,38,225,293,518,312,407,717,886,1020,1909,133,159,288,93,103,197,1227,1720,2949,873,1008,1882,26,22,47,21535,25231,46765,335,301,638,282,241,527,12,29,44,3,10,19,159,136,293,82,171,255,248,317,562,17192,15872,33061,121,103,218,46,74,113,17355,16038,33397,2432,2173,4604,42401,44621,87019
10603,189,331,522,7209,8290,15499,0,0,0,610,700,1311,0,0,5,7057,7958,15014,34,44,81,223,203,432,86,121,211,35,46,76,76,88,167,13,5,18,143,168,313,393,483,879,899,1042,1947,63,102,168,60,78,140,1300,1618,2911,755,846,1595,21,19,38,18982,21814,40791,143,111,250,119,78,195,29,28,47,12,8,23,30,22,50,58,115,176,101,152,251,15399,13675,29070,120,85,199,45,82,130,15561,13840,29397,2583,2366,4948,37701,38712,76414
10604,67,115,178,3940,4487,8427,0,0,0,142,170,312,3,5,7,3278,3374,6649,0,3,5,15,23,44,40,52,91,22,14,34,8,19,25,14,5,21,36,25,62,41,45,87,322,307,629,22,23,42,40,29,76,406,508,915,215,205,420,7,12,15,8548,9307,17855,68,62,130,53,39,98,8,11,17,6,0,0,21,19,43,23,39,62,49,62,110,5204,4368,9574,29,22,52,13,30,47,5249,4415,9666,1464,1056,2526,15516,15073,30584
10701,219,411,629,4896,6168,11062,0,0,0,315,343,660,63,59,118,9260,10047,19306,41,46,87,2156,2146,4305,138,171,307,54,62,114,125,138,261,48,63,111,106,131,235,352,359,711,584,699,1279,67,111,180,52,72,118,796,1087,1883,1303,1401,2700,28,25,51,20368,23123,43490,190,176,361,1213,1233,2445,14,8,23,11,5,12,33,30,61,99,125,226,144,160,301,14550,13069,27617,119,100,216,44,74,124,14711,13247,27959,2383,2218,4605,39249,40573,79819
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,9
10703,230,427,650,7185,8705,15891,3,0,3,356,443,797,3,0,4,11259,12748,24007,32,39,69,1459,1430,2890,242,311,551,46,64,111,153,213,362,62,50,113,96,116,215,351,388,743,806,978,1780,58,91,155,34,52,93,1156,1554,2707,1249,1395,2642,18,23,35,24564,28607,53179,148,171,319,454,483,940,32,23,59,11,15,25,21,24,51,90,153,245,124,194,318,19555,17801,37350,129,102,237,68,86,157,19750,17996,37746,3125,2914,6042,48441,50814,99254
