SA3_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
10102,38,2167,1155,355,2791,0.8,2290,2.6
10103,43,1408,825,300,2067,0.8,1562,2.3
10104,53,1517,631,320,1466,0.7,1183,2.2
10105,43,1694,744,310,1915,0.7,1449,2.4
10106,44,1699,806,270,2077,0.7,1596,2.5
10201,44,2150,762,400,2103,0.8,1615,2.5
10202,41,1900,692,385,1806,0.8,1422,2.5
10301,39,1733,793,315,2009,0.7,1568,2.5
10302,44,1200,663,220,1605,0.7,1217,2.3
10303,44,1600,667,300,1819,0.7,1332,2.3
10304,38,1700,831,315,2116,0.7,1665,2.5
10401,49,1387,579,310,1399,0.8,1126,2.3
10402,45,1733,676,370,1651,0.8,1336,2.4
10501,40,1000,707,180,1717,0.8,1289,2.3
10502,44,867,640,205,1583,0.7,1166,2.2
10503,38,1450,779,280,1845,0.8,1463,2.5
10601,38,1733,727,340,1941,0.8,1604,2.6
10602,36,1862,812,375,2112,0.8,1792,2.7
10603,48,1733,657,360,1646,0.7,1338,2.4
10604,39,1538,760,290,1970,0.7,1521,2.4
10701,40,2000,674,365,1899,0.8,1494,2.6
10702,38,1595,1749,270,3249,0.6,3249,2.5
10703,41,2167,750,430,2030,0.8,1689,2.6
10704,39,2189,806,400,2319,0.8,1796,2.5
10801,56,1517,561,330,1327,0.7,1014,2.1
10802,49,1330,539,300,1331,0.8,1037,2.3
10803,46,1400,961,310,1942,0.9,1699,2.2
10804,49,1733,647,375,1576,0.7,1264,2.3
10805,51,1430,568,300,1361,0.7,1092,2.3
10901,40,1430,770,265,1897,0.7,1428,2.4
10902,44,1179,716,200,1745,0.8,1351,2.4
10903,50,1285,655,235,1591,0.7,1208,2.3
11001,39,1408,715,280,1810,0.7,1383,2.3
11002,48,1100,554,240,1352,0.7,1020,2.3
11003,39,1300,804,220,1942,0.8,1523,2.5
11004,39,1500,746,300,1818,0.7,1412,2.4
11101,42,2000,781,370,2122,0.8,1655,2.5
11102,42,1900,727,380,1930,0.8,1562,2.5
11103,37,1962,843,400,2240,0.8,1740,2.4
11201,46,1980,741,450,1852,0.8,1461,2.4
11202,45,1452,641,300,1571,0.8,1224,2.4
11203,47,1872,658,400,1663,0.8,1296,2.4
11301,38,1300,794,250,1896,0.8,1535,2.6
11302,45,1300,686,230,1686,0.8,1308,2.4
11303,38,1430,781,280,1928,0.7,1486,2.5
11401,48,1733,634,350,1535,0.7,1248,2.3
11402,48,2167,794,430,2095,0.7,1673,2.4
11501,41,3000,982,580,2964,0.8,2732,3
11502,44,3000,905,520,2762,0.8,2541,3.1
11503,41,2308,889,430,2375,0.8,2230,2.9
11504,34,3000,1109,600,3037,0.8,2964,3.3
11601,36,2167,774,400,2083,0.9,1887,2.9
11602,33,2700,1072,540,2792,0.9,2722,3.3
11603,33,2000,680,350,1822,0.9,1637,3.1
11701,33,2600,949,550,2383,1.1,2064,2.5
11702,36,2800,1159,495,2964,1,2276,2.3
11703,34,2705,1244,550,3065,1.1,2222,1.9
11801,37,3600,1517,670,4022,0.9,2984,2.3
11802,37,3033,1121,550,3009,1,2305,2.4
11901,36,2240,615,425,1831,1,1595,3.1
11902,36,2167,634,390,1721,1.1,1524,2.9
11903,39,2466,763,440,2149,1,1906,2.8
11904,37,2383,834,480,2187,1,1923,2.6
12001,39,3000,1124,560,2899,1,2380,2.5
12002,40,3500,1482,600,3974,0.9,2919,2.3
12003,35,2436,891,465,2371,1,2046,2.5
