SA3_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
11101,1689,473,3617,20399,30125,14693,9460,24172,4727,103573
11102,1351,380,2625,12928,19320,9594,6934,17338,3614,69737
11103,2260,852,4635,32708,44186,17967,10646,35547,8533,149592
11201,1261,383,2598,14591,21452,10168,6561,14601,6217,73582
11202,881,324,1893,10526,16393,8030,5842,13193,5370,59349
11203,1930,646,3844,15099,22152,10936,7229,19559,6331,81307
11301,630,223,1286,7145,9245,4268,3297,11889,3896,39743
11302,212,43,398,2079,2996,1573,1285,3078,1163,12182
11303,1309,344,2566,15488,21363,9696,6911,19975,6293,79734
11401,1724,418,3504,15479,24692,12815,9575,21496,6962,91019
11402,702,314,1765,8195,12850,6946,4778,8597,2517,43894
11501,1676,659,3603,25397,35622,18440,12619,28253,4221,124552
11502,374,72,729,4497,6269,3539,2972,4701,945,22921
11503,134,17,307,3604,5851,3335,2729,3877,876,20268
11504,147,91,389,8634,12230,5890,4397,9934,1574,42659
11601,1299,232,2220,18635,25430,12655,10964,39309,7652,114649
11602,432,58,727,18960,28389,14085,10697,28722,5947,106805
11603,822,259,1395,13148,17091,7996,8207,34460,7562,88464
11701,383,148,844,9871,12198,4650,3095,16764,3324,49894
11702,465,151,958,11110,15989,5420,2673,9604,2706,47505
11703,922,396,2059,47115,59995,15950,7493,54949,15619,201122
11801,1132,772,3169,27498,33265,11433,6409,22186,7024,107824
11802,1391,735,3371,25978,33193,12599,7023,26864,7914,113575
11901,2067,795,4204,23317,29050,14559,13866,54581,11575,146943
11902,1504,560,3146,18072,22746,11095,10236,42958,9727,114838
11903,1697,640,3652,19789,26176,13150,9710,35875,6197,110895
11904,1759,744,3801,21911,29256,12893,9451,41608,8536,123659
12001,995,369,2206,15161,21178,9133,5690,18091,3515,72771
12002,379,134,827,10472,16927,6487,2952,7344,2207,46391
12003,2134,471,3968,26523,36480,15046,9689,43917,8159,139818
12101,1209,327,2698,20820,29795,12938,7756,20623,3815,95751
12102,908,262,1864,13980,21386,10639,6607,15269,2357,70237
12103,1749,415,4145,21452,30394,16098,10060,19207,2939,100149
12104,876,251,2136,20013,28293,10025,5108,14581,3694,81717
12201,379,55,891,8703,11850,4800,2551,6167,1381,35449
12202,698,404,1863,11268,16503,7961,4771,8992,2551,52040
12203,2157,513,4481,28822,39201,17162,10158,27056,4938,127337
12301,537,149,991,11524,16032,7483,5602,13375,2126,56141
12302,903,467,1982,23093,32200,15240,14057,44758,9533,138878
12303,254,184,708,6909,9898,5076,4299,7662,2080,35926
12401,819,198,1757,12304,21021,10999,7135,10458,2413,64330
12402,0,0,0,0,0,0,3,0,0,8
12403,931,398,2024,24008,33801,15342,12156,32450,7324,125085
12404,466,119,829,5627,8025,3652,3124,7699,2984,31115
12405,280,154,628,7539,10136,4714,4311,14466,3560,44725
12501,596,180,1092,13304,16712,7139,6446,35349,8073,87030
12502,712,110,1477,11012,14885,7697,5925,17140,2864,59519
12503,1354,618,2852,18620,23452,11448,11400,51326,13003,129241
12504,1236,331,2452,19824,29809,14376,10491,40223,8508,123226
12601,510,114,1209,8867,12729,6777,4296,10214,1520,44393
12602,1706,721,3920,24188,34156,15395,10129,33083,6271,123220
12701,605,197,1179,18073,23006,10930,10690,39202,6520,108424
12702,2274,751,4051,23006,26496,12997,13334,73424,11346,160601
12703,1021,469,1966,17028,22033,10561,9790,38780,8226,106411
12801,1720,487,3890,20809,28516,13230,8605,21768,4290,97216
12802,998,615,2542,19035,27718,13383,8515,18120,3202,89982
19797,0,0,0,0,0,0,0,0,0,0
19999,23,19,49,1561,1512,614,402,2643,3376,10112
20101,1375,461,2878,18874,27021,12061,8467,22468,5413,94299
20102,292,137,689,4607,7474,3925,2948,4903,2075,25926
20103,410,103,750,3647,5497,3135,2583,5465,2299,22630
20201,1358,425,2812,16664,23534,10617,7600,20168,5052,83646
20202,552,303,1340,7691,13013,7082,4982,7180,3850,43799
20203,167,84,371,1723,2460,1337,1225,2279,1236,10254
20301,153,57,307,3414,5087,2676,2093,3205,1096,17578
20302,2726,650,5340,35070,48526,21476,14880,44168,10766,174895
20303,1010,390,2302,14914,24078,11802,7454,13648,4319,76217
20401,864,192,1622,8966,13660,6704,5209,11473,4377,50389
20402,791,231,1632,7308,11227,5605,4143,9233,2995,40503
20403,876,216,1745,11753,17953,8610,5953,13850,4263,62386
20501,692,168,1359,9008,13035,6420,5091,10248,2986,46790
20502,665,278,1518,6728,10847,6157,4919,9191,3684,41521
20503,985,334,2074,10493,16816,9267,6914,12082,4628,60212
20504,1006,299,1948,10841,16165,7970,6492,16837,5202,63505
20505,515,149,1036,6469,9737,5088,4176,8523,3794,37785
20601,970,136,1854,19423,26922,8656,4470,15642,3134,78253
20602,543,169,1182,11067,16210,5634,2756,7692,1889,45248
20603,794,129,1461,13434,18015,6751,3827,13366,2941,58337
20604,648,158,1188,31639,37968,9765,4788,43962,11377,139506
20605,593,307,1468,22656,29533,8536,4273,18707,6622,90328
20606,550,222,1438,15471,18176,4993,2643,12060,3665,57008
20607,657,109,1288,22206,28684,7670,3453,14745,4619,81376
20701,2400,434,4961,33713,43951,18979,10709,28507,5101,140967
20702,1898,296,3807,16497,21149,10497,7450,23950,3126,82669
20703,1622,362,3502,19218,25199,11043,6640,24577,4338,91012
20801,1615,394,3422,19491,26172,11819,6407,16324,3409,83632
20802,2150,412,4193,29907,39842,15369,8555,30094,5454,129212
20803,1764,284,3404,22586,31066,12613,7261,23283,4157,100957
20804,667,144,1307,8642,11104,4379,2495,7645,1413,35686
20901,1759,267,3400,22249,31975,13958,8608,23004,4015,103806
20902,1293,421,2765,16330,22526,8485,5775,22946,4907,80966
20903,476,85,906,11851,17155,8564,5318,9784,1991,54668
20904,1849,524,3439,35828,46209,20513,17563,66683,10929,197728
21001,1137,139,2104,10363,13653,6255,4550,14187,2058,51071
21002,162,83,418,5361,7747,4190,2999,4364,1434,26094
21003,1423,359,2805,12072,16807,6767,5249,20580,4321,65794
21004,364,57,689,7642,10393,4563,3400,8648,1745,36390
21005,1079,201,1797,24405,30121,13314,13306,65031,10690,156874
21101,1859,428,3539,28165,37016,16253,11058,34366,5175,132024
21102,437,63,749,4766,6325,3275,2181,4690,726,21966
21103,1257,503,2874,20359,28137,12293,7560,21413,3899,93662
21104,898,325,1983,10814,15011,6904,4253,12814,2213,52005
21105,1336,204,2672,26241,38366,17909,12259,26040,5538,126350
21201,761,238,1493,18529,25086,11103,8604,22840,5378,91543
21202,1352,274,2428,21621,27062,11967,9362,34097,6346,110454
21203,1080,172,1779,31357,40062,17519,14557,58913,9330,171741
21204,2612,348,4396,27125,31549,14054,11267,66182,10584,160760
21205,2937,734,5990,31115,39475,18206,12117,45558,7961,154433
21301,1918,424,3377,25401,30126,13427,11736,61384,11660,153723
21302,1106,172,2064,14296,20724,8673,5613,17581,3519,70407
21303,682,210,1348,15069,21245,7466,4382,19238,4547,71946
21304,935,166,1565,27081,34824,15582,13835,48384,11099,150806
21305,1096,257,1904,37545,51878,23863,20144,72602,15834,221868
21401,1482,541,3017,23213,32043,13398,9077,28744,6968,113444
21402,2748,976,6029,27409,40190,20216,13365,31060,9188,141435
21501,967,346,2123,8893,12764,6457,5433,12249,4673,50466
21502,824,200,1526,8053,11251,5472,4326,13130,4197,46427
21503,609,208,1297,5443,7609,3851,3218,8438,3079,31652
21601,604,233,1276,5782,8340,4178,3292,8022,2640,32243
21602,561,149,1050,4540,6329,3224,2497,6776,2112,25470
21603,847,211,1648,9792,13431,6180,4999,15782,4838,55021
21701,645,136,1184,5522,8173,4283,3433,7282,2181,30877
21703,580,170,1171,6042,8208,4393,3550,7464,2451,32101
21704,637,242,1445,8517,12057,5954,4148,9647,2964,43291
29797,0,0,0,0,3,0,0,8,27,38
29999,12,17,29,1148,1118,391,326,1694,3270,7946
30101,559,348,1362,12922,18034,8128,5166,12803,2657,59707
30102,1133,451,2536,15941,22484,10938,7053,16988,3833,77236
30103,655,231,1455,12942,18501,7736,4692,12023,2514,58407
30201,571,93,1113,8221,11807,5019,3199,7801,1257,37301
30202,999,410,2304,13544,19375,7707,4550,13110,3099,61382
30203,406,97,804,8276,11234,4108,2367,8230,1825,36039
30204,708,208,1453,10148,14774,6281,3887,12239,2393,49725
30301,545,85,1100,10458,14331,5895,3376,8602,1496,44153
30302,776,179,1479,16982,22234,7446,3814,14300,3263,68050
30303,768,139,1501,13599,17519,7762,5174,17384,2985,64422
30304,393,64,781,7089,10061,4130,2417,7369,1489,32561
30305,490,106,830,10186,13279,6012,4528,16136,2599,52733
30306,538,53,856,7932,9465,4411,3388,13499,2187,40881
30401,453,26,717,5804,8742,3945,2307,5239,666,26697
30402,562,131,1169,8146,12482,6167,3736,6101,1040,37665
30403,341,125,910,11673,13942,5536,3145,9333,1831,45471
30404,616,81,1171,9566,14366,6345,3523,7741,1500,43040
30501,460,155,934,20069,23524,6138,3302,20595,6674,80307
30502,249,47,513,9191,12522,4203,2362,6537,1793,36605
30503,724,130,1381,22568,27596,8952,4656,18012,4722,86501
30504,295,85,680,13399,17214,6128,3131,8634,1874,50378
30601,317,134,690,9794,14221,5898,3645,9872,3129,46563
30602,872,270,1698,16242,21616,8676,6124,22923,9873,85466
30603,412,105,815,5695,6752,3362,3012,6933,3146,28898
30604,82,25,182,1861,2763,1244,931,2271,1344,10420
30605,502,208,1113,6035,8978,4750,4049,7609,4003,35427
30701,338,173,806,6418,8518,3870,3421,8463,4320,35017
30702,538,178,1059,6227,8480,4205,3755,8361,3266,34306
30703,555,133,1128,6065,8826,4748,4003,7716,2960,34310
30801,78,48,191,4347,5515,2298,2085,4885,2881,22006
30803,1217,419,2528,17856,25429,11699,8890,24176,9540,97589
30804,105,55,266,2063,2754,1275,1201,2517,1643,11455
30805,327,113,679,9073,13653,6144,5181,11663,4153,49868
30901,782,209,1638,12763,15730,6245,3693,14025,4357,56813
30902,649,349,1599,10340,13826,5849,3614,11173,3319,48116
30903,1226,253,2187,11518,15738,6802,4507,17454,4203,60225
30904,108,32,299,3008,4971,2624,1937,2879,1217,16639
30905,269,59,494,5883,8245,3919,2697,5869,1434,28056
30906,574,209,1209,11559,15792,7049,4730,13861,3130,56121
30907,767,279,1519,25394,34212,14828,10666,29072,7534,121701
30908,610,422,1434,9627,12156,5152,3268,11698,2765,44672
30909,924,410,1834,11532,13495,5323,3720,16682,4810,55566
30910,348,137,849,8080,9649,3820,2351,11647,4660,40202
31001,654,116,1188,11125,14532,5927,4481,19444,7064,62567
31002,454,238,1095,9429,13982,7292,6368,12389,5481,54943
31003,929,305,1966,17586,25653,11283,8369,22910,5608,91408
31004,237,48,489,15001,20867,8594,6667,21406,4812,77349
31101,178,84,369,2014,2885,1521,1278,3092,1205,11994
31102,421,65,735,6762,9360,4060,3077,10454,3052,36771
31103,520,88,857,13110,16961,7374,6074,22409,5453,71382
31104,197,38,355,8875,12953,6048,4660,10979,2786,46301
31105,602,204,1122,9897,13538,5884,4305,13850,3603,51076
31106,606,155,1057,11526,15159,6609,5223,18542,4967,62023
31201,198,54,371,4628,6455,2629,2305,6816,5817,28659
31202,978,319,1979,18280,25523,10995,9013,23139,10237,97190
31203,125,22,240,3815,4985,2123,1501,4564,2487,19478
31301,595,198,1366,5184,8759,4988,3707,8268,1974,32888
31302,839,203,1422,11709,15689,7219,5909,17580,4480,62586
31303,124,27,232,1880,2790,1503,1330,2574,2416,12488
31304,522,132,987,11199,15136,7011,5110,13332,3080,54869
31305,1077,265,2068,10568,15005,6719,4451,13865,3356,53964
31401,432,67,911,15826,23367,10840,6791,12126,2198,71148
31402,516,225,1070,14285,19599,7867,5806,16183,3413,67150
31403,328,35,546,6762,9101,3875,2797,7803,1579,31916
31501,77,20,150,5008,5220,2109,2141,5647,4451,24572
31502,91,39,197,4554,5645,2063,1677,6394,3172,23511
31503,196,57,389,2629,3527,1324,1189,3652,1748,14067
31601,800,267,1772,10139,14225,6712,4261,10093,2628,48055
31602,1447,424,2999,16285,22882,10782,6894,18374,4620,79832
31603,928,321,1834,11438,15927,6612,3958,12937,4122,54990
31605,663,207,1406,7458,11590,5703,3430,8398,2366,38945
31606,513,109,1132,8880,14211,7533,5664,9200,3112,48597
31607,569,121,1094,7514,11885,5813,4169,8725,2270,40374
31608,155,95,435,3544,5834,3385,2558,3528,1357,20202
31701,2013,425,3892,25956,36164,16175,11776,32464,7683,130221
31801,606,182,1213,5892,7806,3999,3482,9048,3870,34094
31802,1346,350,2648,30618,43033,17422,12137,38396,14239,155844
31901,1394,293,2632,13432,19678,10083,8129,21249,5735,78306
31902,591,163,1198,6588,9730,5195,4996,10378,4417,41299
31903,635,133,1204,7826,11293,6210,5307,10243,3468,44348
31904,1043,341,2069,9057,13886,7125,5544,14314,3745,53674
31905,617,132,1159,6451,9689,5442,4894,10333,3816,40629
39797,0,0,0,6,6,3,0,34,135,183
39999,24,11,44,2216,2411,933,689,3525,3463,13234
40101,200,75,425,5442,6295,1839,902,7052,2053,23578
40102,703,126,1498,13941,21289,10131,6632,9867,2935,64794
40103,732,81,1609,8802,11939,5714,3160,7668,998,38283
40104,969,175,1935,9634,13135,5906,3824,12039,1666,46199
40105,677,118,1377,7325,9993,4077,2186,7278,1294,32147
40106,422,55,818,5667,7888,3413,1743,5569,960,25238
40107,935,117,1572,7563,10563,4561,2278,6727,956,32648
40201,427,130,935,6171,8894,4093,2877,7297,1482,30811
40202,890,262,1676,14578,19030,8266,6881,23270,5154,77184
40203,860,111,1573,12219,16428,6848,4931,18827,3729,62976
40204,1310,319,2497,22352,28605,12406,9560,37584,5806,116301
40205,1302,186,2446,17017,24057,10816,6888,18648,2649,80083
40301,802,95,1482,7021,9839,4094,2101,6797,1227,31076
40302,1520,188,2788,17504,24441,10154,6240,19509,2935,80798
40303,1065,148,2205,12337,18086,8449,4477,9961,1604,54914
40304,1973,450,3902,30505,43657,19646,12983,31768,6647,145208
40401,2047,234,3676,21375,28526,12055,7568,26646,4262,100427
40402,886,97,1466,10281,14078,5630,3672,15247,2542,51451
40403,1256,137,2385,12214,16254,6417,4011,14617,2137,55643
40501,465,78,872,6349,9253,4652,3295,5852,1685,31084
40502,377,60,658,3446,5151,2657,2225,4040,1351,18864
40503,424,87,826,3707,5826,2964,2588,5790,1689,22565
40504,455,152,948,3717,5805,3380,2775,5421,1874,22965
40601,713,176,1385,8102,12445,6191,4692,11224,3886,46538
40602,171,53,367,3437,5032,2283,1658,5419,2911,20736
40701,1050,216,2144,8425,13824,7809,5487,9654,2765,47972
40702,832,255,1750,10438,15168,7423,5318,12174,4640,55163
40703,1080,227,2096,10654,15371,8044,5951,14477,5261,59757
49797,0,0,0,0,0,0,0,4,5,12
49999,4,0,11,491,536,178,137,868,763,2975
50101,610,143,1332,9213,13366,6568,4827,8946,3401,46314
50102,874,389,2133,16316,23578,11034,9280,20132,6482,86826
50103,244,49,508,3406,5267,2905,2572,4028,1743,19922
50201,1394,503,3095,15535,22564,11003,9693,23669,6346,88811
50301,838,250,2184,14972,17611,8048,5078,10928,2687,59324
50302,1171,277,2226,23694,28880,9187,5379,21783,6617,95536
50401,969,220,1949,15206,20337,7845,5398,18092,3838,70713
50402,338,163,870,6998,9912,4687,3656,7226,3897,36378
50403,838,225,1678,23786,30122,12109,10148,32867,6945,115971
50501,1385,252,2794,29682,39267,17333,11331,27997,5052,130669
50502,2731,510,5514,38653,47908,18608,12759,44835,9794,172558
50503,1299,417,2616,34289,42740,17457,13595,45678,8764,162511
50601,478,146,1006,14130,18991,8143,6972,19490,4369,72096
50602,614,185,1318,14084,17383,5882,4075,17541,4817,63786
50603,959,433,2191,17055,20424,8738,6753,23841,4673,81486
50604,940,296,1869,18898,23591,10152,8748,31561,7145,100107
50605,588,145,1292,9854,13520,6082,4655,10822,2469,47399
50606,130,26,249,4789,6541,2789,2646,5772,1673,24215
50607,560,251,1233,8994,11186,4109,2572,8211,2128,37202
50701,782,329,1782,20322,26233,10277,7820,23621,4960,93241
50702,566,155,1107,7919,10701,4050,2477,6545,2254,33939
50703,227,35,416,6575,8751,3582,3234,9983,3329,35457
50704,1504,368,3363,20235,25989,11548,7786,18435,3776,87766
50705,919,388,2083,20833,27961,12048,9987,28055,7364,106248
50901,688,216,1644,9647,13975,6943,5525,10366,4318,50772
50902,508,187,1196,8011,11336,5661,5371,10540,5727,46644
50903,193,96,471,3061,4079,1950,1716,3273,1781,15859
51001,71,37,139,5877,6604,2381,1626,5663,4732,26876
51002,16,3,39,3336,4285,1509,1286,5305,4272,19985
51003,9,3,19,4005,5576,2059,1689,4621,4277,22223
51101,128,34,315,2553,3401,1554,1238,2662,1443,12856
51102,37,20,90,1454,2018,782,614,1743,1180,7794
51103,130,33,236,5381,7221,2870,2177,7833,4804,30285
51104,470,202,1108,7686,11241,5156,4430,10289,5877,44672
59797,0,0,0,33,21,10,15,214,222,516
59999,10,23,30,870,963,339,278,1476,3362,7285
60101,90,17,186,2866,3883,1732,1357,4447,909,15191
60102,815,180,1630,10032,14866,6424,3907,10999,2730,48955
60103,733,140,1395,9213,12659,5179,3831,14703,2721,48304
60104,337,50,756,6808,9515,4372,2521,5670,1035,29928
60105,659,113,1331,11466,15246,5786,2780,10137,2393,47808
60106,171,44,336,3001,4492,2180,1463,3213,968,15312
60201,1222,276,2357,14305,20133,8649,5836,19659,3890,72482
60202,211,42,474,3705,5690,2866,2429,4379,1296,20367
60203,438,151,912,5629,8689,4758,3761,8106,2387,33327
60301,73,25,148,1805,2750,1370,1127,2406,914,10374
60302,163,84,388,3171,5382,2905,2045,3259,1332,18097
60303,91,25,200,1070,1836,974,848,1501,587,6825
60401,752,131,1386,7419,11216,5483,4354,10678,2478,41625
60402,606,159,1196,7234,10619,5361,3951,10758,2482,40404
60403,152,51,306,2502,3646,2021,1643,3481,1370,14662
69797,0,0,0,0,0,0,0,13,8,19
69999,0,0,3,216,217,80,47,353,324,1248
70101,78,49,182,5585,6385,1989,1047,5894,2436,23342
70102,198,56,397,8627,11820,4711,3086,11258,3799,43305
70103,40,15,97,3144,4583,1983,1424,3104,2955,17179
70104,96,20,159,5436,7995,2778,1933,6831,2805,27783
70201,114,29,202,6614,7304,2902,1606,6975,3278,28672
70202,3,0,14,889,1025,595,170,879,473,4031
70203,10,8,31,2793,3128,1282,985,2607,1467,12263
70204,8,0,15,2138,2603,1213,701,1774,1202,9636
70205,29,6,64,3258,3410,1456,1243,2826,2156,14343
79797,0,0,0,9,14,6,4,47,25,94
79999,4,0,7,480,399,152,120,687,1217,3052
80101,721,128,1667,19372,28301,11315,6045,18210,3561,86802
80103,5,0,16,230,295,100,63,333,747,1772
80104,150,20,374,15021,21198,8068,4650,15872,2643,67456
80105,417,124,1069,14234,18753,5737,2308,9357,3468,53862
80106,356,128,842,6903,9563,3436,1507,4078,1772,27253
80107,519,191,1281,16093,23909,9722,5588,14304,2654,72279
80108,281,80,683,4211,6804,3115,1556,3278,863,19823
80109,526,72,1221,7288,10819,4412,2243,6384,1366,32513
80110,8,0,22,2027,3006,1002,593,1796,348,8770
80111,0,0,4,110,157,76,28,58,41,474
89797,0,0,0,0,0,0,0,0,0,0
89999,0,0,4,123,123,39,17,138,126,560
90101,0,0,4,198,275,116,79,309,423,1406
90102,5,0,11,71,85,22,19,176,89,467
90103,0,0,0,44,40,13,28,40,80,246
90104,15,7,50,312,558,279,192,290,216,1839
99797,0,0,0,0,0,0,0,0,0,0
99999,0,0,0,6,3,0,0,0,8,11
