SA3_CODE_2021,M_15_19_yr_Volunteer,M_15_19_yr_N_a_volunteer,M_15_19_yr_Voluntary_work_ns,M_15_19_yr_Tot,M_20_24_yr_Volunteer,M_20_24_yr_N_a_volunteer,M_20_24_yr_Voluntary_work_ns,M_20_24_yr_Tot,M_25_34_yr_Volunteer,M_25_34_yr_N_a_volunteer,M_25_34_yr_Voluntary_work_ns,M_25_34_yr_Tot,M_35_44_yr_Volunteer,M_35_44_yr_N_a_volunteer,M_35_44_yr_Voluntary_work_ns,M_35_44_yr_Tot,M_45_54_yr_Volunteer,M_45_54_yr_N_a_volunteer,M_45_54_yr_Voluntary_work_ns,M_45_54_yr_Tot,M_55_64_yr_Volunteer,M_55_64_yr_N_a_volunteer,M_55_64_yr_Voluntary_work_ns,M_55_64_yr_Tot,M_65_74_yr_Volunteer,M_65_74_yr_N_a_volunteer,M_65_74_yr_Voluntary_work_ns,M_65_74_yr_Tot,M_75_84_yr_Volunteer,M_75_84_yr_N_a_volunteer,M_75_84_yr_Voluntary_work_ns,M_75_84_yr_Tot,M_85ov_Volunteer,M_85ov_N_a_volunteer,M_85_ov_Voluntary_work_ns,M_85ov_Tot,M_Tot_Volunteer,M_Tot_N_a_volunteer,M_Tot_Voluntary_work_ns,M_Tot_Tot,F_15_19_yr_Volunteer,F_15_19_yr_N_a_volunteer,F_15_19_yr_Voluntary_work_ns,F_15_19_yr_Tot,F_20_24_yr_Volunteer,F_20_24_yr_N_a_volunteer,F_20_24_yr_Voluntary_work_ns,F_20_24_yr_Tot,F_25_34_yr_Volunteer,F_25_34_yr_N_a_volunteer,F_25_34_yr_Voluntary_work_ns,F_25_34_yr_Tot,F_35_44_yr_Volunteer,F_35_44_yr_N_a_volunteer,F_35_44_yr_Voluntary_work_ns,F_35_44_yr_Tot,F_45_54_yr_Volunteer,F_45_54_yr_N_a_volunteer,F_45_54_yr_Voluntary_work_ns,F_45_54_yr_Tot,F_55_64_yr_Volunteer,F_55_64_yr_N_a_volunteer,F_55_64_yr_Voluntary_work_ns,F_55_64_yr_Tot,F_65_74_yr_Volunteer,F_65_74_yr_N_a_volunteer,F_65_74_yr_Voluntary_work_ns,F_65_74_yr_Tot,F_75_84_yr_Volunteer,F_75_84_yr_N_a_volunteer,F_75_84_yr_Voluntary_work_ns,F_75_84_yr_Tot,F_85ov_Volunteer,F_85ov_N_a_volunteer,F_85_ov_Voluntary_work_ns,F_85ov_Tot,F_Tot_Volunteer,F_Tot_N_a_volunteer,F_Tot_Voluntary_work_ns,F_Tot_Tot,P_15_19_yr_Volunteer,P_15_19_yr_N_a_volunteer,P_15_19_yr_Voluntary_work_ns,P_15_19_yr_Tot,P_20_24_yr_Volunteer,P_20_24_yr_N_a_volunteer,P_20_24_yr_Voluntary_work_ns,P_20_24_yr_Tot,P_25_34_yr_Volunteer,P_25_34_yr_N_a_volunteer,P_25_34_yr_Voluntary_work_ns,P_25_34_yr_Tot,P_35_44_yr_Volunteer,P_35_44_yr_N_a_volunteer,P_35_44_yr_Voluntary_work_ns,P_35_44_yr_Tot,P_45_54_yr_Volunteer,P_45_54_yr_N_a_volunteer,P_45_54_yr_Voluntary_work_ns,P_45_54_yr_Tot,P_55_64_yr_Volunteer,P_55_64_yr_N_a_volunteer,P_55_64_yr_Voluntary_work_ns,P_55_64_yr_Tot,P_65_74_yr_Volunteer,P_65_74_yr_N_a_volunteer,P_65_74_yr_Voluntary_work_ns,P_65_74_yr_Tot,P_75_84_yr_Volunteer,P_75_84_yr_N_a_volunteer,P_75_84_yr_Voluntary_work_ns,P_75_84_yr_Tot,P_85ov_Volunteer,P_85ov_N_a_volunteer,P_85_ov_Voluntary_work_ns,P_85ov_Tot,P_Tot_Volunteer,P_Tot_N_a_volunteer,P_Tot_Voluntary_work_ns,P_Tot_Tot
10304,258,1578,132,1972,142,1345,125,1613,393,2930,223,3547,577,2744,228,3555,654,2790,242,3684,530,2785,219,3535,644,2234,206,3082,332,1231,130,1692,52,439,62,557,3580,18076,1569,23224,302,1403,121,1824,196,1287,107,1595,500,3248,230,3976,771,2901,227,3898,752,2900,212,3869,687,2900,190,3783,815,2256,190,3261,385,1368,167,1919,66,659,134,856,4465,18930,1582,24976,555,2984,256,3796,339,2637,231,3212,888,6179,453,7524,1352,5639,457,7452,1408,5691,456,7551,1213,5692,414,7318,1455,4487,396,6343,717,2598,294,3612,115,1103,198,1414,8050,37006,3154,48201
10401,158,1158,143,1457,101,916,214,1236,206,1854,560,2621,370,1842,478,2681,426,2322,377,3118,671,3093,354,4112,747,3189,261,4194,363,1753,170,2291,50,563,70,681,3086,16690,2627,22403,161,969,124,1256,105,915,103,1123,294,1989,257,2542,507,1898,258,2665,559,2535,245,3340,806,3144,260,4209,969,2890,231,4093,466,1741,192,2399,76,866,133,1070,3947,16944,1804,22697,319,2125,268,2715,205,1829,323,2356,498,3846,820,5158,877,3743,734,5351,986,4850,620,6459,1479,6239,610,8325,1707,6085,488,8287,827,3495,364,4693,126,1431,203,1754,7031,33638,4427,45096
10402,300,2132,202,2637,183,1734,143,2053,448,3949,396,4791,694,3968,378,5048,920,4205,391,5521,1031,4683,361,6080,1237,4487,325,6049,505,2378,274,3164,82,829,164,1075,5418,28365,2642,36422,328,2059,200,2598,207,1618,134,1955,595,4107,377,5075,1052,4164,360,5577,1174,4625,334,6134,1279,5238,328,6847,1510,4458,348,6315,689,2581,363,3642,93,1232,317,1641,6931,30089,2760,39775,639,4196,402,5235,390,3351,274,4012,1043,8060,773,9868,1746,8130,747,10621,2092,8827,729,11650,2317,9923,689,12929,2752,8936,670,12358,1196,4961,643,6806,174,2061,485,2720,12347,58455,5398,76197
10501,65,426,126,621,39,435,94,572,147,909,230,1287,178,706,213,1096,231,835,208,1275,280,1087,261,1630,192,889,213,1294,83,457,134,681,21,124,28,169,1245,5866,1512,8629,72,395,119,588,55,388,102,547,190,1057,236,1481,256,691,232,1169,283,827,231,1349,304,955,230,1483,220,653,184,1056,125,412,145,686,24,190,68,280,1529,5566,1550,8639,141,821,245,1209,99,824,198,1114,337,1963,469,2771,429,1393,442,2273,512,1664,447,2620,587,2042,493,3117,412,1541,405,2353,215,870,276,1362,39,314,95,451,2776,11428,3064,17273
10502,56,445,83,581,33,426,73,532,108,922,136,1173,134,781,127,1043,167,886,115,1171,219,1079,110,1410,242,937,113,1286,105,450,63,614,14,167,36,218,1080,6100,853,8029,57,403,59,521,44,384,57,481,123,1025,131,1282,170,813,115,1099,169,887,105,1154,254,1121,111,1484,267,870,91,1224,123,563,103,793,22,297,86,398,1215,6358,860,8435,113,845,141,1105,71,815,127,1011,236,1945,267,2451,302,1593,242,2139,331,1768,222,2321,470,2204,220,2889,511,1804,198,2510,224,1012,167,1405,30,468,122,618,2299,12452,1714,16461
10503,226,1673,301,2198,160,1479,294,1929,466,3834,814,5121,673,2898,638,4198,698,2928,540,4168,727,3326,470,4523,713,2746,380,3836,414,1566,255,2234,54,530,127,719,4134,20976,3820,28930,305,1496,223,2025,189,1529,203,1920,567,4044,538,5149,894,2983,489,4368,860,3067,419,4349,877,3411,405,4699,924,2642,358,3926,558,1624,319,2498,108,800,171,1076,5279,21601,3120,30004,536,3173,520,4228,344,3008,496,3849,1031,7886,1353,10267,1563,5880,1126,8568,1558,6000,961,8515,1604,6741,878,9219,1638,5389,737,7765,973,3193,572,4733,168,1336,294,1794,9414,42586,6937,58936
10601,269,2682,262,3213,195,2502,360,3067,421,5400,852,6673,675,4688,726,6088,677,4939,571,6188,702,4988,466,6155,736,3955,351,5042,312,1859,206,2380,41,538,49,630,4034,31559,3843,39432,278,2336,206,2826,214,2357,153,2727,633,5544,335,6514,1037,4635,297,5967,885,5003,293,6182,923,4941,255,6114,949,3783,230,4965,309,1930,186,2432,59,909,113,1083,5280,31445,2078,38796,544,5020,470,6037,410,4862,520,5789,1053,10948,1187,13192,1714,9320,1022,12058,1563,9940,863,12364,1623,9932,720,12270,1684,7745,578,10008,626,3791,394,4808,100,1449,164,1710,9314,63003,5916,78236
10602,217,2344,132,2699,203,2312,110,2630,415,5326,299,6042,592,4841,274,5708,588,4303,198,5092,483,3830,183,4497,538,3059,154,3747,255,1552,98,1904,26,424,64,516,3320,27994,1527,32838,290,2242,106,2632,261,2285,111,2664,544,5659,263,6471,820,4925,257,5998,734,4595,166,5498,625,4232,163,5021,678,3274,162,4114,296,1812,146,2259,37,769,128,934,4291,29793,1503,35586,508,4585,235,5332,469,4604,227,5291,961,10981,570,12511,1411,9770,531,11711,1324,8896,366,10592,1108,8064,345,9515,1219,6330,314,7868,552,3364,248,4163,66,1191,193,1452,7607,57786,3032,68430
10603,228,1929,154,2310,114,1626,96,1839,250,2915,237,3399,463,3003,214,3682,577,3716,248,4539,732,4478,273,5492,1030,4375,295,5701,593,2624,280,3497,86,660,119,862,4081,25340,1899,31322,240,1678,114,2035,178,1440,97,1719,357,2915,190,3458,706,3062,185,3951,739,3884,206,4826,932,4654,223,5811,1229,4455,298,5983,625,2639,305,3566,65,957,217,1241,5070,25685,1834,32588,467,3611,267,4341,287,3065,194,3549,607,5823,419,6854,1168,6066,399,7634,1323,7603,449,9372,1666,9136,496,11303,2265,8838,587,11681,1216,5263,588,7066,146,1625,339,2101,9149,51029,3733,63908
10604,87,810,84,975,63,654,81,795,152,1593,234,1981,269,1471,201,1945,289,1485,184,1959,296,1549,154,1991,247,1216,120,1583,141,585,84,814,26,182,40,248,1564,9555,1174,12299,97,728,69,893,60,644,46,749,209,1636,144,1991,383,1370,128,1877,333,1486,125,1944,330,1476,120,1924,301,1107,112,1520,164,637,69,876,38,315,60,409,1910,9393,878,12179,181,1534,156,1876,119,1296,130,1547,360,3231,377,3964,652,2844,323,3823,625,2968,311,3900,621,3025,272,3914,551,2322,233,3104,303,1231,156,1690,58,500,100,659,3472,18952,2052,24478
10701,226,2136,148,2514,178,2137,109,2427,378,4270,267,4915,452,4126,239,4822,507,4106,228,4838,477,4201,191,4871,484,3203,165,3855,210,2013,162,2380,45,706,99,842,2950,26905,1606,31467,249,1943,131,2329,243,1986,107,2337,455,4304,278,5044,660,4175,244,5080,512,4297,189,5005,566,4229,170,4965,544,3421,180,4148,278,2408,191,2873,40,1182,184,1408,3550,27952,1671,33173,474,4083,274,4840,426,4122,211,4757,834,8577,544,9956,1113,8301,482,9897,1021,8406,422,9843,1042,8427,364,9835,1027,6632,345,8003,487,4421,350,5256,87,1882,280,2249,6501,54860,3279,64634
10702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
10703,331,2600,134,3061,208,2495,132,2835,382,4936,274,5586,653,4778,277,5707,752,4922,269,5944,729,5223,240,6198,973,4235,273,5475,430,2355,247,3032,53,720,243,1015,4503,32280,2084,38864,401,2494,133,3027,267,2322,115,2708,518,5188,282,5994,840,5012,254,6107,887,5362,240,6483,899,5764,223,6886,1078,4586,262,5929,456,2664,273,3397,83,1090,289,1455,5433,34471,2078,41983,728,5091,271,6090,473,4817,249,5548,894,10129,553,11578,1491,9792,533,11815,1638,10284,514,12433,1627,10987,464,13081,2053,8820,532,11401,892,5021,527,6432,135,1814,525,2471,9932,66748,4171,80850
10704,651,3264,209,4123,706,4549,312,5571,966,7955,485,9405,1151,6738,373,8266,1391,6576,363,8332,1198,6434,290,7914,1178,4692,270,6138,564,2907,239,3716,80,1079,176,1330,7874,44203,2711,54790,699,3143,230,4072,957,4215,273,5449,1127,7524,413,9059,1516,6721,359,8588,1543,6822,299,8668,1263,6785,265,8314,1283,5201,281,6767,562,3445,334,4342,74,1696,401,2176,9038,45543,2857,57441,1355,6405,435,8196,1670,8764,587,11024,2086,15474,897,18467,2662,13458,732,16854,2938,13394,661,16993,2465,13213,555,16232,2459,9895,548,12909,1125,6359,576,8052,155,2778,575,3503,16913,89745,5568,112228
10801,64,638,80,778,48,467,52,566,98,931,84,1112,166,1085,101,1351,252,1456,146,1857,363,2014,161,2538,582,2329,230,3143,334,1446,164,1951,46,487,96,633,1953,10848,1123,13918,68,577,81,729,63,419,31,514,114,1047,113,1276,262,1127,110,1501,300,1495,113,1910,485,2172,141,2805,631,2366,222,3225,329,1476,213,2017,45,708,218,971,2307,11393,1247,14941,138,1211,161,1509,109,887,85,1078,208,1979,195,2385,431,2215,213,2854,550,2950,261,3760,854,4187,301,5343,1211,4695,455,6366,666,2922,377,3967,88,1196,317,1599,4255,22240,2368,28862
10802,128,1120,202,1451,81,872,210,1161,183,1726,510,2410,318,1634,420,2377,409,2121,314,2845,618,3027,326,3978,767,3146,294,4206,315,1685,160,2165,44,525,67,626,2859,15858,2503,21212,154,1006,165,1326,79,820,93,994,259,1814,249,2324,443,1799,240,2476,503,2300,241,3046,801,3188,286,4275,888,2873,258,4023,399,1624,211,2237,54,766,129,948,3588,16197,1868,21644,283,2131,362,2780,159,1699,301,2153,443,3544,756,4738,763,3430,659,4852,911,4421,557,5892,1420,6216,611,8243,1658,6016,551,8231,712,3310,375,4399,92,1290,195,1579,6442,32051,4372,42862
10803,0,4,0,4,0,4,0,8,6,19,0,29,9,23,4,38,8,13,0,17,17,24,4,39,9,17,9,29,6,12,0,17,3,3,0,11,54,111,20,187,0,4,0,4,0,4,0,4,3,30,4,35,21,11,3,29,3,16,3,25,9,25,9,44,8,14,5,23,4,12,3,22,0,7,0,3,52,121,15,193,0,4,0,4,0,9,0,6,13,51,5,64,27,35,3,69,12,31,0,43,31,47,11,82,18,31,5,56,6,25,9,38,3,5,0,15,110,232,32,379
10804,353,1982,170,2504,214,1556,126,1899,376,3027,237,3643,602,3260,239,4108,810,3869,232,4908,896,4396,265,5551,1286,4803,293,6386,686,3178,245,4104,97,1089,188,1377,5322,27156,1992,34472,481,1817,130,2437,287,1571,115,1967,465,3337,196,3999,843,3496,211,4544,1021,4299,218,5537,1161,5116,256,6528,1585,4915,300,6805,803,3426,360,4585,126,1600,321,2042,6769,29576,2103,38444,841,3800,298,4938,499,3127,241,3865,840,6361,433,7637,1450,6756,448,8655,1829,8173,448,10452,2052,9508,521,12081,2875,9720,596,13190,1485,6603,599,8692,222,2685,507,3414,12097,56728,4095,72918
10805,147,1219,171,1532,112,993,104,1206,218,1932,208,2365,354,1894,194,2445,447,2476,234,3168,697,3283,319,4301,965,3575,332,4867,438,2017,230,2683,52,597,96,749,3441,17983,1882,23313,162,1148,135,1445,102,858,81,1046,290,2070,225,2586,504,2038,212,2754,592,2683,224,3493,866,3614,262,4746,1119,3404,303,4822,480,2063,244,2792,89,931,154,1177,4212,18810,1846,24865,311,2367,305,2978,218,1849,188,2254,509,4002,436,4950,857,3932,413,5203,1044,5155,461,6659,1564,6903,578,9040,2082,6980,629,9693,917,4081,476,5477,142,1530,254,1926,7652,36792,3729,48177
10901,293,1618,179,2092,199,1597,132,1925,426,3344,275,4045,639,2974,274,3885,749,2874,264,3887,789,3045,257,4086,736,2687,207,3622,343,1462,145,1950,57,471,65,596,4216,20064,1802,26082,346,1536,158,2047,255,1592,122,1971,494,3455,244,4191,819,3143,250,4213,844,3119,218,4185,890,3250,241,4386,887,2762,219,3862,449,1668,207,2320,75,837,100,1017,5054,21370,1772,28191,641,3158,335,4132,452,3183,256,3896,915,6801,524,8236,1459,6119,525,8100,1594,5992,481,8069,1680,6298,498,8468,1617,5446,425,7487,794,3124,350,4274,134,1309,168,1611,9271,41437,3574,54274
10902,55,247,69,369,40,271,54,359,80,544,116,738,110,477,110,701,167,564,120,852,186,728,119,1039,160,585,117,860,87,297,48,425,15,92,18,127,896,3794,774,5466,48,220,64,338,36,228,36,292,95,537,101,730,155,421,102,674,190,523,97,815,227,654,100,971,190,466,88,753,103,269,60,434,12,134,21,166,1058,3448,665,5170,105,466,133,706,76,490,87,659,173,1078,217,1475,259,900,211,1369,359,1088,217,1667,411,1383,216,2010,347,1048,207,1606,196,560,107,860,30,221,39,288,1955,7240,1436,10636
10903,201,819,129,1152,119,663,89,867,233,1523,196,1953,411,1356,181,1941,533,1738,215,2485,604,2301,257,3162,747,2601,306,3656,392,1421,202,2016,69,477,115,661,3307,12906,1682,17893,176,813,105,1104,90,649,71,807,286,1549,195,2023,565,1403,187,2159,612,1791,181,2588,737,2398,248,3378,844,2315,249,3400,483,1395,255,2136,85,628,141,855,3877,12944,1635,18449,380,1635,240,2253,206,1311,159,1672,517,3072,389,3976,976,2758,372,4106,1148,3532,394,5078,1335,4693,508,6542,1587,4919,551,7063,873,2820,455,4148,152,1109,257,1514,7180,25844,3319,36343
11001,198,905,193,1300,171,930,214,1314,294,1653,236,2178,368,1439,150,1949,453,1420,161,2033,507,1708,183,2399,578,1311,139,2030,294,786,133,1207,42,237,53,333,2902,10387,1457,14746,275,966,265,1504,197,940,225,1357,373,1730,231,2339,496,1380,162,2041,549,1541,172,2265,606,1734,165,2508,698,1263,144,2110,348,888,159,1396,44,411,104,566,3591,10862,1638,16086,470,1874,462,2800,369,1866,435,2672,669,3380,470,4518,865,2814,314,3993,1003,2964,333,4301,1110,3443,343,4900,1274,2577,280,4141,642,1674,298,2610,89,645,159,897,6495,21245,3095,30827
