SA3_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
10102,7139,734,350,65,18,0,37,8352
10103,1639,204,88,9,0,0,17,1954
10104,4961,760,301,55,18,0,77,6178
10105,3047,410,232,55,6,0,31,3798
10106,3578,424,227,46,4,0,35,4306
10201,17193,1904,778,147,23,11,102,20157
10202,14190,2115,1038,189,46,20,146,17746
10301,3997,579,277,51,10,3,46,4963
10302,4168,547,265,54,9,3,50,5094
10303,3759,539,254,52,12,4,64,4685
10304,5575,744,354,59,10,4,53,6799
10401,3484,589,274,69,10,3,50,4489
10402,7289,1003,412,93,24,9,75,8909
10501,1379,185,93,35,4,6,35,1735
10502,1179,237,109,26,0,0,23,1573
10503,5780,852,356,91,19,10,88,7179
10601,8567,1376,659,151,33,19,116,10922
10602,8651,1395,586,87,18,9,71,10815
10603,5923,939,424,84,27,5,76,7485
10604,2532,394,207,32,13,3,36,3220
10701,7940,906,447,89,14,14,65,9478
10702,0,0,0,0,0,0,0,0
10703,9746,1360,578,99,15,3,83,11890
10704,13546,1230,378,91,9,6,56,15310
10801,1991,291,120,19,3,0,36,2468
10802,3225,463,229,63,8,3,54,4057
10803,35,4,0,0,0,0,0,37
10804,6595,955,355,73,10,7,74,8066
10805,3755,559,273,81,13,5,66,4753
10901,5674,731,314,47,10,3,54,6832
10902,1018,153,66,6,5,0,17,1259
10903,3236,396,208,42,9,4,48,3941
11001,2817,319,153,38,3,7,30,3365
11002,2514,344,175,43,9,0,52,3135
11003,1882,196,101,25,3,0,30,2239
11004,6807,968,490,70,13,7,84,8440
11101,12344,1533,582,114,18,9,98,14696
11102,7689,1162,482,91,29,11,88,9552
11103,15523,1853,636,124,29,4,83,18251
11201,6972,870,291,73,5,8,62,8279
11202,5255,708,347,73,20,8,66,6486
11203,7824,1078,392,94,18,9,54,9471
11301,4489,464,216,67,8,6,47,5286
11302,1159,175,81,14,0,0,24,1452
11303,8580,1004,489,73,19,14,89,10272
11401,7946,1090,458,93,20,12,115,9740
11402,4780,540,203,42,3,4,35,5614
11501,23583,1367,396,161,10,8,37,25552
11502,3657,260,93,31,3,0,11,4045
11503,3046,314,116,29,3,0,22,3531
11504,8881,659,244,73,7,0,21,9888
11601,17379,1194,495,295,28,15,77,19480
11602,22605,1405,539,301,17,9,45,24922
11603,12817,1009,577,304,26,18,98,14853
11701,5955,417,130,42,4,0,28,6567
11702,4729,314,83,43,3,3,17,5188
11703,10179,896,134,52,8,0,49,11314
11801,11806,936,215,35,3,3,15,13020
11802,13591,919,256,53,5,0,31,14865
11901,22092,1373,641,356,20,17,82,24573
11902,16239,916,326,204,21,5,38,17745
11903,15547,975,307,145,21,4,38,17036
11904,15720,959,268,167,16,4,39,17168
12001,9955,640,148,48,4,0,15,10817
12002,6160,471,110,18,4,0,8,6774
12003,16398,970,210,125,6,0,43,17760
12101,14633,911,210,62,8,0,28,15852
12102,12196,712,207,96,7,3,25,13247
12103,18088,1182,256,91,3,6,31,19655
12104,8420,715,125,13,0,0,12,9293
12201,5016,409,100,12,3,0,13,5560
12202,7647,708,173,45,3,0,20,8599
12203,19948,1422,426,119,15,0,59,21995
12301,9418,986,502,95,14,10,55,11067
12302,20242,1703,838,387,58,22,131,23388
12303,5324,527,302,72,11,3,34,6280
12401,7890,817,329,67,19,0,57,9175
12402,0,0,0,0,0,0,0,0
12403,17544,1929,988,224,35,20,100,20845
12404,3474,439,240,57,9,4,34,4252
12405,5883,617,317,78,18,5,52,6970
12501,10616,622,177,124,14,3,44,11592
12502,10095,630,186,97,8,5,17,11033
12503,18450,1051,463,273,25,12,63,20342
12504,19182,960,256,141,11,3,46,20601
12601,7877,409,120,52,0,0,9,8464
12602,17423,1023,269,111,4,3,32,18857
12701,19230,1334,651,261,20,10,71,21588
12702,22556,1369,587,454,51,16,116,25155
12703,17176,1148,446,216,18,8,44,19066
12801,13559,1239,412,74,8,0,28,15323
12802,14887,1150,413,83,11,0,22,16561
19797,0,0,0,0,0,0,0,0
19999,0,0,0,0,0,0,0,0
