SA3_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
10102,3,11,8,123,11,8,8,0,0,177,0,0,0,15,41,22,0,0,0,85,4,56,85,261,117,67,37,9,0,646,0,0,0,17,8,13,21,8,8,71,0,0,5,17,9,6,4,0,0,39,0,3,4,17,26,72,45,31,7,213,7,9,4,20,15,13,4,0,0,66,0,25,28,97,68,46,26,13,3,298,0,8,6,45,18,19,18,8,0,119,0,0,0,14,5,0,0,0,0,18,5,11,10,59,34,12,8,0,0,132,0,3,4,12,3,3,0,0,0,28,11,42,37,115,41,44,35,19,0,357,4,0,3,35,21,10,9,0,0,86,0,0,0,4,17,19,11,9,0,62,0,4,4,24,17,15,11,0,0,72,8,31,47,401,228,223,220,153,63,1384,171,361,286,958,414,481,366,166,70,3276,4318,8324,6973,18711,9411,8276,5446,2548,784,64793
10103,3,4,0,19,0,0,0,0,0,32,0,0,0,0,3,5,4,0,0,15,5,5,5,24,11,3,6,0,0,65,0,0,0,10,7,3,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,4,6,11,12,13,16,16,5,75,0,0,0,4,5,3,4,0,0,12,0,8,8,21,21,9,8,3,0,79,0,0,0,14,7,3,0,0,0,30,0,0,0,71,0,0,0,0,0,75,0,7,9,26,13,9,6,0,0,72,0,0,0,0,5,3,0,0,0,4,3,9,5,26,11,19,16,3,0,94,0,0,0,5,0,0,0,0,0,16,0,0,0,4,0,4,0,3,0,21,0,0,0,3,6,0,0,0,0,17,7,15,10,108,36,55,84,77,31,416,40,148,155,403,209,223,185,118,46,1529,938,2416,2275,5029,2878,3034,2362,1311,474,20717
10104,0,0,0,11,0,0,0,0,0,14,0,3,0,7,18,19,11,6,0,54,0,12,22,102,55,51,39,14,3,287,0,0,0,4,12,6,17,9,0,58,0,0,0,3,4,5,0,0,0,14,0,0,0,19,28,89,137,99,32,403,0,4,3,12,3,6,7,0,0,42,0,9,3,44,43,74,54,32,6,264,0,0,0,14,3,4,8,0,0,37,0,0,0,7,3,0,0,0,0,18,0,10,11,55,34,16,7,0,0,137,0,3,0,6,3,4,0,4,0,18,0,15,15,58,29,65,98,41,3,323,0,0,5,15,23,8,7,0,0,67,0,0,0,9,10,27,17,17,8,83,0,0,0,4,5,11,6,4,0,38,0,18,14,131,94,186,253,199,79,976,215,560,510,1051,759,1049,1044,601,328,6118,3165,7910,6302,13133,9128,13323,14074,7112,2586,76736
10105,0,3,0,31,0,0,0,0,0,33,0,0,0,0,11,11,0,0,0,22,0,15,21,94,32,19,23,0,0,214,0,0,0,3,0,0,14,6,0,25,0,0,0,3,3,0,3,0,0,9,0,0,0,14,15,20,34,32,5,120,0,0,0,0,6,0,0,0,0,17,0,0,0,24,18,9,11,5,0,73,0,0,0,8,3,3,0,0,0,22,0,0,0,11,0,0,0,0,0,11,0,0,10,21,20,5,6,0,0,57,0,0,0,0,3,3,0,3,0,9,0,6,9,7,17,16,10,4,0,73,0,0,4,16,6,3,0,0,0,29,0,3,0,0,3,3,9,6,0,26,0,0,0,8,0,4,3,0,0,18,6,13,38,150,47,78,71,43,14,452,135,314,245,607,304,387,373,212,102,2689,2167,4605,4065,8928,4786,5458,4723,2637,1034,38403
10106,0,0,0,19,4,0,0,0,0,25,0,0,0,5,20,14,4,0,0,49,3,14,18,59,36,18,12,3,6,160,0,0,0,0,3,5,3,3,0,20,0,0,0,5,0,0,0,0,0,0,0,0,0,10,16,28,24,12,4,98,0,0,0,0,8,0,4,0,0,13,0,4,4,38,20,5,12,0,0,87,0,5,0,17,0,0,3,0,0,33,0,0,0,15,0,5,0,0,0,19,0,0,4,15,7,8,0,0,0,44,0,0,0,0,3,3,0,0,0,6,0,18,10,36,24,24,18,9,3,136,0,0,0,15,12,3,7,0,0,31,0,0,0,4,4,8,8,3,0,27,0,0,0,6,3,3,4,0,0,15,0,12,24,94,51,66,74,34,14,363,103,292,214,535,329,404,390,256,99,2618,2168,5236,4045,8076,5242,5281,4660,2550,902,38159
10201,4,4,8,75,7,11,6,0,0,119,0,0,9,47,60,47,31,4,0,190,10,75,82,527,221,247,138,29,9,1332,0,5,4,93,45,34,59,31,20,290,0,0,0,10,7,5,3,3,0,27,3,19,35,120,146,193,207,174,82,991,0,28,9,47,30,21,26,6,0,169,4,82,110,392,351,227,180,90,27,1454,5,7,8,61,35,26,34,22,3,209,0,9,4,36,11,14,9,0,0,86,4,32,44,242,121,56,10,0,0,509,0,7,3,20,22,23,15,3,0,86,5,58,84,232,153,119,97,49,11,819,0,17,17,83,60,30,23,4,0,239,0,17,15,55,60,52,51,58,20,325,0,4,20,54,43,28,13,7,0,174,20,135,143,927,556,537,545,421,156,3450,330,814,749,1802,958,1052,1044,865,558,8181,9406,21783,19307,40036,23351,23708,21460,13606,5769,178427
10202,0,10,12,42,6,8,8,0,0,86,0,0,3,13,25,31,14,4,0,103,5,55,84,468,197,185,123,29,7,1156,0,0,0,46,15,14,43,18,3,139,0,0,0,13,7,6,0,0,0,41,0,12,19,68,81,176,210,188,62,818,0,0,0,17,8,23,21,5,0,66,3,28,53,188,125,98,82,60,6,641,0,4,0,37,12,13,15,4,6,96,0,10,0,11,7,3,0,0,0,27,0,28,29,174,60,35,15,0,3,340,0,0,0,12,8,18,4,4,0,44,0,32,42,134,70,71,73,26,4,434,0,18,15,91,36,17,9,0,0,191,4,5,0,20,31,33,33,42,11,174,0,4,14,53,30,26,8,8,5,149,4,47,70,421,372,410,433,362,130,2247,385,1016,910,2001,1036,949,1089,1008,621,9022,10014,21148,19456,39439,20839,21178,19226,12096,4781,168171
10301,3,10,3,40,6,0,0,0,0,65,0,0,0,0,4,11,0,0,0,24,7,22,26,125,40,26,8,3,0,263,0,0,0,5,0,6,0,4,3,21,0,0,0,3,0,0,0,0,0,6,0,0,5,15,28,35,42,29,11,170,0,0,5,11,6,7,0,4,0,28,0,12,16,51,31,17,15,6,0,156,0,6,9,45,9,12,8,5,0,102,0,0,0,3,0,0,5,0,0,12,5,5,11,42,15,5,0,0,0,85,0,0,0,4,3,0,0,0,0,3,0,12,12,30,16,9,18,0,0,106,0,9,15,38,15,7,0,0,0,85,0,0,0,5,4,5,3,4,0,24,0,0,4,7,8,8,4,0,0,29,4,13,23,125,80,68,80,67,22,488,106,343,370,693,372,385,395,241,95,3002,2743,6391,6306,11962,6121,6162,5343,2957,1156,49146
10302,0,3,0,13,0,0,0,0,0,23,0,3,9,11,7,0,0,0,0,31,3,32,23,126,40,29,26,0,0,279,0,0,0,3,0,0,0,6,3,12,0,0,0,6,0,0,0,0,0,7,0,0,0,9,5,20,21,15,8,81,0,0,0,0,5,0,0,0,0,10,4,10,18,46,39,16,13,13,0,157,0,9,3,16,6,0,0,0,0,31,4,0,0,0,0,0,0,0,0,12,0,5,6,13,12,6,3,0,0,44,0,0,0,0,0,0,0,0,0,5,0,9,11,32,13,12,15,5,0,86,0,0,4,9,8,0,0,0,0,24,0,0,0,3,0,4,3,7,0,25,0,0,0,8,9,0,0,0,0,18,12,13,29,95,43,36,41,35,11,326,233,647,519,1095,610,726,624,454,206,5114,3217,7227,5785,11462,6437,7563,6926,4311,1757,54684
10303,0,0,0,11,0,4,0,0,0,13,0,0,0,5,3,4,6,0,0,23,0,10,25,87,39,42,18,3,0,232,0,0,0,0,4,3,12,8,7,41,0,0,0,6,0,0,0,0,0,10,0,0,5,7,23,31,54,39,6,160,0,0,3,3,0,4,3,0,0,18,0,6,6,29,20,19,17,4,0,92,0,0,0,11,0,3,5,0,0,27,0,0,0,3,0,0,0,0,0,6,0,8,13,47,10,11,4,0,0,87,0,0,0,0,0,0,0,0,0,8,0,3,8,26,19,23,25,12,0,112,0,0,0,28,12,8,3,0,0,56,0,0,0,8,9,12,10,9,0,42,3,9,0,12,0,5,0,0,0,26,5,6,13,83,45,79,94,73,23,422,162,462,324,844,467,569,534,345,126,3832,2548,6186,4761,10588,6090,6873,6035,3604,1178,47870
10304,4,9,3,59,9,0,7,0,0,85,0,0,0,5,10,3,5,4,0,30,0,34,28,139,63,46,28,5,0,340,0,0,0,0,7,4,7,7,10,32,0,0,0,8,3,0,0,0,0,10,0,9,5,20,15,22,26,16,11,123,0,10,7,13,6,3,0,0,0,43,0,24,22,78,50,29,23,9,3,236,0,14,4,28,8,12,0,5,0,66,0,0,0,15,4,4,0,0,0,27,0,4,8,49,23,8,4,0,0,101,0,0,0,4,6,0,0,0,0,16,0,6,14,48,11,27,17,0,3,128,0,0,8,31,14,0,0,0,0,51,0,0,0,3,7,5,13,9,0,37,0,12,8,48,27,14,7,0,0,122,0,40,38,196,81,77,75,50,26,583,179,459,377,872,456,449,449,315,196,3759,4059,9001,7004,14976,7551,7318,6343,3612,1414,61266
10401,0,0,0,9,0,3,0,0,0,13,0,0,3,15,16,17,6,0,0,62,3,23,9,87,28,44,22,0,0,216,0,0,0,7,0,6,0,4,0,15,0,0,0,9,0,0,0,0,0,10,0,0,3,5,17,30,41,40,9,143,0,0,0,10,7,0,0,0,0,22,0,6,8,33,24,18,23,16,0,122,0,0,0,4,3,9,3,3,0,28,0,0,0,13,3,5,3,0,0,28,0,7,4,32,22,13,0,0,0,69,0,0,0,4,3,3,0,0,0,15,0,8,6,33,15,28,43,7,0,140,0,3,8,20,9,0,0,0,0,38,0,0,0,0,5,10,9,12,3,40,0,0,0,6,6,9,0,0,0,26,6,18,20,88,61,79,77,54,19,416,148,386,357,822,503,639,586,354,156,3960,2544,6018,5068,10509,6459,8325,8287,4693,1754,53665
10402,0,9,12,9,3,3,0,0,0,33,0,0,5,22,38,29,14,0,3,114,4,39,32,175,63,81,38,8,0,449,0,0,0,14,15,6,28,8,6,67,0,0,4,5,7,0,3,0,0,17,0,8,17,28,45,78,91,71,27,355,0,3,0,17,7,5,3,0,0,44,7,27,37,125,120,73,79,25,4,486,0,3,4,18,9,0,7,0,0,48,0,5,4,82,0,5,0,0,0,96,4,33,43,56,33,17,8,4,0,204,3,0,0,5,7,5,3,0,0,17,3,24,15,97,46,53,83,20,5,342,0,7,0,54,10,11,6,0,0,89,0,0,3,6,19,32,29,13,6,97,0,0,6,13,15,14,13,6,0,60,19,131,173,575,248,234,189,152,64,1776,219,607,542,1385,723,758,704,567,330,5841,4629,11638,9242,20494,11650,12929,12358,6806,2720,92462
10501,0,3,6,16,5,0,0,0,0,27,0,0,0,10,3,0,0,3,0,20,4,11,8,48,17,10,3,5,0,103,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,21,0,0,0,0,0,0,0,0,0,0,4,3,3,22,9,11,0,0,0,49,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,3,0,0,0,14,6,5,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,6,6,4,0,23,0,0,0,0,0,5,3,0,0,11,0,0,0,0,0,0,0,0,0,6,0,0,0,8,6,0,0,0,0,16,4,9,8,45,21,20,44,34,13,199,234,504,408,878,441,539,430,269,87,3792,1491,2844,2331,5037,2620,3117,2353,1362,451,21607
10502,0,0,0,5,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,10,3,21,25,80,27,19,18,5,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,3,11,0,21,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,17,0,0,0,6,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,5,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,6,8,0,7,0,0,0,26,0,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,5,0,0,6,0,7,0,4,0,0,0,0,0,11,0,4,7,22,10,11,13,11,3,80,89,239,236,454,219,226,230,164,128,1986,1094,2321,2117,4595,2321,2889,2510,1405,618,19876
