SA3_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
10102,686,84,784,11529,3491,436,15452,33760,2934,52153
10103,418,53,474,2930,955,102,3987,11774,1606,17367
10104,2201,364,2586,9067,4119,489,13674,46835,5144,65655
10105,916,108,1034,5584,2192,245,8014,20927,2689,31629
10106,798,99,902,5995,2098,264,8352,20198,2203,30759
10201,4647,1096,5769,29796,7533,643,37975,100991,8279,147240
10202,3701,1053,4781,27223,7151,811,35189,92832,8987,137009
10301,1055,94,1156,7447,2844,337,10626,25889,3492,40011
10302,1542,207,1757,7631,3064,366,11061,29102,4081,44247
10303,1050,112,1178,6879,2447,309,9637,26129,3370,39139
10304,1197,192,1414,10264,3449,500,14206,30848,3146,48201
10401,1540,202,1754,6675,3011,363,10052,30649,4401,45096
10402,2221,467,2720,13596,4978,731,19308,51457,5430,76197
10501,352,89,451,2677,893,74,3650,10553,3066,17273
10502,488,133,618,2431,1049,119,3599,11133,1735,16461
10503,1472,307,1794,10899,4196,507,15596,36341,6993,58936
10601,1519,181,1710,16503,5920,673,23090,49182,5965,78236
10602,1244,196,1452,16308,5028,688,22020,43380,3023,68430
10603,1744,348,2101,10534,4316,445,15291,44821,3791,63908
10604,551,100,659,4900,1476,151,6526,15914,2037,24478
10701,1937,290,2249,13261,3988,346,17599,43733,3303,64634
10702,0,0,0,0,0,0,0,4,0,4
10703,1929,535,2471,16540,5542,578,22657,53976,4211,80850
10704,2919,563,3503,22275,5801,393,28475,78216,5539,112228
10801,1274,318,1599,3638,1593,145,5372,21128,2371,28862
10802,1375,202,1579,6031,2666,337,9032,29480,4350,42862
10803,12,0,15,72,22,0,104,247,36,379
10804,2875,513,3414,11904,4598,553,17057,51750,4112,72918
10805,1655,261,1926,6983,2893,350,10233,34225,3720,48177
10901,1427,171,1611,10443,3966,497,14906,35735,3637,54274
10902,246,42,288,1709,690,70,2476,6715,1446,10636
10903,1238,268,1514,5597,2305,278,8178,24814,3348,36343
11001,724,161,897,5177,1798,235,7208,20539,3082,30827
11002,995,174,1176,4722,1911,228,6862,21853,3408,32125
11003,381,74,457,3221,1195,155,4562,11783,3296,19647
11004,1793,338,2144,12815,4511,606,17928,43765,5759,67450
11101,3128,458,3617,21384,8502,740,30625,68404,4547,103573
11102,2230,379,2625,13576,5271,568,19417,46789,3527,69737
11103,3731,858,4635,27983,9691,913,38591,102565,8431,149592
11201,2221,362,2598,12954,4628,556,18139,49375,6068,73582
11202,1590,296,1893,9788,3918,522,14229,39881,5238,59349
11203,3200,623,3844,14186,4966,610,19763,55405,6142,81307
11301,1047,220,1286,7241,2718,286,10244,25680,3817,39743
11302,362,37,398,2059,843,86,2994,8045,1144,12182
11303,2206,341,2566,15184,5731,681,21594,51966,6173,79734
11401,3076,404,3504,14385,5971,708,21059,63140,6820,91019
11402,1429,312,1765,7924,2564,279,10762,30680,2445,43894
11501,2937,645,3603,31229,5561,303,37095,83480,3975,124552
11502,651,72,729,4681,1246,81,6005,15993,916,22921
11503,289,14,307,4456,1078,90,5622,13818,835,20268
11504,292,86,389,13392,1757,172,15325,25828,1507,42659
11601,1982,227,2220,25014,4098,321,29432,77898,7318,114649
11602,671,49,727,34774,3676,367,38804,62159,5841,106805
11603,1127,261,1395,18807,3497,381,22680,58436,7350,88464
11701,695,148,844,9333,1323,101,10752,35872,3268,49894
11702,798,155,958,8269,1037,106,9409,35437,2659,47505
11703,1661,388,2059,20082,3529,219,23826,161912,15388,201122
11801,2377,765,3169,20864,3837,237,24941,76000,6875,107824
11802,2617,726,3371,22044,3533,243,25823,79997,7751,113575
11901,3405,781,4204,30084,4529,377,34998,100715,11231,146943
11902,2559,562,3146,22571,2958,221,25754,79633,9449,114838
11903,2996,632,3652,21457,3757,230,25449,79483,5966,110895
11904,3053,727,3801,22688,3565,221,26476,88869,8318,123659
12001,1822,366,2206,15359,2465,142,17961,51348,3463,72771
12002,694,131,827,11127,1356,115,12594,31632,2167,46391
12003,3464,462,3968,23959,3529,241,27728,104117,7975,139818
12101,2357,319,2698,23683,3074,252,27004,64991,3750,95751
12102,1607,251,1864,18601,2590,194,21383,46581,2269,70237
12103,3731,394,4145,26258,4266,202,30724,66556,2869,100149
12104,1873,249,2136,15058,2865,156,18082,60019,3609,81717
12201,836,50,891,8361,1455,117,9933,24150,1366,35449
12202,1449,402,1863,11723,2924,199,14840,34684,2516,52040
12203,3947,497,4481,31202,5112,402,36722,85825,4785,127337
12301,845,143,991,15759,2769,338,18873,35184,2088,56141
12302,1516,462,1982,31826,5984,608,38413,91222,9244,138878
12303,515,189,708,8650,1973,246,10866,23002,2057,35926
12401,1555,188,1757,13455,3366,293,17115,44855,2363,64330
12402,0,0,0,0,0,0,0,8,0,8
12403,1609,397,2024,30360,5854,658,36873,81080,7134,125085
12404,706,119,829,6028,1434,163,7629,20550,2936,31115
12405,474,155,628,9485,2069,196,11753,29505,3473,44725
12501,906,178,1092,15003,2138,151,17295,61824,7915,87030
12502,1350,109,1477,14463,2024,99,16579,40145,2793,59519
12503,2234,605,2852,24801,3672,311,28780,87753,12701,129241
12504,2128,319,2452,29178,2812,234,32230,82636,8367,123226
12601,1094,113,1209,11115,1696,106,12917,29984,1488,44393
12602,3168,724,3920,26167,4082,219,30466,86651,6107,123220
12701,970,195,1179,27316,3853,400,31567,70633,6231,108424
12702,3279,741,4051,24898,4703,311,29909,119752,10946,160601
12703,1480,474,1966,23840,3293,276,27411,70991,8011,106411
12801,3406,456,3890,20817,5072,299,26179,66882,4150,97216
12802,1922,603,2542,22074,4624,275,26973,59947,3056,89982
19797,0,0,0,0,0,0,0,0,0,0
19999,33,16,49,818,332,37,1191,5556,3362,10112
20101,2427,440,2878,19281,6304,720,26305,62684,5308,94299
20102,542,136,689,4509,1667,163,6339,17553,2038,25926
20103,647,105,750,3342,1393,155,4890,15471,2266,22630
20201,2379,410,2812,16745,5883,617,23239,55486,4912,83646
20202,1035,295,1340,8300,2897,286,11486,28527,3783,43799
20203,279,82,371,1605,678,67,2347,6708,1202,10254
20301,245,56,307,4353,1120,135,5609,10898,1062,17578
20302,4670,631,5340,34508,11353,1070,46933,117478,10482,174895
20303,1917,375,2302,16162,5823,520,22512,49519,4187,76217
20401,1419,186,1622,8237,2985,328,11548,34562,4279,50389
20402,1395,230,1632,6663,2826,248,9737,27827,2940,40503
20403,1515,221,1745,12182,4078,493,16750,41447,4187,62386
20501,1173,173,1359,9264,3389,392,13050,30827,2916,46790
20502,1232,277,1518,5857,2522,271,8649,29301,3569,41521
20503,1730,329,2074,9766,4102,406,14279,41384,4549,60212
20504,1637,301,1948,11064,4439,473,15981,42455,5073,63505
20505,890,139,1036,6273,2493,293,9060,24995,3736,37785
20601,1722,123,1854,12927,2748,294,15966,59255,3035,78253
20602,1001,166,1182,8895,1773,188,10867,32577,1807,45248
20603,1332,122,1461,10686,2749,182,13624,41891,2822,58337
20604,1016,156,1188,11470,3202,193,14861,113393,11244,139506
20605,1152,296,1468,12962,3554,287,16806,66987,6544,90328
20606,1203,210,1438,6295,2307,112,8718,44748,3541,57008
20607,1180,97,1288,10297,2995,226,13519,63330,4529,81376
20701,4497,419,4961,28851,7963,479,37291,98696,4976,140967
20702,3481,295,3807,16749,4851,244,21844,57830,3003,82669
20703,3137,348,3502,17679,4096,281,22056,64706,4250,91012
20801,3009,382,3422,18492,5238,378,24109,56202,3318,83632
20802,3763,390,4193,28393,6383,521,35303,88622,5299,129212
20803,3101,281,3404,22749,5593,511,28858,68115,3985,100957
20804,1157,141,1307,7021,1840,127,8987,25308,1388,35686
20901,3110,255,3400,22878,6248,474,29603,70342,3862,103806
20902,2337,412,2765,14734,3089,259,18080,58152,4729,80966
20903,812,78,906,12505,4317,353,17178,35526,1968,54668
20904,2912,501,3439,48025,10200,962,59180,128080,10459,197728
21001,1948,140,2104,10644,3057,170,13876,35213,1982,51071
21002,336,83,418,6326,1770,198,8292,16388,1410,26094
21003,2429,362,2805,13538,2396,249,16184,45428,4191,65794
21004,632,49,689,8361,2465,238,11062,23628,1697,36390
21005,1578,196,1797,35682,6799,614,43099,103465,10307,156874
21101,3104,418,3539,27640,8375,651,36669,90399,4966,132024
21102,680,60,749,4507,1637,116,6260,15003,703,21966
21103,2369,478,2874,21112,6109,556,27784,62141,3736,93662
21104,1651,312,1983,11699,2842,214,14756,35138,2108,52005
21105,2452,202,2672,28038,9336,1065,38443,82555,5352,126350
21201,1247,231,1493,23491,5620,764,29871,56465,5213,91543
21202,2154,257,2428,23658,6046,590,30293,74039,6126,110454
21203,1600,160,1779,47361,8891,1169,57417,105268,9050,171741
21204,3971,375,4396,28447,6947,475,35863,114691,10198,160760
21205,5247,700,5990,29965,7290,377,37635,109055,7749,154433
21301,2926,411,3377,26646,7578,505,34729,107716,11281,153723
21302,1874,166,2064,15969,3460,306,19733,47244,3429,70407
21303,1133,209,1348,13766,2432,262,16459,51045,4438,71946
21304,1391,167,1565,39615,7875,875,48365,91624,10823,150806
21305,1629,248,1904,64407,9742,1123,75271,131189,15409,221868
21401,2480,516,3017,24299,7279,868,32446,74217,6776,113444
21402,5037,934,6029,26027,10597,886,37513,94998,8930,141435
21501,1762,336,2123,8058,3229,375,11664,34191,4615,50466
21502,1318,193,1526,8222,2789,323,11339,31004,4079,46427
21503,1088,203,1297,5034,1997,178,7219,21426,3008,31652
21601,1036,235,1276,5403,2164,203,7768,21919,2557,32243
21602,899,151,1050,4044,1627,157,5822,17588,2061,25470
21603,1420,213,1648,10304,3267,339,13907,36344,4768,55021
21701,1041,136,1184,4936,1950,180,7070,21667,2144,30877
21703,1000,165,1171,5340,2194,204,7742,21963,2403,32101
21704,1210,225,1445,8359,3165,313,11841,28576,2872,43291
29797,0,0,0,0,0,0,0,12,27,38
29999,17,17,29,695,281,39,1013,3668,3262,7946
30101,1007,349,1362,12789,4631,465,17879,39267,2565,59707
30102,2083,438,2536,15067,5232,553,20846,52662,3722,77236
30103,1207,235,1455,14266,3670,452,18388,37544,2478,58407
30201,1016,88,1113,8840,2449,205,11500,24621,1182,37301
30202,1885,407,2304,12862,3135,330,16323,42076,2982,61382
30203,692,99,804,7043,1742,171,8959,25337,1751,36039
30204,1235,212,1453,11061,2997,314,14370,32988,2366,49725
30301,1011,80,1100,10265,2601,213,13081,29650,1425,44153
30302,1286,179,1479,12005,2875,274,15149,49694,3202,68050
30303,1362,137,1501,14787,3348,316,18445,43050,2927,64422
30304,720,56,781,7351,1599,178,9129,21997,1433,32561
30305,721,103,830,13477,3107,301,16885,33321,2527,52733
30306,796,47,856,8548,2422,212,11186,27589,2108,40881
30401,686,23,717,6209,1846,169,8224,17837,642,26697
30402,1013,129,1169,10045,2445,207,12697,23933,1035,37665
30403,781,121,910,8988,2100,142,11236,32447,1792,45471
30404,1078,78,1171,10946,2480,297,13729,27848,1471,43040
30501,763,163,934,8308,2894,180,11379,62298,6626,80307
30502,470,44,513,8112,1701,187,9994,24867,1746,36605
30503,1252,119,1381,14168,3501,331,18004,63865,4635,86501
30504,598,79,680,10217,2385,249,12858,35684,1839,50378
30601,543,133,690,10149,2553,422,13123,30358,3076,46563
30602,1413,266,1698,15108,4867,665,20643,55124,9704,85466
30603,700,102,815,4642,1837,291,6766,19075,3055,28898
30604,155,27,182,1479,468,58,2011,7091,1316,10420
30605,911,194,1113,5341,2127,258,7735,23787,3905,35427
30701,624,172,806,6653,1999,312,8966,21834,4214,35017
30702,884,169,1059,6218,2216,335,8770,22341,3192,34306
30703,985,136,1128,5388,2102,239,7728,23686,2892,34310
30801,137,51,191,5107,1287,251,6642,12495,2865,22006
30803,2106,403,2528,18408,7105,998,26509,61683,9395,97589
30804,206,53,266,2304,646,81,3034,6819,1603,11455
30805,566,108,679,10831,3242,534,14605,31230,4028,49868
30901,1413,211,1638,9754,2940,255,12946,39594,4275,56813
30902,1245,344,1599,9253,2966,261,12482,32409,3233,48116
30903,1940,234,2187,9121,3187,263,12570,43606,4046,60225
30904,259,27,299,3188,1057,95,4336,11128,1173,16639
30905,422,63,494,7361,1784,204,9345,17314,1387,28056
30906,980,211,1209,12550,3495,438,16486,36602,3036,56121
30907,1231,276,1519,31462,7359,1076,39891,74442,7368,121701
30908,1022,404,1434,9187,2368,229,11781,30227,2662,44672
30909,1426,403,1834,8486,2430,222,11134,39758,4676,55566
30910,696,138,849,5101,1702,128,6924,28671,4608,40202
31001,1064,111,1188,12528,3178,357,16063,39559,6942,62567
31002,847,231,1095,9888,3430,439,13758,35801,5385,54943
31003,1646,303,1966,19934,6046,920,26906,59012,5493,91408
31004,438,48,489,21092,4921,792,26804,45867,4678,77349
31101,285,83,369,2009,632,100,2734,8070,1181,11994
31102,661,69,735,7360,2245,375,9980,23799,2995,36771
31103,765,84,857,16027,4712,655,21393,44715,5278,71382
31104,319,33,355,12360,3161,518,16038,27585,2675,46301
31105,891,218,1122,10955,3480,457,14889,32624,3561,51076
31106,895,155,1057,12788,3838,486,17113,40055,4856,62023
31201,316,48,371,5614,1287,226,7125,15806,5724,28659
31202,1665,296,1979,19365,6765,857,26992,60182,10017,97190
31203,210,27,240,3347,900,154,4405,12649,2429,19478
31301,1163,192,1366,3691,1939,146,5784,25201,1901,32888
31302,1214,197,1422,13164,3883,601,17641,40593,4348,62586
31303,207,25,232,2011,660,64,2740,7381,2362,12488
31304,846,132,987,12125,3724,545,16399,35477,2990,54869
31305,1805,253,2068,8795,3635,363,12785,37903,3277,53964
31401,831,65,911,17977,4984,547,23506,45519,2127,71148
31402,835,223,1070,18608,4114,617,23333,40512,3306,67150
31403,515,35,546,7020,2267,282,9573,20825,1522,31916
31501,122,21,150,4325,1995,349,6675,13475,4429,24572
31502,153,44,197,4666,1444,259,6372,14057,3083,23511
31503,335,53,389,2266,727,120,3113,9251,1703,14067
31601,1485,281,1772,10359,2661,276,13296,32190,2570,48055
31602,2583,403,2999,15234,4713,464,20414,54908,4510,79832
31603,1517,312,1834,8586,3168,298,12048,38911,4039,54990
31605,1196,204,1406,7387,1926,212,9528,27117,2306,38945
31606,1016,98,1132,9464,3012,354,12835,32768,2998,48597
31607,958,124,1094,8801,2414,300,11513,26659,2199,40374
31608,332,96,435,3675,1137,125,4936,13923,1348,20202
31701,3448,407,3892,25410,8653,1257,35326,87354,7541,130221
31801,1020,172,1213,5166,2216,220,7602,22692,3798,34094
31802,2276,340,2648,29753,10503,1552,41808,100057,13979,155844
31901,2342,278,2632,12253,4441,609,17301,55477,5529,78306
31902,1038,153,1198,5876,2231,304,8412,28586,4303,41299
31903,1071,121,1204,7108,2492,348,9953,31016,3378,44348
31904,1729,327,2069,7970,2575,384,10933,39147,3591,53674
