SA3_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
10102,..,5927,5927,7195,408,7606,3777,67,3847,3926,29,3953,1568,3,1577,691,5,691,17164,6432,23599
10103,..,2337,2337,2611,226,2843,971,58,1032,896,42,939,406,3,412,160,19,179,5049,2690,7739
10104,..,9654,9654,12583,706,13285,3372,76,3445,2935,18,2952,1270,4,1275,686,0,685,20841,10462,31301
10105,..,4379,4379,4930,288,5216,1854,37,1884,1737,10,1749,847,7,855,451,5,453,9814,4725,14540
10106,..,3605,3605,4803,242,5046,1863,25,1889,1830,5,1831,995,0,995,527,0,527,10017,3876,13896
10201,..,18975,18975,22009,1589,23600,9825,266,10086,9979,80,10063,4012,15,4026,1832,6,1839,47656,20934,68590
10202,..,16890,16890,19975,1592,21562,9366,200,9571,8935,64,9003,4013,24,4037,2067,11,2073,44351,18772,63124
10301,..,4989,4989,5916,446,6363,2460,100,2563,2372,25,2393,1099,11,1115,542,0,547,12400,5577,17974
10302,..,6665,6665,7202,415,7618,2591,48,2642,2196,8,2201,1273,3,1274,632,0,634,13897,7136,21032
10303,..,5735,5735,6205,419,6627,2323,57,2377,2156,13,2167,1072,0,1076,506,0,509,12268,6226,18485
10304,..,6155,6155,7236,443,7680,3144,99,3242,3036,41,3072,1642,18,1658,739,4,739,15791,6756,22545
10401,..,5986,5986,7787,613,8408,2596,52,2644,2126,12,2139,988,0,988,583,4,586,14084,6673,20753
10402,..,9761,9761,11962,1002,12965,4766,168,4930,4315,58,4368,1961,17,1977,1109,21,1129,24117,11022,35136
10501,..,2514,2514,2323,184,2509,927,21,943,747,6,748,433,0,436,302,0,302,4733,2717,7453
10502,..,2993,2993,2592,158,2752,1005,20,1026,803,7,808,324,3,329,179,0,179,4908,3172,8085
10503,..,7376,7376,8323,622,8951,3699,122,3817,3295,40,3334,1751,13,1758,922,13,932,17989,8179,26168
10601,..,8267,8267,11101,691,11792,5457,83,5546,5190,9,5202,2505,5,2512,1314,9,1321,25577,9075,34648
10602,..,6981,6981,9831,622,10451,5272,101,5369,5298,30,5330,2299,16,2313,1024,6,1029,23721,7754,31478
10603,..,7697,7697,11308,614,11922,3820,66,3893,3497,22,3524,1633,6,1642,883,0,882,21145,8414,29564
10604,..,3294,3294,3747,265,4011,1552,39,1593,1493,4,1504,755,3,760,341,0,343,7891,3607,11502
10701,..,7110,7110,9005,562,9566,4655,82,4736,4667,29,4701,1974,7,1977,1035,0,1035,21335,7796,29131
10702,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,..,7894,7894,12410,596,13008,5607,106,5711,5840,45,5884,2487,10,2494,1131,0,1127,27473,8647,36123
10704,..,14149,14149,15616,1674,17288,7172,751,7923,7618,312,7933,2974,103,3073,1091,69,1158,34467,17065,51532
10801,..,4683,4683,5579,358,5939,1456,37,1492,1217,4,1227,518,3,525,264,0,262,9036,5092,14131
10802,..,6027,6027,7016,561,7575,2457,51,2505,1910,15,1926,969,4,966,634,3,637,12980,6655,19642
10803,..,52,52,60,6,63,20,0,25,19,0,19,3,0,3,3,0,3,109,55,161
10804,..,10036,10036,13131,830,13958,4260,140,4398,3883,42,3920,1688,15,1704,834,8,843,23789,11068,34859
10805,..,6770,6770,8759,552,9309,2756,55,2808,2234,14,2245,1087,12,1101,624,10,639,15461,7409,22871
10901,..,7991,7991,8403,695,9102,3391,131,3522,3222,47,3265,1483,16,1499,675,5,675,17170,8887,26054
10902,..,1256,1256,1640,65,1708,598,8,610,545,7,549,303,0,306,143,0,147,3226,1348,4577
10903,..,5267,5267,6515,333,6851,1863,26,1892,1772,10,1776,877,3,883,377,0,380,11408,5650,17052
11001,..,4310,4310,4737,368,5103,1679,83,1762,1562,45,1608,727,4,727,391,5,397,9093,4814,13908
11002,..,4855,4855,5524,352,5872,1779,40,1818,1442,12,1460,732,6,737,383,0,386,9863,5263,15127
11003,..,2390,2390,2698,206,2907,1116,28,1139,974,8,986,601,4,600,290,0,289,5685,2633,8315
11004,..,9023,9023,10293,760,11053,4316,119,4432,4057,47,4102,1940,21,1965,953,11,959,21559,9985,31543
11101,..,12451,12451,16001,964,16960,7238,178,7417,7613,62,7676,2888,21,2909,1095,3,1099,34837,13679,48510
11102,..,7405,7405,10752,623,11376,4856,87,4946,4649,24,4673,1946,15,1961,996,0,998,23201,8151,31352
11103,..,20473,20473,21237,2761,23994,9730,1267,10991,9107,426,9539,3479,137,3615,1298,73,1375,44850,25140,69987
11201,..,9271,9271,11024,1254,12277,4578,382,4957,4103,165,4264,1671,61,1736,780,21,802,22157,11161,33315
11202,..,8321,8321,9107,909,10014,3649,145,3792,3032,44,3069,1456,13,1469,884,10,892,18126,9433,27563
11203,..,10812,10812,12839,1107,13943,4869,190,5061,4766,38,4800,2008,14,2019,962,8,972,25436,12164,37602
11301,..,4638,4638,5439,325,5766,2472,86,2557,2310,29,2336,1264,11,1276,689,17,706,12171,5102,17272
11302,..,1673,1673,2064,86,2147,709,11,721,670,0,673,321,4,326,149,0,149,3913,1775,5687
11303,..,10396,10396,11946,871,12818,4877,203,5082,4548,83,4626,2399,34,2432,1242,13,1255,25012,11603,36613
11401,..,12137,12137,16287,982,17272,5289,117,5410,4656,47,4695,2051,15,2064,1017,7,1023,29300,13305,42603
11402,..,5283,5283,7481,350,7829,2584,51,2637,2636,15,2653,1212,7,1220,558,4,564,14478,5718,20186
11501,..,6674,6674,13315,419,13728,9532,111,9639,12106,72,12171,4793,37,4831,2240,15,2259,41984,7326,49311
11502,..,1312,1312,2467,101,2570,1281,24,1308,1743,8,1750,939,3,937,683,0,682,7115,1454,8570
11503,..,1325,1325,2547,120,2668,1353,12,1365,1480,3,1482,794,0,801,510,0,510,6685,1464,8146
11504,..,1698,1698,3794,160,3957,3298,31,3326,4803,6,4809,2061,0,2068,972,0,972,14930,1899,16834
11601,..,8930,8930,11727,1007,12737,8834,330,9168,9051,171,9221,3803,83,3887,2458,48,2501,35876,10577,46456
11602,..,4398,4398,8756,531,9290,9329,174,9504,12064,68,12127,4352,29,4377,2373,12,2390,36874,5214,42087
11603,..,6153,6153,7761,655,8420,6279,103,6381,6543,39,6585,3582,19,3597,3036,8,3047,27207,6974,34185
11701,..,5570,5570,6371,1131,7497,3666,383,4045,3196,130,3321,1137,48,1184,533,25,554,14894,7283,22177
11702,..,6608,6608,6641,1203,7848,2991,563,3558,2565,279,2849,713,78,793,368,28,396,13284,8762,22044
11703,..,40798,40798,31566,7267,38835,9068,2801,11867,5347,1216,6563,1297,358,1654,521,157,677,47795,52599,100396
11801,..,16099,16099,15777,2824,18598,6461,992,7455,6207,273,6486,2263,65,2328,611,13,621,31317,20273,51592
11802,..,14503,14503,14967,2616,17584,7418,891,8311,7418,235,7653,2422,75,2498,822,51,872,33047,18381,51429
11901,..,11192,11192,13360,904,14269,9607,242,9846,10227,114,10345,6019,48,6070,4841,41,4888,44060,12547,56605
11902,..,9761,9761,11143,1349,12493,7936,510,8448,7631,299,7931,3808,122,3928,2888,93,2984,33417,12127,45549
11903,..,9946,9946,12188,1003,13191,8178,370,8546,8134,223,8352,3463,88,3545,1899,48,1947,33859,11675,45536
11904,..,13172,13172,15210,1971,17184,9037,607,9642,7794,236,8026,3179,79,3263,1820,61,1879,37038,16128,53171
12001,..,8323,8323,11046,1003,12051,5508,246,5757,5097,69,5171,1742,25,1766,564,0,570,23958,9679,33640
12002,..,6692,6692,7151,697,7852,3395,242,3639,3493,89,3578,845,18,863,160,7,162,15045,7747,22794
12003,..,15574,15574,16724,2871,19599,9918,1157,11077,8511,619,9130,3055,249,3306,1540,144,1678,39741,20614,60357
12101,..,10992,10992,13205,1276,14479,7303,310,7616,7686,101,7786,2562,29,2589,787,19,804,31552,12726,44276
12102,..,6227,6227,8702,517,9219,6023,96,6123,6368,47,6414,2117,22,2137,829,3,832,24038,6918,30954
12103,..,7074,7074,12176,442,12615,7656,80,7736,9493,27,9517,3672,14,3689,1317,14,1325,34310,7649,41956
12104,..,15632,15632,14297,1356,15651,5178,366,5547,4235,63,4297,1201,15,1213,307,8,313,25223,17436,42656
12201,..,3999,3999,5176,551,5729,2378,239,2620,2794,45,2837,985,12,995,238,6,241,11565,4858,16422
12202,..,4609,4609,7099,286,7387,3360,64,3430,4220,20,4245,1874,10,1883,673,3,678,17231,4999,22227
12203,..,12450,12450,15837,1304,17144,8727,268,8994,11105,112,11216,4197,45,4246,1662,23,1685,41535,14191,55729
12301,..,3577,3577,6255,287,6544,4220,39,4261,5236,18,5254,2653,3,2657,1188,0,1187,19545,3935,23480
12302,..,11399,11399,15042,1125,16165,10817,164,10977,10508,47,10555,4917,21,4936,3570,15,3585,44856,12773,57624
12303,..,2596,2596,4474,189,4663,2312,24,2332,2762,7,2773,1523,4,1528,917,0,917,11992,2818,14805
12401,..,8123,8123,10356,636,10983,4388,78,4464,4306,27,4330,1800,4,1805,737,0,738,21584,8870,30458
12402,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
12403,..,12098,12098,15104,1158,16266,9563,156,9714,9713,47,9759,4500,19,4520,2437,12,2451,41313,13497,54809
12404,..,3370,3370,3853,282,4139,2126,41,2161,1896,21,1918,923,4,926,595,4,605,9399,3718,13112
12405,..,3878,3878,5026,435,5465,3431,66,3489,3234,22,3249,1487,3,1488,1090,0,1087,14261,4398,18663
12501,..,7153,7153,8903,1307,10211,5777,643,6423,4925,410,5338,2289,225,2513,2138,153,2284,24037,9889,33926
12502,..,4710,4710,6394,490,6887,4823,113,4936,5065,33,5096,2066,11,2078,1062,4,1065,19401,5366,24765
12503,..,10475,10475,10926,1097,12027,7808,424,8231,8100,272,8370,4892,104,4994,4763,77,4840,36490,12437,48924
12504,..,12579,12579,13765,1908,15671,10646,727,11372,9568,346,9917,2943,128,3069,1476,73,1548,38396,15758,54151
12601,..,3187,3187,5353,397,5752,3500,106,3605,4063,49,4107,1395,17,1418,668,9,677,14974,3763,18738
12602,..,14408,14408,16347,1651,18003,9152,386,9541,8645,157,8802,3077,55,3132,1371,53,1420,38589,16714,55301
12701,..,5098,5098,8799,466,9270,7635,91,7725,9545,32,9574,5263,9,5269,3806,7,3812,35051,5705,40758
12702,..,9587,9587,13133,899,14034,10133,206,10336,10461,79,10539,6520,39,6563,5896,26,5915,46143,10832,56981
12703,..,8380,8380,9972,756,10733,7687,116,7794,8488,48,8537,4093,28,4113,2887,3,2892,33129,9326,42456
12801,..,11203,11203,13961,951,14911,6506,137,6646,7350,34,7379,3040,13,3054,1084,10,1086,31944,12346,44287
12802,..,7287,7287,11675,525,12194,6581,78,6662,8129,19,8145,3359,15,3375,1143,0,1141,30884,7928,38809
19797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20101,..,13555,13555,14215,1256,15472,6177,322,6498,6044,116,6160,2634,31,2663,1006,22,1031,30077,15310,45382
20102,..,3404,3404,4428,255,4677,1500,20,1523,1404,3,1407,671,3,673,290,0,295,8300,3684,11983
20103,..,3626,3626,3890,236,4126,1215,15,1234,1070,8,1072,494,0,494,273,0,272,6942,3885,10828
20201,..,11908,11908,12658,1051,13711,5598,251,5850,5164,80,5247,2243,22,2262,1036,15,1045,26704,13322,40027
20202,..,5511,5511,7288,418,7707,2685,56,2740,2693,9,2699,1043,5,1046,439,7,441,14136,6008,20145
20203,..,1364,1364,1697,98,1794,562,5,567,505,4,508,255,0,255,132,0,130,3150,1475,4624
20301,..,1221,1221,2468,101,2569,1175,14,1191,1483,0,1479,713,0,713,291,0,291,6128,1331,7459
20302,..,23245,23245,24814,2075,26895,11897,752,12645,11349,371,11729,4478,116,4600,1783,70,1855,54329,26628,80964
20303,..,8246,8246,13034,617,13648,4620,175,4792,5352,94,5447,2179,16,2192,573,15,588,25751,9162,34913
20401,..,6969,6969,8495,437,8926,2876,73,2947,2575,19,2600,1214,4,1214,530,7,536,15680,7510,23190
20402,..,6126,6126,7033,394,7422,2339,49,2388,2158,12,2171,1028,5,1037,391,7,392,12937,6591,19530
20403,..,8119,8119,10243,579,10816,3879,100,3978,3775,21,3794,1670,7,1677,675,3,681,20239,8831,29065
20501,..,5473,5473,7554,353,7909,3009,46,3056,2938,21,2960,1427,7,1437,642,4,646,15572,5906,21479
20502,..,6224,6224,7704,417,8124,2226,52,2278,1879,18,1894,892,0,894,394,9,400,13095,6719,19815
20503,..,8944,8944,10852,562,11413,3260,70,3327,2985,16,2996,1454,5,1461,593,3,596,19140,9597,28734
20504,..,9856,9856,9964,701,10668,4040,85,4126,3651,18,3678,1510,11,1515,706,9,718,19870,10690,30560
20505,..,5310,5310,6284,358,6643,2123,44,2164,1996,4,2007,948,5,948,418,0,417,11767,5727,17492
20601,..,12156,12156,10928,2055,12983,4773,1258,6034,4489,582,5077,1187,124,1313,390,30,422,21770,16207,37979
20602,..,7024,7024,6059,870,6934,2940,570,3504,3115,233,3346,827,60,884,208,13,223,13150,8773,21919
20603,..,9388,9388,7982,977,8960,3809,337,4150,3856,119,3978,1336,23,1363,352,14,364,17337,10871,28208
20604,..,30520,30520,21064,6909,27971,5737,1922,7656,2823,676,3497,616,169,781,264,62,326,30508,40243,70753
20605,..,21352,21352,14732,2464,17195,4652,609,5260,3531,147,3678,973,32,1010,238,12,251,24123,24616,48743
20606,..,13596,13596,9481,1838,11320,2529,590,3118,1808,131,1938,587,22,609,138,0,146,14548,16174,30727
20607,..,15117,15117,12733,2539,15278,4145,1552,5698,3104,554,3659,859,124,983,248,26,277,21095,19914,41005
20701,..,16223,16223,18251,1663,19914,9186,564,9747,11190,260,11453,4112,88,4200,1150,37,1183,43878,18840,62715
20702,..,7629,7629,11383,502,11883,6469,140,6614,6551,83,6629,2248,40,2290,881,24,904,27527,8413,35944
20703,..,10544,10544,11543,1270,12814,6391,537,6932,6598,316,6915,2195,117,2311,765,69,830,27494,12856,40344
20801,..,9581,9581,11847,530,12376,5691,90,5780,7106,35,7147,2514,22,2537,511,6,519,27673,10264,37936
20802,..,17043,17043,17628,1842,19469,9152,524,9673,10019,264,10279,3314,93,3409,1011,36,1042,41115,19794,60906
20803,..,13781,13781,14424,903,15328,7623,159,7782,8214,45,8259,2504,19,2524,656,5,663,33416,14915,48335
20804,..,4933,4933,4785,528,5305,2195,173,2367,2601,87,2689,965,31,997,204,3,214,10745,5758,16501
20901,..,11903,11903,14735,955,15684,7548,321,7875,8435,143,8573,2700,45,2749,859,26,878,34279,13389,47666
20902,..,11180,11180,10855,1494,12346,5575,560,6140,5079,277,5350,1621,88,1707,790,59,851,23916,13652,37564
20903,..,3358,3358,6952,208,7163,4006,31,4041,5095,13,5105,2043,6,2051,622,3,622,18712,3621,22333
20904,..,14906,14906,22189,1411,23593,15662,391,16052,17311,184,17496,7341,75,7413,3686,50,3733,66185,17013,83197
21001,..,5242,5242,6979,350,7330,3833,84,3916,4255,20,4280,1502,11,1515,459,9,468,17036,5715,22754
21002,..,1980,1980,3768,129,3899,1744,21,1767,2252,0,2251,976,0,976,358,0,358,9091,2132,11227
21003,..,7799,7799,8342,836,9177,4711,265,4975,4621,165,4783,1733,86,1816,950,37,990,20358,9177,29537
21004,..,3548,3548,5032,309,5341,2910,45,2953,2909,11,2922,1132,0,1137,432,0,433,12413,3915,16329
21005,..,9817,9817,14097,953,15051,11547,259,11812,12889,152,13045,6548,70,6613,4982,30,5012,50064,11281,61344
21101,..,12183,12183,17258,1095,18356,10448,195,10644,10826,74,10897,3810,30,3839,1507,10,1515,43844,13583,57431
21102,..,1370,1370,2635,69,2709,1440,20,1458,1930,7,1939,864,4,862,305,0,305,7175,1465,8641
21103,..,10691,10691,12964,850,13807,7045,163,7215,7360,56,7419,2689,31,2725,1000,7,1004,31061,11799,42858
21104,..,5390,5390,6673,439,7116,3847,140,3991,4431,67,4499,1482,34,1513,505,18,521,16937,6082,23020
21105,..,11824,11824,17858,919,18778,9139,145,9276,9894,52,9940,3935,14,3951,1777,10,1781,42593,12962,55559
21201,..,7677,7677,11387,722,12109,6856,114,6970,7707,36,7746,3356,14,3364,1802,0,1809,31104,8565,39673
21202,..,7984,7984,12266,792,13054,8143,235,8377,9028,109,9134,3793,40,3833,2294,14,2313,35525,9175,44695
21203,..,9654,9654,15881,1128,17007,13418,290,13707,15944,118,16063,7136,34,7163,5046,15,5061,57428,11238,68665
21204,..,14109,14109,16400,1656,18051,11408,712,12119,10528,429,10957,4977,193,5166,3760,119,3879,47066,17204,64274
21205,..,13366,13366,18359,1723,20081,11119,986,12102,11983,614,12593,3905,246,4147,1594,158,1752,46956,17082,64036
21301,..,12402,12402,16006,1308,17310,10891,521,11415,10754,292,11041,4909,129,5037,3537,65,3604,46092,14716,60809
21302,..,8637,8637,9995,658,10651,5421,116,5546,5558,53,5611,1810,16,1830,652,3,655,23441,9484,32922
21303,..,9996,9996,9688,1520,11207,4989,612,5604,4555,218,4774,1406,86,1495,570,50,622,21213,12482,33695
21304,..,10657,10657,15090,998,16084,11641,158,11797,13627,48,13673,6056,17,6073,3560,11,3570,49975,11884,61861
21305,..,14152,14152,20873,1871,22741,19135,620,19755,20689,389,21070,8124,169,8291,5458,90,5545,74276,17281,91560
21401,..,14700,14700,15680,1305,16980,8679,214,8887,8085,34,8122,3099,18,3120,1194,9,1204,36737,16282,53019
21402,..,17727,17727,23197,1004,24206,8621,126,8744,9079,36,9116,3610,18,3625,1231,3,1234,45733,18918,64650
21501,..,8130,8130,8488,531,9018,2882,84,2966,2462,25,2489,1249,13,1259,468,4,470,15549,8786,24334
21502,..,6177,6177,6909,471,7376,2905,120,3019,2650,47,2698,1289,26,1323,659,26,692,14414,6868,21283
21503,..,4490,4490,5104,372,5475,1759,71,1833,1503,40,1542,851,11,858,423,14,438,9639,4992,14635
21601,..,4465,4465,5437,291,5724,1864,43,1905,1725,17,1738,884,3,887,407,3,410,10316,4818,15130
21602,..,3579,3579,4443,263,4710,1334,35,1363,1247,10,1259,661,4,666,324,10,335,8013,3903,11917
21603,..,6888,6888,7773,550,8324,3447,154,3600,3346,51,3394,1584,14,1599,905,16,918,17051,7670,24727
21701,..,4929,4929,5369,306,5670,1853,31,1883,1563,11,1570,713,6,715,283,0,286,9782,5273,15056
21703,..,4797,4797,5306,351,5654,1751,53,1805,1598,30,1627,887,12,904,395,4,398,9940,5244,15185
21704,..,5858,5858,7018,413,7432,2719,102,2817,2571,29,2603,1228,11,1242,469,4,475,14008,6419,20425
29797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29999,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30101,..,5314,5314,8627,497,9125,4582,98,4680,4556,22,4577,1791,4,1790,884,0,884,20434,5937,26373
30102,..,7889,7889,12077,731,12810,5353,78,5427,5455,16,5471,2167,4,2172,1011,5,1018,26059,8720,34786
30103,..,5988,5988,8178,639,8820,4723,127,4855,4867,38,4903,1667,12,1677,656,4,654,20094,6794,26887
30201,..,3209,3209,5209,367,5576,3026,129,3155,3076,28,3109,1070,10,1080,478,8,485,12867,3745,16610
30202,..,8505,8505,8877,1094,9967,4380,269,4646,4272,71,4343,1515,30,1544,544,9,557,19584,9970,29556
30203,..,5375,5375,5297,730,6031,2597,160,2754,2233,53,2286,750,10,756,295,5,300,11165,6333,17496
