SED_CODE_2021,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Brazil_0_4,M_Brazil_5_14,M_Brazil_15_24,M_Brazil_25_44,M_Brazil_45_54,M_Brazil_55_64,M_Brazil_65_74,M_Brazil_75_84,M_Brazil_85ov,M_Brazil_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_SAR_Ch_0_4,M_Hong_Kong_SAR_Ch_5_14,M_Hong_Kong_SAR_Ch_15_24,M_Hong_Kong_SAR_Ch_25_44,M_Hong_Kong_SAR_Ch_45_54,M_Hong_Kong_SAR_Ch_55_64,M_Hong_Kong_SAR_Ch_65_74,M_Hong_Kong_SAR_Ch_75_84,M_Hong_Kong_SAR_Ch_85ov,M_Hong_Kong_SAR_Ch_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot
SED10011,0,0,0,4,0,0,0,0,0,3,1752,4306,3621,6225,3596,3440,3125,1293,363,27725,0,0,0,4,0,5,0,0,0,7,0,0,0,5,0,0,0,0,0,8,0,0,4,12,4,4,0,0,0,25,0,0,3,3,8,0,0,0,0,16,0,0,9,22,29,17,14,3,0,90,0,0,3,10,6,10,7,5,0,51,0,4,3,26,15,22,13,8,3,93,0,0,0,3,9,15,6,8,0,31,0,0,0,0,0,7,11,5,3,24,6,32,38,200,336,476,529,336,65,2005,0,0,0,5,9,7,12,0,0,27,0,6,0,17,13,11,12,0,3,75,0,0,4,22,32,47,67,50,12,239,0,0,0,5,4,4,8,10,0,32,0,0,0,8,9,9,8,0,0,32,0,13,3,78,20,15,17,16,7,169,0,4,0,12,3,6,6,3,0,36,0,0,0,13,3,0,0,0,0,19
SED10012,3,0,3,26,7,6,5,0,0,49,1940,4381,4279,4094,847,831,458,203,52,17089,0,0,0,11,0,0,0,0,0,20,0,0,0,31,23,34,31,16,9,147,0,0,0,6,0,0,0,0,0,3,10,39,96,435,397,460,327,122,39,1914,0,0,0,3,0,0,0,0,0,5,0,0,3,24,30,35,61,34,8,189,0,9,30,175,116,157,120,73,84,774,0,0,0,55,45,84,114,91,50,433,0,0,0,8,4,13,13,11,3,57,0,12,0,12,13,55,47,25,15,186,0,9,11,77,43,64,42,8,4,255,0,0,0,5,0,4,3,0,0,19,0,4,6,8,5,6,21,19,7,69,0,3,5,4,4,13,18,14,5,64,0,0,3,51,9,9,14,0,0,99,0,4,7,49,24,17,22,3,0,127,0,5,3,43,16,10,16,4,0,88,0,3,15,65,27,36,16,11,7,183
SED10013,0,4,4,50,18,18,0,0,0,97,6009,9534,6921,13470,5096,3250,2042,884,263,47468,0,23,19,221,43,14,4,0,0,324,0,0,0,61,22,13,16,7,0,117,0,0,0,24,3,0,3,0,0,31,0,0,5,45,27,3,9,5,0,92,0,6,6,12,13,0,3,4,0,44,0,0,8,76,63,51,38,11,0,240,0,16,30,163,88,100,53,15,4,464,0,3,0,35,15,41,43,36,11,188,0,26,13,86,30,27,20,19,5,208,7,63,63,246,255,325,280,180,40,1458,0,9,29,304,139,80,49,7,3,617,0,0,0,8,12,4,4,3,0,31,0,0,3,27,13,17,54,25,8,147,0,6,4,10,4,24,34,12,3,94,0,4,7,24,8,8,6,6,0,55,8,102,90,1022,218,76,59,22,5,1602,0,0,11,46,21,9,10,0,0,106,0,5,3,68,19,13,4,0,0,124
SED10014,0,0,0,52,6,13,8,4,0,83,2735,5240,4456,6912,2488,2328,1798,780,143,26880,6,13,28,342,92,35,22,5,0,542,0,0,0,15,14,11,5,0,0,43,0,0,0,13,4,0,0,0,0,12,0,0,8,32,10,16,15,5,0,86,0,0,0,8,4,10,0,0,0,24,0,0,3,36,52,51,49,30,0,219,0,15,10,90,40,44,50,20,9,290,0,0,0,7,10,17,14,25,0,77,0,4,16,62,19,24,36,19,7,181,5,23,20,98,115,240,269,167,35,974,0,13,13,165,113,84,49,16,3,461,0,0,4,7,8,3,8,0,0,28,0,0,7,13,4,21,34,28,3,107,0,0,0,8,8,15,25,20,0,77,0,0,12,16,3,8,16,0,0,66,8,49,73,471,140,85,54,30,6,910,0,3,11,54,25,24,13,7,0,137,0,3,14,44,7,8,10,9,0,93
SED10015,0,0,0,3,0,0,0,0,0,9,2468,4436,3902,5945,2842,1624,751,334,138,22444,0,23,37,325,54,34,16,0,0,490,0,0,0,13,7,10,3,0,0,40,4,10,13,162,21,17,0,4,0,234,0,0,3,5,3,6,12,0,0,27,0,0,6,14,7,6,0,0,0,35,4,0,6,27,20,14,12,10,0,89,8,44,229,1388,754,940,541,174,129,4201,0,0,0,4,5,22,17,20,7,69,0,9,5,47,26,41,43,54,10,230,4,20,16,152,105,117,69,50,13,541,0,5,14,77,49,52,49,11,3,249,0,0,0,21,10,8,3,5,0,46,0,0,5,24,17,9,9,11,0,74,4,25,32,91,99,196,363,606,322,1740,0,10,19,133,40,65,75,12,3,359,6,24,49,455,83,54,27,15,4,715,4,13,53,242,91,71,61,25,4,558,0,0,3,38,9,8,0,0,0,62
SED10016,0,3,3,66,44,26,14,3,4,171,3080,6930,5499,6081,3498,2221,1598,891,256,30058,0,10,4,86,28,28,10,7,0,176,0,0,0,11,10,18,3,0,0,31,0,4,8,27,10,3,0,0,0,58,0,0,0,3,5,6,3,0,0,19,0,10,8,29,14,14,0,0,0,72,0,4,0,16,27,15,12,6,0,79,7,125,102,1101,333,352,304,87,39,2460,0,0,0,8,19,27,18,25,7,104,0,67,15,133,40,45,50,25,7,384,7,91,139,251,301,282,215,147,33,1462,0,0,11,76,69,42,29,7,0,238,0,3,0,11,7,8,0,0,0,36,0,3,8,24,23,21,28,38,7,142,0,0,6,8,8,8,22,13,8,63,7,22,26,160,49,100,77,15,4,458,24,285,212,1649,587,267,192,87,20,3324,0,5,28,119,54,22,37,22,5,297,0,45,60,368,174,113,62,25,4,849
SED10017,0,0,0,6,0,0,0,0,0,6,2921,5791,4945,10399,4603,4209,3484,1518,432,38309,0,0,0,20,8,0,0,0,0,26,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,7,9,3,3,0,0,28,0,0,0,3,0,3,0,0,0,7,0,0,11,45,17,11,9,0,0,90,0,0,0,0,0,0,3,6,0,20,0,0,0,9,0,3,9,0,0,19,0,14,17,90,122,194,217,128,36,814,0,0,3,14,9,3,8,6,0,44,0,0,0,4,4,3,0,4,0,20,0,0,0,3,6,16,41,35,0,105,0,0,0,0,0,4,4,0,0,14,0,0,0,13,4,0,6,0,0,27,0,21,17,162,23,11,9,5,5,252,0,0,0,6,0,0,3,0,0,15,0,0,0,12,4,0,0,0,0,20
SED10018,0,0,0,0,0,0,0,0,0,0,2197,4891,4213,7716,4031,3592,2737,1684,604,31661,0,0,0,5,0,0,0,0,0,6,0,0,0,8,0,0,4,0,0,10,0,0,4,16,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,3,0,3,12,25,22,8,8,3,0,75,0,0,0,3,3,3,3,0,0,12,0,5,11,65,19,8,18,6,5,137,0,0,0,4,0,11,5,9,0,25,0,0,0,5,3,7,0,6,0,25,7,56,52,184,151,170,161,137,42,965,0,0,4,17,3,3,3,0,0,29,0,8,3,9,3,6,3,4,0,28,0,4,0,21,11,15,46,36,3,145,0,0,0,0,7,4,9,13,12,42,0,6,0,11,5,7,7,0,0,37,0,3,19,91,31,17,8,7,7,184,0,4,0,20,6,3,3,0,0,33,0,0,0,11,5,0,0,0,0,11
SED10019,0,0,0,4,0,0,0,0,0,4,1752,4269,3608,6377,3803,4736,4777,2542,788,32651,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,4,15,10,7,3,0,0,48,0,0,0,0,3,4,3,0,0,10,0,3,4,22,7,8,0,0,0,47,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,5,3,0,11,0,3,11,65,65,195,251,195,42,844,0,0,0,6,0,3,4,0,0,19,0,0,0,3,0,3,11,0,0,16,0,0,0,6,6,16,32,24,4,88,0,0,0,0,0,0,0,0,0,6,0,0,0,4,5,11,0,0,0,22,4,13,5,61,15,9,5,3,0,104,0,0,0,0,0,0,5,4,0,12,0,0,0,7,0,3,0,0,0,12
SED10020,0,4,11,8,8,9,0,0,0,31,1899,4429,3491,6420,3609,3910,3772,1865,603,29991,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,13,3,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,6,5,32,12,16,17,11,0,90,0,0,0,8,7,0,3,0,0,16,0,0,5,32,8,9,6,9,3,75,0,0,0,0,0,4,0,7,0,11,0,5,0,7,0,0,3,12,0,25,0,33,29,135,189,246,299,232,79,1246,0,0,0,14,5,7,6,3,0,42,0,0,0,16,3,9,8,3,0,40,0,4,3,16,22,16,43,59,17,184,0,0,0,0,3,8,4,4,4,15,0,0,4,11,0,3,6,0,3,28,3,30,41,363,86,57,63,12,15,671,5,0,5,10,0,3,0,3,0,21,0,0,0,3,5,0,0,0,0,10
SED10021,0,0,0,0,0,0,0,0,0,3,2098,3660,2856,6743,2805,2136,1385,736,315,22736,0,0,3,20,3,0,0,0,0,34,0,0,0,7,3,6,0,3,0,23,0,6,39,454,31,3,3,0,0,540,0,0,5,0,6,0,0,0,0,10,3,10,0,82,44,21,9,4,0,175,0,8,6,111,13,13,18,9,0,175,0,19,46,166,44,61,43,23,15,427,0,0,0,11,5,4,6,9,8,38,0,0,0,13,5,6,18,15,9,68,26,135,140,1768,558,365,202,137,34,3372,0,0,0,20,13,13,9,3,5,59,0,21,30,269,48,19,15,5,4,416,0,9,13,105,54,24,29,31,16,278,0,0,5,9,10,23,38,60,36,172,7,18,27,54,28,24,16,3,4,183,3,9,9,160,26,29,17,19,16,279,0,6,4,36,17,18,16,7,0,102,0,0,0,55,15,7,5,0,0,84
SED10022,0,0,0,9,0,0,0,0,0,9,1932,4223,3492,6103,3641,4330,4118,2300,708,30841,0,0,0,12,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,11,0,0,0,4,9,5,0,0,0,7,0,0,0,5,6,0,0,0,0,13,0,15,13,94,14,3,8,3,0,155,0,0,0,0,0,9,0,3,0,16,0,0,0,4,0,6,5,0,0,12,0,8,7,46,48,124,147,115,24,520,0,0,5,65,7,5,3,0,0,86,0,0,0,8,0,0,3,0,0,15,0,0,0,5,9,8,31,17,0,73,0,0,0,0,0,3,8,6,0,10,0,0,0,5,0,3,5,0,0,11,0,3,7,88,10,8,0,8,0,132,0,3,0,3,3,0,3,0,3,14,0,0,0,6,3,0,0,0,0,10
