SED_CODE_2021,C0_4F_EO_M_EO,C0_4F_EO_M_O_EVWW,C0_4F_EO_M_O_ENWNA,C0_4F_EO_M_O_PENS,C0_4F_EO_M_O_E_T,C0_4F_EO_M_LPENS,C0_4F_EO_M_T,C0_4F_O_EVWW_M_EO,C0_4F_O_EVWW_M_O_EVWW,C0_4F_O_EVWW_M_O_ENWNA,C0_4F_O_EVWW_M_O_PENS,C0_4F_O_EVWW_M_O_E_T,C0_4F_O_EVWW_M_LPENS,C0_4F_O_EVWW_M_T,C0_4F_O_ENWNA_M_EO,C0_4F_O_ENWNA_M_O_EVWW,C0_4F_O_ENWNA_M_O_ENWNA,C0_4F_O_ENWNA_M_O_PENS,C0_4F_O_ENWNA_M_O_E_T,C0_4F_O_ENWNA_M_LPENS,C0_4F_O_ENWNA_M_T,C0_4F_O_PENS_M_EO,C0_4F_O_PENS_M_O_EVWW,C0_4F_O_PENS_M_O_ENWNA,C0_4F_O_PENS_M_O_PENS,C0_4F_O_PENS_M_O_E_T,C0_4F_O_PENS_M_LPENS,C0_4F_O_PENS_M_T,C0_4F_O_E_T_M_EO,C0_4F_O_E_T_M_O_EVWW,C0_4F_O_E_T_M_O_ENWNA,C0_4F_O_E_T_M_O_PENS,C0_4F_O_E_T_M_O_E_T,C0_4F_O_E_T_M_LPENS,C0_4F_O_E_T_M_T,C0_4F_LPENS_M_EO,C0_4F_LPENS_M_O_EVWW,C0_4F_LPENS_M_O_ENWNA,C0_4F_LPENS_M_O_PENS,C0_4F_LPENS_M_O_E_T,C0_4F_LPENS_M_LPENS,C0_4F_LPENS_M_T,C0_4F_T_M_EO,C0_4F_T_M_O_EVWW,C0_4F_T_M_O_ENWNA,C0_4F_T_M_O_PENS,C0_4F_T_M_O_E_T,C0_4F_T_M_LPENS,C0_4F_T_M_T,C5_9F_EO_M_EO,C5_9F_EO_M_O_EVWW,C5_9F_EO_M_O_ENWNA,C5_9F_EO_M_O_PENS,C5_9F_EO_M_O_E_T,C5_9F_EO_M_LPENS,C5_9F_EO_M_T,C5_9F_O_EVWW_M_EO,C5_9F_O_EVWW_M_O_EVWW,C5_9F_O_EVWW_M_O_ENWNA,C5_9F_O_EVWW_M_O_PENS,C5_9F_O_EVWW_M_O_E_T,C5_9F_O_EVWW_M_LPENS,C5_9F_O_EVWW_M_T,C5_9F_O_ENWNA_M_EO,C5_9F_O_ENWNA_M_O_EVWW,C5_9F_O_ENWNA_M_O_ENWNA,C5_9F_O_ENWNA_M_O_PENS,C5_9F_O_ENWNA_M_O_E_T,C5_9F_O_ENWNA_M_LPENS,C5_9F_O_ENWNA_M_T,C5_9F_O_PENS_M_EO,C5_9F_O_PENS_M_O_EVWW,C5_9F_O_PENS_M_O_ENWNA,C5_9F_O_PENS_M_O_PENS,C5_9F_O_PENS_M_O_E_T,C5_9F_O_PENS_M_LPENS,C5_9F_O_PENS_M_T,C5_9F_O_E_T_M_EO,C5_9F_O_E_T_M_O_EVWW,C5_9F_O_E_T_M_O_ENWNA,C5_9F_O_E_T_M_O_PENS,C5_9F_O_E_T_M_O_E_T,C5_9F_O_E_T_M_LPENS,C5_9F_O_E_T_M_T,C5_9F_LPENS_M_EO,C5_9F_LPENS_M_O_EVWW,C5_9F_LPENS_M_O_ENWNA,C5_9F_LPENS_M_O_PENS,C5_9F_LPENS_M_O_E_T,C5_9F_LPENS_M_LPENS,C5_9F_LPENS_M_T,C5_9F_T_M_EO,C5_9F_T_M_O_EVWW,C5_9F_T_M_O_ENWNA,C5_9F_T_M_O_PENS,C5_9F_T_M_O_E_T,C5_9F_T_M_LPENS,C5_9F_T_M_T,C10_12F_EO_M_EO,C10_12F_EO_M_O_EVWW,C10_12F_EO_M_O_ENWNA,C10_12F_EO_M_O_PENS,C10_12F_EO_M_O_E_T,C10_12F_EO_M_LPENS,C10_12F_EO_M_T,C10_12F_O_EVWW_M_EO,C10_12F_O_EVWW_M_O_EVWW,C10_12F_O_EVWW_M_O_ENWNA,C10_12F_O_EVWW_M_O_PENS,C10_12F_O_EVWW_M_O_E_T,C10_12F_O_EVWW_M_LPENS,C10_12F_O_EVWW_M_T,C10_12F_O_ENWNA_M_EO,C10_12F_O_ENWNA_M_O_EVWW,C10_12F_O_ENWNA_M_O_ENWNA,C10_12F_O_ENWNA_M_O_PENS,C10_12F_O_ENWNA_M_O_E_T,C10_12F_O_ENWNA_M_LPENS,C10_12F_O_ENWNA_M_T,C10_12F_O_PENS_M_EO,C10_12F_O_PENS_M_O_EVWW,C10_12F_O_PENS_M_O_ENWNA,C10_12F_O_PENS_M_O_PENS,C10_12F_O_PENS_M_O_E_T,C10_12F_O_PENS_M_LPENS,C10_12F_O_PENS_M_T,C10_12F_O_E_T_M_EO,C10_12F_O_E_T_M_O_EVWW,C10_12F_O_E_T_M_O_ENWNA,C10_12F_O_E_T_M_O_PENS,C10_12F_O_E_T_M_O_E_T,C10_12F_O_E_T_M_LPENS,C10_12F_O_E_T_M_T,C10_12F_LPENS_M_EO,C10_12F_LPENS_M_O_EVWW,C10_12F_LPENS_M_O_ENWNA,C10_12F_LPENS_M_O_PENS,C10_12F_LPENS_M_O_E_T,C10_12F_LPENS_M_LPENS,C10_12F_LPENS_M_T,C10_12F_T_M_EO,C10_12F_T_M_O_EVWW,C10_12F_T_M_O_ENWNA,C10_12F_T_M_O_PENS,C10_12F_T_M_O_E_T,C10_12F_T_M_LPENS,C10_12F_T_M_T,C13_14F_EO_M_EO,C13_14F_EO_M_O_EVWW,C13_14F_EO_M_O_ENWNA,C13_14F_EO_M_O_PENS,C13_14F_EO_M_O_E_T,C13_14F_EO_M_LPENS,C13_14F_EO_M_T,C13_14F_O_EVWW_M_EO,C13_14F_O_EVWW_M_O_EVWW,C13_14F_O_EVWW_M_O_ENWNA,C13_14F_O_EVWW_M_O_PENS,C13_14F_O_EVWW_M_O_E_T,C13_14F_O_EVWW_M_LPENS,C13_14F_O_EVWW_M_T,C13_14F_O_ENWNA_M_EO,C13_14F_O_ENWNA_M_O_EVWW,C13_14F_O_ENWNA_M_O_ENWNA,C13_14F_O_ENWNA_M_O_PENS,C13_14F_O_ENWNA_M_O_E_T,C13_14F_O_ENWNA_M_LPENS,C13_14F_O_ENWNA_M_T,C13_14F_O_PENS_M_EO,C13_14F_O_PENS_M_O_EVWW,C13_14F_O_PENS_M_O_ENWNA,C13_14F_O_PENS_M_O_PENS,C13_14F_O_PENS_M_O_E_T,C13_14F_O_PENS_M_LPENS,C13_14F_O_PENS_M_T,C13_14F_O_E_T_M_EO,C13_14F_O_E_T_M_O_EVWW,C13_14F_O_E_T_M_O_ENWNA,C13_14F_O_E_T_M_O_PENS,C13_14F_O_E_T_M_O_E_T,C13_14F_O_E_T_M_LPENS,C13_14F_O_E_T_M_T,C13_14F_LPENS_M_EO,C13_14F_LPENS_M_O_EVWW,C13_14F_LPENS_M_O_ENWNA,C13_14F_LPENS_M_O_PENS,C13_14F_LPENS_M_O_E_T,C13_14F_LPENS_M_LPENS,C13_14F_LPENS_M_T,C13_14F_TM_EO,C13_14F_TM_O_EVWW,C13_14F_TM_O_ENWNA,C13_14F_TM_O_PENS,C13_14F_TM_O_E_T,C13_14F_TM_LPENS,C13_14F_TM_T,C15_17F_EO_M_EO,C15_17F_EO_M_O_EVWW,C15_17F_EO_M_O_ENWNA,C15_17F_EO_M_O_PENS
SED10084,2573,65,0,0,68,3,2648,120,189,10,0,201,0,318,0,11,6,0,17,0,17,0,0,0,0,0,0,0,119,198,15,0,213,0,335,3,0,0,0,0,8,13,2702,260,18,0,284,9,2990,2902,70,0,0,70,3,2970,120,147,3,0,149,0,271,5,12,9,0,14,0,21,0,0,0,0,0,0,0,130,152,5,0,163,0,290,4,0,0,0,0,4,8,3034,226,5,0,235,4,3272,1743,29,0,0,29,0,1776,72,88,0,0,88,0,159,0,0,3,0,3,0,6,0,0,0,0,0,0,0,75,88,3,0,92,0,169,4,0,0,0,0,5,4,1823,116,3,0,120,4,1946,1121,22,0,0,22,0,1151,35,35,0,0,36,0,73,0,0,0,0,3,0,4,0,0,0,0,0,0,0,35,34,0,0,40,0,73,0,0,0,0,0,0,5,1158,59,0,0,59,5,1224,1307,23,0,0
SED10085,3029,40,0,0,40,12,3083,74,115,4,0,121,0,194,0,8,3,0,9,0,9,0,0,0,0,0,0,0,74,119,10,0,131,0,203,3,0,0,0,0,3,4,3107,165,10,0,173,15,3291,3501,23,4,0,23,8,3532,63,118,8,0,125,0,189,0,9,7,0,11,0,17,0,0,0,0,0,0,0,64,122,16,0,141,0,205,0,0,0,0,0,4,7,3567,148,17,0,162,6,3741,2065,17,0,0,15,7,2084,30,59,3,0,62,0,93,0,3,5,0,7,0,13,0,0,0,0,0,0,0,30,63,7,0,69,0,104,0,0,0,0,0,0,4,2096,82,9,0,86,5,2191,1436,7,0,0,11,3,1450,19,44,3,0,41,0,54,0,0,0,0,4,0,4,0,0,0,0,0,0,0,19,42,4,0,43,0,62,4,0,0,0,0,4,7,1453,49,9,0,56,4,1513,1569,13,0,0
SED10086,2388,191,0,0,193,5,2592,302,595,8,0,602,0,904,3,9,7,0,17,0,24,0,0,0,0,0,0,0,303,605,17,0,619,0,926,3,0,0,0,0,0,7,2698,798,18,0,817,5,3521,2134,139,0,0,139,0,2276,251,534,23,0,557,0,805,4,17,3,0,20,0,24,0,0,0,0,0,0,6,258,550,24,0,577,0,833,0,0,0,0,0,0,3,2389,691,24,0,713,0,3114,1477,56,0,0,56,0,1532,123,302,3,0,307,0,432,0,4,8,0,15,0,15,0,0,0,0,0,0,0,123,307,12,0,320,0,446,0,0,0,0,0,0,3,1597,362,12,0,380,0,1979,1015,35,0,0,34,0,1053,66,172,0,0,176,0,239,0,5,10,0,13,0,13,0,0,0,0,0,0,0,66,177,9,0,193,0,256,0,3,0,0,3,0,3,1083,211,10,0,229,0,1313,1413,32,0,0
SED10087,3247,64,5,0,66,0,3321,75,448,19,0,470,0,545,0,39,64,0,110,0,110,0,0,0,0,0,0,0,75,487,88,0,575,0,654,5,0,0,0,0,6,5,3328,555,94,0,648,3,3980,3110,43,4,0,45,0,3159,68,427,23,0,449,0,519,0,55,100,0,153,0,153,0,0,0,0,0,0,0,68,482,121,0,603,0,674,3,0,0,0,0,8,11,3185,526,121,0,651,8,3839,2036,14,0,0,14,0,2051,21,200,4,0,204,0,222,0,20,57,0,82,0,82,0,0,0,0,0,0,0,21,221,67,0,285,0,303,0,0,0,0,0,4,7,2060,232,67,0,298,4,2363,1291,9,0,0,9,0,1297,15,125,8,0,132,0,142,0,16,29,0,44,0,44,0,0,0,0,0,0,0,15,136,37,0,177,0,192,0,0,0,0,0,0,0,1305,145,37,0,188,0,1491,1477,8,0,0
SED10088,2889,176,3,0,175,0,3070,350,756,15,0,775,4,1132,0,15,12,0,30,0,32,0,0,0,0,0,0,0,353,772,32,0,806,4,1166,3,4,0,0,4,0,4,3247,953,34,0,984,3,4238,3269,151,0,0,151,0,3419,290,763,24,0,792,0,1084,6,23,24,0,52,0,59,0,0,0,0,0,0,0,293,786,53,0,845,0,1141,7,3,0,0,3,0,11,3568,942,53,0,995,0,4568,2129,75,0,0,83,0,2208,155,387,20,0,406,0,553,4,11,11,0,24,0,23,0,0,0,0,0,0,0,158,396,33,0,429,0,583,0,0,0,0,0,3,7,2283,475,36,0,505,3,2795,1444,40,0,0,40,0,1478,86,245,13,0,253,0,340,0,10,16,0,25,0,28,0,0,0,0,0,0,0,86,250,26,0,278,0,369,0,0,0,0,0,5,5,1529,288,26,0,317,5,1853,1847,57,4,0
SED10089,2922,105,0,0,110,10,3041,131,560,24,0,585,0,719,3,91,23,0,114,0,118,0,0,0,0,0,0,3,138,648,52,0,702,0,837,0,4,0,0,4,0,5,3063,764,46,0,808,12,3882,2846,96,0,0,101,3,2953,159,516,23,0,541,0,701,0,114,47,0,157,0,161,0,0,0,0,0,0,0,166,631,70,0,699,0,863,0,0,0,0,0,5,5,3012,724,71,0,801,8,3819,1598,47,0,0,47,0,1643,71,307,14,0,320,0,390,0,41,28,0,72,0,69,4,0,0,3,3,0,3,76,346,40,3,390,0,466,0,0,0,0,0,0,0,1679,391,40,3,436,0,2115,1056,22,0,0,22,0,1080,20,129,9,0,134,0,160,0,25,24,0,51,0,52,0,0,0,0,0,0,0,28,156,30,0,182,0,207,0,0,0,0,0,0,0,1078,179,30,0,206,0,1287,1432,29,0,0
SED10090,2190,145,0,0,148,0,2334,431,1273,36,6,1312,0,1744,3,97,13,0,111,0,110,0,4,0,0,7,0,7,433,1370,49,4,1420,3,1861,0,6,0,0,6,9,11,2626,1521,49,5,1574,9,4210,2431,104,0,0,104,0,2536,380,1619,73,0,1699,0,2079,0,136,60,0,192,0,201,0,4,0,0,4,0,4,385,1757,136,0,1895,0,2277,6,11,0,0,11,3,17,2814,1873,136,0,2006,10,4830,1604,48,0,0,48,0,1657,162,790,35,0,827,0,987,3,67,35,0,100,0,105,0,0,0,0,0,0,0,167,847,75,0,926,0,1095,0,0,0,0,0,5,4,1778,897,75,0,976,3,2754,1052,32,0,0,32,0,1092,94,410,32,0,438,0,529,0,29,26,0,54,0,54,0,0,0,0,0,0,0,94,442,54,0,496,0,590,0,0,0,0,0,0,5,1151,478,54,0,532,0,1678,1400,29,0,0
SED10091,3831,107,4,0,108,0,3938,129,260,15,0,270,0,403,0,21,6,0,22,0,22,0,0,0,0,0,0,0,134,275,15,0,296,0,425,0,4,0,0,4,4,7,3960,383,16,0,404,10,4375,3778,97,0,0,96,3,3881,163,211,6,0,221,0,380,9,15,9,0,21,0,27,4,0,0,0,0,0,4,170,223,13,0,237,0,405,8,6,0,0,6,14,21,3951,325,17,0,338,18,4307,2353,50,0,0,50,0,2406,72,133,0,0,136,0,211,3,6,0,0,6,0,12,0,0,0,0,0,0,0,77,143,8,0,145,0,226,0,0,0,0,0,0,8,2433,190,8,0,198,4,2635,1560,26,0,0,26,4,1587,46,77,3,0,79,0,130,0,0,4,0,9,0,9,0,0,0,0,0,0,0,46,81,11,0,88,0,141,0,0,0,0,0,0,6,1609,102,11,0,115,8,1728,1768,33,0,0
SED10092,2147,143,0,0,144,0,2294,168,709,39,0,746,0,921,3,69,48,0,117,0,123,0,0,0,0,0,0,0,177,783,89,0,866,0,1042,0,0,0,0,0,4,4,2319,924,85,0,1008,5,3337,1883,93,0,3,95,0,1978,116,654,34,0,685,0,806,3,83,71,0,159,0,160,0,4,0,0,4,0,8,122,738,105,0,847,0,970,0,0,0,0,0,4,8,2015,831,108,3,944,8,2962,1111,48,0,0,48,0,1160,58,343,20,0,361,0,419,0,42,44,0,88,0,88,0,0,0,0,0,0,0,58,383,64,0,444,0,503,0,0,0,0,0,0,3,1161,428,64,0,495,4,1664,750,25,0,0,25,0,777,48,227,18,0,243,0,293,0,26,28,0,50,0,47,0,0,0,0,0,0,0,50,249,43,0,292,0,343,0,0,0,0,0,0,0,798,276,43,0,322,0,1121,922,56,0,0
SED10093,3040,95,3,0,94,8,3147,112,294,8,0,302,6,421,4,13,9,0,19,0,23,0,0,0,0,0,0,0,117,314,13,0,321,6,441,0,0,0,0,0,0,8,3159,407,13,0,417,12,3593,2890,97,0,0,97,6,2990,99,281,6,0,293,0,391,0,14,17,0,33,0,33,0,0,0,0,0,0,0,99,301,21,0,326,0,427,4,0,0,0,0,11,13,2992,393,23,0,422,15,3431,1836,40,0,0,38,0,1876,61,140,12,0,150,0,212,5,13,3,0,16,0,17,0,0,0,0,0,0,0,68,151,13,0,165,0,230,0,3,0,0,3,3,7,1904,190,13,0,209,3,2114,1224,27,4,0,27,0,1253,42,100,4,0,96,0,143,0,0,4,0,11,0,11,0,0,0,0,0,0,0,42,100,9,0,107,0,147,0,0,0,0,0,0,0,1267,128,13,0,133,9,1409,1449,20,0,0
SED19494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,1491,83,5,0,85,0,1578,240,696,13,0,709,0,948,5,32,10,0,42,0,48,0,0,0,0,0,0,0,244,723,22,0,752,0,998,0,4,0,0,4,0,10,1738,814,23,0,841,0,2578,1289,65,0,0,65,0,1357,141,502,15,0,516,0,665,0,25,7,0,29,0,29,0,0,0,0,0,0,0,146,525,20,0,546,0,695,0,3,0,0,3,3,11,1432,596,20,0,618,3,2059,724,37,0,0,37,0,761,76,201,3,3,215,0,289,0,4,5,0,12,0,12,0,0,0,0,0,0,0,76,211,10,3,222,0,295,0,0,0,0,0,0,0,800,247,10,3,264,0,1056,457,22,0,0,22,0,480,29,120,0,0,122,0,153,0,3,3,0,7,0,7,0,0,0,0,0,0,0,29,125,3,0,129,0,162,0,0,0,0,0,0,0,491,143,3,0,152,0,641,610,27,0,0
SED20207,2437,216,0,0,216,0,2653,367,3563,84,5,3649,5,4023,9,206,87,0,287,0,292,0,0,0,0,0,0,0,368,3765,171,5,3944,5,4323,4,14,0,0,14,4,25,2812,3997,171,5,4168,17,6998,2594,194,0,0,194,0,2790,375,4126,82,0,4209,6,4590,6,232,102,0,333,0,337,0,5,0,0,5,0,5,383,4366,181,0,4546,6,4934,8,11,0,0,11,4,24,2986,4571,181,0,4753,11,7750,1535,87,0,0,87,0,1624,188,1910,45,0,1960,0,2147,0,99,63,0,161,0,162,0,5,0,0,5,0,5,189,2010,108,0,2122,0,2312,4,0,0,0,0,0,4,1724,2105,108,0,2213,0,3940,993,48,0,0,48,0,1045,102,842,24,0,874,0,979,4,59,43,0,99,0,101,0,0,0,0,0,0,0,105,899,66,0,970,0,1076,0,0,0,0,0,0,0,1099,954,66,0,1014,0,2117,1230,53,0,0
SED20302,3867,153,0,0,155,7,4031,224,2891,60,0,2947,0,3172,0,138,50,0,186,0,189,0,4,0,0,4,0,0,223,3030,107,0,3140,3,3367,3,5,4,0,12,3,19,4098,3188,113,0,3307,15,7414,3651,159,3,0,156,11,3818,179,2615,47,0,2663,5,2843,9,153,87,0,240,0,246,0,3,5,3,6,0,7,184,2768,139,3,2911,7,3098,5,4,0,0,8,7,22,3841,2932,143,3,3079,19,6933,2006,46,0,0,55,3,2065,66,1185,22,0,1207,0,1275,5,79,49,0,124,0,129,3,0,0,0,5,0,5,71,1261,73,3,1335,0,1404,6,0,0,0,0,9,11,2083,1313,76,3,1391,12,3485,1336,45,3,0,43,0,1381,46,545,19,0,562,0,605,0,38,31,0,71,0,72,0,0,0,0,0,0,0,50,579,49,0,631,0,680,4,0,0,0,0,7,3,1384,624,50,0,677,6,2069,1550,34,0,0
SED20401,2040,84,0,0,88,0,2129,171,835,37,0,873,0,1040,4,69,31,4,99,0,104,0,0,0,0,0,0,0,181,903,61,4,973,0,1146,0,0,0,0,0,0,0,2220,993,65,4,1063,0,3279,1993,57,0,0,57,3,2060,128,812,36,0,848,0,978,5,65,28,0,97,0,104,0,0,0,0,0,0,0,131,884,64,0,944,0,1084,0,0,0,0,0,0,0,2128,942,64,0,1009,3,3139,1158,29,0,0,29,3,1190,69,316,16,0,334,0,404,0,30,24,0,51,0,51,0,0,0,0,0,0,0,70,346,34,0,383,0,454,0,0,0,0,0,0,0,1231,376,39,0,413,3,1645,751,18,0,0,18,0,773,47,184,8,0,197,0,244,3,26,13,0,32,0,33,0,0,0,0,0,0,0,45,209,24,0,232,0,281,0,0,0,0,0,0,0,801,223,24,0,250,3,1056,956,13,0,0
SED20508,2606,42,0,0,42,3,2652,97,136,0,0,136,0,237,0,0,4,0,8,0,9,4,0,0,0,0,0,4,106,137,3,0,137,0,247,0,0,0,0,0,0,5,2711,178,3,0,179,9,2899,2949,46,0,0,49,20,3012,80,114,6,0,119,0,195,3,0,3,0,0,0,7,0,0,0,0,0,0,0,78,118,5,0,124,0,202,3,0,0,0,0,0,3,3029,164,9,0,170,18,3223,1789,28,0,0,28,7,1819,51,52,0,0,56,0,100,0,0,3,0,5,0,5,0,0,0,0,0,0,0,51,56,0,0,59,0,106,0,0,0,0,0,3,7,1832,79,0,0,80,10,1926,1117,11,0,0,11,10,1137,25,37,0,0,37,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,36,6,0,40,0,63,0,0,0,0,0,0,0,1145,55,6,0,50,9,1206,1367,15,0,0
SED20604,2689,38,0,0,38,0,2729,90,195,0,0,205,0,294,0,21,18,0,37,0,40,0,0,0,0,0,0,0,93,219,18,0,241,0,333,5,0,0,0,0,4,9,2787,255,18,0,279,4,3072,2716,42,0,0,39,0,2756,68,188,5,0,195,0,262,0,25,31,0,55,0,56,0,0,0,0,0,0,0,72,216,35,0,254,0,325,11,0,0,0,0,0,11,2795,258,34,0,290,0,3086,1708,20,3,0,24,0,1732,47,99,0,0,105,0,147,0,13,19,0,34,0,33,0,0,0,0,0,0,0,50,109,21,0,133,0,185,5,0,0,0,0,4,6,1762,134,24,0,157,4,1916,1172,13,3,0,16,0,1183,31,66,0,0,62,0,94,0,6,11,0,18,0,19,0,0,0,0,0,0,0,29,72,13,0,86,0,115,0,0,0,0,0,0,0,1200,85,16,0,102,0,1302,1379,15,0,0
SED20704,2920,48,0,0,46,4,2969,62,275,25,0,302,0,363,0,23,37,0,61,0,61,0,0,0,0,0,0,0,60,303,61,0,366,0,426,6,0,0,0,0,7,12,2979,351,65,0,412,10,3404,3042,28,0,0,29,9,3082,48,282,19,0,300,3,355,0,23,53,0,83,0,82,0,0,0,0,0,0,0,53,307,72,0,379,3,432,0,0,0,0,0,5,8,3097,339,71,0,409,17,3523,1774,15,4,0,18,5,1802,37,107,7,0,113,0,150,0,15,25,0,40,0,43,0,0,0,0,0,0,0,35,122,30,0,153,0,194,0,0,0,0,0,0,3,1812,136,38,0,173,8,1992,1207,15,0,0,15,0,1225,21,57,3,0,62,0,86,0,8,21,0,29,0,31,0,0,0,0,0,0,0,21,66,25,0,95,0,116,0,0,0,0,0,0,5,1236,76,25,0,105,3,1340,1401,4,0,0
SED20804,2127,44,0,0,44,0,2171,54,171,21,0,197,0,253,0,30,34,0,57,0,57,0,0,0,0,0,0,0,54,199,52,0,260,0,310,0,4,0,0,4,10,11,2180,252,52,0,304,9,2494,2141,35,0,0,31,0,2181,57,148,19,0,160,0,216,0,22,45,0,69,0,72,0,0,0,0,0,0,0,51,164,63,0,230,0,284,0,0,0,0,0,3,5,2200,208,66,0,267,4,2470,1244,9,0,0,8,0,1253,27,52,5,0,56,0,81,0,5,19,0,27,0,26,0,0,0,0,0,0,0,25,61,28,0,88,0,111,0,0,0,0,0,5,7,1266,70,26,0,96,0,1367,832,8,0,0,8,0,839,13,37,0,0,37,0,54,0,10,17,0,26,0,26,0,0,0,0,0,0,0,13,44,18,0,67,0,75,0,0,0,0,0,0,0,846,51,18,0,75,0,918,1078,9,0,0
SED20906,1797,123,0,0,123,5,1927,261,935,21,0,951,0,1215,0,29,21,0,50,0,46,0,0,0,0,0,0,0,265,964,35,0,1002,0,1261,3,0,0,0,0,0,4,2062,1092,34,0,1129,5,3194,2071,103,0,0,103,0,2179,229,1218,40,0,1260,0,1485,0,55,26,0,84,0,88,0,0,5,0,5,0,5,229,1279,63,0,1344,0,1574,5,0,0,0,0,0,3,2307,1383,63,0,1449,0,3754,1295,68,6,0,73,0,1363,120,740,39,0,776,0,891,0,34,17,0,52,0,53,0,0,0,0,3,0,3,119,778,55,0,829,0,948,0,0,0,0,0,0,0,1413,845,60,0,904,0,2314,926,40,0,0,36,0,967,71,424,21,0,445,0,514,0,21,19,0,43,0,43,0,0,0,0,0,0,0,71,448,44,0,487,0,560,0,6,0,0,6,0,0,999,488,45,0,528,0,1532,1228,52,0,0
SED21001,1050,62,0,0,66,0,1110,195,1069,72,4,1146,0,1337,0,71,65,0,135,0,140,0,0,0,0,0,0,0,195,1139,137,4,1283,0,1482,4,3,0,0,6,0,9,1245,1207,143,4,1351,7,2603,1534,61,0,0,59,0,1595,219,1152,73,0,1227,0,1445,4,86,74,0,155,0,159,0,0,0,0,0,0,0,222,1240,149,0,1388,0,1609,0,4,0,0,4,0,4,1758,1300,148,0,1449,0,3210,1179,27,0,0,31,0,1207,107,567,29,0,598,0,708,3,50,41,0,91,0,93,0,0,0,0,0,0,0,111,615,75,0,688,0,794,0,3,0,0,3,0,3,1289,644,73,0,720,4,2011,847,17,0,0,17,0,858,69,348,22,0,373,0,436,0,28,36,0,69,0,70,0,0,0,0,0,0,0,69,375,62,0,441,0,502,0,3,0,0,3,0,3,914,391,62,0,457,5,1368,1290,29,0,0
SED21106,1585,110,3,0,112,0,1697,183,361,8,0,368,0,553,0,15,5,0,17,0,17,0,0,0,0,0,0,0,183,369,14,0,385,0,569,0,0,0,0,0,0,0,1768,480,15,0,496,0,2271,2012,93,0,0,93,0,2102,150,392,17,0,405,0,555,0,19,7,0,26,0,26,0,0,0,0,0,0,0,150,415,23,0,434,0,584,3,0,0,0,0,0,4,2160,509,23,0,528,0,2692,1527,40,0,0,40,0,1568,89,225,12,0,242,0,328,0,3,15,0,20,0,23,0,0,0,0,0,0,0,89,235,27,0,261,0,350,5,0,0,0,0,0,5,1622,275,27,0,302,0,1923,1086,29,0,0,29,0,1111,60,148,5,0,146,0,209,0,7,9,0,16,0,17,0,0,0,0,0,0,0,67,152,15,0,162,0,225,0,0,0,0,0,0,0,1148,178,15,0,188,0,1342,1521,31,0,0
SED21203,556,133,6,0,136,0,697,126,2424,267,0,2696,10,2831,9,396,183,0,578,0,588,0,6,0,3,10,0,10,134,2827,452,6,3287,9,3434,6,14,0,0,19,13,37,695,2975,457,9,3448,27,4164,451,95,11,0,106,0,553,95,2267,276,3,2548,0,2647,20,428,278,0,710,0,725,0,9,0,0,7,0,7,113,2703,555,3,3259,0,3374,4,14,0,0,20,4,22,563,2809,569,3,3383,7,3954,227,53,5,0,56,0,284,54,1172,181,5,1352,6,1407,8,262,187,0,452,0,460,0,0,0,0,0,0,0,62,1437,366,3,1805,6,1875,0,8,0,0,9,5,10,287,1499,370,7,1871,4,2167,146,42,4,0,44,0,191,26,683,122,0,811,0,838,7,163,138,0,305,0,303,0,0,0,0,3,0,3,28,855,266,0,1116,0,1151,0,0,0,0,0,3,5,176,898,265,0,1161,0,1347,209,38,0,0
