SED_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SED10035,..,14871,14871,16056,3900,19954,6459,1236,7698,4425,392,4816,1308,111,1424,615,61,676,28867,20568,49437
SED10036,..,4103,4103,6370,334,6699,4911,49,4963,5954,19,5971,2999,13,3017,2038,4,2038,22273,4522,26789
SED10037,..,5406,5406,8292,447,8732,5373,101,5472,6074,40,6114,2203,18,2220,1012,5,1017,22953,6006,28964
SED10038,..,7358,7358,8984,574,9555,4527,234,4760,5252,160,5416,2085,46,2127,718,44,759,21571,8405,29973
SED10039,..,6574,6574,10563,500,11066,4122,78,4205,4265,34,4298,1879,5,1885,868,5,871,21701,7195,28896
SED10040,..,6794,6794,8400,947,9352,6175,395,6566,5450,219,5664,2268,88,2360,1364,47,1414,23658,8495,32154
SED10041,..,5780,5780,8783,384,9164,5685,65,5754,6342,35,6375,2248,13,2255,777,7,778,23836,6276,30112
SED10042,..,7583,7583,10528,618,11141,4510,89,4601,4151,28,4182,1729,14,1741,871,0,875,21794,8334,30129
SED10043,..,6131,6131,6003,686,6692,4644,279,4924,4672,161,4831,3062,72,3134,2843,62,2904,21236,7380,28616
SED10044,..,9189,9189,10266,897,11163,5379,156,5540,5504,35,5538,2022,19,2038,628,10,636,23806,10295,34104
SED10045,..,9150,9150,9934,1006,10942,3833,162,3993,3254,38,3290,1499,13,1509,860,7,871,19377,10378,29756
SED10046,..,6335,6335,6445,584,7027,5179,86,5263,5516,29,5541,3052,8,3059,2573,5,2576,22764,7043,29809
SED10047,..,7458,7458,9310,852,10167,7148,120,7273,7185,33,7218,3349,16,3361,2490,7,2496,29478,8497,37977
SED10048,..,5764,5764,8357,560,8917,6847,84,6932,7489,29,7522,3344,14,3361,2309,4,2319,28355,6452,34808
SED10049,..,7256,7256,10215,652,10870,5476,107,5578,5444,30,5470,2369,16,2379,1084,6,1088,24585,8069,32648
SED10050,..,7408,7408,9633,1086,10718,4628,341,4967,5463,71,5539,1976,26,2010,574,13,586,22277,8946,31225
SED10051,..,8561,8561,9081,1054,10132,5236,276,5509,5488,76,5567,1859,33,1896,708,13,726,22372,10027,32397
SED10052,..,6645,6645,8812,508,9319,4729,79,4806,5277,19,5297,2117,17,2135,774,6,777,21712,7270,28982
SED10053,..,8208,8208,9737,631,10364,4723,124,4852,4797,70,4868,1970,11,1981,847,24,867,22076,9064,31143
SED10054,..,4307,4307,6123,487,6610,5158,80,5236,5631,33,5664,3072,11,3089,2458,6,2463,22451,4928,27373
SED10055,..,3145,3145,6623,293,6921,4951,33,4982,6072,13,6091,3166,4,3170,1905,3,1906,22719,3495,26213
SED10056,..,8656,8656,10651,559,11214,4027,118,4139,3846,31,3875,2037,16,2047,1011,19,1032,21566,9401,30972
SED10057,..,9705,9705,11758,791,12546,3511,73,3584,2928,17,2947,1329,18,1345,742,8,758,20269,10609,30876
SED10058,..,11094,11094,10366,1574,11941,4084,679,4760,3627,210,3835,1281,51,1330,383,21,407,19748,13622,33375
SED10059,..,13477,13477,10251,2408,12656,3329,1311,4640,2528,621,3152,648,154,804,169,40,215,16929,18010,34938
SED10060,..,13185,13185,12248,1176,13424,4213,317,4535,3312,41,3355,972,11,985,257,9,264,21003,14744,35742
SED10061,..,8985,8985,9949,738,10679,3596,128,3724,3208,62,3265,1583,10,1595,857,7,863,19190,9927,29118
SED10062,..,5817,5817,7513,431,7943,4787,116,4906,5189,56,5243,2197,16,2212,1086,10,1096,20771,6445,27217
SED10063,..,8652,8652,9714,612,10330,4002,126,4117,3818,41,3855,2105,16,2117,980,4,988,20610,9455,30070
SED10064,..,8718,8718,10654,860,11515,3804,76,3877,3083,16,3108,1524,0,1529,947,5,949,20010,9683,29694
SED10065,..,9773,9773,10456,1562,12019,7799,523,8326,6475,219,6695,2291,71,2366,1185,36,1216,28207,12180,40386
SED10066,..,8745,8745,9125,784,9911,5014,103,5116,4617,26,4645,1988,18,2003,1012,9,1019,21758,9676,31438
SED10067,..,6167,6167,8687,387,9072,3982,82,4066,4790,27,4819,2064,21,2087,774,4,779,20297,6679,26976
SED10068,..,9695,9695,12715,775,13485,3907,137,4040,3504,39,3543,1493,15,1507,711,8,718,22324,10664,32990
SED10069,..,7697,7697,11310,614,11925,3820,66,3893,3501,22,3521,1633,6,1642,883,0,882,21148,8414,29562
SED10070,..,4726,4726,6664,371,7033,5295,97,5391,5846,57,5900,2682,43,2721,1776,30,1808,22260,5319,27582
SED10071,..,3939,3939,7676,483,8159,8004,161,8161,10329,61,10390,3654,26,3687,1971,12,1982,31637,4682,36320
SED10072,..,9083,9083,10338,1482,11823,5606,439,6048,4759,180,4944,1958,50,2009,1109,40,1143,23771,11285,35055
SED10073,..,10031,10031,11185,1304,12481,6411,330,6744,5627,146,5773,1920,48,1966,950,48,998,26091,11896,37988
SED10074,..,6165,6165,8066,637,8701,5458,207,5663,5798,91,5892,2188,47,2239,1114,27,1135,22622,7163,29787
SED10075,..,7310,7310,10600,576,11176,5206,85,5295,5273,40,5310,2227,0,2228,1043,0,1043,24351,8013,32360
SED10076,..,8881,8881,11776,717,12499,3759,87,3846,3229,31,3261,1410,10,1419,685,4,686,20857,9738,30594
SED10077,..,8053,8053,9447,1775,11224,6353,832,7188,5513,477,5993,2163,210,2369,1201,114,1313,24689,11460,36143
SED10078,..,10168,10168,9673,1555,11228,4717,505,5224,3977,228,4200,1189,59,1250,574,46,616,20125,12559,32688
SED10079,..,7952,7952,10209,620,10824,4018,48,4067,4007,13,4019,1665,0,1669,689,0,690,20587,8639,29225
SED10080,..,19275,19275,13213,2547,15763,3457,1016,4470,2221,545,2762,625,196,820,267,92,362,19788,23667,43451
SED10081,..,8635,8635,9908,709,10616,4170,112,4282,3858,43,3905,1851,24,1875,919,11,931,20715,9539,30249
SED10082,..,6806,6806,9517,469,9983,4073,102,4174,4695,42,4741,1992,7,2005,854,5,858,21134,7429,28567
SED10083,..,7681,7681,8973,652,9632,4338,93,4433,4248,31,4281,1767,9,1770,867,10,871,20194,8470,28659
SED10084,..,9103,9103,10836,928,11759,4084,159,4241,4025,33,4059,1673,14,1683,760,8,766,21378,10237,31615
SED10085,..,7631,7631,9745,594,10336,3966,75,4041,3935,17,3944,2007,7,2006,931,5,939,20583,8326,28908
SED10086,..,9561,9561,9967,1898,11865,4078,554,4634,3915,122,4030,1561,32,1594,454,8,460,19972,12176,32150
SED10087,..,8484,8484,9626,751,10379,4218,198,4412,3964,70,4031,1988,24,2023,1012,11,1020,20816,9542,30350
SED10088,..,6420,6420,7952,622,8580,4704,133,4841,6018,66,6089,2278,21,2298,970,12,984,21927,7285,29211
SED10089,..,8475,8475,9552,1041,10588,4996,499,5487,4668,186,4852,1842,92,1935,824,46,871,21881,10331,32217
SED10090,..,8401,8401,9726,890,10612,5363,257,5615,5776,100,5877,1789,24,1813,575,18,586,23220,9683,32909
SED10091,..,6027,6027,9399,411,9814,4194,55,4251,4775,17,4793,2446,12,2457,1370,0,1369,22179,6529,28707
SED10092,..,10679,10679,10385,1404,11796,4480,565,5049,3958,171,4130,1573,60,1637,848,26,871,21252,12904,34152
SED10093,..,7425,7425,9009,761,9775,4658,109,4772,4499,35,4536,2104,12,2122,1142,5,1142,21412,8355,29764
SED19494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED19797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,..,16660,16660,12519,2228,14747,3750,554,4306,2579,117,2704,666,21,688,138,10,143,19655,19594,39252
SED20207,..,6602,6602,9139,704,9839,7303,190,7493,8131,95,8230,2665,36,2707,1363,11,1376,28602,7652,36253
SED20302,..,9420,9420,12451,768,13220,6383,137,6521,6881,33,6913,2992,20,3008,1637,8,1641,30340,10386,40725
SED20401,..,6311,6311,7420,578,8001,4137,94,4231,3949,34,3985,1371,15,1384,537,0,542,17409,7044,24446
SED20508,..,6987,6987,10716,442,11160,3558,65,3621,3813,23,3836,1573,6,1577,459,0,462,20116,7532,27642
SED20604,..,7455,7455,9292,529,9821,3625,86,3707,3517,14,3532,1562,5,1571,646,0,646,18636,8092,26732
SED20704,..,7169,7169,8799,639,9433,3833,158,3988,3812,58,3867,1749,13,1761,782,13,788,18967,8044,27006
SED20804,..,8173,8173,8374,673,9041,3438,131,3568,2971,27,2997,1179,7,1183,561,3,562,16515,9023,25534
SED20906,..,5713,5713,6824,492,7311,4276,117,4396,5162,64,5222,1566,33,1603,345,3,357,18181,6422,24604
SED21001,..,7532,7532,8232,872,9104,4321,314,4630,4552,160,4709,1476,47,1526,517,37,552,19097,8964,28061
SED21106,..,7528,7528,7449,606,8051,3363,115,3483,3832,34,3863,1352,18,1369,296,4,301,16290,8305,24592
SED21203,..,5047,5047,5483,504,5980,3739,164,3899,3598,137,3734,2243,67,2301,2024,29,2049,17080,5939,23021
SED21303,..,11006,11006,9271,1964,11229,3758,1110,4866,3361,550,3912,859,121,980,286,24,309,17534,14772,32306
SED21401,..,5464,5464,8085,379,8464,4417,105,4523,4246,62,4308,1496,26,1527,570,18,590,18813,6058,24872
SED21503,..,5296,5296,6694,551,7248,3692,247,3935,3877,138,4016,1283,70,1355,510,32,539,16054,6342,22395
SED21608,..,6690,6690,8164,628,8793,3554,135,3687,3594,53,3649,1632,16,1653,736,13,751,17676,7534,25214
SED21706,..,5911,5911,6806,611,7418,4086,328,4420,4606,215,4819,1587,86,1681,451,35,487,17546,7193,24735
SED21805,..,7638,7638,8168,627,8794,4591,104,4693,4311,18,4335,1490,9,1494,554,0,562,19109,8399,27508
SED21906,..,8809,8809,8227,1176,9400,3458,348,3808,3362,149,3512,1307,48,1356,587,22,606,16945,10555,27499
SED22005,..,5953,5953,7138,844,7985,4797,467,5261,4442,306,4751,1619,123,1738,915,91,1003,18906,7783,26692
SED22105,..,5939,5939,8996,685,9680,7445,168,7613,9021,67,9083,3916,22,3934,2714,10,2726,32089,6880,38971
SED22201,..,6095,6095,7441,427,7871,3787,83,3875,3791,28,3817,1369,10,1383,557,0,561,16951,6649,23606
SED22305,..,6226,6226,6436,758,7189,4240,375,4615,3673,197,3874,1829,98,1923,1557,42,1595,17733,7688,25423
SED22404,..,6165,6165,8271,444,8710,3079,55,3136,3091,19,3107,1372,11,1377,612,6,618,16424,6695,23120
SED22501,..,3880,3880,6818,179,7005,3625,27,3659,4588,15,4602,1597,6,1600,409,4,415,17039,4118,21158
SED22607,..,9313,9313,8097,970,9068,3804,339,4142,4001,119,4124,1407,28,1436,383,14,395,17699,10784,28479
SED22704,..,7976,7976,9652,573,10230,3377,77,3455,2938,18,2953,1370,5,1376,667,4,674,18001,8645,26647
SED22802,..,4214,4214,6852,305,7160,3621,55,3677,4106,21,4127,1607,7,1614,718,0,725,16906,4609,21514
SED22901,..,4703,4703,6591,397,6983,3988,65,4052,3958,34,3991,1428,17,1440,606,6,610,16568,5215,21784
SED23007,..,9191,9191,8957,1396,10346,4856,552,5409,4110,236,4350,1529,97,1628,908,69,971,20362,11536,31895
SED23101,..,4779,4779,6420,367,6790,3720,163,3888,4415,84,4499,1458,35,1492,555,26,579,16567,5447,22018
SED23205,..,7668,7668,7445,701,8145,3749,115,3867,3270,21,3290,1230,15,1246,470,3,477,16168,8532,24697
SED23308,..,9591,9591,8302,874,9181,3683,312,3996,3306,144,3451,1271,35,1303,386,20,408,16944,10980,27930
SED23402,..,5431,5431,8448,461,8913,5038,70,5110,5789,18,5812,2325,6,2328,1049,0,1047,22647,6002,28642
SED23502,..,7831,7831,9805,510,10314,2903,68,2966,2603,16,2616,1261,4,1259,543,9,553,17104,8443,25541
SED23602,..,7254,7254,8542,474,9014,2814,50,2867,2552,7,2561,1265,0,1264,564,3,569,15732,7792,23521
SED23702,..,6274,6274,8245,437,8686,4171,46,4221,4303,7,4316,1815,6,1819,785,4,791,19328,6775,26102
SED23806,..,8125,8125,7793,1005,8796,3104,308,3407,3760,105,3860,1366,35,1396,337,15,351,16351,9590,25939
SED23901,..,7020,7020,7772,628,8403,3985,216,4203,4289,86,4377,1382,17,1400,466,12,477,17899,7982,25879
SED24006,..,4970,4970,6481,446,6929,3768,175,3947,4461,105,4573,1708,39,1747,546,17,562,16969,5759,22728
SED24105,..,4204,4204,6008,434,6438,4470,174,4639,4780,101,4879,2234,36,2277,1582,32,1608,19070,4974,24037
SED24207,..,4504,4504,6847,458,7303,5804,148,5950,6909,71,6977,3128,25,3153,2168,14,2179,24853,5214,30068
SED24308,..,7472,7472,7848,669,8522,4112,184,4295,3515,63,3577,1472,23,1493,802,7,807,17750,8415,26159
SED24408,..,7966,7966,8299,507,8799,2849,63,2915,2462,17,2481,1266,4,1274,470,0,465,15347,8553,23904
SED24504,..,5325,5325,8298,391,8685,3374,53,3426,3911,4,3918,1635,6,1638,586,9,595,17802,5788,23588
SED24606,..,7756,7756,7424,801,8220,3029,269,3300,3370,113,3487,1284,37,1320,276,3,283,15371,8984,24364
SED24703,..,24332,24332,16475,5682,22159,4703,1776,6479,2523,686,3207,589,179,766,236,59,299,24522,32716,57238
SED24808,..,6933,6933,8753,653,9410,5782,90,5868,5669,26,5695,2662,12,2671,1805,5,1808,24670,7709,32380
SED24904,..,7226,7226,8076,582,8662,3304,146,3452,2983,71,3051,1528,38,1566,812,38,849,16697,8101,24804
SED25003,..,4067,4067,6209,378,6591,4594,83,4673,5125,44,5175,2038,11,2049,937,6,945,18908,4587,23494
SED25102,..,3838,3838,6464,331,6799,3567,55,3624,3910,13,3926,1544,5,1546,641,4,648,16128,4253,20384
SED25205,..,6711,6711,7283,421,7702,4054,82,4135,4709,15,4729,1500,10,1506,367,6,367,17917,7243,25163
SED25302,..,5852,5852,8233,267,8501,3328,42,3365,4149,15,4164,1675,9,1679,492,0,492,17881,6183,24064
SED25402,..,8067,8067,8824,590,9413,3615,79,3690,3301,19,3324,1394,14,1408,618,6,629,17757,8772,26536
SED25501,..,4260,4260,6388,348,6735,4141,216,4358,4889,145,5040,1534,64,1598,633,42,676,17585,5067,22657
SED25605,..,4798,4798,6599,469,7069,3935,152,4088,3940,94,4033,1496,48,1539,795,26,825,16766,5587,22348
SED25704,..,7475,7475,8918,515,9430,3120,78,3203,2776,37,2815,1463,4,1468,677,4,682,16959,8107,25072
SED25802,..,7876,7876,9847,510,10354,3927,59,3991,3919,19,3946,1836,10,1846,894,9,906,20427,8487,28921
SED25905,..,3894,3894,6150,394,6544,4068,78,4148,4211,46,4253,1860,12,1877,1233,6,1237,17517,4442,21957
SED26005,..,3170,3170,5727,363,6093,5040,112,5150,6123,60,6176,2802,8,2814,2048,5,2052,21739,3717,25455
SED26102,..,8175,8175,10498,499,10996,3182,58,3238,2916,17,2930,1135,6,1142,378,0,380,18110,8759,26867
SED26207,..,5390,5390,7018,365,7390,3926,84,4015,4213,23,4234,1471,7,1481,448,9,455,17079,5879,22961
SED26303,..,8963,8963,7734,1108,8837,3744,663,4407,3859,267,4121,1036,68,1104,271,18,292,16636,11091,27729
SED26406,..,8209,8209,8126,1181,9307,4232,490,4722,4004,273,4268,1248,89,1334,356,54,410,17962,10295,28257
SED26504,..,7073,7073,8694,477,9168,2755,68,2826,2647,25,2670,1306,5,1316,509,18,528,15913,7665,23578
SED26603,..,7885,7885,8642,951,9587,4848,430,5277,4838,179,5015,1514,82,1597,636,33,673,20479,9562,30042
SED26708,..,6849,6849,8637,489,9128,3072,78,3151,3127,27,3159,1614,17,1625,678,8,685,17131,7463,24594
SED26806,..,17497,17497,11337,2473,13814,2833,716,3544,1728,148,1873,424,26,448,126,8,136,16452,20864,37314
SED26903,..,8474,8474,7913,1130,9045,4104,410,4514,3627,201,3826,1165,64,1229,563,41,606,17372,10318,27690
SED27003,..,13107,13107,10840,2192,13033,3388,1271,4657,2412,422,2839,651,92,746,208,16,227,17500,17105,34610
SED27101,..,6678,6678,7227,629,7859,4101,168,4265,4148,70,4210,1499,30,1532,507,14,516,17479,7588,25065
SED27208,..,8684,8684,9458,585,10041,3119,86,3203,2933,33,2961,1374,14,1385,615,11,627,17499,9410,26908
SED27305,..,2852,2852,5461,252,5713,3651,45,3700,4345,12,4360,1548,3,1550,561,0,566,15564,3179,18743
SED27406,..,7196,7196,8082,398,8483,3655,56,3707,4211,22,4233,1447,3,1451,264,0,267,17657,7677,25334
SED27504,..,7787,7787,8645,589,9233,3728,161,3886,3616,48,3665,1716,24,1736,983,19,1001,18686,8624,27308
SED27608,..,6809,6809,10215,664,10880,5018,351,5372,5961,234,6195,2335,74,2405,723,46,775,24253,8178,32436
SED27708,..,7499,7499,8971,537,9509,3440,109,3546,3185,35,3218,1426,9,1435,535,9,540,17556,8195,25757
SED27807,..,6050,6050,6712,666,7383,4271,299,4569,3823,181,4004,1760,84,1844,1440,32,1477,18012,7315,25327
SED27907,..,5664,5664,7567,453,8018,4290,64,4356,4154,13,4166,1588,6,1594,633,0,638,18227,6205,24432
SED28007,..,3474,3474,5974,268,6242,4916,51,4962,6301,20,6320,2669,11,2680,1197,3,1198,21049,3829,24875
SED28107,..,5073,5073,8055,721,8775,8370,324,8692,9278,249,9531,3914,120,4028,2933,54,2985,32549,6547,39093
SED28203,..,5349,5349,7368,493,7856,4980,165,5145,5110,78,5187,2321,29,2346,1489,24,1512,21260,6132,27393
SED28301,..,3650,3650,6389,218,6600,3803,59,3856,4752,29,4777,1835,13,1846,667,5,669,17442,3959,21403
SED28408,..,8045,8045,7930,710,8638,3390,183,3574,3087,63,3152,1338,8,1346,466,5,474,16209,9015,25225
SED28507,..,6360,6360,8132,731,8863,5890,141,6030,5541,55,5592,2266,14,2286,1431,22,1451,23261,7325,30587
SED28607,..,7316,7316,8466,713,9182,4500,229,4731,4998,61,5067,1509,27,1526,458,10,470,19934,8354,28288
SED28704,..,4993,4993,8928,406,9332,6309,66,6374,7697,21,7715,3322,3,3322,1333,6,1336,27587,5492,33080
SED28803,..,4691,4691,8138,493,8630,7598,125,7730,9238,68,9309,4479,25,4507,3214,14,3226,32667,5421,38092
SED29494,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED29797,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED30001,..,3299,3299,5726,501,6224,4024,163,4186,3986,52,4035,1642,8,1647,1070,3,1073,16439,4025,20466
SED30002,..,3991,3991,6170,431,6601,3419,126,3542,3549,42,3595,1321,10,1334,598,9,608,15062,4610,19670
SED30003,..,4210,4210,6244,477,6714,3573,65,3643,3489,24,3511,1551,3,1555,912,3,914,15765,4778,20549
SED30004,..,4863,4863,7147,699,7847,3246,102,3344,3138,29,3172,1081,4,1091,530,6,535,15148,5699,20849
SED30005,..,6982,6982,7278,1180,8461,3178,246,3424,2375,89,2459,840,33,875,457,20,471,14120,8541,22662
SED30006,..,4827,4827,8026,521,8546,2774,80,2851,2370,17,2395,783,4,784,310,0,310,14264,5444,19715
SED30007,..,4264,4264,6574,540,7115,3177,206,3387,3430,92,3518,1306,19,1329,474,3,471,14962,5120,20080
SED30008,..,5410,5410,6680,898,7584,3541,303,3843,3574,95,3669,1193,26,1219,347,11,358,15342,6745,22084
SED30009,..,6294,6294,6602,561,7162,2568,97,2661,2142,38,2184,981,11,985,630,11,638,12913,7007,19914
SED30010,..,5091,5091,6106,709,6821,3948,141,4090,3611,37,3647,1838,3,1843,1772,0,1772,17279,5981,23260
SED30011,..,5097,5097,6312,438,6751,2455,79,2533,2496,19,2509,1228,10,1240,544,11,553,13037,5654,18689
SED30012,..,5148,5148,6196,867,7067,2949,230,3183,2726,81,2805,975,3,977,323,4,332,13168,6338,19505
SED30013,..,4520,4520,8006,515,8525,2370,54,2425,2128,13,2142,921,3,924,522,4,517,13944,5110,19054
SED30014,..,7802,7802,6309,972,7279,2999,205,3206,2275,61,2338,883,22,897,617,13,626,13079,9078,22155
SED30015,..,4951,4951,6307,469,6777,2294,64,2362,2241,17,2253,1162,10,1174,631,4,635,12634,5517,18155
SED30016,..,5215,5215,7856,563,8419,2989,89,3078,2965,38,3001,1180,6,1184,563,3,569,15554,5909,21462
SED30017,..,4093,4093,6178,408,6587,3269,67,3337,3088,18,3108,1151,4,1157,604,0,604,14292,4585,18880
SED30018,..,3348,3348,5520,409,5932,3321,146,3463,3641,43,3686,1366,12,1376,506,5,512,14356,3962,18313
SED30019,..,8535,8535,7419,1321,8743,2937,290,3225,2749,79,2824,1063,29,1089,289,10,298,14454,10260,24716
SED30020,..,3682,3682,6795,374,7172,2842,35,2879,2904,16,2919,1524,0,1520,839,0,843,14907,4109,19015
SED30021,..,4481,4481,5244,466,5711,2219,82,2302,2045,36,2081,1144,21,1161,1156,7,1158,11809,5087,16893
SED30022,..,3066,3066,7491,710,8194,5208,183,5390,5664,53,5716,2593,10,2601,1519,5,1521,22471,4027,26495
SED30023,..,4393,4393,5439,662,6104,2945,395,3340,3459,184,3643,1332,54,1383,385,15,400,13563,5700,19259
SED30024,..,4367,4367,5673,630,6305,2647,147,2793,2721,47,2769,985,20,1006,492,4,492,12523,5210,17731
SED30025,..,3832,3832,5934,430,6370,3384,109,3501,3763,32,3798,1355,9,1363,472,3,475,14909,4417,19332
SED30026,..,3776,3776,5654,445,6101,3120,122,3239,3725,27,3751,1294,8,1301,405,0,407,14199,4380,18579
SED30027,..,3835,3835,5385,570,5959,3213,102,3319,3061,32,3090,1146,5,1150,643,0,644,13450,4541,17992
SED30028,..,4827,4827,5891,498,6388,2736,73,2800,2716,12,2731,1151,5,1156,596,0,596,13085,5411,18495
SED30029,..,3056,3056,6308,356,6663,2564,43,2614,2493,11,2508,1203,7,1209,727,0,727,13299,3482,16777
SED30030,..,6341,6341,6169,1024,7198,3022,353,3377,3093,113,3206,1073,31,1105,317,3,319,13673,7868,21542
SED30031,..,3779,3779,4211,323,4530,1773,56,1829,1839,9,1849,996,8,1003,537,0,537,9350,4171,13522
SED30032,..,5732,5732,7857,612,8473,2645,64,2706,2218,11,2233,1070,4,1073,691,4,692,14479,6428,20906
SED30033,..,6349,6349,8745,690,9439,2677,83,2760,2009,20,2028,935,3,938,578,0,578,14952,7141,22093
SED30034,..,6140,6140,7685,559,8239,2593,85,2677,2181,27,2209,1043,16,1064,698,4,700,14203,6825,21029
