SED_CODE_2021,SH_FHs_CF_no_C,SH_FHs_CF_C,SH_FHs_OnePF,SH_FHs_Oth_fam,SH_FHs_Tot,SH_Lone_P_H,SH_Group_H,SH_Tot,SDRTHT_1_S_FHs_CF_no_C,SDRTHT_1_S_FHs_CF_C,SDRTHT_1_S_FHs_OnePF,SDRTHT_1_S_FHs_Oth_fam,SDRTHT_1_S_FHs_Tot,SDRTHT_1_S_Lone_P_H,SDRTHT_1_S_Group_H,SDRTHT_1_S_Tot,SDRTHT_2more_S_FHs_CF_no_C,SDRTHT_2more_S_FHs_CF_C,SDRTHT_2more_S_FHs_OnePF,SDRTHT_2more_S_FHs_Oth_fam,SDRTHT_2more_S_FHs_Tot,SDRTHT_2more_S_Lone_P_H,SDRTHT_2more_S_Group_H,SDRTHT_2more_S_Tot,SDRTHT_Tot_FHs_CF_no_C,SDRTHT_Tot_FHs_CF_C,SDRTHT_Tot_FHs_OnePF,SDRTHT_Tot_FHs_Oth_fam,SDRTHT_Tot_FHs_Tot,SDRTHT_Tot_Lone_P_H,SDRTHT_Tot_Group_H,SDRTHT_Tot_Tot,FoA_1_or_2_SB_FHs_CF_no_C,FoA_1_or_2_SB_FHs_CF_C,FoA_1_or_2_SB_FHs_OnePF,FoA_1_or_2_SB_FHs_Oth_fam,FoA_1_or_2_SB_FHs_Tot,FoA_1_or_2_SB_Lone_P_H,FoA_1_or_2_SB_Group_H,FoA_1_or_2_SB_Tot,FoA_3SB_FHs_CF_no_C,FoA_3SB_FHs_CF_C,FoA_3SB_FHs_OnePF,FoA_3SB_FHs_Oth_fam,FoA_3SB_FHs_Tot,FoA_3SB_Lone_P_H,FoA_3SB_Group_H,FoA_3SB_Tot,FoA_4_to_8_SB_FHs_CF_no_C,FoA_4_to_8_SB_FHs_CF_C,FoA_4_to_8_SB_FHs_OnePF,FoA_4_to_8_SB_FHs_Oth_fam,FoA_4_to_8_SB_FHs_Tot,FoA_4_to_8_SB_Lone_P_H,FoA_4_to_8_SB_Group_H,FoA_4_to_8_SB_Tot,FoA_9moSB_FHs_CF_no_C,FoA_9moSB_FHs_CF_C,FoA_9moSB_FHs_OnePF,FoA_9moSB_FHs_Oth_fam,FoA_9moSB_FHs_Tot,FoA_9moSB_Lone_P_H,FoA_9moSB_Group_H,FoA_9moSB_Tot,FoA_Att_to_hous_FHs_CF_no_C,FoA_Att_to_hous_FHs_CF_C,FoA_Att_to_hous_FHs_OnePF,FoA_Att_to_hous_FHs_Oth_fam,FoA_Att_to_hous_FHs_Tot,FoA_Att_to_hous_Lone_P_H,FoA_Att_to_hous_Group_H,FoA_Att_to_hous_Tot,FoA_Tot_FHs_CF_no_C,FoA_Tot_FHs_CF_C,FoA_Tot_FHs_OnePF,FoA_Tot_FHs_Oth_fam,FoA_Tot_FHs_Tot,FoA_Tot_Lone_P_H,FoA_Tot_Group_H,FoA_Tot_Tot,OD_C_FHs_CF_no_C,OD_C_FHs_CF_C,OD_C_FHs_OnePF,OD_C_FHs_Oth_fam,OD_C_FHs_Tot,OD_C_Lone_P_H,OD_C_Group_H,OD_C_Tot,OD_CH_FHs_CF_no_C,OD_CH_FHs_CF_C,OD_CH_FHs_OnePF,OD_CH_FHs_Oth_fam,OD_CH_FHs_Tot,OD_CH_Lone_P_H,OD_CH_Group_H,OD_CH_Tot,OD_Imp_home_T_SO_FHs_CF_no_C,OD_Imp_home_T_SO_FHs_CF_C,OD_Imp_home_T_SO_FHs_OnePF,OD_Imp_home_T_SO_FHs_Oth_fam,OD_Imp_home_T_SO_FHs_Tot,OD_Imp_home_T_SO_Lone_P_H,OD_Imp_home_T_SO_Group_H,OD_Imp_home_T_SO_Tot,OD_HorF_at_to_S_O_FHs_CF_no_C,OD_HorF_at_to_S_O_FHs_CF_C,OD_HorF_at_to_S_O_FHs_OnePF,OD_HorF_at_to_S_O_FHs_Oth_fam,OD_HorF_at_to_S_O_FHs_Tot,OD_HorF_at_to_S_O_Lone_P_H,OD_HorF_at_to_S_O_Group_H,OD_HorF_at_to_S_O_Tot,OD_Tot_FHs_CF_no_C,OD_Tot_FHs_CF_C,OD_Tot_FHs_OnePF,OD_Tot_FHs_Oth_fam,OD_Tot_FHs_Tot,OD_Tot_Lone_P_H,OD_Tot_Group_H,OD_Tot_Tot,DS_NS_FHs_CF_no_C,DS_NS_FHs_CF_C,DS_NS_FHs_OnePF,DS_NS_FHs_Oth_fam,DS_NS_FHs_Tot,DS_NS_Lone_P_H,DS_NS_Group_H,DS_NS_Tot,Tot_FHs_CF_no_C,Tot_FHs_CF_C,Tot_FHs_OnePF,Tot_FHs_Oth_fam,Tot_FHs_Tot,Tot_Lone_P_H,Tot_Group_H,Tot_Tot
SED10001,8717,8042,3217,225,20210,6994,829,28028,664,258,376,49,1347,2563,177,4088,63,27,43,4,139,272,23,435,735,285,422,51,1492,2835,200,4529,46,10,11,0,73,170,11,253,11,13,0,0,26,40,12,69,11,0,3,0,14,13,0,32,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,7,68,19,21,0,110,231,17,358,7,0,0,0,13,28,0,40,20,0,3,0,15,38,0,60,0,5,0,0,6,0,0,9,15,6,3,0,25,18,3,45,36,10,9,0,59,85,5,145,22,14,5,0,44,46,0,89,9579,8377,3680,280,21911,10183,1055,33152
SED10002,2646,6539,1822,258,11265,1900,683,13841,127,126,60,4,327,292,32,653,665,1553,466,42,2726,520,203,3448,793,1676,530,49,3047,815,235,4105,498,522,256,95,1377,848,300,2523,495,611,201,70,1372,411,298,2087,2182,1693,482,161,4515,1896,534,6948,2565,1676,466,139,4843,1973,664,7481,76,164,42,7,287,94,53,428,5813,4658,1439,477,12389,5230,1848,19465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,12,3,65,30,21,109,13,29,12,3,65,32,21,109,46,32,16,3,93,48,19,163,9314,12940,3811,795,26857,8024,2803,37685
SED10003,7357,6872,2683,187,17091,5033,1299,23419,641,356,363,20,1386,1241,155,2772,588,330,326,19,1268,897,214,2372,1231,691,686,46,2649,2136,365,5149,209,100,140,8,458,658,80,1187,50,23,27,6,108,117,12,234,38,3,4,0,45,25,5,67,9,0,3,0,7,10,6,22,54,27,16,0,89,79,6,180,357,150,188,15,708,878,102,1693,34,3,10,0,46,119,5,181,89,18,27,8,140,291,20,453,9,0,0,0,9,15,0,24,25,0,16,0,45,43,7,100,159,32,50,11,245,468,36,750,26,12,15,0,56,79,8,144,9130,7751,3618,251,20745,8596,1815,31153
SED10004,1888,3010,646,80,5625,1275,278,7179,1312,1471,432,52,3273,1175,244,4684,2141,2169,762,73,5148,1873,618,7639,3457,3643,1202,129,8418,3047,860,12328,586,391,194,20,1189,1238,153,2585,857,354,216,60,1488,1998,246,3721,1520,531,256,77,2384,2603,466,5449,1095,373,155,35,1660,1315,262,3239,19,11,0,0,35,24,6,66,4082,1657,823,189,6750,7181,1128,15066,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,59,24,14,6,108,114,49,266,62,24,14,6,110,114,49,267,20,10,4,3,30,40,7,77,9501,8339,2688,400,20933,11660,2325,34914
SED10005,2702,7066,2584,280,12626,2367,382,15372,124,331,127,7,589,253,19,861,400,1210,478,30,2116,451,66,2626,520,1541,605,35,2700,702,79,3486,194,264,214,22,689,800,29,1517,619,1168,618,88,2488,1166,118,3766,473,687,304,45,1511,585,109,2203,244,448,134,29,849,194,82,1120,54,143,51,5,259,76,19,348,1585,2695,1321,183,5791,2814,352,8955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,44,22,5,97,44,16,160,24,44,22,5,97,44,16,160,9,26,15,0,50,19,6,78,4837,11376,4545,506,21264,5948,835,28048
SED10006,7238,6027,3263,319,16848,7575,595,25020,137,38,54,9,237,646,29,910,10,7,9,0,25,36,0,61,145,48,58,8,264,680,30,974,60,23,25,8,116,436,15,561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,4,60,28,25,8,123,441,15,569,23,11,3,0,32,56,0,94,8,0,0,3,10,22,3,34,49,15,12,0,79,124,14,217,11,8,8,0,28,17,0,51,89,37,23,3,157,213,23,394,73,79,28,3,185,172,14,370,7610,6214,3402,339,17566,9086,671,27324
SED10007,7980,7573,3378,261,19190,6885,715,26792,358,158,176,25,711,1186,80,1978,72,32,67,7,174,279,23,482,432,188,238,35,886,1466,105,2460,127,37,51,7,221,576,38,837,0,0,5,0,4,28,3,29,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,12,0,4,0,12,8,0,23,140,44,54,7,242,617,38,901,9,0,0,0,11,22,0,38,6,0,0,0,7,18,0,19,0,0,0,0,0,7,0,3,24,18,6,0,49,18,5,78,37,26,9,0,69,63,5,141,21,18,7,0,47,40,0,94,8610,7841,3693,307,20447,9065,862,30379
SED10008,5648,12527,1927,141,20240,2243,266,22750,111,133,55,6,302,181,9,491,476,1176,250,16,1918,428,49,2390,585,1306,305,25,2219,612,54,2885,70,64,33,7,177,181,10,364,117,108,46,7,275,136,8,424,436,289,102,15,838,409,57,1299,186,125,47,14,374,147,38,553,23,42,3,0,68,32,0,96,833,618,233,41,1726,900,116,2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,31,3,0,48,16,0,62,7079,14480,2470,204,24227,3762,442,28431
SED10009,10249,5792,2607,181,18829,6735,648,26215,351,82,131,9,574,964,28,1571,305,93,106,3,507,538,33,1078,654,169,236,16,1075,1506,64,2649,276,88,163,13,537,911,53,1500,30,5,9,0,35,55,3,94,10,0,0,0,15,24,0,38,0,0,0,0,5,0,0,5,3,10,0,3,12,26,0,43,324,100,169,13,609,1010,60,1679,48,10,17,0,71,97,8,180,85,16,12,0,111,217,8,341,0,0,0,0,0,5,0,11,14,5,7,0,23,12,3,42,153,31,31,0,217,326,22,565,40,15,7,0,66,60,3,126,11413,6105,3057,216,20793,9644,801,31229
SED10010,4822,9574,3391,442,18231,3942,793,22971,186,343,116,15,659,312,37,1014,463,1251,334,34,2082,496,106,2686,650,1593,454,46,2746,810,142,3697,71,34,24,6,137,400,13,547,0,5,0,0,6,13,0,15,491,582,191,50,1314,542,150,2004,65,66,21,13,156,43,22,219,60,66,30,6,162,56,24,237,688,745,264,65,1769,1051,215,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,3,0,0,17,4,0,22,8,3,0,0,18,8,0,23,13,11,4,0,25,18,0,43,6178,11932,4115,559,22787,5825,1155,29767
