SED_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SED10089,1955,506,2487,14130,4636,485,19248,48438,4198,71885
SED10090,1935,198,2152,17464,2298,194,19958,48251,2692,70906
SED10091,1596,394,2002,14690,3734,436,18859,44268,3523,66649
SED10092,2037,434,2497,11641,3660,268,15565,52421,4465,72457
SED10093,1695,547,2249,13664,3351,429,17439,44408,4580,66428
SED19494,33,16,49,818,332,37,1191,5556,3362,10112
SED19797,0,0,0,0,0,0,0,0,0,0
SED20106,829,131,977,9368,2763,187,12319,55544,4851,72719
SED20207,1026,68,1101,24082,3724,423,28231,50401,4393,83020
SED20302,1607,343,1961,22162,5109,633,27910,56890,5656,90453
SED20401,1325,346,1681,11579,3301,285,15168,35508,2613,53290
SED20508,1686,403,2100,11088,4585,391,16063,39961,3334,59362
SED20604,1343,186,1548,11353,3844,447,15647,37829,3721,57194
SED20704,1466,206,1692,12316,4249,429,16988,37623,3303,57912
SED20804,1442,436,1885,9633,3630,379,13643,35132,4290,53061
SED20906,1685,127,1821,13476,2513,216,16208,35663,2039,53903
SED21001,2258,325,2597,12141,2916,211,15269,44121,2965,62349
SED21106,1679,243,1930,10716,2985,195,13896,35772,2475,52137
SED21203,1360,136,1506,10202,2181,185,12570,41088,5228,58886
SED21303,1359,102,1476,10045,2250,238,12534,50216,2595,65349
SED21401,2549,241,2811,10832,3346,164,14343,40541,2158,57040
SED21503,1356,112,1477,9972,2679,176,12818,36104,2265,51188
SED21608,1052,205,1266,11291,3642,413,15346,35651,3456,54457
SED21706,1862,213,2091,12076,2630,205,14905,40052,2529,57485
SED21805,1176,177,1360,12729,3516,397,16646,38193,2871,57707
SED21906,1565,168,1750,10966,3208,282,14458,39375,2890,56728
SED22005,2001,295,2321,11533,2562,184,14281,46409,3676,64367
SED22105,1049,119,1176,27363,4955,709,33026,57196,5095,95316
SED22201,1365,212,1585,10991,3505,322,14826,33835,1963,50618
SED22305,1362,142,1513,11061,2521,210,13794,43287,5230,62313
SED22404,1182,119,1315,9322,3560,389,13274,34666,4121,52053
SED22501,905,123,1039,11554,3982,278,15810,31265,1423,48500
SED22607,1331,116,1454,11047,2895,189,14125,42291,2824,59245
SED22704,1660,268,1940,9040,3543,366,12952,39360,5261,57571
SED22802,883,71,964,11141,3645,394,15179,32431,1701,49311
SED22901,1374,227,1608,10401,3342,256,13998,33967,1901,49873
SED23007,1212,232,1455,12074,2606,229,14904,51364,5104,71367
SED23101,1947,297,2256,10740,2976,156,13878,35444,2005,51325
SED23205,1414,354,1776,10138,3286,372,13795,34360,3909,52067
SED23308,1424,244,1688,10666,3568,320,14557,38462,3036,56060
SED23402,1140,145,1303,16521,4216,491,21222,41758,3356,66337
SED23502,1508,305,1826,8041,3421,384,11840,37435,4532,53811
SED23602,1349,213,1574,8270,3401,375,12046,33714,4520,50279
SED23702,1127,152,1298,12313,4337,516,17162,38575,3014,58759
SED23806,1431,96,1543,10195,2949,186,13327,39554,2052,54928
SED23901,1866,136,2023,11875,3015,240,15128,38597,2277,56001
SED24006,1834,174,2027,11300,3168,164,14640,37035,1850,53517
SED24105,1342,115,1479,12088,2995,203,15280,44198,2915,62404
SED24207,626,96,735,18963,3686,332,22979,49053,6977,79009
SED24308,1473,157,1635,10581,3677,359,14616,38702,4789,58107
SED24408,1779,275,2075,8202,3102,348,11654,33456,3475,48584
SED24504,993,192,1202,11333,3451,365,15149,34533,3301,52988
SED24606,1646,219,1891,9385,2819,170,12369,36894,2243,51505
SED24703,804,74,890,9670,2645,182,12500,93542,9469,115506
SED24808,923,82,1020,18331,4444,517,23293,45622,5065,73975
SED24904,1561,258,1833,9421,3210,359,12994,36593,5019,54597
SED25003,788,339,1128,12424,2984,215,15625,39047,3071,57732
SED25102,834,60,900,11075,3560,406,15037,30684,1662,47384
SED25205,1599,123,1736,12649,3032,311,15997,35655,1913,53566
SED25302,2080,406,2509,11335,4050,321,15705,35355,2547,53599
SED25402,1414,271,1690,10084,3994,429,14512,37044,4407,55962
SED25501,2017,204,2230,11753,2686,116,14553,37740,2297,54589
SED25605,1903,321,2241,9945,2903,169,13015,37453,3002,53464
SED25704,1824,375,2206,9016,3563,345,12922,36112,4401,53432
SED25802,1545,237,1795,11996,4468,505,16971,41517,4255,62742
SED25905,1105,160,1273,10894,3045,265,14209,37781,3271,55261
SED26005,556,33,596,16416,3385,405,20211,43540,3253,67011
SED26102,2284,408,2714,8754,4390,314,13462,39453,4692,57610
SED26207,1978,143,2133,10500,3024,171,13701,35615,2024,51337
SED26303,1248,175,1441,11243,2269,245,13760,41071,2340,57167
SED26406,1631,175,1820,11452,2279,154,13886,45784,3089,62761
SED26504,1681,284,1980,8467,3250,316,12029,34157,3540,49730
SED26603,2259,311,2584,13580,2354,244,16186,46205,3600,65988
SED26708,1442,252,1709,10031,3654,354,14039,35808,3843,53692
SED26806,1072,362,1452,6836,2243,117,9195,53574,4964,67737
SED26903,1719,372,2099,10851,2183,185,13210,41820,3620,58653
SED27003,921,77,1005,8154,2314,175,10646,53357,3898,67900
SED27101,1364,119,1496,12567,2872,285,15724,35987,1962,53672
SED27208,1656,358,2034,9116,3536,414,13074,38150,5676,56887
SED27305,724,65,786,9675,2823,214,12717,31941,1366,46026
SED27406,1735,190,1942,11360,3310,238,14911,36355,1940,53203
SED27504,1675,241,1928,11173,3678,370,15220,39997,5051,60270
SED27608,1865,177,2053,17969,5038,499,23515,47158,3183,73858
SED27708,1540,264,1819,10025,3906,385,14315,36440,3644,54400
SED27807,1470,302,1791,9685,2876,171,12730,44719,5733,63178
SED27907,1001,101,1114,11571,3522,305,15395,36157,2620,54173
SED28007,757,43,806,14685,3279,250,18219,43149,2697,64065
SED28107,472,49,521,29329,4109,445,33889,57305,7819,99011
SED28203,1462,99,1573,14353,2955,224,17530,43986,3798,65317
SED28301,1631,117,1769,11492,3489,232,15213,35199,1683,52085
SED28408,1543,262,1815,10015,3400,349,13767,34878,2924,51564
SED28507,914,186,1111,17349,3538,391,21278,44393,4696,70371
SED28607,1503,138,1663,14628,2486,274,17391,39771,2684,59851
SED28704,769,55,834,22561,4750,598,27904,46548,3266,77724
SED28803,571,89,674,25998,4282,441,30721,62309,5486,98518
SED29494,17,17,29,695,281,39,1013,3668,3262,7946
SED29797,0,0,0,0,0,0,0,12,27,38
SED30001,576,101,679,12040,2959,339,15343,30814,2575,48730
SED30002,1553,212,1778,9937,2991,257,13180,29660,1652,44488
SED30003,913,163,1086,10894,2846,419,14160,29884,2447,46488
SED30004,552,135,704,9594,2546,414,12564,29995,3340,45892
SED30005,1207,174,1386,7630,2317,196,10143,35006,3607,48761
SED30006,1326,201,1538,6604,2408,189,9203,30822,2775,42798
SED30007,1376,265,1643,9937,2433,274,12646,30195,2450,45284
SED30008,828,73,908,11020,2274,251,13548,31469,2002,47013
SED30009,1599,212,1820,6722,2483,370,9576,29104,2984,41667
SED30010,497,58,556,12585,3438,566,16589,32266,4007,52862
SED30011,768,113,887,8321,2357,324,10996,26907,7485,45392
SED30012,1033,172,1214,8383,2483,211,11080,27994,2764,41837
SED30013,798,80,878,6304,2196,272,8777,30408,3307,42490
SED30014,1029,134,1175,7686,2460,306,10446,32706,6176,49322
SED30015,779,176,960,7525,2216,323,10065,25641,5050,40757
SED30016,1285,144,1435,9001,2839,290,12135,31824,2478,46438
SED30017,662,300,974,8971,3164,323,12457,27382,1922,41758
SED30018,743,58,810,10226,2738,238,13199,26813,1317,41334
SED30019,890,86,980,8644,2133,188,10958,36209,2620,49788
SED30020,739,143,891,9134,3128,505,12768,27727,3089,43587
SED30021,546,76,630,6930,2885,470,10280,25757,5335,41370
SED30022,364,28,397,18147,3872,635,22654,37206,4100,63957
SED30023,612,31,654,9901,2375,259,12539,28900,1320,42759
SED30024,1009,338,1359,7966,2512,234,10720,26429,2717,39860
SED30025,678,46,733,10478,2651,254,13385,28072,1154,42607
SED30026,944,85,1036,10527,2321,313,13165,26975,1465,41604
SED30027,796,118,922,8746,2531,294,11571,26892,2173,40641
SED30028,479,94,576,8785,2656,432,11875,24605,2941,39425
SED30029,778,68,863,7492,2627,230,10350,27099,4029,41484
SED30030,884,135,1029,9435,2004,204,11635,31068,1902,44612
SED30031,328,83,419,6521,1734,323,8583,18144,3987,30713
SED30032,1054,124,1196,7129,2526,351,10005,31855,3543,45408
SED30033,1656,327,1988,6522,2182,307,9013,34212,3297,46522
SED30034,1183,248,1439,7137,2691,304,10129,30964,6282,47366
SED30035,655,93,760,9019,2719,422,12160,24963,3068,40193
SED30036,841,96,942,10033,2659,271,12964,32695,6462,52124
SED30037,833,238,1081,8593,2628,407,11624,25943,2576,40148
SED30038,633,108,745,8803,2929,405,12138,27023,3567,42728
SED30039,218,14,240,15429,3211,527,19174,29833,2340,51343
SED30040,1507,280,1793,8420,2487,276,11184,29596,2568,43343
SED30041,855,124,981,8311,3370,421,12099,27495,3564,43163
SED30042,561,29,594,11188,3101,445,14732,27950,2046,44732
SED30043,624,142,779,8257,2610,362,11231,27884,3352,42465
SED30044,632,62,695,11729,3341,520,15584,31709,3408,50704
SED30045,1069,227,1312,10035,2823,332,13194,28827,2007,44032
SED30046,797,77,884,10085,3038,478,13601,30779,3484,47858
SED30047,1143,206,1358,8167,3162,391,11725,29272,4461,45455
SED30048,720,100,833,9578,2256,145,11972,39195,2143,53310
SED30049,1017,112,1136,11118,2471,243,13836,30491,1929,46254
SED30050,1198,254,1454,6501,2526,216,9244,31481,3410,44138
SED30051,1066,131,1203,6467,2483,350,9301,31725,3649,44675
SED30052,597,104,700,5767,2045,134,7945,50487,4971,63401
SED30053,901,235,1147,8542,2320,232,11094,31404,2750,45249
SED30054,860,87,964,9240,2156,209,11596,28076,1519,41192
SED30055,487,67,559,7719,2831,330,10880,24041,5368,40290
SED30056,1030,132,1182,10509,2604,242,13351,25700,1082,40135
SED30057,982,190,1174,9256,2936,442,12636,30821,3376,46832
SED30058,1026,77,1103,9733,2640,292,12661,27848,1328,41828
SED30059,815,311,1140,11001,2789,305,14095,30186,2787,47069
SED30060,451,133,593,9149,3082,535,12764,26598,3943,43296
SED30061,777,189,973,6960,2734,333,10028,27479,5075,42586
SED30062,834,251,1094,13808,3319,508,17640,32443,2830,52918
SED30063,998,143,1151,6344,2391,318,9054,30369,4162,43592
SED30064,1085,189,1281,7881,2384,323,10589,27741,2534,40865
SED30065,956,120,1085,10526,2716,318,13561,29440,2232,45233
SED30066,1165,217,1386,7002,2140,202,9348,29848,2663,41863
SED30067,926,127,1070,9646,2265,244,12157,32125,2230,46512
SED30068,1043,354,1413,6915,2894,263,10074,25764,1861,37698
SED30069,523,37,566,10496,3119,374,13995,28282,1786,44065
SED30070,1263,199,1472,6520,2710,278,9502,32428,2615,44538
SED30071,1449,170,1628,7152,3107,294,10555,31981,2809,45343
SED30072,1227,128,1361,8517,2901,322,11735,30834,2096,44664
SED30073,1127,251,1389,8224,2952,478,11653,27458,3718,42831
SED30074,1092,186,1281,10180,2768,287,13236,28968,1850,44055
SED30075,883,173,1069,8387,2771,305,11464,29592,3503,44556
SED30076,614,107,737,7037,2251,154,9444,44968,4428,58839
SED30077,1166,153,1323,6689,2510,299,9498,27797,3624,40912
SED30078,1319,404,1729,7855,2203,224,10281,34520,3965,48772
SED30079,583,50,638,10340,3028,368,13730,26856,1533,42122
SED30080,1109,272,1392,9856,2139,237,12236,32357,2426,47017
SED30081,855,49,906,11015,2974,241,14234,31220,2236,47694
SED30082,1094,160,1268,6139,2142,138,8422,36043,5561,50025
SED30083,539,163,707,11937,2896,421,15257,28522,2411,46192
SED30084,632,62,698,8156,3181,483,11822,26177,3020,41015
SED30085,999,69,1084,9244,2347,212,11803,33832,2511,48148
SED30086,1168,160,1338,8049,2892,404,11343,30404,2611,44357
SED30087,1805,209,2024,8769,3039,426,12231,31837,2456,46522
SED30088,645,72,729,6905,2547,372,9826,28573,3629,42034
SED30089,380,84,466,6250,2025,342,8619,20578,4580,33780
SED30090,657,131,802,6381,2010,343,8738,21746,3548,34030
SED30091,876,218,1103,9880,2816,396,13083,30426,4221,47732
SED30092,390,84,474,8829,2528,390,11748,27016,4868,43638
SED30093,441,126,568,11309,3313,468,15087,32992,5184,53265
SED39494,33,13,44,1219,501,70,1785,8009,3440,13234
SED39797,0,0,0,0,0,0,0,45,135,183
SED40001,895,120,1032,4782,2160,170,7109,30210,2726,40043
SED40002,1252,88,1350,6183,1881,189,8248,25116,1251,34622
SED40003,606,31,641,6279,2729,264,9267,19195,786,29248
SED40004,1249,71,1336,6666,2524,179,9368,21234,737,31337
SED40005,1008,116,1136,4720,1940,195,6857,21487,2541,30885
SED40006,909,58,979,5910,1838,193,7942,23452,1439,32840
SED40007,1243,83,1335,5736,2618,215,8566,21712,1047,31328
SED40008,960,54,1026,5981,1643,165,7786,26340,1975,36099
SED40009,702,47,757,6084,2755,261,9094,20309,899,30305
SED40010,1068,61,1144,5807,2094,157,8060,23638,1210,32900
SED40011,1124,85,1224,6609,2142,242,8992,22465,1180,32640
SED40012,689,130,827,6400,2089,292,8779,20536,2119,31441
SED40013,856,68,938,7768,1946,202,9915,23761,2221,35908
SED40014,1447,146,1597,3685,2181,229,6091,22238,1476,29807
SED40015,811,118,932,5344,2214,294,7846,18736,2515,29095
SED40016,592,141,742,6173,1946,191,8317,21956,1472,31740
SED40017,750,86,840,5703,2356,295,8355,20801,1967,31121
SED40018,1615,106,1739,5515,2603,204,8333,23145,1263,32741
SED40019,538,88,635,5100,2375,419,7889,18826,2806,29522
SED40020,904,90,1001,5004,2291,255,7552,20857,2399,30807
SED40021,1611,197,1823,6240,2081,192,8513,23710,1332,33550
SED40022,616,46,670,6158,2679,305,9141,18492,1307,28946
SED40023,783,76,864,5475,2513,289,8281,19398,1223,28898
SED40024,771,148,927,6718,2607,367,9686,21086,1635,32413
SED40025,665,52,724,6843,2330,331,9501,19875,1385,30754
SED40026,560,97,671,6088,2387,245,8721,20203,1025,29946
SED40027,1280,81,1371,4595,2285,170,7049,20447,1171,28672
SED40028,768,124,898,5886,2128,273,8288,19496,1330,29113
SED40029,916,98,1017,5407,2222,219,7841,21778,2617,32230
SED40030,704,142,851,5740,2523,315,8576,20260,1911,30745
SED40031,789,52,850,6372,2529,180,9081,20864,856,30799
SED40032,1329,77,1418,4992,2246,160,7393,21671,1065,30134
SED40033,772,164,936,5313,2121,268,7707,18921,2534,29160
SED40034,930,165,1099,3670,1839,193,5703,19901,2238,27840
SED40035,1352,77,1438,5803,2366,203,8373,21002,1069,30445
SED40036,378,50,433,6993,2077,232,9301,21866,1409,32580
SED40037,794,52,852,5085,2280,226,7584,21790,1392,30769
SED40038,780,110,899,6697,2089,262,9051,22915,2091,34059
SED40039,726,76,810,5387,2318,299,8004,20045,1521,29562
SED40040,735,104,850,5925,2460,197,8587,20824,1558,30972
SED40041,834,89,926,4234,2018,225,6481,19646,2865,28992
SED40042,479,89,574,6885,2030,388,9301,20377,2300,31972
SED40043,890,52,952,7416,1987,158,9565,24080,1482,35125
SED40044,1576,111,1705,6125,2418,236,8771,22290,876,31941
SED40045,876,61,949,6877,2782,307,9967,19639,750,30356
SED40046,981,51,1048,5436,1739,161,7334,23047,1126,31509
SED40047,524,26,556,6078,2576,227,8888,19728,874,29486
SED49494,15,0,11,315,124,17,459,1761,756,2975
SED49797,0,0,0,0,0,0,0,0,5,12
SED50106,1028,127,1164,5643,2176,333,8152,21527,2294,31970
SED50202,618,115,736,8271,2717,442,11419,25323,3013,39756
SED50304,1036,90,1145,7065,2304,234,9595,26570,2190,38364
SED50405,270,46,328,12056,2953,615,15621,24367,2549,42541
SED50502,668,74,748,6746,2408,286,9447,23670,1999,35119
SED50605,1084,53,1166,7447,3318,232,10998,24372,1234,36602
SED50702,821,137,961,7162,2354,225,9740,27831,3063,40633
SED50805,1231,140,1385,6759,2589,335,9683,21091,1474,32259
SED50906,852,161,1024,6919,2673,393,9984,23233,2866,36082
SED51004,380,62,447,8189,2808,350,11344,23506,1746,36600
SED51104,686,75,769,10989,2943,536,14471,25927,2651,43040
SED51205,669,109,791,8627,2546,256,11432,28949,2831,43207
SED51304,792,47,853,8069,3566,378,12012,20831,1112,33955
SED51401,763,163,929,4851,1919,243,7013,20072,3970,31051
SED51504,1216,103,1345,8421,2615,349,11379,23052,1270,35703
SED51605,382,53,447,9427,2694,369,12492,23831,1757,38083
SED51706,649,168,823,7179,2753,431,10363,22892,2472,35729
SED51804,1286,204,1506,6961,3144,309,10414,24535,1934,36885
SED51902,409,46,464,8925,3218,497,12636,22102,2197,36933
SED52006,984,129,1125,5915,2792,277,8987,24826,1988,35800
SED52102,595,71,667,7471,2484,316,10270,21530,1983,33786
SED52205,966,198,1186,6385,2640,366,9381,25419,2686,37487
SED52301,677,146,832,5736,2172,341,8245,19728,3218,31196
SED52404,514,47,564,7803,3049,354,11207,21420,1199,33828
SED52505,310,27,354,12524,3122,396,16041,25282,2609,43929
SED52604,565,91,666,6613,2958,253,9825,22806,1627,34252
SED52702,900,101,1017,6442,3114,340,9899,21142,1405,32447
SED52803,197,36,230,5772,1482,281,7532,17111,4574,29218
SED52903,101,38,139,4757,2320,642,7720,14643,4722,27084
SED53004,917,64,994,7318,3277,384,10971,21838,1110,33920
SED53105,473,38,516,9781,2480,452,12709,22222,3245,38180
SED53204,438,30,478,9940,2721,350,13010,23244,1362,37611
SED53306,1269,288,1567,6783,2677,376,9841,24863,2937,37639
SED53402,807,92,910,7110,2121,276,9504,25120,1915,36534
SED53502,778,264,1049,7452,2798,316,10566,25236,2684,38492
SED53602,577,164,751,6941,2455,257,9651,26166,2848,38672
SED53701,580,107,694,4888,2042,253,7188,20952,3802,31942
SED53802,917,64,994,7056,2506,204,9761,26146,1940,37844
SED53902,1464,158,1649,6307,2256,210,8773,25619,1816,36209
SED54006,692,119,825,6568,2554,367,9492,23158,2571,35229
SED54104,1010,124,1157,7273,2896,262,10440,27073,1925,39432
SED54203,101,29,139,3230,1010,308,4552,10368,3574,18488
SED54304,655,69,733,6700,2177,251,9129,34336,4041,47500
SED54403,41,11,55,8320,1819,582,10718,18353,7312,36385
SED54505,980,96,1084,8803,3115,244,12157,23407,1153,36719
SED54605,1031,269,1311,5401,2725,264,8395,23262,2931,34583
SED54701,648,129,778,5512,1869,283,7660,19364,3346,30370
SED54804,1029,224,1256,7668,2536,258,10460,25408,2404,38276
SED54905,971,243,1228,6127,2726,254,9104,25884,2080,37069
SED55005,506,83,598,10082,2780,356,13222,24535,1797,39552
SED55102,297,21,321,9185,2622,425,12234,22273,4020,38522
SED55202,834,182,1027,7672,2771,297,10741,25517,2595,38857
SED55306,971,110,1085,7295,2409,402,10104,23235,2504,35843
SED55405,866,348,1221,6831,2010,245,9086,29326,3365,41774
SED55504,538,99,643,9581,2898,429,12913,23633,1815,38364
SED55605,404,60,478,9210,2934,529,12675,22993,2129,37802
SED55706,789,129,924,6341,2143,392,8880,23685,3308,35874
SED55802,545,37,591,10151,2859,348,13357,25685,2096,41149
SED55905,910,300,1222,6130,2615,280,9023,22885,2161,34066
SED59494,12,23,30,613,205,45,861,3063,3361,7285
SED59797,0,0,0,40,5,3,45,248,221,516
SED60105,788,126,917,3682,1332,177,5182,14272,968,20420
SED60106,162,75,238,945,468,49,1457,4497,551,6516
SED60113,685,120,815,5714,2215,279,8206,21634,1535,31373
SED60115,731,70,799,5525,2074,259,7856,23041,2330,33231
SED60207,918,131,1057,5365,2239,319,7925,22436,1802,32167
SED60208,725,68,801,4558,2079,245,6885,18723,1576,27186
SED60209,816,102,925,5397,2194,279,7871,21579,2296,31744
SED60301,364,44,410,2516,987,144,3655,9085,679,13418
SED60302,847,88,947,5410,2116,246,7774,22084,1605,31461
SED60303,621,91,725,5035,2036,284,7353,22683,1652,31689
SED60304,0,0,0,52,18,5,80,207,11,293
SED60310,570,34,604,2999,1455,145,4590,12797,779,18169
SED60404,519,91,612,5875,2311,343,8533,19352,1720,29602
SED60410,374,33,400,2608,1047,127,3783,8989,447,13215
SED60411,1178,138,1331,4746,2531,223,7497,18646,1171,27314
SED60414,268,31,311,4767,1798,218,6783,13885,1483,22147
SED60501,227,35,265,3197,1142,172,4505,11644,1450,17596
SED60505,240,13,261,1595,692,82,2364,5917,317,8601
SED60506,602,72,682,4205,1644,195,6046,18152,1703,25902
SED60508,78,7,89,693,285,39,1011,3062,368,4438
SED60512,551,68,622,4906,2067,237,7211,19767,2021,29000
SED60514,165,10,172,1669,672,105,2439,5431,319,8195
SED69494,3,0,3,144,39,7,192,726,324,1248
SED69797,0,0,0,0,0,0,0,11,3,19
SED70001,8,0,9,1112,1459,580,3154,2860,555,6577
SED70002,43,3,48,1708,438,82,2231,5037,581,7843
SED70003,11,0,8,1366,1548,478,3398,2862,753,7016
SED70004,15,0,21,1171,910,215,2291,3201,961,6452
SED70005,30,4,32,1531,367,76,1977,3785,757,6518
SED70006,41,6,41,1345,481,93,1926,4573,512,7009
SED70007,56,3,65,1805,431,107,2339,3841,475,6654
SED70008,128,11,138,1560,473,62,2095,4901,660,7653
SED70009,21,7,30,1280,863,136,2278,4161,1226,7670
SED70010,33,9,44,1288,405,75,1769,3826,976,6570
SED70011,69,40,111,1196,403,53,1650,4564,538,6748
SED70012,32,3,36,1167,300,36,1496,4686,631,6817
SED70013,34,4,42,1469,489,64,2024,4627,981,7633
SED70014,19,0,23,1030,1252,336,2616,2688,743,6047
SED70015,44,8,56,1453,441,68,1968,4414,585,6962
SED70016,38,5,45,1245,495,93,1825,4029,691,6550
