SED_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SED10089,15230,13375,13034,11083,10070,9126,7783,4917,2487,87111
SED10090,15950,9001,11425,14453,12489,9450,7721,4213,2152,86851
SED10091,16509,9599,9237,9813,10963,10087,9289,5659,2002,83158
SED10092,12844,12035,13591,9960,9956,10470,8399,5544,2497,85299
SED10093,16103,10202,10098,9874,10377,9756,8440,5445,2249,82534
SED19494,1260,1357,2187,1859,1678,1648,1055,277,49,11371
SED19797,0,0,0,0,0,0,0,0,0,0
SED20106,8228,8083,20445,14274,10699,8793,6174,3277,977,80946
SED20207,25512,11469,15432,21413,14192,9594,6750,3072,1101,108534
SED20302,25362,11786,17584,17368,12615,11993,11190,5951,1961,115817
SED20401,11394,6915,9122,9776,8567,7481,6116,3635,1681,64685
SED20508,11976,6489,6395,8042,8775,10130,11357,6074,2100,71339
SED20604,13209,7810,8156,8401,8863,9520,8557,4341,1548,70404
SED20704,14204,8831,9251,8796,8677,8905,7723,4031,1692,72117
SED20804,10697,6592,7756,7601,7935,8535,8112,4646,1885,63757
SED20906,12876,7992,7389,9999,10398,7677,5335,3287,1821,66780
SED21001,11095,10270,10761,9698,9907,8367,6507,4236,2597,73444
SED21106,10069,7079,6717,7941,9907,8397,6281,3892,1930,62206
SED21203,15492,10213,12275,10099,8487,7743,5074,3476,1506,74380
SED21303,8952,8780,19609,12828,8825,6521,4457,2848,1476,74300
SED21401,10071,7563,8038,8607,8605,8350,7052,6010,2811,67111
SED21503,9745,8117,9138,8248,8100,6821,5654,3621,1477,60935
SED21608,12970,7983,8598,8516,8797,8458,7281,3554,1266,67425
SED21706,11373,10300,9361,8892,9474,7897,5877,3599,2091,68864
SED21805,13127,7389,9544,10452,10031,8795,6645,3498,1360,70841
SED21906,11059,7877,12322,9926,8297,6851,6493,3213,1750,67787
SED22005,11601,9626,14124,10642,8922,7805,6521,4410,2321,75965
SED22105,32571,15738,21200,22726,14512,10081,6619,3257,1176,127892
SED22201,11217,6754,8420,8789,7762,7265,6132,3914,1585,61836
SED22305,14020,9248,13787,11366,8594,7847,6252,3696,1513,76335
SED22404,10303,6425,6184,6857,8612,9900,8564,4203,1315,62365
SED22501,11320,6840,5349,7976,8792,8222,6946,3341,1039,59815
SED22607,10765,8435,12442,10475,9619,8087,5834,2896,1454,70008
SED22704,10811,6912,7028,7076,8883,10570,9819,5343,1940,68383
SED22802,11537,7472,8136,8064,8045,7379,5906,3341,964,60851
SED22901,10229,6865,7388,8577,7628,7470,6731,3606,1608,60096
SED23007,12411,9590,19000,13860,10025,8154,5960,3323,1455,83789
SED23101,10081,7481,6610,8147,8352,7037,6446,4991,2256,61409
SED23205,10928,7003,8640,8418,8325,7627,6352,3922,1776,62994
SED23308,11006,7989,10653,8718,8322,8118,6745,3832,1688,67063
SED23402,17970,10394,12192,12138,10902,9074,6636,3701,1303,84305
SED23502,10091,5720,6056,6177,7336,9968,10844,5880,1826,63901
SED23602,9939,5824,6031,6534,7669,9169,8946,4528,1574,60218
SED23702,13382,8765,9194,8995,9468,9472,7533,4036,1298,72135
SED23806,9494,9268,10758,8485,8343,7146,5835,3547,1543,64418
SED23901,11637,7691,9412,9754,8915,8053,6312,3835,2023,67639
SED24006,10507,9487,6737,7266,9401,8524,6196,3884,2027,64029
SED24105,13536,9984,11199,10941,9696,8444,6809,3846,1479,75941
SED24207,22765,12842,16173,17500,12948,9186,6827,2812,735,101777
SED24308,12399,8802,10785,8915,8954,8210,6927,3887,1635,70504
SED24408,9881,5895,6260,5959,7038,8784,7869,4705,2075,58458
SED24504,12054,6443,5500,8155,9964,9502,8241,3984,1202,65038
SED24606,8642,7855,9166,7567,8091,6899,5983,4053,1891,60148
SED24703,8698,28167,43021,18338,9660,7578,5368,2489,890,124206
SED24808,23705,11484,15318,14965,11193,9022,7657,3321,1020,97680
SED24904,12169,7352,8886,7895,8212,8908,7397,4111,1833,66771
SED25003,13691,9265,10462,10458,9600,8690,5574,2568,1128,71427
SED25102,11006,6737,6231,7852,8643,7942,6255,2821,900,58387
SED25205,12233,7231,7118,9567,10143,8183,5936,3655,1736,65798
SED25302,11662,7098,4230,7160,9688,8324,8456,6138,2509,65261
SED25402,12293,7737,8706,7961,8216,9346,7990,4307,1690,68256
SED25501,11071,8877,7779,9066,8785,7606,5784,4457,2230,65663
SED25605,10173,7306,8765,8550,7990,6995,6714,4903,2241,63639
SED25704,11334,6796,6890,6759,7841,9321,8420,5196,2206,64766
SED25802,14419,8289,9381,8708,9458,10382,9485,5246,1795,77157
SED25905,12724,8991,9721,8897,8735,8885,5917,2843,1273,67990
SED26005,19489,13161,11304,13074,12469,9090,5100,2210,596,86498
SED26102,9350,5606,5487,6421,8423,10134,11544,7279,2714,66960
SED26207,10463,6872,7034,8215,8613,7317,6307,4851,2133,61796
SED26303,10105,6727,13292,11395,9848,7065,4553,2858,1441,67269
SED26406,10371,11376,14750,10525,8717,7033,5061,3470,1820,73129
SED26504,9981,5789,5921,6389,7548,8547,8402,5161,1980,59712
SED26603,13496,8844,15241,13229,9924,7585,4975,3618,2584,79479
SED26708,11604,6621,6942,7364,8393,9568,8571,4524,1709,65296
SED26806,5817,7628,23016,12710,7908,6487,5208,3325,1452,73559
SED26903,10683,7134,13486,11328,8996,6997,5016,3596,2099,69342
SED27003,7769,7384,23498,13098,8524,6923,4941,2533,1005,75675
SED27101,11875,7203,9565,10496,8846,7005,5492,3567,1496,65551
SED27208,11067,6497,7083,7038,8740,10176,9886,5433,2034,67957
SED27305,9433,7655,6196,7096,8367,8179,5012,2726,786,55451
SED27406,10704,7190,6262,8091,10046,8565,6919,4195,1942,63903
SED27504,14327,8656,9540,8762,9151,9370,8048,4806,1928,74598
SED27608,18599,11945,13138,13213,11110,9370,8322,4700,2053,92460
SED27708,11497,7002,7420,7558,8534,9277,8449,4345,1819,65902
SED27807,12210,9289,13150,10067,8773,8610,7350,4148,1791,75388
SED27907,12148,7564,9905,9129,8596,8004,6482,3374,1114,66327
SED28007,16047,11519,10639,11686,11947,9396,5625,2451,806,80110
SED28107,35288,15873,25679,27005,12774,9270,5707,2185,521,134306
SED28203,17191,9307,13777,13582,8881,7338,6607,4260,1573,82511
SED28301,11197,8092,5722,8024,9172,8477,6501,4335,1769,63284
SED28408,11298,7786,8380,7534,7706,7580,6765,3994,1815,62869
SED28507,20533,10832,15945,15139,10066,8420,5962,2891,1111,90901
SED28607,14455,7016,10708,12528,11011,8301,5380,3247,1663,74303
SED28704,24682,12340,14745,16900,13257,9787,6868,2994,834,102403
SED28803,32948,17276,23009,22253,14727,11578,6514,2486,674,131466
SED29494,1143,1131,1819,1736,1393,1074,613,152,29,9089
SED29797,0,0,6,16,3,14,4,0,0,38
SED30001,13817,7591,10047,10169,7598,6344,4407,1897,679,62550
SED30002,10176,6491,6532,7828,7193,6194,5053,3429,1778,54666
SED30003,12852,7752,7400,8290,7986,5931,4978,3068,1086,59341
SED30004,10761,6061,6104,7910,8696,8004,5844,2572,704,56646
SED30005,7714,7470,8558,7071,7289,7158,6113,3710,1386,56471
SED30006,6603,4727,4008,5244,7062,7456,7825,4944,1538,49398
SED30007,10464,7672,6510,7050,7447,6019,5289,3653,1643,55756
SED30008,10657,7086,9584,9746,8317,5897,3688,1786,908,57671
SED30009,8884,5955,6102,5373,5711,6162,6002,4535,1820,50553
SED30010,18637,9983,12329,10015,7662,6210,4181,1927,556,71499
SED30011,10560,6136,8201,7381,7558,7370,5238,2618,887,55948
SED30012,8487,5314,7338,7192,6771,5794,5244,2972,1214,50324
SED30013,7614,4330,4095,4967,6783,8783,8557,4089,878,50105
SED30014,9619,6946,8971,8057,8283,7438,5590,2855,1175,58940
SED30015,10286,5328,6199,5985,6442,6949,5698,3200,960,51039
SED30016,9773,5852,6257,6688,7343,7478,7177,4200,1435,56213
SED30017,9740,5850,6398,6999,6712,6630,5590,2601,974,51498
SED30018,10374,6326,6126,7885,7425,5990,4461,2306,810,51712
SED30019,8353,7775,11576,8806,7962,6266,4148,2281,980,58142
SED30020,11717,6616,6327,6535,7194,7300,5763,2963,891,55300
SED30021,11173,6185,7392,6288,6852,6723,4881,2423,630,52543
SED30022,22019,11602,14560,13151,10443,7068,4794,1944,397,85984
SED30023,9738,7851,7312,7437,8089,5515,3842,2058,654,52501
SED30024,8225,5023,5689,6278,6489,6450,5576,3004,1359,48090
SED30025,10424,6927,6973,7640,7866,5993,4236,2246,733,53032
SED30026,10743,6809,6987,8063,7546,4879,4008,2273,1036,52348
SED30027,9408,5852,6343,6957,6935,6035,4742,2858,922,50038
SED30028,10895,6083,6522,6740,7157,6485,4068,1784,576,50317
SED30029,8380,5109,5293,5957,6978,7461,6703,3124,863,49865
SED30030,9038,7166,10023,8661,7238,5141,3441,1901,1029,53645
SED30031,8776,4706,5656,5504,5078,4927,2984,1443,419,39495
SED30032,8853,5274,4948,5528,7034,8809,8413,4204,1196,54257
SED30033,8129,4907,4605,5077,6214,7917,9635,6169,1988,54649
SED30034,9741,5486,6101,6157,7343,8805,7931,4109,1439,57110
SED30035,11049,5615,7009,6731,6276,6395,5035,2382,760,51236
SED30036,13470,9224,10659,9380,8257,6770,4430,2459,942,65593
SED30037,10364,6392,7460,6708,6209,5744,4111,2442,1081,50518
SED30038,11107,7301,7375,6889,6905,6313,4663,2540,745,53840
SED30039,17778,9179,10291,11816,9282,5853,3407,1268,240,69120
SED30040,9112,5938,5731,6452,6937,6429,5837,4226,1793,52460
SED30041,10329,6036,6268,6665,6759,7448,5863,3136,981,53492
SED30042,12675,7898,7788,7874,7827,6116,4496,2124,594,57409
SED30043,10363,6482,6420,6403,6953,7048,5553,2828,779,52833
SED30044,15012,8678,9986,8445,7876,7126,5289,2613,695,65725
SED30045,10300,5929,6141,7734,8123,6736,5073,2987,1312,54339
SED30046,12713,7763,9061,7942,7418,6436,5434,2912,884,60573
SED30047,10361,6718,7340,7235,7327,7158,5232,3086,1358,55815
SED30048,9130,14257,10763,8545,7113,5127,4244,2432,833,62446
SED30049,11361,8149,8089,9042,7680,5567,3944,2650,1136,57617
SED30050,6566,5169,6690,6035,6588,7595,6843,3764,1454,50701
SED30051,8250,5092,4607,5220,6531,8548,9110,4364,1203,52928
SED30052,4839,11425,21496,11293,7141,5695,3793,1858,700,68240
SED30053,8488,6906,8652,7590,7099,5824,5117,2921,1147,53734
SED30054,9103,6893,7395,7730,7092,5416,3660,2043,964,50292
SED30055,9898,5569,5940,6537,6861,7290,5250,2279,559,50190
SED30056,10509,6315,3677,6949,8110,6146,4817,2940,1182,50642
SED30057,12244,7851,8341,7101,7070,6522,5586,3183,1174,59080
SED30058,9992,6046,6329,7742,7063,5982,4939,2629,1103,51820
SED30059,11637,7087,6236,8338,8581,7030,5524,3137,1140,58707
SED30060,12625,7113,7503,7498,7439,6245,4738,2164,593,55923
SED30061,8621,9558,7319,6296,6339,5610,4016,2477,973,51205
SED30062,15829,8534,11197,10568,8059,6027,4773,2667,1094,68747
SED30063,8897,5205,4888,5192,6654,8064,8185,4255,1151,52491
SED30064,8882,5269,5271,5994,6788,6866,6014,3382,1281,49746
SED30065,11204,5468,5415,7775,7954,7315,6756,3471,1085,56441
SED30066,7203,4309,3600,5200,7169,8011,7822,4369,1386,49064
SED30067,9658,6647,10376,9184,7234,5714,4118,2174,1070,56175
SED30068,7150,5338,3280,4928,6563,6640,5902,3643,1413,44847
SED30069,11537,6818,6486,7867,8236,6707,5051,2332,566,55600
SED30070,7701,4599,4509,4940,5897,7583,9739,5807,1472,52240
SED30071,7750,5147,4539,6147,7795,7983,7754,4349,1628,53092
SED30072,9357,6067,5348,6167,7175,7629,6961,3957,1361,54021
SED30073,11084,7227,7570,6764,6220,6083,4677,2907,1389,53919
SED30074,10450,5812,6717,8099,7537,6360,5129,3114,1281,54499
SED30075,10063,5752,5116,6534,7954,7906,6786,3440,1069,54621
SED30076,6382,12317,17458,9782,7464,5525,3692,1862,737,65224
SED30077,8905,5052,5035,5046,6193,7303,6974,3986,1323,49822
SED30078,8241,7917,8398,7168,7337,6444,5773,4007,1729,57014
SED30079,10940,6176,6501,8268,7249,5932,5071,2292,638,53064
SED30080,9799,7541,10097,8698,7508,5490,3792,2502,1392,56814
SED30081,12128,7502,8950,9465,6909,6402,5104,2454,906,59815
SED30082,5888,6066,9192,6906,7377,7811,7181,4233,1268,55909
SED30083,13219,7745,7459,9050,8543,6119,4332,2225,707,59411
SED30084,10995,7385,6901,6568,6749,5774,4518,2418,698,52007
SED30085,9333,7864,11035,8758,6581,5575,4548,2701,1084,57483
SED30086,10369,7191,6718,6279,6649,6530,5894,3757,1338,54728
SED30087,10892,7590,8256,6983,6259,5773,5610,4028,2024,57416
SED30088,8341,6469,7673,6545,6782,6742,4891,2202,729,50376
SED30089,9339,5715,6519,5562,5344,5075,3373,1732,466,43119
SED30090,8927,5018,5326,5004,5622,5795,4262,2197,802,42956
SED30091,13299,8067,9532,8248,6921,5823,5034,3008,1103,61026
SED30092,10672,6353,7587,7552,7622,7259,4785,2001,474,54307
SED30093,17913,10736,10476,9613,8251,6812,4699,2109,568,71179
SED39494,1437,1495,2649,2077,1929,2468,2124,444,44,14670
SED39797,0,16,49,64,45,5,3,0,0,183
SED40001,4581,8393,8903,5716,4758,4768,4239,2232,1032,44627
SED40002,5918,5197,7904,5806,4556,4289,3429,2088,1350,40543
SED40003,6261,3903,3839,4922,4796,5091,4256,1801,641,35511
SED40004,6534,4700,3173,4644,5201,4634,4573,3072,1336,37877
SED40005,5846,3679,3910,3793,4690,5466,5433,2796,1136,36729
SED40006,6240,4746,6690,5438,4962,4853,3334,1835,979,39078
SED40007,5805,4157,3847,4480,5257,5164,4218,2874,1335,37135
SED40008,6765,5574,8171,6182,5235,4663,3372,1877,1026,42872
SED40009,6152,4625,4349,4808,4704,4824,4179,2067,757,36457
SED40010,5493,4740,5833,4990,4746,4854,4076,2524,1144,38393
SED40011,6573,4754,5899,5553,4920,4441,3590,2261,1224,39212
SED40012,8905,5256,5899,5199,4799,4688,3017,1756,827,40343
SED40013,8058,5343,8356,7172,5085,4135,3108,1764,938,43961
SED40014,4199,2407,2207,2807,3530,5254,7367,4642,1597,34008
SED40015,6757,3396,4023,4063,4621,5215,4507,2333,932,35849
SED40016,6910,4940,6009,5470,4629,4174,3635,2150,742,38652
SED40017,6901,4070,4092,4178,5005,5855,4656,2420,840,38021
SED40018,5528,4471,4887,4715,4560,4654,4764,2944,1739,38269
SED40019,6749,4151,5208,4319,4830,4856,3445,2084,635,36268
SED40020,6183,4030,4029,3868,4781,5264,4885,2948,1001,36988
SED40021,6207,4632,5757,5432,4790,4256,3721,3149,1823,39757
SED40022,6321,3924,2785,4231,5377,5328,4607,2021,670,35264
SED40023,6036,4119,4250,4303,4532,4426,4145,2254,864,34938
SED40024,7503,4579,5571,5319,5035,4700,4028,2255,927,39916
SED40025,7494,4558,4927,4893,5068,4514,3968,2105,724,38250
SED40026,6569,4748,4077,4477,5171,5222,3619,1967,671,36515
SED40027,4802,3341,4520,4029,4081,4391,4272,2667,1371,33477
SED40028,6979,4538,4957,4305,4414,4479,3368,2150,898,36095
SED40029,6550,3850,4109,4361,4965,5820,5211,2896,1017,38777
SED40030,6464,3689,3390,4254,4957,5588,5292,2729,851,37216
SED40031,6328,4484,4329,4838,5036,4667,3943,2642,850,37128
SED40032,4736,3792,4929,4513,4047,4529,4340,2577,1418,34870
SED40033,6358,4063,4179,4168,4608,4758,4145,2313,936,35520
SED40034,4682,2469,2612,2841,3648,5613,6160,3410,1099,32521
SED40035,5927,3849,4689,4755,4405,3954,4211,3156,1438,36373
SED40036,8553,5567,6392,6082,4910,4599,3113,1477,433,41136
SED40037,5376,3809,4625,4631,4957,5744,4246,1913,852,36150
SED40038,8988,5533,6211,5992,5042,4864,3568,1948,899,43048
SED40039,5940,4033,4979,4648,4345,4189,4254,2311,810,35506
SED40040,6471,4094,3343,4320,5444,5755,4802,2369,850,37442
SED40041,5967,3777,4088,3697,4353,5179,4361,2603,926,34955
SED40042,9962,5645,7049,5391,4554,4213,2961,1593,574,41939
SED40043,7612,4842,7121,6785,5062,4337,3664,2358,952,42735
SED40044,5961,4385,4192,4793,5031,4605,4480,2747,1705,37901
SED40045,6661,4347,3268,4734,5356,4751,4289,2651,949,37018
SED40046,5367,4503,6721,5295,4688,4274,2987,1988,1048,36874
SED40047,6531,4244,4365,4916,4607,4738,4177,1885,556,36015
SED49494,409,394,627,534,478,513,359,64,11,3377
SED49797,0,0,0,3,5,0,0,0,0,12
SED50106,6798,4134,4150,4231,4976,5440,4990,2890,1164,38763
SED50202,11127,6266,7846,7185,5896,5439,4225,2173,736,50888
SED50304,6931,4441,8928,7486,5369,4706,3832,2460,1145,45295
SED50405,14804,7006,9710,9255,6820,4738,3092,1589,328,57344
SED50502,8105,5011,6080,6193,5627,5430,4042,1982,748,43217
SED50605,7589,5573,4549,5775,5856,5717,5205,2766,1166,44195
SED50702,7777,5467,9515,7593,5853,5290,3881,2069,961,48411
SED50805,6967,4584,4181,5057,5708,4988,3970,2385,1385,39223
SED50906,8165,5114,5480,5673,5984,5637,4671,2502,1024,44242
SED51004,8998,6468,5647,6015,7314,5981,3227,1489,447,45594
SED51104,13438,7177,8561,8228,7549,5095,3526,2133,769,56481
SED51205,9714,6651,10309,8351,5744,5042,4161,2159,791,52916
SED51304,8536,4574,3186,5672,6014,5158,5630,2866,853,42494
SED51401,6401,3357,3784,4114,4958,5907,5284,2719,929,37453
SED51504,8658,5356,5032,6385,6408,4926,3777,2471,1345,44359
SED51605,10084,6140,6997,7819,7014,5013,3183,1471,447,48164
SED51706,8724,4582,4907,5520,5783,6185,5282,2651,823,44451
SED51804,7251,5807,4564,4805,6153,5715,4944,3392,1506,44128
SED51902,10820,5576,6374,6734,6435,5619,3950,1795,464,47752
SED52006,6957,4252,3737,4435,5328,6082,6845,4001,1125,42755
SED52102,8587,4933,5774,6361,5415,4961,3758,1912,667,42371
SED52205,6389,4527,6608,6249,6049,5787,4598,2483,1186,43870
SED52301,7744,4527,4630,4792,5294,5085,3919,2122,832,38940
SED52404,8038,4737,4895,5923,5665,5461,4659,1927,564,41866
SED52505,13274,6499,8994,10577,6669,5528,3943,1363,354,57203
SED52604,6882,5524,4646,5130,5995,6213,4287,1790,666,41137
SED52702,7030,4467,2944,4464,5848,5613,5076,3019,1017,39482
SED52803,7684,4495,6151,5538,5079,4521,2347,852,230,36906
SED52903,8271,4463,6111,5310,4679,3798,1971,612,139,35352
SED53004,7792,4585,4081,5778,5483,5312,5276,2415,994,41711
SED53105,11529,5871,8063,8675,6149,4462,3026,1430,516,49705
SED53204,10984,6414,6445,7886,6825,5001,3118,1439,478,48598
SED53306,8557,5106,5351,5392,5464,5601,5432,3731,1567,46195
SED53402,6908,4438,7785,7319,5748,4792,3671,1873,910,43449
SED53502,8409,5555,6790,6372,6092,5743,4384,2510,1049,46900
SED53602,9449,6357,7441,6653,5775,5322,4201,2171,751,48121
SED53701,6368,3247,3488,4230,5274,6510,5759,2743,694,38315
SED53802,7581,5124,7398,6678,5425,5075,4414,2739,994,45426
SED53902,6168,4678,6818,6188,5372,4820,3918,2760,1649,42377
SED54006,8170,4641,4325,5194,5740,6091,5539,2876,825,43391
SED54104,7246,6912,6806,6082,5637,5152,4801,2891,1157,46676
SED54203,4387,2320,3910,3557,3189,2907,1772,691,139,22875
SED54304,6142,6122,14219,9480,6403,5383,3574,1590,733,53651
SED54403,11039,5006,9467,9168,6631,4492,1275,288,55,47427
SED54505,9193,6057,3536,6529,6544,5195,4999,2773,1084,45908
SED54605,6276,4531,4728,4608,5126,5975,5101,3201,1311,40861
SED54701,7292,3751,4262,4553,4935,5437,4267,2382,778,37662
SED54804,7474,4555,8535,7490,5697,4692,3673,2370,1256,45753
SED54905,6172,5893,6624,5690,5250,5140,4763,2494,1228,43240
SED55005,11638,6858,6493,8477,6941,5002,3601,1587,598,51193
SED55102,11171,6201,6695,7562,7062,5541,3624,1517,321,49692
SED55202,9640,5888,6624,7068,5940,5199,4513,2600,1027,48500
SED55306,8493,3926,4130,5820,6063,5844,5866,3104,1085,44333
SED55405,6839,7078,10916,7605,5281,4409,3299,1973,1221,48622
SED55504,11105,6176,6743,7490,6526,5058,3736,1979,643,49470
SED55605,11427,6834,6161,6774,7253,5613,3115,1572,478,49231
SED55706,7573,3656,3828,5249,6052,6861,6345,2963,924,43443
SED55802,11826,6723,9109,8117,6368,5439,3170,1629,591,52973
SED55905,6419,5026,5670,5229,5098,5089,4092,2638,1222,40484
SED59494,772,820,1512,1543,1313,1144,758,155,30,8055
SED59797,0,42,116,170,109,62,18,0,0,514
SED60105,3977,2861,3665,2907,2973,2726,2568,1792,917,24397
SED60106,1234,686,756,761,915,1314,1209,636,238,7745
SED60113,6236,4121,4418,4362,4937,5382,4778,2563,815,37609
SED60115,6991,5097,6124,4675,4831,5039,4288,2378,799,40220
SED60207,6356,4017,4706,4054,4826,5219,5231,3042,1057,38522
SED60208,5310,3557,3614,3437,4192,4952,4215,2427,801,32493
SED60209,6793,3989,4404,4270,4941,5667,4889,2667,925,38536
SED60301,2929,1868,2613,2066,1923,1986,1469,1085,410,16351
SED60302,5817,4077,7714,4921,4035,4195,3493,2081,947,37278
