SED_CODE_2021,A25_34_UOLSE_T_11_15,A25_34_UOLSE_T_16,A25_34_UOLSE_T_17,A25_34_UOLSE_T_18,A25_34_UOLSE_T_19,A25_34_UOLSE_T_20,A25_34_UOLSE_T_21,A25_34_UOLSE_T_YNS,A25_34_UOLSE_T_T,A25_34_L_PinE_NS_B_05,A25_34_L_PinE_NS_05_10,A25_34_L_PinE_NS_11_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_17,A25_34_L_PinE_NS_18,A25_34_L_PinE_NS_19,A25_34_L_PinE_NS_20,A25_34_L_PinE_NS_21,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B_05,A25_34_T_05_10,A25_34_T_11_15,A25_34_T_16,A25_34_T_17,A25_34_T_18,A25_34_T_19,A25_34_T_20,A25_34_T_21,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B_05,A35_44_SEO_05_10,A35_44_SEO_11_15,A35_44_SEO_16,A35_44_SEO_17,A35_44_SEO_18,A35_44_SEO_19,A35_44_SEO_20,A35_44_SEO_21,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_UOLSE_VWW_B_05,A35_44_UOLSE_VWW_05_10,A35_44_UOLSE_VWW_11_15,A35_44_UOLSE_VWW_16,A35_44_UOLSE_VWW_17,A35_44_UOLSE_VWW_18,A35_44_UOLSE_VWW_19,A35_44_UOLSE_VWW_20,A35_44_UOLSE_VWW_21,A35_44_UOLSE_VWW_YNS,A35_44_UOLSE_VWW_T,A35_44_UOLSE_NWNAA_B_05,A35_44_UOLSE_NWNAA_05_10,A35_44_UOLSE_NWNAA_11_15,A35_44_UOLSE_NWNAA_16,A35_44_UOLSE_NWNAA_17,A35_44_UOLSE_NWNAA_18,A35_44_UOLSE_NWNAA_19,A35_44_UOLSE_NWNAA_20,A35_44_UOLSE_NWNAA_21,A35_44_UOLSE_NWNAA_YNS,A35_44_UOLSE_NWNAA_T,A35_44_UOLSE_PinE_NS_B_05,A35_44_UOLSE_PinE_NS_05_10,A35_44_UOLSE_PinE_NS_11_15,A35_44_UOLSE_PinE_NS_16,A35_44_UOLSE_PinE_NS_17,A35_44_UOLSE_PinE_NS_18,A35_44_UOLSE_PinE_NS_19,A35_44_UOLSE_PinE_NS_20,A35_44_UOLSE_PinE_NS_21,A35_44_UOLSE_PinE_NS_YNS,A35_44_UOLSE_PinE_NS_T,A35_44_UOLSE_T_B_05,A35_44_UOLSE_T_05_10,A35_44_UOLSE_T_11_15,A35_44_UOLSE_T_16,A35_44_UOLSE_T_17,A35_44_UOLSE_T_18,A35_44_UOLSE_T_19,A35_44_UOLSE_T_20,A35_44_UOLSE_T_21,A35_44_UOLSE_T_YNS,A35_44_UOLSE_T_T,A35_44_L_PinE_NS_B_05,A35_44_L_PinE_NS_05_10,A35_44_L_PinE_NS_11_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_17,A35_44_L_PinE_NS_18,A35_44_L_PinE_NS_19,A35_44_L_PinE_NS_20,A35_44_L_PinE_NS_21,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B_05,A35_44_T_05_10,A35_44_T_11_15,A35_44_T_16,A35_44_T_17,A35_44_T_18,A35_44_T_19,A35_44_T_20,A35_44_T_21,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B_05,A45_54_SEO_05_10,A45_54_SEO_11_15,A45_54_SEO_16,A45_54_SEO_17,A45_54_SEO_18,A45_54_SEO_19,A45_54_SEO_20,A45_54_SEO_21,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_UOLSE_VWW_B_05,A45_54_UOLSE_VWW_05_10,A45_54_UOLSE_VWW_11_15,A45_54_UOLSE_VWW_16,A45_54_UOLSE_VWW_17,A45_54_UOLSE_VWW_18,A45_54_UOLSE_VWW_19,A45_54_UOLSE_VWW_20,A45_54_UOLSE_VWW_21,A45_54_UOLSE_VWW_YNS,A45_54_UOLSE_VWW_T,A45_54_UOLSE_NWNAA_B_05,A45_54_UOLSE_NWNAA_05_10,A45_54_UOLSE_NWNAA_11_15,A45_54_UOLSE_NWNAA_16,A45_54_UOLSE_NWNAA_17,A45_54_UOLSE_NWNAA_18,A45_54_UOLSE_NWNAA_19,A45_54_UOLSE_NWNAA_20,A45_54_UOLSE_NWNAA_21,A45_54_UOLSE_NWNAA_YNS,A45_54_UOLSE_NWNAA_T,A45_54_UOLSE_PinE_NS_B_05,A45_54_UOLSE_PinE_NS_05_10,A45_54_UOLSE_PinE_NS_11_15,A45_54_UOLSE_PinE_NS_16,A45_54_UOLSE_PinE_NS_17,A45_54_UOLSE_PinE_NS_18,A45_54_UOLSE_PinE_NS_19,A45_54_UOLSE_PinE_NS_20,A45_54_UOLSE_PinE_NS_21,A45_54_UOLSE_PinE_NS_YNS,A45_54_UOLSE_PinE_NS_T,A45_54_UOLSE_T_B_05,A45_54_UOLSE_T_05_10,A45_54_UOLSE_T_11_15,A45_54_UOLSE_T_16,A45_54_UOLSE_T_17,A45_54_UOLSE_T_18,A45_54_UOLSE_T_19,A45_54_UOLSE_T_20,A45_54_UOLSE_T_21,A45_54_UOLSE_T_YNS,A45_54_UOLSE_T_T,A45_54_L_PinE_NS_B_05,A45_54_L_PinE_NS_05_10,A45_54_L_PinE_NS_11_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_17,A45_54_L_PinE_NS_18,A45_54_L_PinE_NS_19,A45_54_L_PinE_NS_20,A45_54_L_PinE_NS_21,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B_05,A45_54_T_05_10,A45_54_T_11_15,A45_54_T_16,A45_54_T_17,A45_54_T_18,A45_54_T_19,A45_54_T_20,A45_54_T_21,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B_05,A55_64_SEO_05_10,A55_64_SEO_11_15,A55_64_SEO_16,A55_64_SEO_17,A55_64_SEO_18,A55_64_SEO_19,A55_64_SEO_20,A55_64_SEO_21,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_UOLSE_VWW_B_05,A55_64_UOLSE_VWW_05_10,A55_64_UOLSE_VWW_11_15,A55_64_UOLSE_VWW_16
SED10082,110,30,32,26,28,5,0,3,345,0,0,0,0,0,0,0,0,0,0,0,272,138,218,57,57,47,61,29,19,19,913,564,380,280,32,12,26,21,10,3,16,1342,146,224,162,29,27,15,19,10,5,0,638,9,6,7,0,0,3,5,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,153,229,173,35,28,15,24,10,9,0,674,3,0,0,0,0,0,0,0,0,0,4,723,615,446,61,41,39,44,22,10,15,2016,1292,340,133,21,8,5,7,4,0,18,1832,279,114,64,12,8,7,9,0,0,5,506,20,7,12,0,0,3,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,301,121,78,11,11,10,12,0,0,9,549,0,0,0,0,0,0,0,0,0,3,4,1588,457,208,37,20,14,18,4,5,36,2388,1710,126,52,3,3,5,6,6,0,26,1942,300,44,20,3
SED10083,150,54,35,56,42,4,5,9,528,0,0,0,0,0,0,0,0,0,0,0,302,178,259,71,59,70,53,15,5,11,1031,447,201,120,23,17,8,11,3,0,9,845,151,255,180,29,22,13,17,7,3,8,691,3,13,15,0,5,6,9,3,0,0,58,0,3,0,0,0,0,0,0,0,0,3,160,269,202,31,26,22,29,7,3,10,753,0,0,0,0,0,0,0,0,0,0,4,607,466,317,52,45,30,40,16,7,23,1598,923,167,65,7,4,0,8,4,0,24,1210,279,111,59,8,3,6,7,0,0,0,468,8,11,13,3,3,0,7,0,0,3,50,0,0,0,0,0,0,0,0,0,0,7,286,125,73,7,7,6,12,0,0,3,523,0,0,0,0,0,0,0,0,0,0,3,1211,294,142,23,13,13,16,8,5,30,1737,1364,59,27,3,0,5,3,0,0,32,1487,299,23,11,4
SED10084,224,92,77,81,74,24,5,7,657,0,0,0,0,0,0,0,0,0,4,3,234,145,349,124,113,120,101,40,7,24,1256,496,319,190,33,9,11,26,16,0,30,1136,118,227,198,40,39,32,26,12,3,7,697,4,12,5,7,5,0,3,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,118,240,199,43,41,37,28,12,3,14,736,0,0,0,0,0,0,0,0,0,0,0,617,563,390,71,50,53,59,30,0,45,1878,1027,191,78,6,7,6,10,8,0,25,1352,178,102,48,11,8,6,5,0,5,5,373,23,10,5,4,4,0,3,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,202,109,56,13,6,6,4,0,5,5,413,0,0,0,0,0,0,0,0,0,0,0,1227,306,130,21,14,6,14,11,0,33,1762,1498,85,39,5,9,6,8,5,0,46,1695,208,26,9,0
SED10085,101,35,33,60,90,26,23,6,462,0,0,0,0,0,0,0,0,0,17,17,117,148,206,66,57,89,122,42,32,40,916,231,117,78,12,0,3,9,0,4,11,467,31,125,118,19,14,23,50,11,7,8,413,5,10,10,3,0,7,14,0,0,3,58,0,0,0,0,0,0,0,0,0,0,0,40,132,124,29,18,32,62,13,12,7,476,0,0,0,0,0,0,0,0,0,20,24,268,252,202,40,18,36,77,10,16,41,959,471,84,48,7,5,5,0,0,0,22,639,86,82,46,6,5,0,12,8,0,4,252,17,7,8,0,9,3,0,0,0,3,43,0,0,0,0,0,0,0,0,0,0,0,103,91,46,12,18,5,11,9,0,6,296,0,0,0,0,0,0,0,0,0,16,16,574,176,96,18,17,9,11,10,0,39,946,800,48,18,0,0,0,0,5,0,39,919,96,17,0,0
SED10086,601,273,354,430,561,201,22,48,2915,0,0,0,0,0,0,0,0,0,9,13,990,462,1640,702,834,1014,1236,430,86,133,7511,1240,880,827,137,106,74,74,49,10,48,3445,653,652,603,130,101,101,82,37,10,27,2394,8,14,28,0,4,10,13,4,0,4,82,0,0,0,0,0,0,0,0,0,0,0,658,661,626,137,105,113,93,44,10,30,2481,0,0,0,0,0,0,0,0,0,8,9,1899,1546,1450,275,210,185,166,90,20,85,5932,2385,366,196,28,29,26,38,19,5,42,3136,919,193,129,23,16,27,23,19,5,10,1365,20,12,22,8,3,4,11,10,0,0,92,3,0,0,0,0,0,0,0,0,0,4,947,212,151,32,15,38,34,27,5,18,1468,0,0,0,0,0,0,0,0,0,8,10,3331,577,344,57,45,60,68,49,11,63,4612,2364,131,54,9,5,11,6,8,5,33,2621,887,40,23,6
SED10087,347,121,140,146,191,74,48,19,1304,0,0,0,0,0,0,0,0,0,3,3,209,216,440,136,160,168,206,90,57,34,1721,177,78,55,11,8,8,14,7,0,6,371,114,292,394,68,91,72,79,35,30,7,1182,5,34,36,21,17,18,45,21,0,0,199,0,4,0,0,0,0,0,0,0,0,7,124,326,430,89,113,92,123,57,26,9,1386,0,0,0,0,0,0,0,0,0,0,0,296,411,489,100,119,100,134,63,28,16,1753,359,61,25,4,3,4,0,0,5,14,476,136,171,147,10,14,4,9,6,0,0,497,8,17,25,18,17,18,34,6,0,0,139,0,0,0,0,0,0,0,0,0,0,0,143,189,167,26,26,25,44,12,0,9,637,0,0,0,0,0,0,0,0,0,0,0,503,249,190,34,31,26,43,14,0,15,1111,536,48,10,0,0,0,6,0,0,19,612,176,46,33,0
SED10088,599,211,250,275,303,72,5,28,2267,0,0,5,0,0,0,0,0,0,5,9,673,423,981,303,344,355,391,105,12,64,3649,871,688,472,67,47,37,44,16,5,20,2264,715,870,605,153,137,130,95,26,10,24,2760,12,40,64,13,9,15,20,0,4,5,182,0,0,0,0,0,0,0,0,0,0,0,731,914,666,170,146,145,113,25,11,33,2944,0,0,0,0,0,0,0,0,0,11,15,1597,1599,1141,237,189,180,159,41,16,64,5227,2126,511,219,10,18,11,8,13,6,31,2954,1160,393,186,37,22,15,28,9,6,14,1871,81,58,46,15,11,15,21,5,0,9,252,3,0,0,0,0,0,0,0,0,0,6,1248,448,232,49,40,27,48,16,6,22,2130,0,0,0,0,0,0,0,0,0,3,3,3370,958,453,63,55,41,53,28,10,54,5087,2132,153,53,9,0,11,7,5,0,25,2401,1333,86,23,7
SED10089,577,203,259,306,259,86,16,32,2076,0,0,0,0,0,0,0,0,0,3,3,333,296,734,235,296,340,296,100,18,51,2704,316,166,112,14,16,21,19,5,7,18,685,236,477,473,108,112,72,72,35,24,3,1608,13,27,58,31,36,16,29,6,0,13,225,0,0,0,0,0,0,0,0,0,0,5,253,504,533,139,150,88,98,40,24,17,1839,0,0,0,0,0,0,0,0,0,10,10,563,666,641,151,167,114,120,42,30,35,2533,540,103,58,7,3,3,3,9,0,13,734,323,222,144,29,19,25,15,3,0,3,784,28,32,20,15,20,17,19,3,0,5,161,0,0,0,0,0,0,0,0,0,0,0,352,255,161,42,37,41,37,3,0,18,939,0,0,0,0,0,0,0,0,0,3,5,896,359,219,46,43,42,39,13,0,29,1680,692,36,20,3,4,0,0,3,0,15,773,423,38,24,3
SED10090,1007,339,397,393,423,121,45,60,4058,3,0,0,0,0,0,0,0,0,9,11,1064,833,1325,441,540,491,526,165,59,91,5533,1112,542,414,69,73,46,50,28,24,27,2388,2098,1305,1038,263,251,251,243,104,51,44,5647,65,96,106,39,53,51,65,35,12,17,539,0,0,0,0,0,0,0,0,0,0,8,2159,1407,1142,304,302,299,304,138,60,67,6187,0,0,0,0,0,0,0,0,0,7,8,3275,1947,1557,373,377,346,358,171,84,105,8592,1917,394,170,20,25,21,33,15,7,30,2636,1931,583,293,70,56,58,82,39,11,33,3156,169,135,93,23,50,49,61,24,9,8,621,0,0,0,0,0,0,0,0,0,0,3,2105,721,387,96,100,106,134,61,20,44,3774,0,0,0,0,0,0,0,0,0,3,3,4018,1116,561,116,122,126,170,77,25,80,6422,1921,95,38,3,0,6,7,3,0,24,2099,1733,110,47,11
SED10091,175,52,58,73,63,28,3,9,605,0,0,0,0,0,0,0,0,0,5,4,200,148,278,64,71,97,82,29,4,24,1003,438,143,90,10,5,3,5,5,0,23,728,186,210,111,28,21,25,13,12,0,12,618,8,10,12,4,0,9,5,0,0,0,43,0,3,0,0,0,0,0,0,0,3,4,194,220,126,25,24,33,19,10,0,14,667,0,0,0,0,0,0,0,0,0,0,0,629,364,214,37,30,37,30,17,0,36,1395,1064,112,47,4,3,3,6,8,0,43,1290,275,62,29,8,5,7,5,5,0,13,412,20,11,11,4,0,0,6,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,298,71,41,14,5,7,7,3,0,15,459,0,0,0,0,0,0,0,0,0,3,3,1360,183,88,18,10,9,13,7,0,54,1752,1599,47,21,0,4,4,0,9,3,39,1731,325,20,12,0
SED10092,632,268,278,317,342,137,10,31,2470,0,0,0,0,0,0,0,0,0,5,4,518,308,812,308,331,386,407,164,20,58,3311,401,155,124,17,7,19,16,3,0,19,770,458,468,381,79,52,88,70,33,10,15,1650,19,57,69,32,14,17,25,9,4,0,243,0,0,0,0,0,0,0,0,0,0,0,477,528,452,110,64,101,94,37,14,15,1888,0,0,0,0,0,0,0,0,0,5,6,875,684,582,122,77,126,112,39,13,31,2666,869,100,56,3,4,6,12,0,0,21,1087,831,142,104,16,19,9,21,7,0,20,1165,90,40,61,10,7,10,10,6,0,3,253,5,0,0,0,0,0,0,0,0,0,5,928,181,166,28,27,28,32,11,4,21,1421,0,0,0,0,0,0,0,0,0,5,5,1800,283,224,40,33,31,44,14,3,47,2508,1555,43,10,4,0,0,4,3,0,46,1662,1245,60,24,6
SED10093,245,66,60,51,50,17,12,15,677,0,0,0,0,0,0,0,0,0,3,5,268,198,324,86,84,58,62,30,12,35,1161,463,154,127,15,19,11,6,3,0,10,803,189,272,274,23,34,28,26,10,0,12,882,5,21,16,0,3,0,6,5,0,0,53,0,0,0,0,0,0,0,0,0,0,0,193,290,288,30,39,31,36,10,0,12,937,0,0,0,0,0,0,0,0,0,4,4,663,448,419,42,57,37,36,15,5,26,1740,872,138,60,4,4,10,8,0,0,18,1114,316,140,96,11,4,7,9,8,0,7,585,24,13,13,3,5,3,3,0,0,3,73,0,0,0,0,0,0,0,0,0,0,3,344,152,111,11,14,10,9,4,0,12,660,0,0,0,0,0,0,0,0,0,0,0,1217,284,172,20,20,20,10,5,0,28,1776,1343,58,22,0,3,0,3,0,0,25,1461,382,49,14,0
SED19494,43,14,25,42,112,37,27,8,345,0,0,0,0,0,0,0,0,0,8,11,62,34,71,23,34,57,140,63,47,21,549,59,26,13,0,0,0,0,0,11,0,122,40,25,30,4,4,7,10,4,24,3,154,0,4,10,0,0,0,5,6,0,0,19,0,0,0,0,0,0,0,0,0,0,0,40,30,38,5,5,10,15,10,24,4,179,0,0,0,0,0,0,0,0,0,12,13,101,55,56,5,11,11,15,11,32,27,311,100,7,7,0,0,0,0,6,10,12,134,52,7,13,0,0,4,0,0,4,0,81,6,0,4,0,4,0,3,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,57,7,8,0,4,6,3,7,6,4,98,0,0,0,0,0,0,0,0,0,4,4,152,15,18,0,4,9,3,8,15,19,242,194,11,4,0,0,0,0,0,3,6,216,38,4,5,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,1672,647,758,1020,1210,414,71,79,7222,0,0,0,3,0,3,0,0,0,12,21,1086,1271,2574,994,1178,1518,1849,609,127,147,11354,972,715,692,118,91,102,107,50,18,30,2892,1006,956,862,223,233,239,244,103,37,34,3934,19,32,50,16,17,20,30,14,4,3,195,0,0,0,0,0,0,0,0,0,4,10,1022,988,914,238,248,257,276,116,42,36,4138,0,0,0,0,0,0,0,0,0,6,7,1999,1708,1598,357,334,360,384,161,55,71,7034,1319,398,204,30,38,31,39,23,6,21,2104,701,264,184,43,35,27,54,23,15,18,1361,38,37,25,10,3,15,20,18,9,9,175,0,0,0,0,0,0,0,0,0,0,3,732,306,211,55,39,46,65,40,21,26,1544,0,0,0,0,0,0,0,0,0,0,3,2053,703,418,79,73,71,108,68,28,47,3646,1438,117,78,16,25,21,24,10,8,10,1742,711,88,41,6
SED20207,2018,568,584,577,668,176,51,71,6562,0,0,4,4,5,0,3,0,0,10,24,903,1649,2502,673,701,701,785,204,65,113,8297,933,658,573,78,71,63,98,20,12,32,2527,2511,3680,2561,546,568,465,360,125,78,63,10975,52,210,150,45,40,34,46,15,0,8,619,5,4,3,0,0,0,0,0,0,0,11,2569,3891,2720,594,610,504,410,140,82,77,11602,0,5,6,0,0,0,0,0,0,6,17,3504,4554,3299,672,679,566,502,163,99,108,14147,1332,465,338,42,30,23,27,11,4,21,2292,2058,1069,548,85,69,56,65,30,6,22,4016,200,162,107,43,22,22,38,18,3,21,639,0,0,0,0,0,0,0,0,0,0,4,2259,1236,655,134,87,78,106,51,10,41,4660,5,0,0,0,0,0,0,0,0,0,3,3594,1695,994,172,115,105,130,59,19,66,6958,1453,189,96,18,16,11,18,6,0,19,1829,1657,228,135,19
SED20302,1815,463,466,454,427,107,47,66,5596,0,3,3,0,0,0,0,0,0,0,7,874,1632,2042,520,521,494,459,121,50,88,6796,776,352,240,35,31,27,14,11,5,33,1513,893,3146,1636,266,221,145,106,38,17,38,6498,29,86,105,19,25,23,20,10,5,6,318,0,4,0,0,0,0,0,0,0,0,4,924,3233,1739,283,240,170,122,50,23,41,6823,5,0,0,3,0,0,0,0,0,6,12,1699,3586,1975,322,269,194,139,60,28,80,8353,1025,243,137,14,16,9,6,5,0,37,1484,763,958,407,49,40,32,20,6,4,32,2302,47,89,85,10,17,6,22,5,0,4,300,0,0,0,0,0,0,0,0,0,0,3,813,1049,493,62,55,45,45,12,4,32,2604,0,0,0,0,0,0,0,0,3,4,6,1834,1296,631,76,71,50,51,15,3,68,4092,1722,130,56,9,6,6,8,4,0,62,2006,674,185,110,3
SED20401,554,124,142,146,130,41,12,14,1928,0,5,0,0,0,0,0,0,0,0,9,509,659,688,154,171,179,155,46,16,27,2598,502,191,116,26,9,11,10,0,0,7,872,689,974,607,106,101,81,51,23,12,22,2656,19,65,60,8,10,20,21,5,0,0,209,0,0,3,0,0,0,0,0,0,0,8,704,1044,674,119,112,96,71,34,12,22,2882,0,0,0,0,0,0,0,0,0,3,7,1214,1230,785,145,121,108,79,28,12,29,3755,730,123,47,8,8,6,0,3,0,16,941,635,374,169,23,13,19,13,7,4,8,1268,61,95,58,26,9,20,14,5,0,4,286,0,0,0,0,0,0,0,0,0,0,3,699,473,230,42,22,36,29,10,4,9,1554,0,0,0,0,0,0,0,0,0,3,3,1430,593,276,49,31,39,29,11,4,34,2501,1088,52,5,8,4,4,6,5,0,18,1186,596,98,42,5
SED20508,100,31,24,21,21,17,0,6,297,0,0,0,0,0,0,0,0,0,0,0,138,100,183,54,35,36,31,24,8,14,619,305,181,125,15,14,14,11,7,0,25,701,80,139,92,17,13,18,16,8,0,8,383,0,5,3,0,0,3,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,0,87,141,99,17,15,14,14,7,0,8,399,0,0,0,0,0,0,0,0,0,0,0,390,322,226,32,26,31,30,10,5,30,1094,633,161,80,12,12,0,5,0,0,15,918,135,63,26,8,0,3,6,0,0,11,250,3,7,0,0,0,0,3,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,145,69,29,10,0,5,8,0,0,6,274,0,0,0,0,0,0,0,0,0,0,0,771,230,110,22,10,4,18,0,0,24,1193,1280,53,25,3,0,7,0,0,0,48,1425,185,27,9,0
SED20604,157,55,68,64,77,10,13,8,565,0,0,0,0,0,0,0,0,0,3,3,122,133,223,68,73,82,100,11,20,22,845,207,78,58,3,10,15,8,8,0,6,386,65,208,150,31,28,28,31,14,10,0,570,0,13,7,7,11,17,12,6,0,0,67,0,0,0,0,0,0,0,0,0,0,0,70,215,157,33,39,48,39,16,12,3,637,0,0,0,0,0,0,0,0,0,9,6,277,290,219,42,48,61,46,25,12,16,1036,484,71,43,12,14,3,4,3,3,22,655,89,97,53,10,3,3,4,6,0,5,273,7,13,19,0,8,10,12,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,99,107,76,8,11,13,8,5,0,7,338,0,0,0,0,0,0,0,0,0,9,9,585,182,113,15,24,18,15,9,6,39,1006,814,59,19,0,0,3,0,0,0,18,923,120,16,7,0
SED20704,258,83,75,99,76,30,8,16,892,0,0,0,0,0,0,0,0,0,0,0,118,258,306,99,88,115,88,37,8,26,1142,185,109,46,9,4,0,5,5,0,11,368,90,239,195,43,35,49,36,19,0,5,718,0,47,27,9,0,13,0,0,0,3,104,0,0,0,0,0,0,0,0,0,0,0,90,284,218,51,37,58,41,19,0,11,820,0,0,0,0,0,0,0,0,0,0,3,273,392,264,67,40,63,49,19,0,20,1194,384,71,39,3,5,0,6,0,0,18,532,95,118,45,4,15,9,7,3,0,0,303,9,34,36,3,6,3,8,0,0,0,102,0,0,0,0,0,0,0,0,0,0,0,105,153,78,9,21,12,9,3,0,0,403,0,0,0,0,0,0,0,0,0,0,0,486,223,116,12,30,17,16,10,3,20,939,528,38,12,0,7,0,5,0,0,13,606,104,30,13,0
SED20804,205,65,70,82,67,19,3,7,682,0,0,0,0,0,0,0,0,0,79,79,108,166,253,90,75,96,74,28,9,97,989,176,107,54,6,7,5,10,3,0,4,379,63,202,138,30,27,37,31,16,0,10,547,0,29,36,8,14,13,11,3,0,0,116,0,0,0,0,0,0,0,0,0,0,0,63,229,175,39,36,47,41,17,0,12,660,0,0,0,0,0,0,0,0,0,55,55,239,339,230,48,45,55,50,23,0,70,1092,420,60,37,5,8,6,0,0,0,13,552,104,76,37,3,4,5,10,0,0,6,254,8,32,28,8,4,10,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,109,107,64,18,12,18,8,0,0,6,346,0,0,0,0,0,0,0,0,0,42,42,536,170,101,19,17,22,6,0,0,60,939,705,42,14,0,0,0,3,0,0,27,796,83,19,8,3
SED20906,544,123,143,168,128,34,11,27,1938,0,0,0,0,0,0,0,0,0,5,9,583,595,825,172,215,234,177,58,17,43,2924,716,404,259,29,42,32,32,4,3,26,1549,1086,997,674,130,125,130,121,31,19,22,3339,20,39,57,17,23,32,29,11,3,9,239,0,0,0,0,0,0,0,0,0,0,3,1105,1036,733,144,150,163,153,47,26,33,3588,0,0,0,0,0,0,0,0,0,6,5,1825,1437,988,175,191,198,184,50,29,58,5137,1251,249,129,10,14,13,9,3,9,18,1719,1237,414,226,49,46,38,41,16,12,12,2081,63,72,74,18,32,27,28,6,0,4,331,0,0,0,0,0,0,0,0,0,0,4,1298,490,306,64,75,67,64,23,10,15,2411,0,0,0,0,0,0,0,0,0,0,0,2555,744,431,78,93,78,78,30,17,37,4127,1231,80,22,0,6,0,0,0,0,19,1361,1234,93,38,5
SED21001,1386,452,571,562,481,136,27,106,5211,0,0,3,0,0,0,0,0,0,13,12,747,1162,1543,501,616,611,539,152,32,131,6026,512,158,119,31,25,21,24,4,0,10,904,1544,1154,700,166,189,159,175,55,29,24,4194,56,116,180,67,111,111,101,27,8,23,806,4,6,0,0,0,0,0,0,0,0,7,1599,1272,884,238,299,273,277,88,38,48,5007,0,0,0,0,0,0,0,0,0,3,3,2114,1429,995,270,325,291,299,90,38,62,5920,906,144,55,4,3,8,8,3,0,12,1143,1214,452,303,37,75,36,48,24,13,26,2233,143,157,200,67,128,107,101,42,11,30,981,0,0,0,0,0,0,0,0,0,0,8,1361,611,507,110,200,145,152,68,19,60,3225,0,0,0,0,0,0,0,0,0,3,3,2269,749,560,113,206,154,157,70,19,74,4367,973,43,30,0,0,0,4,0,0,15,1069,1255,121,58,12
SED21106,208,81,79,103,97,44,4,5,885,0,0,4,0,0,0,0,0,0,3,3,372,227,503,170,182,211,237,76,16,24,2006,584,380,330,48,50,37,45,24,6,24,1521,430,355,276,63,57,82,88,33,7,13,1395,7,5,20,9,16,16,25,13,0,5,125,3,0,0,0,0,0,0,0,0,0,3,442,361,296,70,72,94,120,44,7,14,1517,0,0,0,0,0,0,0,0,0,0,0,1026,741,624,117,123,130,156,70,13,36,3044,1298,289,165,26,24,23,29,13,3,23,1890,582,165,121,15,42,28,23,20,8,5,1009,8,15,49,15,16,18,11,12,4,9,156,0,0,0,0,0,0,0,0,0,0,3,592,184,168,34,56,50,38,34,4,13,1164,0,0,0,0,0,0,0,0,0,0,0,1885,471,334,59,88,71,66,48,10,37,3054,1437,106,29,9,7,8,12,7,0,13,1631,674,34,23,3
SED21203,1491,473,539,636,591,164,30,82,5505,0,0,0,0,0,0,3,0,0,98,102,834,914,1624,507,567,676,617,174,31,190,6125,262,150,81,8,20,9,8,0,0,8,546,1353,1443,832,159,150,132,103,28,17,42,4263,203,218,299,107,79,71,80,25,5,25,1113,5,5,0,0,0,0,0,0,0,4,12,1562,1668,1135,270,229,197,190,54,20,71,5391,3,4,0,0,0,0,0,0,0,85,92,1823,1816,1218,276,246,212,197,59,20,168,6029,364,57,24,0,7,0,5,4,0,11,469,2243,441,265,54,35,34,26,10,4,57,3180,606,184,220,103,73,41,55,14,3,32,1330,4,0,0,0,0,0,0,0,0,0,11,2856,623,487,158,112,76,83,30,13,89,4517,0,0,0,0,0,0,0,0,0,32,39,3220,678,512,158,114,80,85,31,13,135,5022,560,22,11,0,0,4,0,0,0,17,627,2370,127,70,26
