SED_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED20106,27,0,637,50,128,4,0,132,0,183,0,6,3,0,14,0,14,0,0,0,0,0,0,0,50,136,9,0,148,0,195,0,0,0,0,0,0,0,663,159,9,0,173,0,833,325,17,0,0,17,0,347,24,86,6,0,96,0,117,0,9,7,0,14,0,16,0,0,0,0,0,0,0,28,98,14,0,110,0,140,0,0,0,0,0,0,0,351,112,14,0,125,0,483,160,6,0,0,6,0,165,13,50,3,0,54,0,66,0,6,0,0,4,0,10,0,0,0,0,0,0,0,14,53,6,0,63,0,73,0,0,0,0,0,0,0,171,58,6,0,69,0,235,5060,247,5,0,250,0,5315,573,1790,51,0,1842,0,2421,11,82,42,0,126,0,138,0,0,0,0,0,0,0,581,1879,93,0,1968,0,2553,0,11,0,0,11,3,13,5649,2134,93,0,2235,7,7890
SED20207,53,0,1286,117,933,37,0,967,0,1086,6,68,58,0,124,0,128,0,0,0,0,0,0,0,118,1003,95,0,1091,0,1213,0,0,0,0,0,0,0,1349,1051,95,0,1148,0,2501,551,31,0,0,31,0,586,55,543,21,0,560,0,617,0,43,49,0,94,0,98,0,0,0,0,0,0,0,56,587,71,0,655,0,714,0,0,0,0,0,0,0,613,619,71,0,689,0,1298,247,14,0,0,14,0,262,18,257,10,0,262,0,287,0,27,29,0,54,0,54,0,0,0,0,0,0,0,18,280,36,0,320,0,343,0,0,0,0,0,0,0,273,298,36,0,333,0,606,9592,644,0,0,644,0,10243,1227,12171,301,4,12481,20,13724,20,728,422,0,1151,0,1171,0,16,0,0,16,0,16,1247,12918,722,4,13645,20,14911,18,30,0,0,30,9,60,10855,13592,722,4,14319,31,25209
SED20302,34,4,1586,54,595,21,0,617,0,672,3,61,32,0,91,0,92,0,0,0,0,0,0,0,53,656,52,0,709,0,764,0,0,0,0,0,4,3,1607,690,57,0,745,3,2359,446,9,0,0,9,0,457,28,341,14,0,351,0,381,0,33,26,0,58,0,58,0,0,0,0,0,0,0,28,374,39,0,413,0,435,0,0,0,0,0,0,0,471,382,39,0,422,0,898,162,3,3,0,3,0,169,8,169,16,0,185,0,191,0,17,20,0,41,0,41,0,0,0,0,0,0,0,8,192,38,0,227,0,232,0,0,0,0,0,0,0,168,190,41,0,228,0,402,13018,448,14,0,460,25,13506,594,8340,200,3,8542,4,9139,12,514,295,0,810,5,824,5,5,4,8,15,0,18,609,8862,495,4,9363,6,9982,22,14,8,0,20,21,65,13653,9324,511,11,9842,56,23551
SED20401,13,4,968,49,200,20,0,217,0,268,0,25,26,0,51,0,49,0,0,0,0,0,0,0,52,226,42,0,264,0,318,0,0,0,0,0,0,0,1000,237,42,0,279,4,1281,462,10,0,0,10,0,470,13,149,10,0,157,0,172,0,23,25,0,44,0,48,0,0,0,0,0,0,0,18,168,32,0,201,0,221,0,0,0,0,0,0,0,478,184,32,0,215,0,695,189,0,0,0,0,0,198,10,76,4,0,80,0,91,0,15,18,0,31,0,31,0,0,0,0,0,0,0,10,86,23,0,112,0,121,0,0,0,0,0,0,0,204,87,23,0,114,0,316,7558,210,0,0,217,11,7788,493,2575,125,0,2701,0,3195,15,246,159,3,412,0,421,5,5,0,0,5,0,5,505,2826,285,3,3120,0,3622,0,3,0,0,3,0,3,8067,3043,287,7,3339,14,11417
SED20508,14,0,1385,26,40,0,0,40,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,40,0,0,40,0,65,0,0,0,0,0,0,0,1390,53,0,0,58,6,1451,531,3,0,0,3,0,536,14,19,3,0,22,0,31,0,0,3,0,3,0,3,0,0,0,0,0,0,0,14,19,3,0,25,0,37,0,0,0,0,0,0,0,545,22,3,0,29,0,571,223,0,0,0,0,0,225,5,5,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,15,0,0,0,0,0,0,0,232,11,0,0,11,0,238,10581,144,0,0,145,42,10772,284,409,13,0,421,0,707,3,8,9,0,17,0,24,4,0,0,0,0,0,4,294,412,27,0,439,0,726,7,0,0,0,0,8,13,10883,555,24,5,590,54,11513
SED20604,13,0,1393,24,64,3,0,67,0,95,0,11,5,0,14,0,14,0,0,0,0,0,0,0,24,76,10,0,82,0,112,0,0,0,0,0,0,0,1397,87,8,0,100,0,1504,281,5,0,0,5,0,283,7,11,0,0,11,0,18,0,5,14,0,22,0,22,0,0,0,0,0,0,0,7,12,14,0,32,0,40,0,0,0,0,0,0,0,284,17,14,0,35,0,320,87,0,0,0,0,0,89,4,6,0,0,6,0,6,0,0,5,0,5,0,5,0,0,0,0,0,0,0,4,6,5,0,11,0,10,0,0,0,0,0,0,0,86,8,5,0,9,0,101,10025,130,7,5,137,0,10164,261,630,14,0,651,0,912,9,83,107,0,186,0,193,0,3,0,0,3,0,3,265,712,117,0,839,0,1107,22,0,0,0,0,8,31,10311,845,127,5,973,12,11301
SED20704,4,0,1408,21,67,8,0,72,0,93,0,9,44,0,59,0,54,0,0,0,0,0,0,0,16,75,54,0,126,0,148,5,0,0,0,0,0,5,1425,79,54,0,137,0,1562,512,6,0,0,6,0,511,8,26,4,0,25,0,34,0,3,27,0,31,0,34,0,0,0,0,0,0,0,8,31,27,0,56,0,63,0,0,0,0,0,0,0,517,35,27,0,63,0,583,192,0,0,0,0,0,194,3,14,0,0,14,0,18,0,5,7,0,12,0,12,0,0,0,0,0,0,0,3,15,7,0,23,0,33,0,0,0,0,0,0,0,198,19,7,0,24,0,226,11050,117,5,0,120,14,11186,197,831,63,0,891,6,1098,5,91,216,0,312,0,318,0,0,0,0,0,0,0,208,921,277,0,1197,6,1414,11,0,0,0,0,16,26,11270,1041,284,0,1326,37,12630
SED20804,9,0,1083,26,44,3,0,47,0,69,0,7,29,0,38,0,38,0,0,0,0,0,0,0,26,50,29,0,85,0,110,0,0,0,0,0,0,0,1104,63,29,0,90,0,1192,320,0,0,0,0,0,322,7,17,0,0,16,0,24,0,6,20,0,24,0,24,0,0,0,0,0,0,0,7,18,25,0,41,0,52,0,0,0,0,0,0,0,328,20,25,0,40,0,375,119,0,0,0,0,0,119,4,0,0,0,4,0,7,0,0,11,0,11,0,11,0,0,0,0,0,0,0,4,0,14,0,14,0,15,0,0,0,0,0,0,0,122,0,14,0,14,0,133,7848,106,0,0,111,3,7965,177,469,52,0,523,0,708,0,76,176,0,253,0,257,0,0,0,0,0,0,0,182,547,234,0,777,0,964,5,7,0,0,7,10,24,8036,657,231,0,896,22,8947
SED20906,58,0,1282,72,521,12,0,533,0,608,0,29,25,0,53,0,57,0,0,0,0,0,0,0,79,555,37,0,594,0,667,0,0,0,0,0,0,0,1296,609,39,0,647,0,1948,772,21,0,0,21,0,792,41,336,21,0,354,0,393,0,23,25,0,41,0,41,0,0,0,0,0,0,0,41,353,40,0,398,0,438,0,0,0,0,0,0,0,805,376,40,0,425,0,1228,368,9,0,0,9,0,377,31,172,7,0,176,0,204,0,17,19,0,29,0,30,0,0,0,0,0,0,0,33,182,25,0,206,0,235,0,0,0,0,0,0,0,397,192,25,0,213,0,615,8457,423,7,0,430,5,8889,820,4345,154,0,4501,0,5315,8,208,141,0,350,0,359,0,4,0,0,5,0,5,827,4554,298,0,4856,0,5680,10,5,0,0,5,0,15,9288,4987,306,0,5292,5,14583
SED21001,29,0,1318,84,415,40,0,461,0,536,4,46,54,0,100,0,101,0,0,0,0,0,0,0,83,466,92,0,552,0,635,0,0,0,0,0,0,0,1371,488,92,0,585,0,1959,870,20,0,0,20,0,893,39,289,19,0,307,0,348,0,26,52,0,81,0,84,0,0,0,0,3,0,3,40,321,71,0,388,0,429,0,0,0,0,0,0,0,913,339,71,0,409,0,1323,433,10,0,0,10,0,446,23,139,18,0,160,0,183,0,14,41,0,56,0,53,0,0,0,0,0,0,0,22,153,56,0,217,0,238,0,0,0,0,0,0,0,454,168,64,0,232,0,685,7205,225,3,0,223,3,7435,729,3986,273,6,4268,0,4995,11,317,363,0,679,5,700,0,7,0,4,6,0,6,735,4310,639,8,4953,9,5697,4,11,4,0,16,0,20,7948,4541,642,8,5197,12,13149
SED21106,31,0,1551,67,175,7,0,187,0,255,0,14,7,0,23,0,22,0,0,0,0,0,0,0,68,190,16,0,207,0,274,0,0,0,0,0,0,0,1587,224,16,0,237,0,1824,991,25,0,0,25,0,1021,53,150,7,0,154,0,205,0,11,9,0,19,0,19,0,0,0,0,0,0,0,53,160,12,0,174,0,223,4,0,0,0,0,0,4,1041,188,12,0,201,0,1245,498,14,0,0,14,0,511,35,77,0,0,83,0,111,0,8,3,0,11,0,11,0,0,0,0,0,0,0,35,87,7,0,93,0,122,0,0,0,0,0,0,0,528,98,7,0,101,0,629,9211,341,3,0,343,0,9558,636,1530,57,0,1584,0,2226,7,67,57,0,128,0,130,0,0,0,0,6,0,6,637,1603,109,0,1714,0,2354,10,0,0,0,0,0,13,9866,1939,111,0,2059,3,11921
SED21203,45,0,251,42,867,137,0,1005,0,1055,7,208,192,0,397,0,399,0,0,0,0,0,0,0,47,1071,324,0,1396,0,1446,0,0,0,0,0,0,0,256,1115,330,0,1449,0,1701,121,10,0,0,10,0,134,22,552,85,0,636,0,661,0,139,99,0,238,0,238,0,0,0,0,0,0,0,28,692,180,0,872,0,899,0,0,0,0,0,0,0,152,703,180,0,884,0,1038,49,3,0,0,3,0,57,14,305,37,0,342,0,354,0,74,78,0,156,0,156,0,0,0,0,3,0,3,14,384,119,0,504,0,517,0,0,0,0,0,0,0,70,390,119,0,505,0,572,1765,383,21,5,403,0,2172,380,8280,1109,7,9393,19,9792,47,1677,1156,0,2829,0,2871,0,16,0,8,28,0,28,425,9972,2266,14,12254,22,12695,6,37,3,6,42,28,79,2200,10387,2287,21,12701,44,14943
SED21303,38,0,739,45,197,5,0,203,5,250,3,18,7,0,23,0,25,0,0,0,0,0,0,0,46,214,14,0,225,5,268,0,0,0,0,0,0,0,750,251,14,0,262,5,1012,445,32,0,0,32,0,474,37,140,6,0,145,0,181,0,14,7,0,23,0,23,0,0,0,0,0,0,0,37,154,14,0,163,0,202,0,0,0,0,0,0,0,477,189,14,0,198,0,677,157,10,0,0,10,0,168,13,89,3,0,89,0,101,0,4,10,0,11,0,13,0,0,0,0,0,0,0,15,92,11,0,101,0,116,0,0,0,0,0,0,0,172,100,11,0,113,0,285,6252,399,6,0,395,4,6654,640,1796,50,4,1847,3,2489,10,138,41,0,178,0,188,0,0,6,0,7,0,7,653,1935,95,4,2034,3,2688,3,3,0,0,3,5,17,6909,2339,97,4,2433,13,9361
SED21401,42,0,757,83,597,34,0,633,0,715,0,31,39,0,68,0,72,0,0,0,0,0,0,0,87,628,75,0,702,0,788,0,0,0,0,0,0,0,803,662,75,0,738,0,1545,438,23,0,0,29,0,466,58,460,31,0,492,0,555,0,30,54,0,81,0,81,0,0,0,0,0,0,0,60,490,85,0,571,0,631,0,0,0,0,0,0,0,503,513,85,0,599,0,1101,263,7,0,0,7,0,268,20,299,34,0,330,0,351,0,29,38,0,67,0,70,0,0,0,0,0,0,0,19,323,74,0,401,0,418,0,0,0,0,0,0,0,281,330,74,0,406,0,692,4270,323,0,0,328,0,4592,708,5344,310,0,5653,7,6370,11,331,279,0,610,0,626,0,0,0,0,0,0,0,721,5676,588,0,6268,7,6994,7,5,4,0,9,9,18,4992,6005,594,0,6598,11,11607
SED21503,32,0,811,63,375,24,0,403,0,463,0,24,28,0,52,0,57,0,0,0,0,0,0,0,63,400,49,0,457,0,514,0,0,0,0,0,0,0,840,430,49,0,480,0,1329,440,20,0,0,20,0,460,26,249,16,0,264,0,295,0,10,32,0,44,0,43,0,0,0,0,0,0,0,26,258,50,0,310,0,338,0,0,0,0,0,0,0,467,278,50,0,326,0,794,193,23,0,0,23,0,211,21,166,10,0,174,0,194,0,10,19,0,31,0,31,0,0,0,0,0,0,0,21,177,25,0,203,0,223,0,0,0,0,0,0,0,213,200,25,0,225,0,436,5918,309,6,0,317,0,6233,509,3013,222,5,3237,4,3748,4,241,206,0,447,0,454,4,5,0,0,5,0,3,511,3255,430,5,3683,7,4201,9,4,0,0,4,18,31,6437,3572,429,5,4008,25,10466
SED21608,11,0,1310,29,43,0,0,42,0,72,0,4,0,0,4,0,10,0,0,0,0,0,0,4,29,41,0,0,49,0,80,0,0,0,0,0,4,4,1329,55,6,0,65,4,1395,430,0,0,0,6,0,438,7,19,0,0,19,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,0,0,19,0,28,0,0,0,0,0,0,0,437,17,0,0,21,0,464,143,0,0,0,0,0,143,0,11,0,0,11,0,14,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,13,0,0,16,0,18,0,0,0,0,0,0,0,150,13,0,0,16,0,161,10297,164,5,0,170,8,10472,252,664,19,0,688,0,938,9,31,9,0,39,0,46,0,0,0,0,0,0,6,258,702,28,5,730,0,993,12,0,0,0,0,14,25,10574,864,30,5,901,18,11493
SED21706,56,0,1457,70,379,19,0,398,0,470,0,23,28,0,52,0,52,0,0,0,0,0,0,0,70,407,45,0,452,0,520,0,0,0,0,0,0,0,1474,459,47,0,509,0,1980,920,32,0,0,32,0,957,47,281,14,0,295,0,348,0,23,18,0,43,0,43,0,0,0,0,0,0,0,47,305,38,0,340,0,388,0,0,0,0,0,0,0,974,338,38,0,373,0,1341,488,15,0,0,15,0,507,27,176,17,0,200,0,228,0,15,15,0,26,0,26,0,0,0,0,0,0,0,27,189,35,0,226,0,256,0,0,0,0,0,0,0,518,205,35,0,246,0,760,8247,368,6,0,376,0,8633,744,3559,184,6,3752,3,4500,0,222,164,0,385,0,385,0,0,0,0,0,0,0,747,3781,349,6,4137,3,4888,0,6,0,0,6,9,15,8996,4159,358,6,4518,15,13534
SED21805,34,0,1094,59,212,18,0,227,0,289,0,10,0,0,18,0,16,0,0,0,0,0,0,0,60,228,18,0,243,0,309,0,0,0,0,0,0,0,1121,257,19,0,274,0,1401,422,7,0,0,11,0,423,21,131,11,0,139,0,158,0,5,4,0,11,0,11,0,0,0,0,0,0,0,20,143,11,0,150,0,170,0,0,0,0,0,0,0,441,147,10,0,158,0,599,213,9,0,0,9,0,221,7,81,0,0,87,0,93,0,10,3,0,10,0,11,0,0,0,0,0,0,0,6,91,5,0,95,0,103,0,0,0,0,0,0,0,224,95,5,0,97,0,324,9290,316,7,0,314,7,9612,566,1756,65,0,1817,7,2390,14,122,39,0,158,3,176,0,3,0,0,3,0,3,583,1877,107,0,1984,11,2571,0,8,0,0,8,11,18,9870,2196,110,0,2306,16,12199
SED21906,45,0,1167,81,260,5,0,267,0,343,0,3,4,0,7,0,13,0,0,0,0,0,0,0,77,265,12,0,278,0,358,0,0,0,0,0,0,0,1205,305,12,0,321,0,1518,683,23,0,0,23,0,703,35,151,0,0,156,0,192,0,5,9,0,10,0,17,0,0,0,0,0,0,0,32,158,13,0,170,0,206,0,0,0,0,0,0,0,717,183,13,0,194,0,911,446,13,0,0,13,0,462,21,100,0,0,106,0,129,0,4,10,0,13,0,12,0,0,0,0,0,0,0,23,105,11,0,121,0,141,0,0,0,0,0,0,0,468,123,11,0,134,0,604,8487,446,0,0,447,13,8950,652,2603,63,4,2669,5,3328,0,80,41,0,125,0,125,0,0,0,0,0,0,0,657,2685,100,4,2792,5,3453,26,6,0,0,6,3,32,9171,3132,105,4,3240,25,12437
SED22005,31,0,547,45,541,57,0,598,0,646,0,84,78,0,160,0,164,0,0,0,0,0,0,0,49,624,127,0,756,0,803,0,0,0,0,0,0,0,568,658,126,0,784,0,1357,286,16,0,0,16,0,302,40,357,46,0,406,0,442,8,78,88,0,164,0,165,0,0,0,0,0,0,0,45,430,134,0,567,0,610,0,0,0,0,0,0,0,328,453,134,0,584,0,917,128,7,0,0,7,0,134,17,226,28,0,255,0,277,3,43,52,0,92,0,97,0,0,0,0,0,0,0,21,272,80,0,353,0,371,0,0,0,0,0,0,0,148,280,80,0,353,0,511,3949,330,3,0,334,7,4281,668,5444,374,0,5818,10,6496,19,739,565,0,1300,0,1322,3,3,0,0,3,0,5,687,6185,933,0,7116,10,7817,4,17,0,0,18,14,35,4638,6530,942,0,7470,30,12137
SED22105,50,0,1279,89,1363,50,5,1420,0,1509,5,225,184,0,409,0,412,0,0,0,0,0,0,0,95,1587,236,5,1826,0,1918,0,0,0,0,0,0,0,1320,1639,239,5,1879,0,3198,416,16,0,0,16,0,431,41,749,47,0,792,0,837,0,125,121,0,252,0,251,0,0,0,0,0,0,0,45,877,172,0,1044,0,1088,0,0,0,0,0,0,0,459,885,172,0,1062,0,1521,175,9,0,0,11,0,183,15,416,19,0,439,0,450,0,89,106,0,193,0,193,0,0,0,0,0,0,0,15,510,122,0,632,0,646,0,0,0,0,0,0,0,187,520,123,0,637,0,831,11367,648,10,7,673,8,12046,868,15349,510,13,15875,19,16762,27,1703,1041,0,2743,0,2774,0,9,4,3,9,0,14,897,17060,1555,19,18634,19,19546,6,39,3,0,44,26,77,12270,17751,1570,26,19349,48,31670
SED22201,19,0,991,31,142,12,0,157,0,183,0,15,52,0,70,0,69,0,0,0,0,0,0,0,30,161,60,0,222,0,255,0,0,0,0,0,0,0,1002,182,60,0,245,0,1244,506,6,0,0,6,0,517,13,96,11,0,113,0,119,0,13,43,0,58,0,58,0,0,0,0,0,0,0,13,111,56,0,165,0,176,0,0,0,0,0,0,0,515,123,56,0,175,0,694,270,0,0,0,0,0,270,7,41,10,0,47,0,58,0,3,18,0,21,0,26,0,0,0,0,0,0,0,12,43,30,0,73,0,80,0,0,0,0,0,0,0,275,43,30,0,73,0,351,7943,213,0,0,212,7,8165,375,1800,129,4,1938,0,2313,19,235,514,0,757,0,771,6,0,0,0,0,0,6,398,2042,650,3,2689,0,3089,13,5,0,0,5,4,20,8349,2258,651,3,2910,15,11268
SED22305,17,0,256,53,739,66,0,802,0,851,0,216,181,0,394,0,399,0,0,0,0,0,0,0,51,952,249,0,1201,0,1254,0,0,0,0,0,0,0,289,971,249,0,1221,0,1507,106,10,0,0,10,0,113,21,442,38,0,481,0,500,0,128,139,0,265,0,267,0,0,0,0,0,0,0,23,570,177,0,744,0,768,0,0,0,0,0,0,0,131,579,177,0,753,0,884,58,6,0,0,6,0,70,4,232,38,0,269,0,276,0,90,108,0,197,0,197,0,0,0,0,0,0,0,10,323,138,0,467,0,472,0,0,0,0,0,0,0,71,325,138,0,470,0,537,2012,315,9,0,324,0,2340,423,7115,524,12,7654,12,8095,20,1926,1170,3,3096,0,3115,4,6,5,4,17,0,16,442,9046,1694,17,10768,12,11226,13,19,0,0,14,24,47,2466,9382,1706,17,11106,39,13613
SED22404,24,0,1199,24,29,0,0,30,0,49,0,0,3,0,4,0,4,0,0,0,0,0,0,0,24,32,5,0,34,0,54,0,0,0,0,0,0,0,1201,51,5,0,50,8,1261,358,3,0,0,0,0,367,7,12,0,0,14,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,0,0,14,0,19,0,0,0,0,0,0,0,370,16,6,0,18,0,387,141,0,0,0,0,0,144,3,3,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,5,0,0,0,0,0,0,0,140,4,0,0,4,0,150,8760,116,0,3,119,25,8908,184,214,7,0,223,0,411,0,4,6,0,11,0,11,0,0,0,0,0,0,0,184,225,17,0,239,0,424,0,0,0,0,0,13,18,8949,340,14,3,357,39,9349
SED22501,36,0,1530,61,147,0,0,146,0,207,0,6,4,0,6,0,6,0,0,0,0,0,0,0,61,150,4,0,153,0,213,0,0,0,0,0,0,5,1554,186,4,0,190,0,1750,862,11,0,0,11,0,878,41,93,6,0,94,0,136,0,4,7,0,9,0,12,0,0,0,0,0,0,0,46,91,8,0,104,0,147,0,0,0,0,0,0,0,911,106,8,0,112,0,1022,432,3,0,0,3,0,435,22,47,0,0,47,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,47,0,0,47,0,70,0,0,0,0,0,0,0,451,54,0,0,54,0,503,10573,309,0,0,312,0,10888,583,1363,24,0,1387,0,1975,3,46,13,0,57,0,62,0,0,0,0,0,0,0,589,1404,40,0,1443,0,2041,6,3,0,0,3,6,20,11172,1721,38,0,1765,10,12941
