SED_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
SED10001,942,876,1817,2136,2029,4164,797,797,1594,554,511,1066,3485,3340,6825,1561,1605,3162,509,473,982,529,603,1128,2598,2681,5283,132,155,290,130,205,340,398,273,667,360,668,1027,11,6,13,1028,1312,2339,237,541,774,119,250,367,66,123,186,231,530,768,5,3,5,650,1445,2098,1678,2759,4441,107,88,194,137,256,393,8,7,13,247,341,594,2953,2654,5602,11911,12651,24554
SED10002,999,922,1919,2657,2597,5250,674,696,1374,707,741,1443,4049,4055,8102,1752,1778,3531,597,529,1123,612,639,1248,2969,2954,5923,487,368,850,638,700,1341,332,209,540,626,853,1483,8,5,18,2094,2137,4230,2021,2213,4237,1109,1094,2198,307,298,600,472,605,1079,17,12,37,3928,4226,8148,6041,6377,12412,769,624,1399,711,647,1359,14,10,26,1498,1283,2782,5716,3883,9599,21275,19471,40741
SED10003,760,697,1457,1857,1692,3551,662,610,1270,517,559,1075,3047,2869,5908,1255,1096,2350,653,673,1324,510,513,1017,2417,2290,4706,89,98,190,117,236,355,285,186,467,401,633,1040,6,4,14,899,1159,2061,180,329,510,171,365,528,78,142,219,275,663,941,8,4,10,705,1497,2207,1605,2662,4271,59,62,123,167,322,484,4,0,9,232,391,619,3054,3193,6253,11115,12100,23213
SED10004,849,770,1617,2050,1890,3932,405,467,873,326,320,644,2784,2672,5457,838,737,1576,424,601,1021,685,563,1249,1948,1904,3848,94,115,214,228,296,524,133,82,212,400,584,982,5,3,7,851,1082,1939,1385,1814,3190,722,859,1586,162,207,369,717,1053,1774,8,10,11,2994,3940,6936,3857,5032,8888,168,161,330,272,387,652,0,0,3,439,554,988,2095,2005,4105,11975,12934,24908
SED10005,1011,883,1889,2488,2321,4807,873,832,1705,815,863,1676,4192,4025,8212,2069,2048,4114,772,676,1447,577,650,1229,3424,3388,6811,224,217,443,271,416,683,294,128,419,340,549,892,7,13,15,1137,1315,2454,1388,1564,2953,462,418,881,173,180,351,260,314,571,4,9,15,2291,2474,4770,3441,3801,7249,292,231,520,267,391,655,12,12,18,569,636,1201,4493,3981,8479,17134,16710,33847
SED10006,775,703,1478,2019,1919,3940,817,834,1649,74,55,132,2915,2812,5729,1645,1694,3337,131,132,265,122,183,308,1894,2013,3908,60,57,122,51,102,157,246,178,427,214,538,753,4,6,12,577,882,1459,78,190,270,35,124,158,24,76,102,128,398,520,4,4,5,260,796,1057,847,1679,2528,45,40,86,54,123,177,3,4,6,95,170,271,4769,4785,9547,11298,12161,23453
SED10007,847,766,1611,2281,2139,4419,855,833,1688,171,177,346,3305,3161,6465,1692,1452,3145,546,771,1310,448,375,827,2682,2599,5280,91,117,206,57,148,205,395,282,674,336,591,927,6,11,14,878,1149,2030,338,582,918,115,189,310,78,130,203,256,563,817,0,4,9,787,1465,2256,1674,2614,4290,48,52,101,85,150,238,5,3,6,134,209,347,3967,2504,6471,12609,11855,24463
SED10008,1072,1000,2072,3606,3277,6882,665,618,1280,403,412,815,4681,4309,8988,1859,1783,3637,825,872,1700,697,594,1299,3390,3254,6644,134,191,322,136,215,351,287,123,411,293,576,867,0,0,3,856,1098,1955,1510,1575,3086,328,351,675,198,192,388,431,521,950,7,5,10,2477,2637,5116,3337,3743,7080,118,120,240,173,273,450,0,8,8,293,402,696,1032,1092,2127,13803,13788,27599
SED10009,585,527,1111,1824,1686,3506,440,435,868,270,263,530,2534,2381,4913,1271,1187,2459,489,510,996,252,251,500,2011,1952,3962,69,58,125,52,85,135,290,194,486,267,499,765,14,9,20,685,842,1528,78,184,266,52,164,224,33,62,86,148,421,569,4,0,8,321,838,1156,1004,1683,2680,46,50,93,70,164,235,5,0,4,115,214,330,2829,2816,5647,9082,9563,18646
SED10010,964,874,1840,2599,2442,5038,907,930,1838,323,335,658,3843,3704,7550,1764,1610,3373,917,804,1724,327,302,624,3011,2718,5730,280,235,518,303,441,745,288,180,471,460,708,1162,7,3,6,1338,1567,2903,1158,1319,2480,476,677,1150,133,174,307,296,463,761,4,7,10,2071,2642,4709,3413,4219,7630,454,353,810,282,390,676,5,3,14,747,749,1493,2966,2789,5755,14939,15059,29999
SED10011,774,723,1500,2146,2069,4209,384,359,745,453,406,858,2984,2832,5821,1560,1531,3092,454,433,885,521,464,984,2535,2433,4968,113,132,240,93,148,243,350,183,537,291,585,881,3,3,6,853,1049,1903,458,535,995,170,326,500,110,123,237,403,827,1239,0,6,8,1144,1821,2973,2006,2878,4882,68,87,156,112,200,311,3,3,6,184,289,475,1211,1314,2521,9687,10469,20161
SED10012,622,520,1140,2495,2261,4760,660,603,1266,187,185,372,3359,3056,6419,2560,2355,4915,497,566,1066,197,205,402,3261,3144,6402,207,190,399,216,340,554,256,117,368,269,405,667,4,6,10,945,1055,2007,1278,1604,2882,263,277,538,156,179,338,133,185,319,0,6,10,1829,2251,4082,2786,3320,6102,168,237,402,195,359,555,12,11,19,373,607,978,2629,2547,5176,13026,13187,26217
SED10013,2136,1893,4032,4594,4431,9020,1423,1506,2923,936,984,1922,6956,6928,13891,2458,2326,4785,1577,1515,3092,844,847,1686,4881,4698,9583,179,231,407,122,249,364,770,373,1136,509,835,1342,5,5,11,1582,1684,3269,919,1495,2416,230,485,714,177,258,438,459,864,1320,0,8,12,1792,3115,4908,3375,4812,8187,143,170,312,243,370,616,3,4,12,390,548,940,2464,2439,4909,20214,21323,41534
SED10014,907,864,1767,2833,2609,5443,531,567,1095,445,431,877,3818,3608,7431,1914,1807,3722,745,745,1485,328,325,655,2991,2880,5872,129,198,325,132,264,395,330,177,508,312,544,858,4,5,8,907,1193,2100,642,857,1501,223,337,560,97,143,246,216,419,632,3,6,9,1183,1764,2941,2095,2965,5057,86,137,219,148,234,378,0,3,6,234,377,608,2768,2747,5515,12806,13434,26239
SED10015,844,806,1651,2072,1810,3880,948,899,1852,314,273,590,3341,2985,6331,1476,1430,2906,1009,934,1941,364,323,685,2856,2685,5549,236,192,431,345,360,700,285,142,426,451,658,1112,3,8,11,1324,1363,2690,1332,1488,2818,557,578,1135,162,212,377,342,513,856,8,8,20,2403,2791,5203,3743,4163,7908,327,269,593,322,432,758,5,8,11,658,705,1368,3023,2938,5960,14473,14289,28755
SED10016,1333,1281,2613,3703,3485,7189,1100,1075,2169,885,831,1712,5696,5392,11080,2122,1960,4086,1275,1288,2559,1306,1242,2544,4710,4497,9202,122,157,281,88,195,288,455,207,662,388,693,1082,0,0,5,1055,1256,2315,1632,1954,3584,319,414,729,279,263,544,486,713,1199,7,3,12,2720,3345,6066,3785,4606,8393,114,107,220,206,294,501,0,5,3,321,400,725,1327,1239,2565,17165,17407,34577
SED10017,1192,1081,2270,2814,2744,5552,749,730,1475,441,383,826,4009,3863,7868,1911,1937,3854,425,419,846,420,420,848,2763,2785,5546,121,163,278,68,181,244,448,322,770,378,720,1099,7,0,5,1022,1386,2403,249,481,733,120,257,375,74,160,227,222,555,776,0,4,4,665,1451,2113,1683,2840,4524,90,81,166,126,208,343,0,0,4,225,292,513,3562,1992,5551,13425,12846,26273
SED10018,1046,888,1931,2631,2394,5026,619,610,1226,240,243,481,3496,3246,6747,1855,1685,3539,483,493,978,279,307,587,2620,2496,5112,94,109,206,85,111,193,408,204,609,349,460,808,3,0,3,930,887,1813,657,807,1460,230,322,551,118,146,263,363,650,1013,0,0,0,1362,1926,3287,2298,2809,5111,75,59,131,130,185,315,4,4,4,212,242,452,1352,1395,2744,11022,11080,22096
SED10019,701,668,1369,2078,1948,4026,601,596,1202,251,201,446,2936,2745,5682,1482,1473,2958,474,501,975,263,206,468,2222,2184,4403,79,97,173,61,167,231,264,208,473,256,526,775,9,3,5,657,1003,1663,83,160,248,49,162,204,45,92,140,152,381,532,3,5,10,339,800,1138,1001,1806,2804,42,39,84,71,135,216,0,6,7,119,189,304,4073,3137,7212,11054,10720,21771
