SED_CODE_2021,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Samoa_0_4,P_Samoa_5_14,P_Samoa_15_24,P_Samoa_25_44,P_Samoa_45_54,P_Samoa_55_64,P_Samoa_65_74,P_Samoa_75_84,P_Samoa_85ov,P_Samoa_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SED10011,0,0,0,12,9,6,3,4,0,31,0,0,0,13,26,22,9,0,5,74,0,20,17,144,55,48,44,10,0,334,0,0,0,41,28,42,59,14,6,190,0,0,0,5,5,0,6,0,0,12,0,12,13,51,53,106,148,69,28,484,0,13,3,11,24,9,13,0,0,81,0,4,18,66,87,49,49,24,8,315,0,0,0,21,12,16,14,6,3,76,0,0,3,16,0,4,7,0,0,29,0,10,4,81,38,18,9,0,0,162,0,0,0,6,5,4,5,0,0,27,5,28,29,122,76,98,95,45,3,507,0,14,28,68,30,4,4,0,0,158,0,0,0,4,23,26,37,22,3,113,0,0,0,9,4,10,3,0,0,29,7,34,37,303,310,282,304,211,68,1566,107,256,206,523,324,313,324,262,195,2511,3604,8969,7358,15611,10062,10340,9808,4876,1644,72271
SED10012,0,5,16,46,9,13,3,0,0,89,0,0,0,0,5,0,0,0,0,3,0,25,65,269,101,154,181,40,7,844,0,0,0,16,20,28,56,35,15,171,0,27,63,139,117,105,43,8,5,504,0,0,0,5,4,13,18,11,9,51,0,4,0,17,0,7,10,3,0,54,0,0,0,9,9,9,5,3,0,34,0,0,4,23,3,13,19,5,0,74,0,3,10,26,7,9,11,3,0,71,7,19,58,519,110,76,59,8,0,855,3,18,7,28,33,36,32,29,0,188,0,9,24,29,4,6,8,0,0,74,53,422,1181,5019,4454,4405,2430,696,331,18991,0,0,0,0,0,4,5,0,0,6,0,4,3,5,5,0,0,0,0,17,20,182,336,1116,994,1208,1099,599,237,5796,250,588,590,1145,574,523,396,172,92,4326,4202,10412,12105,21123,11201,11673,8272,3696,1741,84426
SED10013,7,83,81,405,121,50,18,5,0,767,3,0,3,15,21,8,3,0,3,56,3,68,119,829,281,203,102,15,7,1624,0,0,7,71,41,24,42,15,13,217,0,13,42,103,84,87,35,9,3,375,0,9,18,76,80,111,114,67,19,488,0,19,14,21,19,16,14,0,0,103,11,50,57,238,137,85,48,17,6,640,0,14,25,124,62,49,28,9,9,306,0,0,5,56,28,7,10,0,0,102,6,15,23,209,55,17,19,0,0,352,0,3,7,65,44,28,4,0,3,156,3,43,35,95,38,31,24,4,3,289,6,8,31,285,95,84,45,6,6,556,0,3,5,20,20,23,17,8,5,101,0,3,61,158,81,36,9,0,0,347,22,170,219,1376,761,635,476,204,73,3927,317,657,484,1359,442,356,287,169,70,4149,12042,20630,16059,41669,15774,11547,8184,3922,1443,131265
SED10014,0,68,57,338,82,61,17,4,0,628,0,4,7,12,17,14,12,0,0,61,12,59,176,770,370,372,243,71,20,2098,0,0,7,40,43,46,61,30,6,234,0,56,101,218,200,189,81,34,0,877,0,7,3,24,36,100,129,77,15,389,0,3,0,17,3,13,15,5,0,58,3,15,15,144,100,74,101,34,3,497,6,39,38,136,47,37,33,15,8,359,0,3,6,29,4,4,6,0,0,46,0,15,34,205,71,44,26,3,0,399,0,0,0,12,9,12,8,3,0,49,0,10,23,67,32,21,16,4,0,180,0,13,23,203,87,93,58,4,5,480,0,0,0,3,14,20,20,10,6,64,0,0,14,44,21,10,6,0,0,99,14,109,220,951,680,662,486,277,60,3456,351,769,663,1491,579,459,421,309,141,5191,5916,11804,11126,23861,9591,9305,7647,3668,962,83881
SED10015,4,29,71,288,58,39,15,7,0,504,0,0,6,9,13,7,7,11,3,47,6,59,123,869,267,276,147,38,12,1799,0,0,0,52,13,12,21,10,5,111,0,0,0,24,12,18,8,0,0,69,0,4,0,25,9,27,13,10,8,97,0,8,16,65,27,30,21,8,0,180,0,4,14,55,42,22,12,5,0,156,5,3,8,71,9,23,26,7,9,152,0,0,10,103,18,20,8,9,3,166,4,14,34,381,114,64,32,7,3,649,0,0,0,62,68,54,35,22,8,249,6,13,26,106,24,18,9,6,6,213,16,84,294,918,492,586,340,118,37,2882,0,0,0,11,5,5,0,3,0,28,0,0,5,12,11,3,4,0,0,31,35,195,207,1608,822,969,747,470,186,5231,228,470,615,1843,656,536,386,247,122,5113,5132,9870,11175,28729,12879,11028,7751,5144,2355,94065
SED10016,4,177,87,576,157,102,45,18,3,1168,0,0,0,6,17,16,7,3,0,48,4,86,162,831,466,443,294,55,21,2364,0,0,3,48,38,62,69,17,3,235,0,5,0,9,6,5,5,0,0,26,0,11,18,44,55,54,57,37,16,295,5,78,74,80,66,57,45,13,3,416,28,253,271,596,470,267,117,47,14,2059,5,43,107,498,307,313,161,84,22,1538,4,19,8,122,50,24,63,12,0,308,5,22,29,124,40,22,8,0,0,249,0,3,5,36,56,35,13,6,0,160,20,95,93,139,48,47,18,10,0,472,0,14,19,120,107,77,43,11,0,394,0,8,5,16,18,17,15,4,3,89,0,6,30,77,64,44,13,0,0,238,32,266,230,880,595,489,322,213,80,3110,98,321,265,630,294,195,146,127,42,2127,6389,16518,13872,27928,14958,10741,8082,4120,1305,103905
SED10017,0,11,0,57,15,3,0,0,0,85,0,0,4,6,10,0,5,0,0,34,3,27,48,196,66,54,40,5,0,450,0,0,0,4,7,6,13,9,5,44,0,0,4,13,4,5,4,0,0,34,3,4,9,24,26,72,88,57,16,294,0,5,5,3,0,10,3,0,0,26,0,24,20,85,77,35,34,19,3,301,3,5,8,28,16,18,8,0,0,80,0,0,0,16,0,0,0,0,0,18,0,8,11,94,29,20,4,0,0,168,0,0,0,6,4,3,0,0,0,12,5,10,17,61,23,29,16,10,0,160,0,5,5,90,18,6,0,0,0,134,0,0,0,4,8,21,13,4,0,58,0,0,5,29,12,0,0,0,0,53,0,15,38,178,88,93,109,61,17,598,228,452,436,987,463,464,457,309,144,3949,5948,12046,10488,23909,10759,10164,8727,4151,1561,87750
SED10018,4,11,5,34,4,0,4,0,0,51,0,0,0,10,22,6,5,6,0,54,5,12,15,99,36,43,39,4,5,257,0,0,0,10,9,16,22,14,5,81,0,0,0,8,8,0,10,0,0,26,0,15,16,44,58,51,62,72,17,340,0,5,4,11,7,4,4,3,0,38,3,20,24,125,44,42,34,9,6,309,0,0,3,28,8,5,9,7,0,57,0,4,0,23,4,4,0,0,0,33,0,13,21,57,22,8,5,0,0,128,0,0,0,3,0,8,0,0,0,11,6,42,29,101,39,36,26,11,5,293,0,0,10,49,23,15,6,0,0,99,0,0,4,12,12,20,12,10,8,77,0,0,3,16,5,10,4,0,0,38,0,59,57,304,149,109,117,109,48,963,82,302,257,652,314,286,281,250,128,2560,4325,10147,8826,19037,9887,8975,7483,5096,2215,75991
SED10019,0,0,0,7,0,3,0,0,0,14,0,0,6,16,22,21,18,0,0,87,3,34,21,139,57,74,39,3,0,360,0,0,0,5,0,6,0,4,0,19,0,0,0,9,0,0,0,0,0,13,0,0,3,12,22,45,61,44,5,188,0,0,0,10,12,0,5,0,0,27,0,13,10,41,38,20,28,15,0,165,0,0,0,7,3,9,3,3,0,32,0,0,0,18,3,5,3,0,0,29,0,7,8,37,29,13,0,0,0,98,0,0,0,4,3,3,0,0,0,15,0,19,3,50,30,35,55,15,0,198,0,3,8,26,5,6,0,0,0,46,0,0,0,0,9,18,14,11,3,56,0,0,0,13,8,11,0,0,0,36,6,19,22,108,69,106,111,72,20,530,265,743,633,1361,793,952,884,574,248,6451,3764,9209,7674,15231,9332,11733,11651,6572,2524,77685
SED10020,0,9,12,9,3,3,0,0,0,33,0,0,5,17,31,25,12,0,6,99,4,33,32,164,62,67,37,8,0,405,0,0,0,14,15,7,17,4,6,61,0,0,4,5,7,0,3,0,0,17,0,5,15,24,35,58,71,57,21,287,0,5,0,16,0,0,8,0,0,29,7,23,34,108,100,64,64,26,6,425,0,3,4,18,9,0,6,5,0,40,0,5,3,83,0,5,0,0,0,98,0,33,44,55,32,15,8,4,0,188,3,0,0,5,7,0,3,0,0,12,3,26,15,78,40,29,67,10,0,269,0,7,0,54,10,8,6,0,0,86,0,0,3,8,11,24,21,13,5,71,0,0,6,13,14,12,11,6,0,54,16,116,166,542,210,202,159,133,51,1589,185,473,447,1172,562,600,526,467,293,4716,4060,9907,8105,18059,9821,10579,10183,5726,2320,78759
SED10021,0,3,0,28,7,8,0,0,0,43,0,0,0,15,29,19,10,0,4,80,3,13,31,306,112,85,49,22,5,623,0,3,4,117,56,32,57,24,31,328,0,0,0,0,0,3,0,0,0,12,0,4,12,296,110,92,67,40,13,647,7,46,38,94,40,34,29,15,5,301,4,31,78,458,322,224,145,100,62,1439,0,0,0,34,21,10,14,9,7,101,0,4,0,49,18,9,18,0,0,96,0,15,24,151,41,29,15,3,0,277,0,3,5,65,16,16,11,3,4,128,59,163,84,544,166,100,58,33,5,1200,3,17,22,82,64,25,25,7,0,238,0,3,3,150,20,24,12,8,6,224,0,0,4,25,22,13,11,8,0,74,26,128,171,2253,666,573,640,510,299,5256,189,300,331,1727,428,325,293,221,176,3996,4489,8465,7678,31626,10811,8041,5876,3698,1959,82648
SED10022,0,3,4,22,0,0,0,0,0,34,0,0,8,13,8,11,8,0,0,48,5,35,35,144,54,36,29,0,0,342,0,0,0,4,0,0,6,8,0,14,0,0,0,8,7,0,4,0,0,23,0,0,4,10,0,33,39,28,10,126,0,0,4,0,11,0,3,0,0,26,0,9,14,33,28,20,14,10,0,130,0,5,0,25,3,5,0,3,0,36,4,0,3,46,0,0,0,0,0,48,0,4,4,13,10,12,0,0,0,52,0,0,0,3,3,0,0,0,0,10,0,14,10,42,21,15,30,6,3,137,0,0,0,22,8,11,4,0,0,53,0,0,0,4,4,0,3,3,0,19,0,0,0,0,10,0,4,0,0,19,12,28,42,127,55,75,84,57,21,508,217,663,557,1160,679,867,876,619,241,5868,3991,9157,7512,14729,8658,10269,9931,5925,2266,72435
SED10023,0,3,0,10,0,3,4,0,0,24,0,0,0,11,18,15,3,3,5,55,3,11,17,119,49,51,38,9,4,309,0,10,3,77,39,21,24,18,16,191,0,0,0,3,5,3,0,0,0,10,0,11,6,52,56,59,66,56,12,324,4,15,18,20,21,16,22,10,0,116,0,22,28,169,97,66,46,29,6,474,0,0,0,9,6,14,5,0,0,48,0,0,0,14,5,6,7,0,0,32,0,10,7,85,38,7,10,0,0,158,0,0,0,17,4,8,7,0,0,40,19,30,29,130,50,49,31,15,3,356,0,3,3,31,39,19,14,6,0,122,0,7,4,33,20,22,20,14,0,107,0,0,3,5,10,4,3,0,0,25,5,85,66,619,355,287,226,175,62,1876,125,242,192,692,316,239,250,167,96,2323,4433,9692,9388,19074,11042,10139,8055,4469,2102,78388
SED10024,0,3,4,33,10,6,8,7,6,82,0,0,0,14,81,60,36,37,13,238,0,13,21,153,74,56,36,17,6,382,0,6,0,29,20,25,27,15,11,131,0,0,0,0,0,0,0,0,0,4,0,16,16,26,76,82,62,45,27,353,18,108,100,92,82,58,47,21,10,550,12,172,239,506,635,452,328,145,47,2544,0,0,11,59,67,60,42,29,12,282,4,21,25,211,107,45,72,18,0,516,0,17,23,115,46,19,9,3,0,232,0,8,6,16,19,26,22,3,6,113,31,151,135,155,142,111,60,28,4,816,0,7,9,112,103,25,34,10,3,301,0,0,3,17,27,29,15,17,0,114,0,0,4,25,55,39,29,10,0,160,8,165,159,555,536,452,319,274,114,2581,83,197,171,340,230,182,161,178,198,1743,3652,12769,10408,15741,12680,9756,7746,5827,2489,81071
