SED_CODE_2021,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_used_home_Eng_only_M,Lang_used_home_Eng_only_F,Lang_used_home_Eng_only_P,Lang_used_home_Oth_Lang_M,Lang_used_home_Oth_Lang_F,Lang_used_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
SED10087,40196,42129,82326,2701,2712,5414,5728,5438,11161,2779,2700,5478,2849,2981,5834,5421,5657,11077,4751,5079,9828,4569,4780,9349,4638,4953,9588,3874,4098,7970,2159,2472,4631,737,1260,1993,38428,40597,79027,1774,1534,3307,2508,2687,5201,46,46,89,37,41,76,2589,2776,5365,33201,35255,68456,4458,4411,8867,34281,36395,70677,3428,3349,6778,35413,37485,72895,813,813,1624,5309,5040,10343,1842,1925,3769,749,1242,2002,1166,2014,3178,13404,16400,29804,2575,2532,5103,9090,8804,17895,2492,2361,4851,1645,1276,2922,207,256,466,36402,38671,75075,4385,3847,8236
SED10088,40861,42467,83325,2469,2307,4775,5653,5281,10931,2819,2450,5269,2527,2292,4818,4604,4800,9404,5674,6055,11721,6160,6575,12734,4835,4946,9782,3211,3637,6851,2084,2740,4831,827,1388,2209,39772,41460,81236,1090,1000,2090,321,271,591,11,8,17,6,6,15,344,278,621,26876,27180,54053,12831,14054,26884,31064,31548,62606,8442,9473,17917,35123,36399,71524,871,859,1726,5467,5092,10562,2403,2178,4584,1229,1208,2436,1280,1878,3160,21808,23492,45305,1981,1670,3655,5311,5657,10964,1310,1392,2704,795,861,1661,240,287,531,39245,40741,79986,1259,1493,2752
SED10089,42742,44369,87111,2539,2404,4940,5301,4991,10291,2899,2887,5783,3894,3696,7592,6614,6420,13034,5487,5592,11083,4922,5152,10070,4424,4703,9126,3626,4156,7783,2204,2715,4917,839,1650,2487,41006,42752,83763,1735,1617,3353,2200,2322,4520,37,37,68,26,32,63,2262,2388,4652,34009,35461,69467,6847,6934,13777,35234,36706,71937,5490,5483,10970,37435,39166,76610,774,765,1540,5022,4747,9767,2169,2226,4393,1833,1944,3773,1813,2461,4275,17413,18817,36230,2420,2162,4590,8868,9053,17918,2597,2939,5529,1316,1373,2694,168,256,424,39577,40855,80430,3114,3496,6611
SED10090,41480,45372,86851,2479,2251,4728,5658,5559,11219,2378,2231,4607,2217,2177,4395,5364,6064,11425,6811,7642,14453,5888,6597,12489,4489,4963,9450,3518,4207,7721,1909,2301,4213,771,1379,2152,40162,43915,84080,1320,1454,2773,111,116,234,6,8,10,0,4,7,123,127,243,23070,23420,46494,17163,20599,37760,26221,26678,52899,13860,17155,31022,33423,35526,68947,884,796,1683,5459,5343,10800,2181,2079,4261,1324,1310,2637,1637,2557,4193,27008,29870,56875,1262,1317,2579,2256,2947,5199,825,936,1759,524,681,1207,187,308,494,39281,42904,82183,1670,1888,3553
SED10091,40907,42254,83158,2703,2555,5257,5805,5444,11255,2732,2549,5277,2253,2063,4321,4541,4698,9237,4788,5025,9813,5370,5592,10963,4817,5270,10087,4378,4906,9289,2678,2986,5659,837,1164,2002,39672,41061,80733,1236,1194,2430,1470,1465,2936,21,21,44,27,18,47,1521,1506,3019,33361,34202,67560,5602,6022,11629,36439,37451,73888,2536,2820,5356,37281,38419,75704,893,823,1720,5509,5136,10641,1955,1999,3957,566,774,1339,761,1437,2195,13722,17001,30721,2478,2404,4883,10650,9495,20148,2518,2346,4862,1113,963,2077,105,96,208,38724,39956,78679,1993,2168,4161
SED10092,42327,42976,85299,2282,2097,4382,4320,4145,8466,2318,2225,4544,3672,3816,7487,6965,6625,13591,5051,4911,9960,4950,5009,9956,5203,5267,10470,4086,4306,8399,2502,3038,5544,962,1538,2497,40894,41571,82464,1436,1403,2837,1328,1372,2701,38,40,74,23,27,47,1393,1433,2828,29319,29343,58666,10731,11462,22195,30493,30477,60971,9544,10162,19707,36095,36835,72931,685,626,1311,4011,3856,7869,1705,1773,3479,1579,1879,3455,1751,2422,4178,18282,19152,37438,2368,1978,4343,8406,8119,16531,2200,2309,4508,1846,2266,4121,389,586,972,39492,40054,79546,2749,2846,5591
SED10093,40098,42439,82534,2630,2569,5201,5624,5278,10907,2718,2580,5297,2439,2456,4900,4860,5236,10098,4788,5084,9874,5007,5363,10377,4697,5070,9756,4006,4436,8440,2492,2954,5445,840,1410,2249,38876,41417,80294,1220,1017,2243,2688,2713,5396,67,57,123,40,59,102,2795,2827,5614,32513,34033,66544,5417,6124,11545,35143,36860,72005,2679,3148,5824,36058,38075,74138,814,820,1632,5253,4922,10179,1813,1864,3675,614,776,1390,832,1762,2591,12067,14238,26309,2618,2510,5126,10306,10656,20962,2895,3019,5915,1537,1520,3052,174,144,320,37533,39688,77218,2420,2764,5180
SED19494,6375,4997,11371,258,203,460,382,412,798,253,279,532,411,418,829,1164,1022,2187,1108,749,1859,1010,666,1678,949,698,1648,648,404,1055,166,104,277,19,32,49,0,0,0,6375,4997,11371,670,510,1175,11,7,20,24,11,35,712,527,1236,3314,2601,5912,971,936,1908,3530,2889,6417,576,579,1150,3621,2947,6569,33,29,65,210,218,425,78,108,188,59,75,130,121,208,337,1648,1674,3320,293,234,526,1083,798,1883,351,226,576,225,103,332,41,28,75,0,0,0,0,0,0
SED19797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,4,32
SED20106,39988,40958,80946,1585,1494,3086,2587,2560,5147,1214,1274,2489,2666,2926,5593,10032,10408,20445,7213,7062,14274,5271,5429,10699,4402,4384,8793,2989,3186,6174,1601,1676,3277,421,556,977,38247,39049,77302,1735,1913,3645,186,194,377,4,5,10,6,4,12,195,205,403,21808,21579,43384,15731,17034,32763,26740,26239,52980,10722,12328,23045,28685,29010,57694,460,453,910,2441,2385,4829,1037,1103,2135,1394,1572,2964,2639,3498,6136,27299,28630,55922,2411,2356,4766,2084,1878,3964,736,665,1398,588,725,1315,165,226,394,36442,37440,73879,3283,2832,6115
SED20207,53859,54672,108534,4206,3997,8201,8939,8369,17308,3040,2814,5853,2890,2732,5620,7369,8061,15432,10646,10768,21413,7118,7079,14192,4699,4900,9594,3179,3570,6750,1384,1683,3072,397,698,1101,52887,53781,106664,974,892,1869,315,327,641,9,10,15,12,15,30,337,351,686,27389,27427,54820,24034,25016,49057,28264,28191,56453,22941,24004,46944,40194,40513,80708,1346,1215,2556,8353,7830,16183,2499,2399,4894,1253,1313,2571,1948,3007,4952,26504,28555,55059,3921,3560,7478,4483,4004,8489,1812,1824,3634,1305,1718,3024,413,500,916,51343,52279,103621,2229,2188,4420
SED20302,56705,59110,115817,4564,4338,8900,8285,8180,16463,3067,2908,5970,2895,2918,5815,8367,9221,17584,8646,8723,17368,6257,6357,12615,5655,6341,11993,5333,5858,11190,2851,3101,5951,788,1173,1961,54667,57162,111839,2033,1942,3979,512,523,1039,23,10,36,11,11,20,541,552,1097,37124,38928,76052,16491,16969,33461,39616,41546,81160,14027,14309,28337,47410,49081,96489,1230,1117,2352,7719,7597,15320,2317,2323,4635,850,1093,1946,1591,2869,4459,21854,25660,47516,6014,5749,11759,7766,6906,14665,3278,2956,6234,1773,1958,3738,352,392,743,53140,55441,108580,3139,3359,6505
SED20401,31604,33082,64685,1923,1882,3813,3932,3648,7580,1774,1574,3345,1814,1754,3572,4414,4707,9122,4836,4939,9776,4204,4359,8567,3630,3855,7481,2770,3343,6116,1667,1972,3635,632,1051,1681,30763,32221,62990,839,853,1691,250,254,508,10,9,16,5,4,8,262,268,531,22269,22672,44943,8147,9265,17409,23737,24331,48066,6552,7330,13888,27349,28292,55633,619,566,1184,3747,3468,7211,1442,1324,2766,705,757,1467,950,1515,2466,14387,16480,30868,3556,3282,6836,3885,3525,7406,1518,1481,2999,925,1107,2028,172,221,385,29962,31161,61122,1362,1653,3009
SED20508,34296,37050,71339,1784,1666,3448,4392,4137,8528,1874,1731,3600,1495,1395,2890,3090,3303,6395,3783,4258,8042,4111,4659,8775,4568,5561,10130,5450,5907,11357,2890,3190,6074,856,1241,2100,32427,35266,67692,1869,1779,3647,318,303,624,0,0,3,7,14,21,330,314,643,27995,30307,58303,4570,4961,9531,31113,33400,64516,1523,1854,3374,31432,34042,65471,561,500,1062,4159,3901,8058,1477,1433,2908,508,563,1071,734,1363,2094,13705,16873,30577,4731,4802,9530,4906,4735,9638,1965,1875,3841,1086,1108,2191,93,64,154,31721,34291,66014,1884,2245,4130
SED20604,34619,35781,70404,1982,1991,3973,4694,4545,9235,2249,2018,4265,1837,1700,3539,4054,4102,8156,3981,4416,8401,4289,4576,8863,4599,4923,9520,4243,4321,8557,2103,2242,4341,594,955,1548,32930,34252,67177,1693,1535,3221,844,944,1790,29,33,61,19,25,51,890,1005,1898,28911,29892,58804,3590,3851,7444,30719,31897,62617,1789,1970,3761,31280,32550,63824,599,631,1231,4356,4237,8596,1574,1529,3104,490,596,1082,839,1617,2460,11216,14210,25419,4548,4241,8782,6615,5660,12267,2144,1879,4025,1327,1241,2570,134,135,270,31172,32807,63981,3485,3049,6529
SED20704,34915,37200,72117,2259,2125,4385,5087,4730,9815,2230,2165,4395,2191,2252,4442,4423,4828,9251,4141,4654,8796,4121,4560,8677,4194,4710,8905,3729,3992,7723,1881,2157,4031,659,1029,1692,33575,35909,69481,1342,1291,2631,700,771,1472,29,30,58,16,17,34,751,816,1564,29831,31786,61612,3213,3556,6761,30873,32915,63791,2242,2464,4705,31706,33831,65532,658,628,1286,4763,4458,9216,1646,1657,3301,675,934,1613,798,1562,2354,12500,15706,28202,4239,4365,8606,5255,4874,10132,2209,1972,4181,1415,1371,2790,176,170,349,32499,34596,67094,1998,2214,4209
SED20804,31050,32709,63757,1689,1684,3370,3818,3508,7326,1668,1684,3346,1669,1574,3247,3858,3900,7756,3717,3884,7601,3855,4082,7935,4008,4530,8535,3880,4233,8112,2168,2486,4646,735,1152,1885,29860,31553,61416,1185,1157,2342,650,623,1272,27,19,38,8,14,24,685,651,1331,25787,27308,53092,3347,3392,6739,26808,28728,55534,1746,1852,3598,27356,29337,56699,431,422,860,3518,3244,6759,1195,1264,2457,415,524,932,737,1382,2122,10758,13447,24207,3651,3761,7408,5467,4495,9960,2133,1974,4101,1345,1487,2834,194,175,370,28144,30117,58260,2924,2626,5555
SED20906,32467,34303,66780,1829,1689,3524,4899,4453,9351,2269,2048,4321,1935,1737,3672,3683,3711,7389,4647,5356,9999,4976,5422,10398,3736,3938,7677,2464,2870,5335,1396,1891,3287,642,1182,1821,31745,33494,65240,729,808,1536,108,88,192,6,3,13,3,3,6,115,93,205,20278,20604,40881,11247,12648,23897,21412,22056,43466,10047,11107,21157,27561,28870,56430,666,601,1262,4710,4283,8992,2049,1898,3950,1059,1003,2064,993,1463,2456,18288,20268,38550,2310,2252,4564,2250,2170,4422,932,936,1869,810,1138,1947,189,233,422,31249,32893,64141,1002,1203,2208
SED21001,35316,38131,73444,1531,1464,2994,4120,3978,8093,2289,2206,4495,2988,2785,5774,5402,5365,10761,4635,5068,9698,4638,5271,9907,3979,4390,8367,3005,3507,6507,1812,2417,4236,910,1685,2597,34387,37121,71508,922,1007,1935,89,82,176,3,8,17,5,4,7,103,96,200,19699,20424,40120,14306,16260,30562,20331,21153,41485,13607,15469,29076,26578,28380,54956,519,530,1053,3934,3836,7771,2094,2047,4137,1803,1713,3519,1845,2438,4283,21849,23812,45665,2274,2368,4637,1971,2136,4109,1045,1128,2174,774,1113,1887,263,361,618,33404,35833,69233,1892,2175,4070
SED21106,29617,32589,62206,1275,1331,2611,3920,3537,7459,2030,1860,3891,1626,1565,3186,3134,3584,6717,3644,4297,7941,4584,5318,9907,4022,4377,8397,2956,3326,6281,1728,2161,3892,698,1237,1930,28373,31188,59560,1245,1402,2650,74,71,142,3,0,4,0,3,6,75,72,152,20403,22140,42540,8069,9161,17233,23773,25581,49358,4610,5599,10209,25607,28022,53632,422,485,907,3724,3384,7108,1859,1734,3596,1004,932,1934,851,1480,2333,18499,20860,39359,1958,2266,4219,1582,1848,3426,686,676,1362,463,579,1040,95,97,189,27630,30143,57769,1346,1778,3123
SED21203,37760,36618,74380,2673,2532,5203,5327,4962,10294,2393,2240,4628,3009,2579,5586,6528,5748,12275,5227,4873,10099,4220,4273,8487,3922,3821,7743,2347,2732,5074,1521,1951,3476,598,912,1506,37084,35992,73073,677,632,1304,246,251,499,14,16,33,9,4,10,269,271,538,17384,17155,34538,17424,16728,34147,11322,10780,22106,23055,22814,45865,28018,28401,56419,643,560,1197,4703,4394,9092,1772,1844,3623,1231,1140,2373,1698,1956,3655,15514,14644,30160,2416,2201,4619,3284,2858,6141,1865,1774,3639,2731,3514,6242,1104,1661,2764,34863,34002,68870,2878,2501,5375
SED21303,35576,38723,74300,1654,1567,3218,2915,2815,5733,1281,1307,2589,2827,3367,6191,9349,10264,19609,6332,6503,12828,4315,4508,8825,3097,3430,6521,2029,2430,4457,1232,1621,2848,558,918,1476,34308,37183,71498,1263,1535,2805,234,273,507,3,8,17,13,18,27,253,297,550,23984,25610,49595,10392,11892,22275,25319,27021,52337,9005,10416,19423,29816,32331,62150,526,460,989,2820,2715,5534,1106,1163,2271,1496,1864,3359,2536,3619,6155,23673,27006,50679,1992,1635,3627,1858,1468,3322,705,705,1410,1165,1639,2808,329,565,893,33626,36492,70118,1642,1593,3233
SED21401,32367,34747,67111,1521,1523,3047,3626,3399,7023,1922,1751,3675,2070,1821,3888,4004,4034,8038,4129,4483,8607,4077,4532,8605,3950,4402,8350,3129,3923,7052,2737,3275,6010,1195,1614,2811,31624,33989,65617,738,756,1495,82,65,149,0,0,0,4,4,4,85,69,154,16914,17129,34043,14468,16565,31032,15457,15554,31010,15907,18062,33971,26381,27942,54321,538,495,1033,3471,3270,6743,1731,1606,3340,1157,1085,2245,1194,1592,2785,18977,20081,39059,2201,2379,4583,2168,2425,4593,1041,1259,2304,1391,1956,3353,320,456,780,31084,33131,64210,1060,1360,2422
SED21503,30385,30547,60935,1679,1575,3249,3426,3071,6495,1810,1663,3468,2492,2156,4644,4784,4361,9138,4112,4136,8248,3963,4134,8100,3265,3555,6821,2628,3025,5654,1650,1973,3621,576,903,1477,29655,29781,59432,729,773,1501,250,252,498,15,14,22,9,16,22,271,273,543,19508,19721,39223,9704,9773,19476,19230,19326,38561,9922,10125,20047,25111,25755,50875,551,483,1038,3273,2952,6224,1520,1464,2986,1270,1231,2497,1343,1596,2934,15633,16394,32028,2742,2491,5230,2837,2679,5515,1345,1285,2632,1162,1571,2726,340,371,714,28818,28915,57738,1531,1645,3177
SED21608,33246,34177,67425,1976,1919,3897,4688,4389,9075,2056,1958,4019,2064,1896,3969,4228,4370,8598,4138,4377,8516,4253,4544,8797,4104,4357,8458,3543,3736,7281,1693,1858,3554,491,777,1266,31949,33046,64991,1295,1137,2433,573,634,1202,24,27,49,20,15,39,619,671,1290,27457,28454,55907,3791,3854,7650,29406,30386,59790,1921,1990,3911,29782,30862,60641,577,609,1186,4362,4136,8499,1428,1481,2919,609,715,1317,827,1608,2436,11610,14303,25912,3999,4042,8043,5427,4389,9821,2317,1985,4305,1258,1224,2484,103,85,183,30720,31878,62594,2124,2054,4175
SED21706,33317,35543,68864,1631,1561,3187,4109,4079,8188,2213,2359,4577,2994,2736,5726,4898,4463,9361,4302,4586,8892,4412,5069,9474,3755,4140,7897,2738,3140,5877,1531,2065,3599,742,1346,2091,32408,34574,66987,907,973,1881,130,104,236,0,0,4,0,8,6,138,107,242,20112,21102,41213,11950,13279,25231,21315,21957,43269,10711,12357,23070,26599,28605,55203,588,571,1167,3943,3943,7886,2022,2214,4234,1822,1754,3581,1604,1856,3458,20600,22195,42797,2064,2117,4183,1764,1994,3759,923,1009,1934,738,1015,1755,217,279,495,31183,33106,64294,1773,2073,3846
SED21805,34514,36329,70841,2342,2289,4627,4376,4125,8502,1963,1754,3720,1844,1830,3667,4599,4940,9544,5079,5375,10452,4913,5120,10031,4252,4541,8795,3063,3582,6645,1601,1896,3498,478,881,1360,33512,35341,68849,1002,983,1989,397,402,797,25,21,46,8,4,11,426,425,854,25201,26014,51206,7846,8863,16712,28342,29472,57818,4658,5369,10024,30347,31830,62187,724,717,1440,4140,3897,8038,1522,1455,2976,599,703,1307,906,1574,2478,14107,17033,31135,4233,3745,7978,4914,4455,9367,1934,1717,3646,1033,1200,2235,139,181,314,32816,34489,67302,1341,1449,2791
SED21906,32795,34989,67787,1810,1809,3615,3745,3695,7439,1633,1697,3323,2221,2331,4551,6068,6250,12322,4892,5031,9926,3988,4308,8297,3303,3550,6851,3082,3416,6493,1448,1763,3213,613,1141,1750,31825,33859,65680,977,1127,2103,88,90,174,4,0,5,8,0,4,101,90,190,19816,20904,40720,11655,12701,24355,23044,24203,47252,8308,9287,17591,26727,28675,55407,645,648,1292,3559,3521,7079,1491,1522,3006,1263,1405,2668,1609,2056,3667,21188,23123,44316,1709,1863,3577,1536,1478,3015,737,674,1415,536,671,1203,122,158,273,30777,32628,63407,1653,1895,3551
SED22005,38329,37637,75965,2101,1959,4063,3904,3633,7537,1823,1726,3549,3359,2709,6074,7750,6368,14124,5418,5224,10642,4376,4545,8922,3737,4070,7805,2991,3529,6521,1958,2450,4410,905,1419,2321,37588,36896,74480,744,741,1483,99,90,194,12,5,16,3,0,10,114,98,207,16556,15697,32257,20201,20408,40611,15166,14336,29505,21373,21524,42901,27265,27469,54734,632,583,1214,3686,3430,7120,1582,1507,3087,1879,1543,3424,2152,2284,4434,21126,20547,41680,2381,2053,4440,2784,2488,5267,1290,1283,2569,1869,2547,4419,960,1235,2196,36360,35558,71921,2078,2241,4326
SED22105,63570,64320,127892,5928,5558,11490,10886,10193,21080,3802,3768,7571,4143,4025,8169,10004,11194,21200,11499,11224,22726,7308,7204,14512,5010,5070,10081,3068,3555,6619,1483,1774,3257,428,748,1176,62395,63266,125662,1183,1046,2229,494,457,958,13,11,25,13,7,21,522,481,1002,34286,34451,68739,26472,27126,53603,33461,33807,67267,26823,27160,53982,50563,50592,101156,1606,1454,3056,10112,9505,19620,2970,3116,6082,1481,1702,3183,2190,3520,5708,26461,29042,55503,5087,4747,9837,7051,6245,13305,2929,2653,5580,1826,2184,4008,917,1157,2076,60627,61445,122076,2569,2686,5256
SED22201,29615,32221,61836,1978,1818,3797,3819,3595,7414,1702,1573,3277,1769,1705,3473,4023,4400,8420,4272,4516,8789,3656,4106,7762,3405,3862,7265,2727,3403,6132,1681,2231,3914,578,1018,1585,28768,31278,60046,850,941,1790,197,190,389,17,6,21,4,3,7,221,203,426,21879,23438,45316,6876,7817,14689,23621,25454,49078,5061,5709,10770,26015,28191,54202,633,592,1223,3685,3448,7132,1386,1342,2731,711,710,1423,909,1441,2349,13313,15993,29306,3397,3405,6805,3627,3431,7058,1427,1445,2879,913,1160,2074,239,252,491,28269,30622,58885,1000,1162,2162
SED22305,39470,36861,76335,2618,2477,5089,4585,4351,8933,2088,1999,4094,2716,2446,5158,7528,6260,13787,6110,5259,11366,4599,3996,8594,3916,3938,7847,2997,3248,6252,1742,1953,3696,577,930,1513,38643,36088,74732,831,774,1601,207,227,436,14,9,20,3,4,10,228,242,471,14704,13977,28681,21802,20499,42301,12573,11802,24380,23565,22134,45695,26879,26503,53382,546,517,1061,4113,3947,8058,1619,1639,3252,1136,1188,2321,1730,2323,4054,17054,16552,33607,2684,2206,4885,3708,3095,6809,1639,1510,3147,2406,2608,5012,1844,1604,3440,36127,34194,70320,3624,2821,6450
SED22404,31220,31143,62365,1525,1408,2933,3795,3581,7373,1877,1698,3577,1508,1345,2853,3066,3116,6184,3314,3540,6857,4268,4349,8612,4879,5022,9900,4281,4279,8564,2160,2047,4203,551,761,1315,29674,29767,59441,1544,1377,2920,458,488,951,22,22,40,7,5,13,485,516,1005,25012,24784,49802,3702,4007,7708,27825,27811,55644,1101,1235,2341,27778,27782,55555,456,418,871,3470,3294,6766,1320,1291,2610,368,447,820,510,1156,1670,10115,13270,23388,4251,3905,8151,5574,4098,9671,2432,1660,4089,1188,1001,2192,85,72,157,27939,28100,56038,3553,3669,7222
SED22501,29110,30703,59815,1675,1583,3262,4090,3969,8061,1966,1797,3765,1590,1480,3073,2620,2726,5349,3784,4197,7976,4228,4568,8792,3862,4361,8222,3299,3652,6946,1590,1751,3341,406,632,1039,28239,29877,58115,875,827,1703,169,153,313,9,4,10,3,0,4,181,156,337,23157,24266,47415,5279,5732,11011,25103,26080,51184,3267,3872,7139,26932,28264,55202,625,585,1212,3976,3872,7841,1701,1604,3301,785,781,1569,720,1162,1888,14722,16777,31498,3117,3060,6174,2924,2551,5468,1159,1133,2292,631,771,1400,103,87,187,27970,29499,57474,741,872,1610
SED22607,34007,36000,70008,1732,1665,3401,3819,3547,7371,1844,1711,3554,2362,2529,4887,6017,6425,12442,5079,5393,10475,4642,4979,9619,3899,4195,8087,2809,3021,5834,1302,1600,2896,523,935,1454,32868,34838,67703,1144,1162,2302,155,165,321,10,4,19,3,10,14,175,174,352,23590,24477,48065,8992,10081,19070,24259,24984,49243,8271,9485,17757,28976,30557,59532,546,577,1125,3641,3389,7033,1619,1515,3138,1223,1306,2526,1578,2159,3737,20169,21993,42163,2587,2411,4996,2242,2161,4404,917,919,1836,917,1336,2250,230,476,705,31919,33822,65737,1725,1664,3398
SED22704,34375,34011,68383,1701,1607,3300,3861,3645,7509,1986,1665,3649,1813,1447,3265,3537,3485,7028,3431,3650,7076,4326,4550,8883,5220,5346,10570,5046,4766,9819,2684,2662,5343,763,1180,1940,32893,32775,65663,1487,1237,2723,677,684,1365,15,21,36,17,18,36,710,725,1438,27845,27506,55360,3397,3585,6983,29834,29720,59555,1536,1636,3173,30247,30134,60375,451,435,891,3451,3253,6706,1292,1219,2509,387,398,784,536,1170,1708,10088,12553,22642,4710,4470,9174,6304,5098,11399,2889,2244,5132,1849,1607,3451,126,93,225,30632,30863,61491,3710,2989,6699
SED22802,29955,30894,60851,1987,1917,3903,3926,3704,7636,1958,1844,3810,1892,1773,3664,4052,4085,8136,3981,4083,8064,3847,4204,8045,3568,3813,7379,2750,3157,5906,1609,1735,3341,386,573,964,28993,29996,58990,959,904,1863,313,272,584,20,11,30,9,8,18,346,291,636,23917,24526,48442,5104,5517,10624,26192,26995,53185,2834,3071,5904,27312,28100,55408,603,609,1213,3763,3561,7327,1575,1525,3102,636,707,1333,658,1261,1912,11398,14132,25534,4080,3795,7871,4567,3801,8371,1962,1569,3532,953,955,1911,182,152,327,28708,29674,58383,859,864,1721
SED22901,29232,30865,60096,1603,1578,3182,3696,3353,7048,1799,1647,3441,1781,1642,3420,3706,3678,7388,4155,4421,8577,3698,3929,7628,3461,4009,7470,3154,3575,6731,1599,2004,3606,579,1027,1608,28627,30214,58837,612,650,1260,171,177,346,6,3,10,7,6,14,181,186,369,18158,18413,36572,10243,11535,21777,19013,19552,38568,9316,10291,19613,24777,25796,50568,524,508,1024,3535,3218,6754,1529,1440,2961,805,819,1625,917,1349,2268,14587,16179,30762,2895,2907,5800,3265,3152,6417,1313,1321,2633,800,1032,1830,166,260,423,28089,29488,57574,1139,1340,2485
SED23007,42436,41349,83789,2360,2236,4600,4158,3660,7815,1800,1818,3624,3077,2893,5968,9904,9097,19000,7147,6712,13860,5018,5015,10025,4067,4087,8154,2825,3133,5960,1520,1796,3323,547,908,1455,41357,40314,81668,1083,1035,2119,265,262,523,7,10,18,13,7,16,284,280,560,21159,20200,41359,18702,18922,37621,19414,18222,37635,20272,20738,41006,31973,32094,64070,638,622,1261,3831,3390,7221,1470,1566,3031,1504,1466,2970,2732,3116,5846,23718,23237,46953,2529,2159,4681,2931,2681,5614,1263,1361,2623,1847,2407,4255,842,1127,1972,39390,38582,77976,2901,2543,5443
SED23101,29839,31570,61409,1459,1245,2707,3778,3592,7370,1925,1733,3657,2074,1750,3819,3349,3264,6610,3928,4225,8147,3986,4366,8352,3358,3680,7037,2877,3573,6446,2201,2790,4991,906,1355,2256,29231,30873,60100,610,697,1306,75,67,142,0,4,0,4,4,10,75,72,151,16062,16346,32414,12987,14417,27409,15707,16120,31821,13279,14471,27751,23707,24947,48654,556,488,1047,3654,3466,7119,1735,1617,3355,1171,1031,2195,1112,1454,2562,16919,17993,34911,2213,2305,4518,2235,2473,4706,1050,1158,2210,934,1316,2249,276,400,676,28671,30162,58829,1042,1265,2309
