SED_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SED10001,1104,259,2205,13501,18763,8806,6173,16916,5144,69309
SED10002,704,203,1282,14696,18312,7885,7387,39937,9480,97708
SED10003,1183,352,2422,13803,20285,9539,6071,13609,5752,69054
SED10004,487,174,1075,16099,24510,8741,4019,13432,4037,70834
SED10005,1014,376,1919,10513,12470,6221,6552,30848,7600,74197
SED10006,1020,397,2038,9560,13644,6526,5536,16383,8280,59934
SED10007,1061,161,1941,11906,17678,8537,6378,15634,5838,65979
SED10008,761,231,1554,14126,20145,10760,7439,16130,2252,70857
SED10009,1213,370,2582,11017,18496,10251,7141,13372,5210,65484
SED10010,826,141,1399,11733,15718,7697,6878,26815,5394,74230
SED10011,763,194,1644,11337,19481,10096,6666,9782,2344,59708
SED10012,903,440,1741,10255,11646,5782,5755,31348,5022,69815
SED10013,699,289,1443,19003,26568,12464,10191,25848,4518,98596
SED10014,463,172,962,11168,15463,7172,6579,20970,4806,66156
SED10015,1122,360,2355,13549,17610,8426,6547,27041,5893,79063
SED10016,630,157,1305,16873,23198,11435,8241,18729,2523,80997
SED10017,859,225,1561,12325,18385,8827,6870,18157,5192,69765
SED10018,1033,253,2215,12777,18534,8721,5301,13567,2619,61524
SED10019,1227,345,2524,10414,16222,8835,6939,15747,6559,64716
SED10020,1048,420,2320,12042,17941,8819,5769,15608,4618,64798
SED10021,661,607,1959,17270,22082,7835,3948,13990,4578,69698
SED10022,1222,248,2266,10166,14373,7538,6205,15276,5726,59293
SED10023,798,254,2102,14277,19573,9094,5749,13073,2505,64271
SED10024,1040,219,2489,13907,19679,10453,6393,12426,1794,64649
SED10025,964,365,2140,14365,20135,8696,5400,16837,3274,68709
SED10026,949,281,1842,11719,17004,7797,5952,15905,6874,65249
SED10027,922,511,2236,11800,15484,7771,6509,20877,4103,66547
SED10028,1213,537,2882,14238,20282,10807,6972,16788,2810,71896
SED10029,1007,475,1946,10103,11541,5504,5698,36240,6574,75660
SED10030,1219,323,2423,12397,18359,8640,6234,15904,4122,65657
SED10031,977,287,1996,12814,19127,9503,6757,13755,5239,67195
SED10032,790,127,1416,11587,15747,7628,7012,33019,7831,82817
SED10033,712,148,1388,11836,17478,9004,7509,14038,3186,63057
SED10034,687,487,1810,13001,19513,9392,6109,12162,2321,62505
SED10035,677,135,1358,22946,29758,8960,5037,30901,6481,104085
SED10036,768,420,1534,12144,15647,7793,6772,23435,4690,70485
SED10037,684,168,1550,13801,20843,10543,6630,13661,2049,67533
SED10038,1125,306,2319,13534,19634,9740,6453,14602,2980,66940
SED10039,963,396,2215,11822,18565,9417,6813,14046,4291,64951
SED10040,1253,451,2501,13384,17387,8544,6451,28905,4792,79463
SED10041,1551,367,3235,14499,20865,10937,6847,14722,2412,70283
SED10042,1291,348,2573,12205,18293,9292,6612,16234,3496,66127
SED10043,945,274,1786,10732,12919,6360,7119,31081,6826,75022
SED10044,813,674,2363,16035,22966,9838,5848,15102,3553,73341
SED10045,904,413,2052,11425,17865,8885,6524,13266,5977,63936
SED10046,612,105,1012,11433,13505,6188,6484,32609,6208,76428
SED10047,486,199,1060,14453,20719,9711,9063,28902,8202,91048
SED10048,484,296,1104,14184,19985,9654,8900,28302,5488,86510
SED10049,688,204,1494,13831,20257,9416,6755,17442,3261,70959
SED10050,695,118,1558,16529,22417,8787,4971,12418,2627,67759
SED10051,887,441,2118,15202,19717,8183,5076,18988,5590,72752
SED10052,1232,412,2612,13445,18832,8970,5884,15379,2947,65469
SED10053,600,139,1253,14971,21609,8836,5550,13552,4548,69060
SED10054,703,233,1162,11068,14422,6789,6763,28123,5679,72849
SED10055,406,47,711,13091,17279,8265,6984,19895,3005,68518
SED10056,1148,437,2392,12504,16864,8066,6367,18966,7272,70033
SED10057,1478,527,3075,10076,16300,9105,7073,16315,5189,64054
SED10058,913,335,1877,15555,21208,8143,4424,14762,3968,68054
SED10059,401,209,954,18456,23915,6680,2900,15742,5283,72986
SED10060,740,216,1805,16771,23550,8238,4259,12523,3270,68609
SED10061,861,359,1980,11105,16476,7989,6070,15357,7974,64966
SED10062,1047,452,2377,12665,17161,8558,6133,17748,3350,65612
SED10063,1051,281,2104,12184,17275,8202,5856,15743,4731,63999
SED10064,1189,289,2346,10335,16541,9139,7330,15116,6080,64553
SED10065,865,143,1622,15444,21748,10097,7776,30654,5929,91643
SED10066,727,359,1577,13057,18479,8258,6242,17549,4732,68318
SED10067,1261,503,2778,13427,19485,9277,5534,11409,3070,62205
SED10068,1522,511,3233,12692,19503,9702,6588,16112,3974,68567
SED10069,937,352,2101,11194,17564,8901,6710,15586,3970,63917
SED10070,937,310,1766,11076,14661,7633,7069,25973,4440,70856
SED10071,407,49,683,16690,24624,12218,9167,24402,5216,92315
SED10072,1000,461,2277,14231,19076,8082,5841,27051,5861,80140
SED10073,1138,197,2301,15992,22551,10220,6898,24428,4128,84212
SED10074,851,216,1726,12197,18199,9054,6739,19566,3783,69539
SED10075,949,324,1997,13180,18928,9464,7309,19189,3697,71773
SED10076,1298,298,2556,10907,17440,9074,6737,15722,4557,64436
SED10077,1127,320,2294,15683,20160,8870,6524,31387,5662,88279
SED10078,1250,208,2108,15089,22099,8162,4355,16777,3685,70158
SED10079,1010,296,2152,11174,16684,8559,6052,15860,3293,61614
SED10080,542,277,1280,19969,24284,6687,3201,25518,7291,86954
SED10081,1001,311,2042,11581,16722,8163,6048,16527,5396,64434
SED10082,915,672,2615,12320,18810,9733,6609,12681,3492,63648
SED10083,1150,488,2415,11725,16844,8297,6086,15306,3716,61968
SED10084,1737,473,3311,12674,18516,9090,5836,16920,4814,67851
SED10085,825,205,1626,11027,16770,8505,6996,14979,5281,63562
SED10086,745,423,1988,17332,20517,7063,4168,14323,4272,67672
SED10087,993,272,1993,13138,18127,7967,5517,16453,4547,65748
SED10088,932,307,2209,15089,20315,9026,5371,15066,2755,67618
SED10089,1235,502,2487,14877,19991,8510,5505,18743,4253,71885
SED10090,1033,202,2152,15499,22183,9531,5696,15263,2727,70906
SED10091,787,384,2002,12685,18772,9790,7722,14093,3581,66649
SED10092,1120,446,2497,14315,19202,8285,6102,19958,4596,72457
SED10093,1056,561,2249,11911,16748,8142,6815,18118,4690,66428
SED19494,23,19,49,1561,1512,614,402,2643,3376,10112
SED19797,0,0,0,0,0,0,0,0,0,0
SED20106,413,136,977,17566,22817,6626,3370,17398,4937,72719
SED20207,632,77,1101,15371,21852,9856,7395,24013,4541,83020
SED20302,957,354,1961,16278,23958,11376,8819,24222,5808,90453
SED20401,793,351,1681,11207,15296,6612,4360,13101,2709,53290
SED20508,899,418,2100,11312,17843,9158,5923,11706,3418,59362
SED20604,785,182,1548,10858,16381,7843,5394,12933,3789,57194
SED20704,810,220,1692,11809,16591,7915,5583,12588,3425,57912
SED20804,785,445,1885,9696,14932,7092,5171,11808,4355,53061
SED20906,887,135,1821,12106,16211,6793,4052,12622,2117,53903
SED21001,1198,345,2597,13148,17707,7868,4472,16130,3012,62349
SED21106,912,251,1930,12601,16569,6758,3631,10065,2521,52137
SED21203,883,131,1506,8537,9954,4332,4581,26100,5382,58886
SED21303,761,112,1476,16733,22852,7040,3462,12581,2673,65349
SED21401,1365,238,2811,11453,14725,7076,5120,16421,2244,57040
SED21503,763,117,1477,10431,13640,5813,4147,14801,2358,51188
SED21608,582,216,1266,10581,15390,7387,5340,12243,3512,54457
SED21706,1099,215,2091,12674,16932,7278,4127,13906,2573,57485
SED21805,741,182,1360,12184,16463,6526,4346,15210,2985,57707
SED21906,931,180,1750,13866,17824,6090,3277,12702,2962,56728
SED22005,1305,274,2321,11844,14797,6406,4413,23115,3785,64367
SED22105,698,126,1176,17307,22374,9698,8001,32685,5247,95316
SED22201,706,229,1585,10911,15186,6556,4103,11815,2055,50618
SED22305,831,142,1513,9995,11609,5056,4542,25702,5412,62313
SED22404,694,120,1315,9504,14875,7574,5641,10279,4181,52053
SED22501,475,130,1039,10543,15660,7514,4458,8851,1468,48500
SED22607,798,119,1454,13494,18331,6921,3934,13657,2902,59245
SED22704,1002,276,1940,9926,15072,7638,6116,13449,5374,57571
SED22802,419,72,964,10683,14680,6521,4684,10964,1777,49311
SED22901,817,232,1608,10550,13881,6161,4295,13046,1945,49873
SED23007,727,235,1455,13564,18077,6649,4549,23309,5229,71367
SED23101,1056,302,2256,10461,13777,6808,4417,13762,2095,51325
SED23205,809,365,1776,10195,14527,6213,4188,12955,3983,52067
SED23308,729,244,1688,11507,16721,7108,4522,13083,3121,56060
SED23402,666,151,1303,13819,18806,8327,6099,15792,3492,66337
SED23502,815,309,1826,8903,14093,7891,6363,11872,4688,53811
SED23602,775,228,1574,8799,13275,7284,5792,10526,4595,50279
SED23702,649,164,1298,12018,16304,7488,5333,14495,3130,58759
SED23806,740,97,1543,13739,18101,6976,3741,10289,2077,54928
SED23901,1064,144,2023,12144,17318,7374,4327,12466,2371,56001
SED24006,929,183,2027,12533,15595,7240,4439,11785,1925,53517
SED24105,884,119,1479,11237,12896,5807,4258,25149,3057,62404
SED24207,417,98,735,13090,15860,7100,6360,29467,7140,79009
SED24308,910,171,1635,10669,14195,6290,4992,17037,4925,58107
SED24408,999,276,2075,8925,12815,6515,5431,11351,3543,48584
SED24504,556,194,1202,10181,16006,8533,5968,8940,3356,52988
SED24606,875,229,1891,12683,15958,6111,3500,10937,2314,51505
SED24703,473,76,890,26326,31451,8135,3998,36024,9569,115506
SED24808,633,86,1020,12902,17360,7880,7046,23600,5191,73975
SED24904,961,265,1833,9494,12950,6361,5114,15522,5164,54597
SED25003,611,343,1128,10786,13415,5833,4914,19560,3225,57732
SED25102,501,61,900,9918,15258,7390,4616,8489,1715,47384
SED25205,866,133,1736,12095,16711,7008,4001,11711,2032,53566
SED25302,1071,418,2509,10972,15922,8092,5002,11000,2613,53599
SED25402,870,270,1690,9629,14454,7083,5811,14475,4507,55962
SED25501,1018,210,2230,10963,13991,7249,4699,15326,2366,54589
SED25605,1203,327,2241,9799,12361,5946,4417,17837,3111,53464
SED25704,1059,379,2206,9470,13652,6761,5436,13600,4513,53432
SED25802,904,235,1795,11971,17152,8430,6714,14132,4347,62742
SED25905,769,168,1273,10530,13012,5743,4668,17930,3377,55261
SED26005,372,36,596,12994,15753,6807,5614,22498,3339,67011
SED26102,1278,441,2714,10494,16148,8337,5665,12142,4824,57610
SED26207,1145,144,2133,10524,13636,6250,4566,14230,2126,51337
SED26303,698,179,1441,13804,20235,7061,3468,10155,2441,57167
SED26406,942,181,1820,13707,17996,6694,3898,17294,3179,62761
SED26504,975,287,1980,9021,13551,6756,4907,11888,3609,49730
SED26603,1355,315,2584,13135,18504,7203,4975,18453,3714,65988
SED26708,849,259,1709,10164,14499,7633,6031,11417,3948,53692
SED26806,560,370,1452,18134,21680,5482,2739,14646,5055,67737
SED26903,942,371,2099,11623,16343,6058,4232,16652,3739,58653
SED27003,533,90,1005,18554,23816,6168,2723,12675,3969,67900
SED27101,687,128,1496,11612,16342,6819,4152,12670,2075,53672
SED27208,972,369,2034,9561,14267,7382,6271,13658,5751,56887
SED27305,401,63,786,10190,12842,5702,3836,11981,1471,46026
SED27406,921,177,1942,12496,17106,7391,3844,10368,1993,53203
SED27504,1001,238,1928,10790,14791,6852,5523,17181,5133,60270
SED27608,1117,189,2053,15881,22565,10134,6556,15420,3297,73858
SED27708,856,276,1819,10378,15038,7524,5304,12414,3745,54400
SED27807,941,311,1791,9939,11736,5140,4497,25955,5902,63178
SED27907,568,110,1114,10949,14754,6478,4939,14334,2713,54173
SED28007,544,41,806,12411,14718,6548,5650,21905,2828,64065
SED28107,281,52,521,15548,21419,10159,9072,34766,8046,99011
SED28203,862,107,1573,10397,13081,6032,5541,26284,3992,65317
SED28301,976,122,1769,10946,14267,7466,4919,12763,1726,52085
SED28408,889,278,1815,10354,14706,6506,4529,12475,2998,51564
SED28507,643,186,1111,12546,16867,7499,6230,22411,4820,70371
SED28607,888,140,1663,13001,19576,7558,4397,12583,2731,59851
SED28704,501,68,834,15689,21434,9747,7557,19902,3390,77724
SED28803,406,93,674,15605,19901,8814,8728,39752,5713,98518
SED29494,12,17,29,1148,1118,391,326,1694,3270,7946
SED29797,0,0,0,0,3,0,0,8,27,38
SED30001,387,97,679,9314,12570,5529,4101,14576,2643,48730
SED30002,878,214,1778,9505,13572,6067,3939,9669,1738,44488
SED30003,616,163,1086,9433,12664,5571,4057,12249,2512,46488
SED30004,319,138,704,9468,13866,5895,3709,9548,3398,45892
SED30005,837,178,1386,9763,12535,4860,3237,14632,3732,48761
SED30006,789,208,1538,8223,11529,5551,3597,11041,2856,42798
SED30007,749,252,1643,9680,13367,6133,3916,9694,2495,45284
SED30008,499,80,908,11595,15915,5661,3098,8674,2082,47013
SED30009,979,222,1820,7134,10152,4906,3938,12434,3095,41667
SED30010,291,56,556,9563,13253,5407,4485,16056,4097,52862
SED30011,449,125,887,7468,10586,4739,3957,11025,7616,45392
SED30012,605,170,1214,9307,11905,4873,2939,9977,2831,41837
SED30013,445,81,878,7080,10978,6001,4968,10034,3428,42490
SED30014,642,140,1175,9492,12258,4554,3081,13654,6283,49322
SED30015,436,178,960,6939,9726,4821,4661,9456,5159,40757
SED30016,700,159,1435,9222,13443,6386,4264,10580,2536,46438
SED30017,397,297,974,8904,12521,5471,3615,9254,1998,41758
SED30018,335,66,810,9611,13134,5854,3476,7925,1343,41334
SED30019,510,93,980,12642,15539,5348,3030,10558,2665,49788
SED30020,428,150,891,8556,12140,5728,4683,9343,3139,43587
SED30021,294,85,630,8222,9742,4285,3787,9922,5418,41370
SED30022,240,31,397,13271,17932,7599,5755,15194,4203,63957
SED30023,316,34,654,10766,14822,5988,3085,6745,1350,42759
SED30024,519,344,1359,8163,11459,5167,3306,8992,2779,39860
SED30025,316,55,733,9919,14403,5911,3335,7828,1207,42607
SED30026,559,82,1036,9294,13856,5832,3412,7700,1504,41604
SED30027,470,116,922,8408,11279,4935,3327,10440,2247,40641
SED30028,275,98,576,7491,10934,4701,3800,9474,3025,39425
SED30029,406,68,863,7187,11514,6303,4805,7542,4124,41484
SED30030,522,134,1029,10946,14895,5390,2813,8618,1946,44612
SED30031,190,90,419,5982,7794,3094,2837,6977,4044,30713
SED30032,627,129,1196,7901,11453,6376,5502,10537,3637,45408
SED30033,995,337,1988,7783,11843,6040,4735,12686,3435,46522
SED30034,689,251,1439,7708,11571,5909,5188,10568,6427,47366
SED30035,407,98,760,7307,11129,5080,4216,9338,3112,40193
SED30036,516,102,942,8896,11367,4604,3641,17023,6584,52124
SED30037,459,244,1081,7730,11159,4813,3476,10311,2669,40148
SED30038,346,101,745,7965,11733,5322,3994,10117,3597,42728
SED30039,122,24,240,10679,15173,6480,4592,11991,2424,51343
SED30040,861,290,1793,8961,12267,5750,3674,10054,2642,43343
SED30041,483,129,981,7974,11789,5639,4049,10062,3650,43163
SED30042,379,30,594,9638,13158,5709,4185,9926,2112,44732
SED30043,357,142,779,7554,10676,5561,4698,10566,3414,42465
SED30044,410,68,695,9299,13168,6036,4889,13787,3529,50704
SED30045,593,220,1312,9511,13760,5759,3575,9370,2053,44032
SED30046,523,75,884,9099,12651,5466,4055,13047,3549,47858
SED30047,708,211,1358,8739,11787,4809,3605,11944,4580,45455
SED30048,324,100,833,14143,16556,6025,3363,11057,2172,53310
SED30049,572,116,1136,10066,13184,5678,3718,11636,1974,46254
SED30050,740,256,1454,9312,12674,5222,3025,10451,3454,44138
SED30051,644,133,1203,7285,11083,6089,5256,11215,3747,44675
SED30052,379,103,700,16532,18636,4481,2303,16419,5032,63401
SED30053,503,239,1147,10463,12515,4964,3040,11457,2818,45249
SED30054,462,97,964,10065,14004,5559,2948,7075,1555,41192
SED30055,257,80,559,6893,10002,4897,4465,8587,5444,40290
SED30056,571,135,1182,8639,13269,6552,4029,6540,1097,40135
SED30057,669,185,1174,8740,11515,5342,4292,13483,3463,46832
SED30058,642,75,1103,9129,13478,5906,3479,8476,1351,41828
SED30059,491,310,1140,9798,13639,6093,4117,10534,2897,47069
SED30060,259,134,593,9064,11200,4888,3612,10539,4000,43296
SED30061,491,184,973,8486,11015,4407,2978,10541,5161,42586
SED30062,492,254,1094,10995,15121,6224,4573,13088,2917,52918
SED30063,567,156,1151,7094,10411,5603,5354,10843,4291,43592
SED30064,597,200,1281,7567,11760,5881,4421,8620,2621,40865
SED30065,565,124,1085,8590,13730,6806,4578,9220,2320,45233
SED30066,613,212,1386,7775,12326,6377,4145,8493,2737,41863
SED30067,514,121,1070,10471,14454,5459,3201,10612,2312,46512
SED30068,522,368,1413,8038,11254,5305,3133,8061,1912,37698
SED30069,291,43,566,9364,13436,6355,4368,8687,1855,44065
SED30070,646,203,1472,7450,11838,6424,4894,11225,2710,44538
SED30071,847,184,1628,8900,12790,5643,3733,11408,2873,45343
SED30072,713,129,1361,8984,12754,6325,4223,10207,2168,44664
SED30073,664,255,1389,8044,10962,4624,3562,11875,3760,42831
SED30074,627,186,1281,9076,13322,5786,3508,10488,1873,44055
SED30075,473,178,1069,8003,11911,6380,5152,9491,3618,44556
SED30076,374,103,737,14844,17826,4906,2621,14191,4445,58839
SED30077,656,149,1323,7263,10397,5446,4496,9571,3741,40912
SED30078,819,409,1729,10024,11804,4860,3423,14577,4093,48772
SED30079,361,50,638,9166,13016,5828,3818,8715,1581,42122
SED30080,605,284,1392,10725,15163,5774,3132,9710,2517,47017
SED30081,607,49,906,9329,11295,5386,4194,15154,2332,47694
SED30082,588,157,1268,10139,12169,4959,2928,14184,5642,50025
SED30083,314,162,707,9822,13205,5686,3981,11055,2448,46192
SED30084,365,64,698,7832,10987,4689,3381,11019,3110,41015
SED30085,586,70,1084,9680,12294,5286,3581,14712,2596,48148
SED30086,650,175,1338,8780,12405,5395,3872,11215,2680,44357
SED30087,1095,200,2024,9312,12855,5538,3959,12363,2493,46522
SED30088,353,80,729,8826,11938,4381,2745,10469,3671,42034
SED30089,239,81,466,6261,7926,3211,2700,8986,4689,33780
SED30090,380,139,802,6375,8330,3743,3261,8699,3625,34030
SED30091,617,207,1103,8602,11273,4742,3909,14915,4294,47732
SED30092,206,89,474,8459,11655,4965,3865,9705,4983,43638
SED30093,299,133,568,9097,10968,4807,4265,18833,5296,53265
SED39494,24,11,44,2216,2411,933,689,3525,3463,13234
SED39797,0,0,0,6,6,3,0,34,135,183
SED40001,535,119,1032,9140,11347,4025,2018,10775,2745,40043
SED40002,740,95,1350,7584,10181,3987,2407,9162,1304,34622
SED40003,335,35,641,6441,9555,4240,2522,5657,833,29248
SED40004,596,75,1336,7133,9860,4732,2669,6167,780,31337
SED40005,587,128,1136,5476,8068,4202,3029,7518,2590,30885
SED40006,575,66,979,6765,9022,3594,2282,9674,1497,32840
SED40007,636,87,1335,6970,9350,4292,2581,7034,1097,31328
SED40008,673,65,1026,7167,9205,3440,2298,11907,2080,36099
SED40009,436,47,757,6790,9640,4326,2548,6058,940,30305
SED40010,548,60,1144,7751,10319,4276,2220,7074,1252,32900
SED40011,607,93,1224,7174,9987,4332,2504,7413,1235,32640
SED40012,453,136,827,5794,7541,3277,2823,9821,2179,31441
SED40013,527,71,938,7206,9609,3955,2643,10227,2268,35908
SED40014,778,155,1597,5152,8482,4901,3397,6355,1524,29807
SED40015,470,118,932,5249,7961,4066,3036,6214,2570,29095
SED40016,351,137,742,6244,8304,3450,2609,9589,1541,31740
SED40017,451,82,840,6051,8648,4377,3510,6536,1997,31121
SED40018,953,111,1739,7219,9930,4088,2368,7839,1302,32741
SED40019,322,89,635,4981,7620,3460,2629,7972,2863,29522
SED40020,517,93,1001,5646,8080,4289,3142,7200,2447,30807
SED40021,953,208,1823,6825,9309,4149,2630,9240,1395,33550
SED40022,307,46,670,6116,9697,5031,2993,3777,1332,28946
SED40023,456,83,864,6054,8452,3729,2567,6821,1282,28898
SED40024,447,149,927,6703,9563,4142,2806,7552,1653,32413
SED40025,369,51,724,6712,9997,4397,2996,5254,1397,30754
SED40026,297,95,671,6625,8949,3878,2449,7028,1014,29946
SED40027,792,83,1371,5768,7992,3617,2325,7745,1221,28672
SED40028,414,127,898,5824,8318,3707,2600,7306,1358,29113
SED40029,523,111,1017,5997,8739,4468,3331,7003,2697,32230
SED40030,374,134,851,5839,9316,4757,3202,5701,1929,30745
SED40031,406,46,850,6637,9283,4280,2763,6960,877,30799
SED40032,813,91,1418,6738,8990,3704,2066,7523,1114,30134
SED40033,417,168,936,5596,8023,3785,2667,6500,2589,29160
SED40034,535,163,1099,4552,7036,4034,3377,6588,2254,27840
SED40035,849,70,1438,6040,8989,4009,2677,7627,1098,30445
SED40036,254,47,433,6261,7568,3320,2608,11343,1486,32580
SED40037,487,56,852,6386,9136,3656,2312,7872,1402,30769
SED40038,507,116,899,6016,7543,3369,2861,12133,2138,34059
SED40039,402,75,810,6101,8289,3566,2625,7439,1549,29562
SED40040,414,100,850,6380,9619,4803,3408,5179,1589,30972
SED40041,472,94,926,4596,7084,3588,2977,7810,2933,28992
SED40042,305,98,574,6101,7738,3276,2782,9719,2369,31972
SED40043,493,59,952,6939,9667,4195,2907,9898,1525,35125
SED40044,1036,115,1705,7324,10242,4529,2311,6605,922,31941
SED40045,394,60,949,6921,10570,5052,2547,4516,748,30356
SED40046,535,58,1048,6920,9285,3580,2301,8219,1199,31509
SED40047,221,37,556,6344,8733,3983,2568,6904,947,29486
SED49494,4,0,11,491,536,178,137,868,763,2975
SED49797,0,0,0,0,0,0,0,4,5,12
SED50106,512,123,1164,6167,9131,4289,3292,6779,2303,31970
SED50202,352,120,736,7468,9702,4000,3638,11853,3098,39756
SED50304,573,90,1145,8336,10462,3771,2725,10797,2274,38364
SED50405,145,53,328,8532,11381,4635,3911,11461,2627,42541
SED50502,384,79,748,7072,9287,3797,2849,10037,2071,35119
SED50605,521,58,1166,8553,10712,4894,3388,7798,1257,36602
SED50702,465,143,961,8489,10424,3696,2830,12037,3158,40633
SED50805,691,136,1385,7652,10091,4072,2644,6266,1531,32259
SED50906,478,171,1024,7007,9719,4336,3281,8823,2917,36082
SED51004,232,60,447,8326,10300,4109,2922,9132,1812,36600
SED51104,407,88,769,8676,11260,4568,3862,11929,2750,43040
SED51205,365,114,791,8086,10205,4147,3428,14415,2921,43207
SED51304,418,55,853,7708,10700,5160,3182,6074,1135,33955
SED51401,423,159,929,5390,7360,3736,3524,7015,4024,31051
SED51504,644,101,1345,8713,10797,4651,2913,7337,1286,35703
SED51605,201,60,447,8531,10620,4182,3231,9708,1804,38083
SED51706,302,177,823,6511,9744,4823,4284,7836,2531,35729
SED51804,614,210,1506,9225,11044,4816,3046,6802,1953,36885
SED51902,229,53,464,7460,10374,4613,4088,8160,2236,36933
SED52006,546,130,1125,6355,9456,4618,4035,9281,2055,35800
SED52102,352,72,667,6793,8918,3761,3067,9213,2043,33786
SED52205,534,207,1186,8378,11184,4140,2731,8291,2764,37487
SED52301,365,151,832,5596,8259,3644,2998,7382,3320,31196
SED52404,250,49,564,7586,10271,4643,3069,6995,1261,33828
SED52505,155,32,354,9146,12118,5288,3975,10751,2646,43929
SED52604,335,92,666,7928,9846,4183,2673,7966,1657,34252
