SA1_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
10102100911,75,52,109,58,58,55,21,20,6,455
10102100912,48,28,55,40,32,35,38,16,11,293
10102100913,101,76,88,78,89,103,61,38,18,648
10102100914,73,45,64,60,58,60,33,22,19,432
10102100915,105,85,165,143,99,92,57,32,10,781
10102100916,96,49,90,73,63,49,41,19,9,482
10102100917,24,13,40,31,38,49,32,11,5,240
10102100918,72,32,51,52,63,67,55,91,88,568
10102100919,82,58,95,76,61,68,48,20,4,524
10102100920,55,18,84,62,32,34,29,30,35,377
10102100921,50,42,122,51,63,41,26,13,0,410
10102100923,97,45,59,68,68,49,34,29,13,465
10102100924,3,5,4,8,0,7,0,0,0,18
10102100925,66,52,152,96,38,42,18,8,5,480
10102100926,40,20,82,50,25,28,10,3,0,259
10102100927,86,32,46,67,50,19,17,6,7,339
10102100928,48,46,85,43,53,43,36,17,7,384
10102100929,57,46,117,65,56,55,46,43,53,542
10102101001,36,8,34,30,29,22,10,7,8,183
10102101002,57,36,34,36,57,68,52,20,0,356
10102101003,28,49,30,15,47,71,52,19,3,316
10102101004,52,27,42,43,70,23,15,11,0,292
10102101006,69,52,129,89,58,52,27,10,7,497
10102101007,30,24,55,35,33,33,21,4,3,246
10102101008,81,56,130,84,57,59,45,15,4,527
10102101009,55,38,60,62,48,60,27,23,7,373
10102101010,69,41,109,66,47,46,23,9,3,405
10102101011,5,0,5,0,3,9,6,0,0,27
10102101012,21,7,22,18,10,7,0,0,0,94
10102101013,3,0,0,0,0,0,0,0,0,7
10102101014,13,11,18,21,27,26,18,24,0,162
10102101015,88,70,222,105,56,53,40,14,3,641
10102101016,105,42,42,80,79,40,22,24,3,433
10102101017,75,57,154,79,49,49,28,11,4,508
10102101201,45,18,27,37,33,29,9,5,0,205
10102101202,63,28,31,33,51,47,10,3,0,276
10102101203,160,84,53,93,113,63,25,9,0,607
10102101204,115,50,27,71,65,44,17,0,0,382
10102101205,63,62,31,41,69,48,7,3,0,320
10102101206,81,59,26,47,84,68,25,4,0,393
10102101207,35,26,37,18,40,43,20,5,0,214
10102101208,56,51,59,58,54,67,47,15,4,418
10102101209,172,123,70,105,154,104,35,16,3,784
10102101210,83,50,58,64,72,57,32,17,0,427
10102101211,155,106,47,93,122,69,19,8,3,638
10102101212,77,60,39,47,75,28,12,7,3,350
10102101213,98,69,40,75,100,77,39,16,4,520
10102101214,111,78,45,59,89,90,40,17,0,531
10102101215,119,45,54,100,67,38,34,24,6,488
10102101216,72,31,32,42,51,44,29,9,9,308
10102101217,0,3,4,0,14,9,12,0,0,51
10102101218,94,68,83,79,64,49,45,15,3,497
10102101219,103,58,141,107,73,78,39,23,5,634
10102101220,103,47,81,60,52,69,32,18,7,460
10102101221,88,43,59,53,52,20,4,0,0,317
10102101222,104,65,52,87,89,61,38,14,4,507
10102101223,143,56,85,95,76,69,54,23,10,613
10102101224,84,86,34,54,109,91,48,17,0,528
10102101225,0,0,0,0,0,0,0,0,0,0
10102101226,0,0,0,0,0,0,0,0,0,0
10102101227,84,77,32,46,104,73,9,4,0,437
10102101228,74,45,67,43,60,70,26,13,7,396
10102101229,110,58,69,58,68,49,23,4,0,446
10102101230,55,25,29,31,17,32,22,0,0,208
10102101231,63,41,27,35,64,38,32,22,9,326
10102101232,96,72,32,75,88,66,30,9,3,470
10102161001,106,23,114,92,47,25,8,7,0,425
10102161002,94,14,82,72,27,22,15,3,0,324
10102161003,202,60,157,136,48,27,16,5,0,646
10102161004,88,17,66,62,23,11,8,3,0,273
10102161005,143,43,72,90,65,25,11,0,0,451
10102161006,155,27,83,92,46,17,11,9,6,445
10102161007,93,30,135,83,32,17,14,4,0,409
10102161008,88,28,43,62,32,18,21,3,0,289
10102161009,68,36,25,38,57,18,12,4,0,260
10102161010,136,29,89,81,51,18,10,7,0,411
10102161011,119,37,55,97,67,17,4,0,0,409
10102161012,124,25,58,103,33,15,10,6,0,379
10102161013,167,38,111,115,62,19,16,0,0,526
10102161014,131,40,119,104,61,19,12,5,0,485
10102161015,157,38,86,113,62,24,10,5,0,491
10102161101,47,26,14,36,53,52,39,9,0,278
10102161102,41,25,22,23,44,40,23,9,3,226
10102161103,45,22,19,26,37,42,16,4,0,220
10102161104,76,34,61,28,62,48,36,22,3,379
10102161105,62,29,34,42,43,60,35,14,4,335
10102161106,94,58,45,61,73,70,30,6,8,460
10102161107,94,46,49,59,62,70,56,28,0,463
10102161108,81,51,41,56,84,76,66,19,0,472
10102161109,152,31,90,121,59,38,23,11,3,528
10102161110,66,32,24,37,74,49,48,15,4,351
10102161111,52,64,59,54,58,79,86,25,4,489
10102161112,78,50,19,42,56,35,12,8,0,303
10102161113,73,33,42,47,62,76,36,9,0,389
10102161114,33,14,23,22,21,27,16,3,0,156
10102161115,48,35,22,41,34,50,40,30,0,312
10102161116,52,52,25,32,56,57,37,3,0,323
10102161117,33,38,25,28,46,38,26,7,6,250
10102161118,74,59,29,51,86,101,66,27,0,494
10102161119,119,55,56,85,66,45,22,9,0,456
10102161120,41,28,20,38,68,44,41,21,7,300
10102161121,20,8,16,12,19,28,16,10,0,129
10102161122,52,32,30,35,55,58,72,27,4,367
10102161123,40,26,21,20,17,15,12,4,0,152
10102161124,145,63,94,96,90,88,47,9,4,642
10102161125,41,14,29,31,38,42,28,14,0,244
10102161126,148,37,77,88,68,78,58,49,4,610
10102161127,102,25,21,62,62,15,17,3,0,315
10102161128,9,6,8,9,26,29,15,7,0,110
10102161129,54,38,30,42,34,55,35,7,0,293
10102161130,107,41,74,63,55,71,47,7,7,473
10102161131,108,34,50,89,56,88,36,17,4,489
10102161132,51,63,41,21,60,63,32,16,4,352
10102161133,90,64,43,37,71,67,32,13,3,416
10102161134,27,16,20,22,32,25,25,15,0,185
10102161135,56,39,31,27,60,61,32,18,0,322
10102161136,60,45,29,44,77,54,43,18,0,377
10102161137,53,29,28,32,50,40,29,20,0,287
10102161138,136,70,38,91,128,116,74,24,3,661
10102161139,41,36,26,26,52,74,59,9,0,319
10102161140,109,49,19,59,81,59,46,16,0,450
10102161141,76,80,23,47,83,48,28,5,0,388
10102161142,26,24,14,9,23,33,21,3,0,141
10102161143,36,32,19,13,50,40,20,5,0,227
10102161144,97,50,42,62,83,61,56,23,11,480
10102161145,110,74,59,64,106,83,68,30,3,601
10102161146,51,45,31,29,65,60,36,18,3,334
10103101301,29,15,16,17,18,44,33,17,14,201
10103101302,80,25,45,56,54,70,69,33,34,470
10103101303,41,31,19,26,43,29,42,21,3,257
10103101304,75,48,52,37,40,56,56,46,6,406
10103101305,47,26,29,24,45,60,70,27,9,350
10103101306,35,11,24,13,11,28,36,13,0,181
10103101307,53,38,18,35,48,63,38,21,4,321
10103101308,46,24,26,30,29,49,43,21,0,268
10103101401,54,29,41,28,11,15,24,21,32,250
10103101402,76,38,45,58,48,42,31,21,4,372
10103101403,54,36,50,40,47,65,52,37,14,395
10103101404,65,50,80,57,53,69,46,33,11,463
10103101405,89,48,47,53,61,54,57,34,14,451
10103101406,74,58,66,35,71,79,56,38,27,498
10103101407,50,35,39,35,46,69,54,41,9,386
10103101408,37,18,17,26,32,31,17,15,4,200
10103101409,75,18,41,39,40,49,40,60,54,416
10103101410,60,42,60,44,44,57,46,31,20,399
10103101411,51,40,117,109,81,69,48,24,10,553
10103101412,121,62,70,90,72,75,51,34,12,589
10103101414,31,19,15,14,20,28,25,14,3,181
10103101415,89,47,62,43,44,51,53,22,3,421
10103101417,0,3,0,0,3,5,5,0,0,13
10103101419,79,41,60,46,50,72,60,54,12,482
10103101420,38,39,12,29,52,71,52,19,6,309
10103101421,66,36,39,52,51,51,43,35,7,390
10103101501,0,0,0,0,0,0,0,0,0,0
10103101502,0,0,0,0,0,3,0,0,0,6
10103101503,41,31,30,16,25,39,46,17,4,250
10103101505,7,3,4,6,7,15,16,11,0,74
10103101511,31,16,26,31,32,48,38,30,7,257
10103101512,18,8,12,6,18,30,34,18,11,140
10103101514,22,23,21,9,33,28,13,17,5,166
10103101515,33,31,3,27,47,38,39,22,4,254
10103101516,8,12,14,22,14,29,13,8,4,119
10103101517,37,16,18,15,28,28,20,15,3,179
10103101518,46,35,28,29,61,55,40,25,9,322
10103101519,61,38,22,32,46,72,46,21,10,339
10103101520,20,12,9,12,30,23,27,11,0,141
10103101521,77,30,33,42,64,76,49,27,4,404
10103101523,39,16,15,23,34,36,27,18,3,210
10103101524,17,16,6,11,33,44,41,32,6,199
10103101525,27,16,15,19,30,24,12,0,0,137
10103101526,52,29,35,19,49,47,11,15,4,253
10103101601,10,8,35,14,20,10,3,0,0,99
10103101602,66,53,54,51,61,65,63,24,14,450
10103101603,70,32,36,40,39,53,57,24,6,367
10103101604,58,27,51,46,40,19,31,23,0,294
10103101605,25,30,63,17,36,45,25,4,3,250
10103101606,139,68,39,79,108,104,72,11,9,628
10103101607,44,13,33,25,37,57,33,10,4,252
10103101608,45,39,11,25,45,72,43,18,3,307
10103101611,38,54,96,52,75,56,23,6,5,400
10103101612,11,15,21,3,5,11,0,0,0,75
10103101614,47,118,143,34,36,46,25,8,0,451
10103101615,62,71,65,50,49,50,43,13,0,402
10103101616,56,90,145,76,44,54,29,18,9,512
10103101617,51,76,124,44,62,39,27,12,0,439
10103101619,97,63,55,65,84,94,59,36,13,575
10103101620,42,40,52,18,29,32,9,7,0,218
10103101621,8,7,11,14,16,20,9,0,0,87
10103101622,55,9,42,46,20,19,9,4,0,201
10103101623,126,82,97,76,102,60,49,10,8,613
10103101624,0,0,0,0,0,0,0,0,0,0
10103101625,70,47,36,49,86,62,59,17,4,427
10103101626,39,53,43,34,53,43,16,7,0,291
10103101627,156,101,67,74,146,60,56,22,8,695
10104101701,78,58,42,43,60,90,114,72,80,631
10104101702,45,35,27,28,41,24,24,16,5,247
10104101703,43,33,27,30,36,67,91,75,52,449
10104101704,58,35,47,40,58,64,61,47,9,414
10104101705,19,17,24,23,36,36,43,26,8,225
10104101706,48,36,51,47,54,67,72,94,44,501
10104101707,0,0,0,0,0,0,0,0,0,0
10104101708,68,38,40,32,48,81,93,31,10,437
10104101709,155,93,61,88,125,157,127,41,7,851
10104101710,73,33,28,50,39,90,150,63,10,533
10104101711,65,53,34,53,77,91,69,28,11,473
10104101713,76,37,27,42,56,56,69,41,11,417
10104101714,0,0,0,0,0,0,0,0,0,0
10104101715,0,0,0,0,0,0,0,0,0,0
10104101716,111,53,61,50,51,65,79,30,10,503
10104101717,43,24,41,41,31,46,50,40,13,325
10104101718,62,24,56,22,55,70,83,31,15,429
10104101719,74,35,34,31,43,57,84,36,9,408
10104101720,45,33,15,29,30,45,53,34,10,298
10104101721,98,39,49,37,51,52,49,18,8,400
10104101722,96,32,43,56,38,72,90,62,11,500
10104101723,78,37,51,28,58,69,80,23,5,432
10104101724,8,10,13,10,13,23,12,18,0,108
10104101801,40,24,24,28,36,53,66,35,13,313
10104101802,41,15,24,25,27,44,73,34,14,281
10104101803,68,30,19,32,68,85,50,16,3,375
10104101804,27,5,16,16,16,40,44,34,15,203
10104101805,45,24,7,22,44,44,51,29,3,273
10104101806,68,39,32,50,54,72,88,28,4,444
10104101807,89,49,46,57,53,52,90,46,13,498
10104101808,56,39,29,50,72,70,95,64,21,494
10104101809,24,10,3,12,17,33,81,69,67,320
10104101810,57,44,37,29,29,47,54,31,8,329
10104101811,90,40,53,47,49,79,89,68,9,522
10104101812,32,23,47,27,49,77,74,59,20,422
10104101813,34,22,20,12,46,54,57,30,10,283
10104101814,30,21,15,22,38,44,49,31,5,257
10104101815,66,28,27,39,41,77,80,36,14,410
10104101816,69,30,25,39,45,74,82,40,9,406
10104101817,105,66,60,58,95,110,148,54,6,709
10104101818,75,35,31,29,59,58,108,82,19,496
10104101819,92,54,56,43,59,77,83,51,12,521
10104101820,40,36,29,26,55,40,51,23,10,303
10104101821,24,29,17,20,29,44,26,16,9,210
10104101822,35,31,26,33,41,61,82,65,59,436
10104101823,43,29,48,43,57,88,89,39,11,436
10104101824,0,0,0,0,0,0,0,0,0,0
10104101901,75,35,31,55,45,73,61,66,69,510
10104101902,79,46,54,46,55,50,49,60,28,465
10104101903,35,26,35,28,30,39,40,32,10,270
10104101904,85,63,49,44,48,67,26,32,12,434
10104101905,92,51,42,45,40,57,53,22,18,413
10104101906,99,65,64,71,70,69,53,29,10,537
10104101907,81,31,54,47,32,40,29,20,7,343
10104101911,56,26,33,33,59,69,68,44,10,394
10104101912,37,28,25,30,46,82,63,32,14,356
10104101913,42,28,32,37,40,74,79,37,14,380
10104101915,43,15,20,32,30,47,24,9,6,219
10104101917,170,97,65,97,117,134,104,37,10,831
10104101918,39,28,30,26,40,48,42,28,10,288
10104101919,55,22,30,28,45,68,41,25,3,317
10104101920,46,35,23,24,43,54,35,22,13,293
10104101921,79,36,47,46,35,30,62,37,14,377
10104101924,94,30,25,61,66,104,60,20,4,476
10104101925,69,46,47,40,50,43,44,32,0,368
10104101926,26,18,23,28,31,52,67,39,18,299
10104101927,34,11,14,22,22,32,18,4,0,153
10104101928,130,51,50,101,84,111,86,43,7,668
10104101929,61,28,42,21,21,33,32,22,0,253
10104101930,0,0,0,0,0,0,0,0,0,6
10104101931,8,9,4,3,4,7,12,5,0,45
10104101932,7,10,6,5,5,28,27,10,4,93
10104101933,23,7,13,11,10,19,13,7,3,105
10104102001,93,63,45,41,78,86,54,16,8,476
10104102002,88,45,40,51,81,115,96,32,5,552
10104102003,102,41,57,69,46,77,40,25,4,462
10104102004,48,25,31,26,41,92,69,28,0,373
10104102005,46,11,22,36,26,53,66,14,3,280
10104102006,55,25,18,38,48,82,66,22,9,361
10104102007,95,37,35,47,65,71,48,9,4,409
10104102008,51,31,32,32,51,69,63,20,3,347
10104102009,0,0,0,0,0,0,0,0,0,0
10104102010,0,0,0,0,0,0,0,0,0,4
10104102011,66,44,38,35,51,68,59,20,10,386
10104102012,0,0,0,0,0,0,0,0,0,0
10104102013,21,13,12,10,21,29,36,8,0,150
10104102014,25,21,11,14,17,67,36,15,0,204
10104102015,25,19,16,11,27,46,43,16,0,197
10104102016,30,23,20,20,36,60,56,12,3,261
10104102017,39,32,28,23,32,49,51,15,3,262
10104102018,57,32,31,33,78,102,69,18,4,426
10104102019,41,21,17,33,43,101,84,23,4,362
10104102020,80,52,46,47,77,129,118,29,6,581
10104102021,0,0,0,0,0,0,0,0,0,0
10104102022,61,29,31,32,43,53,49,20,12,322
10104102023,56,31,22,38,47,67,41,26,3,323
10104102024,34,32,14,11,41,63,49,11,0,260
10104102025,66,42,37,44,50,85,58,9,0,389
10104102026,25,29,6,12,32,30,25,17,0,183
10104102027,39,15,20,23,31,54,61,7,0,264
10104102028,87,52,57,64,68,93,64,28,8,510
10104102029,53,24,33,35,34,74,60,21,4,342
10104102030,67,41,27,46,43,87,69,31,7,417
10104102031,41,19,20,17,30,20,47,5,4,206
10104102032,22,11,10,19,32,73,57,13,3,244
10104102102,36,26,23,25,22,41,20,18,0,220
10104102104,110,52,58,75,77,77,78,125,98,756
10104102105,101,39,44,59,81,104,126,35,10,600
10104102106,82,39,65,59,50,101,169,55,24,638
10104102107,68,72,28,43,103,136,108,44,12,608
10104102108,86,45,35,53,59,75,58,42,11,464
10104102110,80,44,38,51,47,69,80,35,13,454
10104102111,0,10,12,0,3,11,8,0,0,54
10104102201,0,0,0,0,9,10,18,3,0,43
10104102301,49,22,32,28,51,55,81,28,16,368
10104102302,55,38,22,38,54,59,90,31,8,401
10104102303,75,29,40,41,58,55,76,34,7,418
10104102304,26,13,15,19,20,37,52,9,4,195
10104102305,70,48,23,36,51,77,61,71,43,479
10104102306,55,36,22,29,32,40,51,39,33,330
10104102307,52,22,35,26,25,58,67,46,4,329
10104102308,119,56,53,44,72,98,83,41,13,573
10104102309,37,27,28,23,38,52,75,31,15,327
10104102310,0,0,0,0,0,0,0,0,0,0
10104102401,52,20,26,25,38,71,61,17,3,309
10104102402,41,25,29,30,60,67,48,24,0,312
10104102403,35,39,19,27,38,32,43,9,3,249
10104102404,78,41,36,55,57,74,63,25,6,440
10104102405,32,31,26,17,42,51,56,22,8,286
10104102406,33,28,17,22,43,56,43,12,6,263
10104102407,20,30,21,24,34,46,93,25,3,316
10104102408,43,27,19,33,42,58,33,19,0,281
10104102409,32,16,19,27,23,69,68,31,3,285
10104102410,26,28,15,15,28,37,38,9,3,207
10104102411,22,24,13,18,30,56,37,36,0,245
10104102412,38,14,27,30,40,69,75,28,5,319
10104102501,0,0,0,0,0,0,0,0,0,0
10104102502,40,22,36,33,32,50,64,45,9,329
10104102503,14,12,31,6,20,48,84,76,77,368
10104102504,37,50,65,39,43,57,32,33,7,365
10104102505,25,18,37,18,34,48,55,40,14,292
10104102506,39,27,28,40,39,54,54,26,10,319
10104102507,46,14,23,21,30,49,62,28,3,275
10104102508,56,34,19,41,61,98,146,133,27,610
10104102509,20,17,10,9,28,28,14,3,0,134
10104102510,63,41,12,45,60,80,90,51,3,442
10104102511,62,36,30,40,45,65,86,42,12,410
10104102512,52,34,34,26,50,97,121,62,33,505
10104102513,117,40,50,54,68,65,46,26,6,469
10104102514,41,23,14,21,28,41,36,22,11,236
10104102516,49,42,28,24,36,68,45,32,3,321
10104102517,39,19,16,35,52,48,51,25,14,301
10104102518,93,56,25,61,81,100,120,71,9,614
10104102519,14,19,9,11,34,23,48,43,43,243
10104102520,60,54,63,52,65,88,124,63,21,580
10104102521,33,37,43,18,49,76,53,29,10,340
10104102522,41,26,26,40,44,64,78,32,12,370
10104102523,33,26,9,19,24,46,36,16,3,214
10104102524,67,31,33,40,48,52,37,12,3,321
10104102525,57,27,29,37,53,76,139,81,10,519
10104102526,110,46,65,64,80,109,152,39,8,675
10104102527,101,32,65,65,71,76,98,47,13,557
10104102528,58,60,53,52,76,110,82,63,15,575
10104102529,47,45,39,29,51,55,54,37,6,361
10104102530,57,16,24,45,27,62,62,55,7,358
10104102531,0,0,0,0,0,0,0,0,0,0
10104102532,53,32,30,19,35,56,70,50,61,401
10104102601,55,25,38,38,53,102,138,75,9,538
10104102603,20,17,17,18,24,93,90,38,12,339
10104102604,25,13,11,25,26,74,82,45,13,313
10104102605,49,26,16,31,55,106,156,80,19,543
10104102606,44,21,27,35,43,72,63,35,4,336
10104102607,61,36,31,43,56,72,67,38,23,436
10104102608,52,26,30,34,39,48,46,62,53,389
10104102609,52,52,37,35,54,68,66,34,12,419
10104102610,46,38,24,26,38,38,29,16,5,250
10104102611,16,22,8,8,37,32,35,18,7,187
10104102613,49,18,28,35,30,61,82,24,10,343
10104102614,103,68,59,62,70,122,145,48,21,693
10104102615,68,30,40,44,69,77,74,29,10,429
10104102616,33,18,13,24,35,47,50,17,0,227
10104102617,44,18,26,24,45,53,27,17,4,253
10104102618,45,28,14,27,44,94,61,31,4,348
10104102619,35,36,23,17,43,84,66,24,7,329
10104102620,56,21,37,43,21,45,51,22,6,306
10104102621,70,34,41,41,58,65,43,24,6,393
10104102622,47,20,36,24,36,65,42,8,0,284
10104102623,36,19,25,27,39,63,34,38,11,296
10104102624,49,33,29,21,31,46,53,16,3,282
10104102625,5,7,0,3,6,13,9,7,0,52
10104102626,47,36,40,28,56,104,150,77,24,559
10104102627,3,6,3,0,4,10,22,6,5,66
10104102701,42,13,25,25,17,39,55,32,19,266
10104102702,46,23,29,28,33,63,73,28,16,342
10104102703,20,8,5,14,15,42,66,29,7,211
10104102704,28,18,16,23,37,51,79,25,15,282
10104102705,53,31,43,36,54,66,101,46,14,446
10104102706,72,20,30,42,47,78,107,83,78,556
10104102707,91,29,60,47,55,99,103,52,20,558
10104102708,38,12,26,24,20,73,68,53,85,393
10104102709,100,52,42,71,86,123,146,49,18,685
10104102710,17,10,12,19,25,52,51,30,6,222
10104102711,0,0,0,0,0,0,0,0,0,0
10104102712,62,34,34,47,54,106,99,36,8,482
10104102713,64,46,32,32,73,95,102,25,4,474
10104102714,0,0,0,0,0,0,0,0,0,0
10104102715,0,0,0,5,0,3,14,0,0,25
10104102716,0,0,0,0,0,0,0,0,0,0
10104102719,73,37,35,34,55,73,108,47,10,478
10104102720,30,20,19,17,29,84,100,35,11,341
10104102721,64,35,39,44,56,142,180,82,13,651
10104102722,24,21,11,12,12,10,14,0,0,105
10104102723,23,10,18,14,33,69,78,41,5,292
10104102724,67,35,35,28,51,70,88,48,6,431
10104102725,40,21,18,28,21,47,72,44,21,326
10104102726,25,16,24,23,22,37,76,43,3,271
10104102728,29,19,17,24,32,48,97,38,16,313
10104102729,84,40,46,39,62,88,127,81,30,604
10104102730,8,0,0,3,3,13,16,0,0,46
10104102731,36,16,22,27,42,66,68,47,24,353
10104102732,53,26,29,36,31,73,80,36,8,361
10104102733,66,23,30,41,38,49,83,34,13,372
10105153901,44,27,21,31,42,33,16,11,0,220
10105153902,47,27,37,37,26,49,24,9,0,258
10105153903,31,19,29,17,27,41,35,12,6,213
10105153904,52,60,65,44,72,75,77,28,11,479
10105153905,51,39,33,25,47,42,45,24,16,313
10105153906,85,32,45,32,31,35,37,16,0,314
10105153907,0,0,0,0,0,13,16,30,10,66
10105153909,70,24,48,30,27,11,30,28,3,274
10105153910,28,19,22,32,36,26,18,5,0,179
10105153911,125,55,82,78,47,37,33,15,0,473
10105153912,86,51,43,61,76,80,82,32,6,513
10105153913,30,32,31,20,29,26,34,16,5,223
10105153914,93,26,48,41,49,63,45,27,0,400
10105153915,58,27,43,28,34,24,34,23,10,279
10105153916,106,58,44,80,72,91,107,31,11,605
10105153917,67,26,51,35,24,23,45,22,13,308
10105153918,32,24,42,18,25,47,64,37,28,327
10105153919,63,49,85,38,54,76,54,39,37,501
10105153920,220,108,117,132,80,70,64,32,3,817
10105153921,97,46,42,53,54,49,33,24,13,413
10105153922,131,61,61,67,67,87,62,31,19,579
10105153923,76,37,38,41,57,46,40,23,7,371
10105153924,115,55,56,50,56,46,38,25,0,439
10105153925,63,60,67,42,62,55,61,27,12,445
10105153926,85,38,64,46,46,69,39,43,9,433
10105153927,22,23,21,23,39,33,32,21,4,227
10105153928,17,13,19,13,17,15,5,5,0,103
10105153929,129,69,69,67,63,54,50,49,9,551
10105153930,67,35,41,37,58,44,57,35,13,390
10105153931,51,52,69,55,47,50,35,23,6,380
10105153932,88,50,66,59,46,56,47,17,4,423
10105153933,55,30,40,28,37,33,27,16,6,271
10105153934,40,30,52,31,27,45,34,22,7,275
10105153935,72,52,67,61,67,64,61,49,14,507
10105153936,61,34,26,24,24,49,40,28,18,305
10105153937,117,72,62,65,58,59,41,29,3,508
10105153938,53,31,28,45,22,38,44,23,13,291
10105153939,39,33,16,27,51,37,43,49,50,353
10105153940,40,24,29,29,19,32,22,11,7,215
10105153941,30,28,20,19,43,31,31,13,3,216
10105153942,79,52,81,49,53,48,64,68,62,562
10105153943,66,38,51,42,58,65,52,19,9,399
10105153944,100,69,86,75,55,60,56,16,9,519
10105153945,65,82,187,137,126,70,52,20,8,742
10105153946,95,53,52,52,54,31,9,13,0,362
10105153947,47,32,49,29,44,52,35,30,12,325
10105153948,17,16,18,34,27,36,34,22,7,206
10105153949,7,11,13,12,16,27,22,3,0,117
10105153950,66,38,70,39,45,52,48,37,18,419
10105153951,67,31,44,38,26,51,49,40,12,357
10105153952,43,20,31,26,24,48,36,75,28,323
10105153953,66,27,57,24,28,64,32,21,5,328
10105153954,59,47,61,41,48,53,48,22,0,384
10105153955,69,39,10,33,46,40,43,9,0,291
10105153956,58,34,76,56,50,54,26,13,8,374
10105153957,88,55,62,51,41,64,49,42,21,476
10105153958,4,0,0,0,0,3,4,0,0,18
10105153959,66,45,54,37,44,32,43,21,8,356
10105153960,39,25,30,23,33,41,48,19,7,262
10105153961,39,56,29,34,33,41,28,10,0,280
10105153962,75,42,65,56,68,54,48,8,3,421
10105153963,35,33,25,21,25,29,18,14,5,196
10105153964,73,44,48,51,49,67,58,35,12,442
10105153965,0,0,0,0,0,0,0,0,0,0
10105153966,239,102,169,142,104,56,57,22,4,883
10105153967,0,51,43,0,0,0,0,0,0,105
10105153968,66,30,59,33,11,4,5,7,0,211
10105153969,102,33,50,59,45,41,36,12,8,386
10105153970,36,17,18,24,32,23,41,81,100,369
10105154001,194,65,172,86,75,101,74,43,15,819
10105154002,59,35,45,47,59,68,75,23,10,417
10105154003,51,17,23,27,43,86,69,29,4,349
10105154004,97,79,66,79,118,114,101,35,6,699
10105154005,65,38,33,36,49,84,66,22,7,407
10105154006,81,50,39,44,69,112,73,35,11,514
10105154007,58,34,24,35,51,73,52,14,3,341
10105154008,69,30,21,34,31,50,52,41,17,345
10105154009,26,14,11,12,31,41,52,23,0,207
10105154010,69,50,34,39,43,76,70,61,47,483
10105154011,34,35,24,29,36,46,48,29,17,308
10105154012,62,42,35,47,76,107,79,18,4,469
10105154014,59,34,26,38,52,71,62,25,0,372
10105154015,73,32,32,42,50,68,35,15,0,347
10105154016,107,67,43,78,75,106,80,32,4,593
10105154017,58,33,36,35,51,85,69,32,10,411
10105154018,38,24,26,35,47,49,61,26,5,318
10105154019,35,33,22,17,58,73,41,27,0,315
10105154020,119,38,56,59,64,93,68,38,7,539
10105154021,81,59,59,46,80,133,85,46,5,588
10105154022,39,31,16,29,47,46,40,31,0,295
10105154023,90,49,30,73,73,90,63,40,6,520
10105154024,48,49,36,32,39,48,65,38,21,374
10105154025,32,36,22,27,46,49,36,13,3,264
10105154026,66,22,26,33,21,54,46,14,6,291
