GCCSA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
1GSYD,963205,637826,811314,777748,667167,579166,439467,249517,105729,5231147
1RNSW,505534,314893,328523,323565,348104,380961,348204,201734,78115,2829637
19499,1260,1357,2187,1859,1678,1648,1055,277,49,11371
19799,0,0,0,0,0,0,0,0,0,0
2GMEL,891585,603243,788689,735102,629107,529975,405027,234998,100021,4917750
2RVIC,276727,169167,184984,181883,196379,215485,199919,109653,42424,1576613
29499,1143,1131,1819,1736,1393,1074,613,152,29,9089
29799,0,0,6,16,3,14,4,0,0,38
3GBRI,484145,331761,374070,360339,329053,273801,214163,116022,42879,2526238
3RQLD,478735,303971,324954,325336,343100,339019,287170,158531,54209,2615036
39499,1437,1495,2649,2077,1929,2468,2124,444,44,14670
39799,0,16,49,64,45,5,3,0,0,183
4GADE,237535,169352,193712,184652,175064,168406,140746,81558,36258,1387290
4RSAU,65200,38583,40951,41473,49086,58227,55238,31032,11053,390843
49499,409,394,627,534,478,513,359,64,11,3377
49799,0,0,0,3,5,0,0,0,0,12
5GPER,401240,255946,303907,306917,274565,240188,189951,103099,40831,2116647
5RWAU,103769,55267,66822,70860,72266,72050,56655,27867,9237,534804
59499,772,820,1512,1543,1313,1144,758,155,30,8055
59799,0,42,116,170,109,62,18,0,0,514
6GHOB,41578,28141,39761,31656,29653,29934,26145,14594,5631,247086
6RTAS,50926,32736,36669,34094,39338,45251,40695,22020,7361,309087
69499,129,215,228,198,203,199,163,31,3,1377
69799,0,0,4,4,7,0,0,0,0,19
7GDAR,28294,16701,25950,22108,18400,14637,9374,3608,833,139902
7RNTE,20154,12980,16263,13120,10954,8995,4809,1499,326,89103
79499,446,276,661,573,591,579,318,49,7,3500
79799,0,15,23,22,19,17,0,0,0,99
8ACTE,82892,60460,77634,69285,56126,45328,35639,19340,7180,453890
89499,50,148,108,104,77,78,34,10,4,605
89799,0,0,0,0,0,0,0,0,0,0
9OTER,825,407,577,638,665,765,587,257,62,4778
99499,0,0,4,0,0,3,0,0,0,11
99799,0,0,0,0,0,0,0,0,0,0
