LGA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,9,7,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,12,0,0,0,10,8,11,12,11,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,12
LGA10900,0,0,0,8,0,0,0,0,0,17,0,3,0,35,34,34,40,22,5,176,0,0,0,14,6,20,34,9,10,90,0,0,8,5,6,4,5,0,0,30,0,0,3,3,4,11,0,4,0,28,0,0,0,8,8,10,3,7,0,31,0,0,0,9,20,8,19,3,0,73,0,0,0,0,3,6,19,6,0,37,0,0,0,3,3,5,7,0,0,28,0,0,0,0,0,0,5,0,0,5,0,0,3,18,0,0,0,0,0,27,0,4,5,12,14,22,67,39,13,168,0,14,13,112,124,147,114,32,6,562,0,0,0,0,0,3,3,0,0,5,0,0,0,9,4,5,0,0,0,23,0,0,0,11,10,9,5,0,3,33,0,12,6,48,18,10,10,0,0,103,0,0,0,17,10,18,27,3,0,83,0,0,0,5,4,6,0,0,0,12,0,7,5,30,35,60,80,37,19,265
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,5,5,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,5,0,0,0,0,0,0,3,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,4,0,5,3,13,5,8,4,3,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,4,15,13,26,11,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,7
LGA11300,0,0,3,3,10,4,0,0,0,18,0,0,0,39,11,17,13,4,0,83,0,0,3,47,27,51,96,113,83,417,0,4,11,23,6,0,3,4,0,38,0,7,49,194,75,59,32,14,5,429,0,4,9,41,52,59,76,47,15,295,0,0,58,295,46,26,9,10,0,445,0,0,0,0,0,0,4,8,0,9,0,0,3,0,0,3,0,0,0,9,0,0,0,11,6,13,3,4,0,40,0,0,1001,788,24,0,0,0,0,1817,0,0,0,0,0,3,6,0,0,16,0,6,23,74,39,37,18,4,5,196,0,0,0,5,0,3,3,0,0,6,0,3,9,27,6,4,4,0,0,53,0,0,0,3,5,3,5,3,0,16,3,7,14,122,28,17,19,7,3,222,0,0,0,8,4,10,9,4,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,7,4,4,9,5,0,32
LGA11350,0,0,0,0,0,0,0,0,0,0,0,5,0,24,16,14,9,0,0,67,0,3,9,99,14,11,11,0,5,149,0,5,7,38,5,0,6,0,0,59,0,0,5,9,0,0,0,0,0,9,0,0,0,0,0,7,0,0,0,8,0,0,0,4,0,3,6,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,9,0,0,0,17,5,10,20,12,4,63,0,15,14,129,79,83,74,13,0,415,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,4,0,0,0,20,0,0,3,16,4,0,0,0,0,26,0,0,0,5,0,5,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,16,21,7,0,63
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,4,0,11,0,0,5,13,13,16,12,4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,9
LGA11450,0,9,50,308,122,73,48,13,8,631,0,18,0,86,36,30,18,12,4,205,0,0,4,30,37,98,125,81,37,417,0,0,0,0,0,0,0,0,0,4,0,0,3,18,5,0,0,0,0,29,0,7,6,81,52,61,32,12,5,251,3,0,10,42,8,16,11,9,0,104,0,0,0,15,8,23,73,46,11,172,0,0,0,22,21,31,16,9,0,105,0,0,0,13,5,0,4,0,0,18,0,5,29,324,28,9,4,0,0,408,0,0,0,8,11,11,27,12,4,70,8,71,124,375,156,111,52,16,0,923,0,0,3,19,23,19,11,0,0,80,0,38,35,162,69,27,8,5,0,346,0,0,0,8,5,0,0,0,0,17,3,35,47,329,110,65,37,8,4,645,0,0,0,28,17,6,17,9,3,89,0,3,20,52,41,49,13,4,0,182,0,5,11,32,43,43,59,30,7,232
LGA11500,0,16,82,314,131,97,38,15,9,705,0,10,9,43,24,24,36,18,3,163,0,0,5,26,25,45,77,60,34,271,0,4,12,8,0,5,3,0,0,34,0,7,7,36,13,9,3,3,0,87,6,9,20,241,177,166,105,36,7,771,0,8,7,67,30,40,41,11,0,212,0,0,0,0,3,12,56,27,12,114,0,0,10,32,34,48,50,26,0,194,0,0,0,31,13,9,8,5,5,66,11,60,206,1327,199,37,21,4,0,1868,0,0,0,4,9,15,63,15,10,111,16,232,360,781,305,211,113,39,6,2068,0,0,6,28,17,30,25,11,0,117,6,102,119,463,135,101,28,3,0,962,0,4,3,15,11,8,3,0,0,40,10,77,224,761,375,325,215,51,12,2040,0,0,0,43,29,42,69,23,7,216,0,40,93,249,175,215,105,28,0,916,0,7,3,29,37,75,115,63,16,342
LGA11520,0,0,0,18,10,10,5,0,0,33,0,10,3,156,74,48,17,17,4,329,3,14,21,175,114,228,418,432,257,1661,0,7,10,19,13,8,4,0,0,67,0,39,68,634,175,130,79,39,14,1175,0,4,5,63,59,62,44,35,7,283,0,0,24,168,58,37,52,29,9,372,0,0,0,3,6,9,20,22,5,56,0,0,0,20,3,5,10,0,0,34,0,0,0,18,12,3,3,6,0,37,0,3,356,283,11,3,0,0,0,663,0,5,0,9,11,9,8,14,3,58,3,18,33,184,139,109,62,28,8,581,0,0,0,13,9,8,5,0,0,31,3,5,12,72,17,7,9,0,0,125,0,0,0,4,12,11,5,0,0,26,0,22,30,240,42,32,24,6,0,390,0,0,0,35,10,13,16,4,3,78,0,0,0,0,3,0,0,0,0,4,0,0,3,25,28,31,24,12,5,129
