LGA_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
LGA17100,4,9,37,54,82,136,211,262,130,922,0,23,87,44,49,86,86,82,70,530,103,316,756,408,200,200,159,136,93,2375,876,4585,11068,6631,4525,4378,2962,1715,826,37580
LGA17150,20,9,54,93,170,357,913,1065,776,3461,6,18,47,74,68,99,143,164,105,716,307,335,971,975,922,783,876,1052,1127,7354,5641,12946,26413,30574,31890,28547,22917,13848,6432,179199
LGA17200,11,47,220,196,203,390,585,488,240,2374,6,74,374,234,135,182,194,150,120,1473,369,1709,4957,2697,1661,1397,1140,813,406,15163,3347,21536,68041,39433,22829,17927,12370,5968,2034,193490
LGA17310,28,19,111,104,168,343,594,567,320,2252,3,4,33,22,25,43,39,31,11,215,306,252,616,565,526,511,508,497,261,4025,1863,3310,7982,7343,7447,7639,6768,4174,1579,48110
LGA17350,4,0,0,13,14,26,68,69,52,248,0,0,0,0,3,0,4,5,0,18,21,23,30,33,32,63,64,60,35,355,180,286,520,562,712,862,866,530,236,4759
LGA17400,3,3,4,14,25,54,108,88,47,343,0,0,0,3,4,0,8,5,4,23,24,29,54,74,100,116,139,82,33,653,152,243,479,569,824,1194,1391,633,211,5691
LGA17420,18,15,39,73,133,284,721,676,381,2334,8,11,54,78,93,131,154,126,117,774,245,273,617,810,601,496,546,517,407,4500,4903,11431,19314,30821,27104,20980,16814,8705,2821,142902
LGA17550,15,18,73,114,171,373,781,932,649,3119,7,3,7,13,26,39,44,48,30,224,323,301,707,836,859,924,930,953,854,6696,2266,4094,8862,11160,12110,14011,13608,8469,3843,78428
LGA17620,8,4,8,23,27,92,164,133,78,538,4,5,0,4,10,9,10,10,9,61,37,39,123,105,113,147,135,129,100,935,341,671,1654,1708,1784,1934,1651,942,406,11082
LGA17640,3,0,8,9,19,48,96,86,45,317,0,0,0,0,4,8,5,4,3,23,28,21,55,60,85,134,132,78,33,625,205,330,720,837,1123,1506,1229,667,229,6853
LGA17650,4,7,6,7,19,35,66,75,22,236,0,0,6,0,0,0,3,0,0,16,21,15,41,38,69,72,54,35,21,358,140,241,547,599,821,952,845,422,118,4696
LGA17750,36,43,128,174,175,284,445,464,308,2047,0,12,84,101,69,60,49,26,15,419,284,361,540,448,436,406,430,339,275,3520,2339,5157,9685,8224,7549,7394,6098,3522,1567,51526
LGA17850,0,0,3,0,7,18,48,40,14,140,0,0,0,0,0,0,6,3,0,8,16,18,33,21,36,52,53,42,15,279,77,117,271,265,361,461,486,324,81,2439
LGA17900,5,4,11,10,19,50,84,65,12,256,0,0,0,0,0,0,12,11,3,34,83,61,163,151,168,211,177,97,26,1138,173,228,629,520,645,834,710,353,83,4168
LGA17950,0,0,3,6,5,18,31,21,13,101,0,0,3,0,0,0,0,0,0,11,7,11,19,23,35,26,56,39,31,263,64,121,271,244,302,387,303,212,87,1980
LGA18020,0,0,6,11,35,86,143,136,53,477,0,0,3,0,3,4,6,4,3,23,65,45,112,114,156,193,231,170,86,1180,225,325,857,815,1099,1408,1425,869,345,7369
LGA18050,0,9,40,32,26,49,92,182,165,594,0,5,12,13,16,20,24,33,34,155,120,205,1151,703,410,316,313,375,378,3975,987,3319,16105,11613,8857,6126,4620,2845,1383,55844
LGA18100,0,3,0,9,12,23,57,34,17,151,0,0,0,0,0,0,0,0,6,9,12,11,18,26,28,53,39,51,19,254,76,119,290,340,439,587,588,354,143,2925
LGA18200,7,3,7,12,21,54,113,93,41,355,0,0,0,0,0,6,3,3,0,12,68,42,123,122,130,124,115,59,27,816,204,353,804,825,964,1099,942,461,136,5798
LGA18250,0,8,26,27,55,100,247,284,207,954,0,0,62,58,46,58,90,93,65,485,100,126,435,460,322,236,314,248,230,2474,1338,3943,9366,12723,10814,8145,6513,3604,1954,58401
LGA18350,13,10,23,46,63,151,304,243,141,994,8,7,13,23,13,23,23,17,10,128,109,129,221,274,337,362,429,449,370,2675,1217,2153,4745,5332,6751,7232,7778,5167,1763,42132
LGA18400,22,13,49,57,95,220,408,289,118,1274,0,3,15,16,21,15,31,20,15,128,167,128,288,323,326,268,304,297,223,2322,1790,3191,6530,6896,7346,6309,5002,2462,771,40293
LGA18450,47,50,191,297,401,950,1928,2153,1344,7351,12,25,91,124,139,158,300,353,285,1489,577,731,1371,1135,1082,1009,1150,1326,1068,9459,6073,15756,28402,26747,26822,26050,20876,13301,5754,169783
LGA18500,0,5,12,12,12,26,57,84,80,292,0,0,15,8,14,12,11,18,17,92,138,160,413,333,302,256,265,367,442,2666,852,2910,8406,7215,6989,6167,5566,3874,1726,43708
LGA18710,4,5,8,19,32,52,89,78,62,345,0,0,7,4,7,5,11,4,3,40,29,44,75,94,120,110,125,97,54,744,426,779,1591,2181,2704,2300,1897,933,338,13146
LGA19399,0,0,0,0,3,6,5,0,3,20,0,0,0,0,0,0,0,0,0,4,3,0,9,10,6,16,17,15,0,87,19,24,119,150,136,164,135,55,20,821
LGA19499,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,0,0,9,20,13,44,100,172,113,463,0,0,0,3,3,9,13,14,3,46,46,54,92,92,119,176,156,146,73,952,211,518,1194,1462,1760,2152,1979,1080,396,10751
LGA20260,11,10,20,27,26,51,145,151,105,551,0,3,7,6,11,16,18,8,7,74,34,53,147,126,138,143,127,107,37,923,254,560,1437,1312,1521,1744,1644,915,370,9756
LGA20570,70,94,176,182,232,400,912,1102,741,3921,4,21,55,36,70,54,54,30,22,354,329,409,837,665,702,667,782,737,526,5659,2786,7188,15526,14068,13840,13307,11929,6743,2877,88261
LGA20660,27,26,77,106,162,287,740,1364,1017,3809,12,26,78,93,109,160,155,139,139,918,170,245,637,589,496,490,574,501,301,4006,2323,7002,16245,18161,16900,14853,12682,7666,3398,99230
LGA20740,18,18,39,55,83,188,384,470,281,1530,0,6,9,11,21,17,22,43,29,164,115,88,253,330,343,469,608,445,240,2883,736,1430,3585,4241,4813,6672,7182,3636,1219,33507
LGA20830,37,23,85,93,124,229,464,684,422,2156,0,9,32,19,26,27,20,20,18,173,156,129,405,403,418,452,473,413,196,3056,1249,2885,7129,6567,6915,7576,7069,3940,1354,44685
LGA20910,14,7,21,39,54,105,249,471,433,1398,0,11,18,33,43,39,54,63,42,305,164,109,303,429,529,410,508,533,506,3480,2196,5203,7904,11810,16257,14033,11073,6924,3418,78819
LGA21010,7,8,20,17,35,65,178,218,158,715,0,0,7,10,4,8,6,8,5,38,65,51,127,120,160,198,191,181,102,1200,310,605,1389,1350,1725,2350,2342,1392,558,12025
LGA21110,27,19,38,59,109,168,448,872,743,2485,9,26,62,60,106,114,137,152,145,809,259,335,785,627,706,590,646,653,552,5153,3746,12291,21028,20402,23802,20731,15904,9820,4959,132688
LGA21180,52,119,492,912,1314,2025,3692,3447,1372,13418,21,71,572,640,925,1266,1168,899,543,6107,628,885,2432,1894,1505,1325,1300,1052,599,11613,4379,13355,30485,26354,24487,23062,18279,9696,3656,153749
LGA21270,8,0,8,10,16,37,91,115,69,356,0,0,9,0,5,0,4,0,0,10,26,18,54,42,77,103,87,83,79,581,118,243,550,482,805,1051,943,548,286,5028
LGA21370,30,20,85,67,110,243,492,626,343,2018,0,4,10,20,13,29,14,21,16,124,141,118,292,274,358,409,447,426,307,2766,881,1872,3902,3883,4913,5713,5140,3199,1273,30774
LGA21450,52,43,196,233,245,383,692,788,377,3012,7,17,123,108,82,92,71,67,25,592,366,344,992,851,758,630,557,492,279,5275,2860,7053,18589,17499,14445,11653,8701,4639,1494,86938
LGA21610,158,185,944,1338,1293,1714,2435,2283,1123,11463,40,209,1103,1419,1392,1064,734,449,218,6621,963,1225,3138,2646,2026,1683,1431,1095,602,14804,8667,24213,55588,57927,45184,36152,23619,11708,4207,267254
LGA21670,9,11,33,39,67,100,226,284,167,935,0,0,3,5,10,13,10,5,6,55,52,39,91,92,154,175,204,202,66,1065,298,552,1185,1113,1672,2111,2260,1433,497,11118
LGA21750,10,11,36,53,57,106,230,342,234,1083,0,3,29,16,26,25,17,11,8,136,52,52,179,167,198,232,260,185,88,1423,479,1022,2573,2463,2816,3221,3073,1651,655,17942
LGA21830,6,6,25,21,34,79,195,302,194,859,0,0,0,6,11,10,14,10,0,46,91,59,126,126,160,173,165,146,99,1151,389,743,1571,1591,2062,2527,2154,1321,517,12879
LGA21890,23,35,128,185,298,636,1738,2877,1703,7625,8,39,91,110,159,265,460,734,470,2350,257,475,1336,1020,815,734,720,707,665,6724,2505,9405,28570,23875,20374,15297,10557,7351,3945,121882
LGA22110,29,33,77,79,108,242,545,702,333,2142,5,8,10,9,9,18,25,30,13,127,165,155,356,410,480,662,715,570,309,3830,1044,1815,4376,4490,5617,7751,8660,4868,1517,40138
LGA22170,49,74,180,228,350,500,844,1059,646,3935,17,27,63,56,67,87,75,83,61,537,396,401,1080,1057,1036,860,778,822,625,7051,3112,7745,19075,19689,18971,16924,12903,7236,3013,108674
LGA22250,9,4,15,26,39,75,160,234,127,692,0,0,7,0,4,3,5,5,0,32,38,36,56,107,112,139,188,130,73,877,202,438,884,1013,1289,1668,1744,1068,409,8720
LGA22310,20,18,55,67,109,193,587,1057,838,2948,5,25,90,74,54,91,109,193,128,763,203,361,1004,740,593,487,657,618,571,5231,2624,9455,22425,21884,20371,16078,13008,7209,3974,117029
LGA22410,13,4,31,41,77,137,254,295,193,1042,0,4,9,12,7,16,4,3,6,61,67,63,122,158,180,230,280,217,99,1415,482,852,1862,2052,2666,3323,3058,1544,594,16431
LGA22490,7,4,38,32,50,98,165,162,57,608,0,0,3,8,6,3,12,8,0,48,77,63,123,162,208,171,197,129,62,1193,650,1123,2545,3348,3692,3233,2568,1006,258,18432
LGA22620,66,59,242,281,314,533,1138,1315,791,4747,8,31,110,117,141,128,86,49,27,697,354,375,932,842,900,960,928,891,665,6850,2922,7230,15677,14664,14666,15294,13535,7492,3094,94576
LGA22670,65,128,661,1077,1251,1726,1976,2088,1053,10032,38,190,932,1122,1232,1446,1068,716,409,7157,417,657,2009,1452,1044,1039,934,775,422,8744,3371,11307,27706,22974,18418,16603,13337,8090,3402,125221
LGA22750,133,126,359,447,587,1003,2188,2754,1740,9333,16,49,193,239,252,229,223,237,153,1597,633,943,1937,1651,1547,1555,1855,1699,1143,12960,6095,17146,38179,34393,32965,32146,29668,16699,6842,214140
LGA22830,32,38,215,274,266,406,776,856,457,3319,8,25,117,165,190,136,104,112,52,911,282,304,739,663,636,693,658,636,425,5043,1633,3824,8885,8169,8511,8493,7211,4251,1649,52629
LGA22910,10,3,14,23,41,66,121,177,92,544,3,0,0,4,0,5,7,9,3,31,46,40,109,142,182,219,246,184,108,1274,273,462,1297,1748,2431,2925,2880,1311,465,13791
LGA22980,0,0,14,19,14,38,76,118,112,412,4,0,15,14,24,13,5,0,0,75,22,10,29,40,32,58,77,73,76,426,133,214,611,533,664,917,783,537,282,4662
LGA23110,20,21,86,124,194,410,1000,1233,737,3827,0,30,57,83,120,141,245,317,203,1188,186,241,776,696,573,437,492,403,316,4111,1661,4544,12419,14241,12890,11058,8038,4548,2109,71509
LGA23190,16,12,43,38,45,86,171,295,230,939,0,0,11,8,14,13,10,5,0,60,83,87,165,110,120,159,172,154,108,1159,482,1142,2550,2267,2418,2759,2262,1425,656,15967
LGA23270,117,201,870,1446,1644,2011,2707,2213,821,12042,28,122,450,681,851,1226,1020,811,324,5526,783,945,2543,2210,1573,1329,1024,741,302,11439,6165,16492,40044,37108,28676,24679,16239,7883,2469,179760
LGA23350,4,0,14,24,22,48,133,175,96,519,4,0,0,0,5,17,7,0,0,35,52,45,95,124,155,184,143,134,53,990,363,592,1462,1945,2453,2797,2468,1232,394,13702
LGA23430,39,27,92,144,213,502,1208,1820,1103,5144,7,25,88,112,152,253,334,329,205,1489,216,315,883,789,672,661,796,850,639,5818,2953,8330,19837,22740,22828,19196,15367,9533,4395,125178
LGA23670,34,33,120,171,288,525,985,1292,761,4207,11,15,85,112,124,210,220,180,117,1060,237,310,751,714,600,595,706,743,581,5253,3423,9646,20213,22267,21536,20503,15975,8891,3529,125988
LGA23810,64,40,188,188,262,491,914,1044,606,3790,3,16,46,51,62,56,71,62,42,409,310,364,773,746,726,810,821,675,497,5721,1984,4289,9797,8865,9311,10653,9317,5060,1943,61215
LGA23940,3,4,10,11,31,55,111,136,81,443,0,0,0,0,0,7,0,3,0,16,35,40,47,84,117,165,158,112,84,834,145,264,618,694,987,1388,1299,651,308,6353
LGA24130,12,11,32,26,65,123,310,384,213,1169,3,5,8,17,13,11,16,14,6,96,171,118,231,294,398,386,371,289,161,2428,1128,2134,4464,6675,7835,7003,5937,2996,893,39070
LGA24210,11,17,63,78,135,347,1044,1889,1282,4861,5,18,82,78,88,190,231,339,254,1285,154,195,462,529,513,475,586,689,504,4105,2409,7321,13378,16050,16697,15894,13037,10144,4558,99492
LGA24250,11,5,18,3,12,34,71,100,51,304,0,0,8,0,9,8,3,0,4,30,34,32,70,108,103,155,148,79,33,761,192,304,869,1127,1229,1703,1645,762,239,8067
LGA24330,27,20,103,134,229,463,726,801,468,2969,4,24,84,124,175,322,302,237,165,1435,157,344,1228,777,526,474,422,317,297,4540,1341,5566,19246,15245,10919,8209,5241,2668,1345,69790
LGA24410,24,54,225,258,235,297,533,816,609,3054,5,24,155,139,125,156,136,75,51,873,142,170,519,544,464,433,453,526,475,3738,2164,6435,15026,16861,15360,13605,10754,6575,2880,89663
LGA24600,9,42,168,117,132,191,244,238,193,1344,5,75,340,158,122,125,95,80,41,1035,440,1765,4020,1877,981,777,605,372,225,11056,4703,25146,52918,23151,11729,9226,6581,3135,1188,137774
LGA24650,73,96,400,491,576,906,1608,1057,317,5531,9,40,200,286,340,362,356,245,73,1912,604,680,1882,1658,1199,855,694,463,184,8217,4533,11085,28295,30496,22457,15084,10735,4315,1152,128158
LGA24780,44,41,156,168,230,409,738,848,520,3163,4,37,108,97,95,106,77,84,42,651,263,245,670,624,615,651,634,497,296,4502,1448,3171,7615,6710,7073,7370,6132,3506,1525,44540
LGA24850,22,23,72,102,127,255,447,434,198,1674,6,8,25,25,29,27,41,23,8,199,213,167,412,404,382,416,315,244,122,2675,1279,2888,7015,6539,6356,5922,4485,2189,730,37394
LGA24900,21,17,45,68,96,181,425,522,332,1703,0,4,17,16,14,28,24,26,9,124,118,99,273,251,283,314,421,352,179,2292,689,1300,3050,3036,3659,4405,4579,2735,1052,24503
LGA24970,22,40,118,151,287,532,1490,2362,1507,6509,12,48,164,158,160,280,439,488,308,2067,312,862,1725,1060,824,738,730,951,941,8140,4392,16166,29227,25871,23715,19905,16234,12257,6198,153980
LGA25060,14,23,86,118,163,398,1097,2002,1207,5116,3,17,96,67,124,147,242,391,277,1365,166,307,916,690,647,580,555,597,372,4837,2304,7711,18478,17524,16876,14077,10862,6910,3275,98018
LGA25150,14,19,40,58,70,149,321,352,190,1205,4,0,6,7,17,20,32,19,10,114,99,77,237,235,266,247,294,197,70,1729,889,1903,4763,5118,5064,4638,3894,1861,628,28759
LGA25250,20,31,127,232,319,676,1609,2872,2036,7915,5,39,117,123,194,318,484,728,492,2500,277,572,1852,1221,866,729,728,711,681,7644,2746,12470,37138,28603,20736,15785,10577,7571,4677,140327
LGA25340,67,45,152,169,269,418,1102,1677,1029,4922,10,10,31,55,61,83,90,97,71,512,434,380,813,1010,1241,1253,1579,1550,1081,9334,3766,7632,14552,17829,22601,23196,24109,15826,6019,135532
LGA25430,0,3,16,23,43,73,146,185,96,587,0,4,4,9,3,4,6,5,3,36,64,39,148,159,186,203,266,229,220,1512,332,612,1730,2258,2808,3292,3350,1756,644,16798
LGA25490,9,3,24,24,25,62,155,188,103,597,0,0,0,8,0,3,8,0,7,21,64,58,134,104,157,172,202,130,68,1082,399,720,1729,1879,2275,2605,2377,1060,381,13423
LGA25620,7,7,11,22,28,63,118,151,74,473,0,3,5,3,6,6,17,3,3,42,71,57,98,146,222,258,228,137,58,1277,310,599,1291,1579,2145,2650,2410,1204,343,12530
LGA25710,14,11,32,18,32,82,237,334,199,959,3,7,6,18,21,22,9,11,21,128,88,76,133,216,271,271,282,201,108,1652,1555,3823,5573,7660,9875,9295,6641,2905,880,48192
LGA25810,4,9,18,22,51,79,145,191,85,608,0,3,9,5,19,11,7,3,0,62,44,35,125,95,121,174,206,174,133,1099,241,566,1345,1116,1456,1891,1804,1021,384,9825
LGA25900,17,5,51,69,93,137,301,535,267,1479,6,10,65,36,36,44,67,107,73,442,135,380,1583,1215,953,817,643,527,372,6625,1223,5541,23117,18278,14678,11591,8040,4261,1468,88205
LGA25990,0,4,12,21,26,61,100,106,52,383,0,0,0,0,0,3,3,3,5,21,50,23,54,93,111,93,130,96,37,677,175,296,642,778,1123,1227,1297,602,195,6327
LGA26080,0,0,0,0,0,0,12,15,18,52,0,0,0,0,0,0,0,0,0,0,3,7,10,20,18,41,59,55,13,230,43,96,153,226,311,574,799,512,175,2883
LGA26170,13,9,35,40,48,123,301,390,254,1215,3,6,0,4,5,16,10,26,13,80,95,64,189,245,254,359,350,283,114,1957,639,1123,2628,3117,3916,4839,4812,2454,852,24386
LGA26260,10,7,23,22,39,92,149,247,192,772,0,3,8,7,7,11,8,7,0,45,45,49,90,103,130,152,180,172,121,1044,372,763,1660,1698,2007,2397,2342,1349,585,13177
LGA26350,8,8,39,40,61,92,270,616,407,1542,0,11,44,31,44,59,53,138,99,476,172,377,1234,751,581,516,530,509,379,5050,1710,8177,23737,15038,12624,10675,8977,6066,2744,89746
LGA26430,8,6,12,13,20,65,152,153,102,534,0,0,9,9,5,5,6,0,15,48,44,39,71,98,136,199,206,146,94,1040,226,404,911,1132,1333,1947,2083,1065,433,9531
LGA26490,7,5,19,21,26,42,103,157,130,501,0,3,8,5,9,4,5,0,4,47,95,67,190,265,250,262,323,207,178,1834,680,1556,3662,5370,5178,4936,4628,2099,738,28847
LGA26610,6,23,70,78,80,149,236,280,210,1133,6,19,58,55,58,46,43,31,16,335,92,97,311,269,206,270,245,177,116,1779,485,1170,3060,2661,2330,2848,2251,1315,597,16721
LGA26670,0,0,7,11,3,36,66,85,50,266,0,0,0,0,0,5,0,4,0,11,21,19,36,54,63,77,106,72,49,504,119,199,484,625,767,1116,1031,533,217,5083
LGA26700,15,11,34,47,73,118,268,397,237,1211,0,0,6,12,14,22,20,18,16,101,94,83,175,204,228,243,301,288,171,1789,720,1290,3049,3303,3849,4130,3858,2379,951,23529
LGA26730,18,16,50,60,66,108,336,483,294,1438,0,6,31,31,15,25,13,5,3,130,129,100,259,293,237,227,273,273,207,1987,861,1832,4498,4232,4436,4590,4080,2362,1065,27968
LGA26810,34,16,51,90,131,253,469,569,281,1892,0,4,5,17,21,31,19,20,12,133,176,179,453,483,451,478,591,380,217,3401,1071,2176,5167,5206,5565,6670,6433,3105,1038,36428
LGA26890,0,0,0,9,7,18,45,62,48,201,0,0,0,0,3,0,0,0,0,9,15,13,14,35,62,59,65,40,21,325,88,139,358,393,513,693,614,319,141,3254
LGA26980,20,54,109,185,309,448,923,1508,990,4542,8,47,189,181,206,276,302,256,200,1665,220,639,1240,810,699,621,743,833,932,6749,3436,12710,23595,23287,22654,18690,15225,10615,5466,135681
LGA27070,53,74,323,570,762,1393,3176,3082,1309,10741,6,60,250,328,405,595,771,781,440,3636,545,721,1837,1569,1150,1008,976,886,623,9317,4963,14416,35842,37169,27814,22585,17156,8990,3328,172264
LGA27170,22,26,65,69,91,165,317,371,269,1399,3,8,27,31,49,32,43,15,14,219,145,142,308,279,235,223,295,243,157,2021,1240,2562,5842,5434,5190,5034,4491,2334,846,32982
LGA27260,103,158,507,636,722,1068,1526,1305,540,6564,21,105,432,531,599,565,414,263,127,3061,907,1247,3553,3173,1613,1145,937,627,332,13532,6121,17983,50933,57034,31342,21982,14391,6055,1853,207701
LGA27350,3,7,83,96,173,247,389,556,388,1949,3,11,44,74,98,152,149,155,162,843,123,376,1310,805,587,533,430,295,129,4590,984,6578,26909,15194,10212,8421,6194,3200,1265,78968
LGA27450,44,54,197,261,324,422,829,1197,614,3942,11,36,103,124,133,73,84,82,47,695,339,320,744,736,868,839,782,729,408,5773,3548,8681,19116,20373,21518,20269,16358,8546,2676,121072
LGA27630,7,4,5,13,17,47,100,105,84,388,0,0,3,4,8,4,4,9,6,38,41,16,40,40,55,71,106,115,78,565,136,241,591,580,740,1127,1001,615,291,5318
LGA29399,0,0,0,0,0,0,6,0,0,8,0,0,4,0,0,0,0,0,0,4,16,51,76,28,31,10,16,6,0,236,51,168,258,121,105,77,56,16,3,859
LGA29499,13,18,33,35,36,25,38,26,9,227,5,4,9,11,12,10,3,0,0,51,173,211,691,870,646,408,202,34,13,3248,370,669,1819,1736,1393,1074,613,150,29,7852
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,15,0,0,0,29,0,0,6,16,3,14,4,0,0,38
LGA30250,25,6,8,4,6,14,14,4,0,75,0,0,6,3,0,0,0,0,0,6,9,6,22,13,15,7,3,0,0,76,96,90,187,142,156,105,44,5,0,828
LGA30300,0,0,8,11,14,27,71,71,22,227,4,0,0,0,0,3,13,4,5,24,20,33,63,46,63,68,36,32,21,376,146,262,551,468,591,604,435,214,74,3348
LGA30370,3,0,13,31,40,70,176,289,112,724,0,3,0,7,3,5,9,5,8,36,117,123,254,253,257,263,202,146,65,1681,427,815,1846,1944,1821,1880,1271,802,266,11073
LGA30410,0,0,4,6,14,20,54,62,22,186,0,0,0,0,0,0,0,0,3,3,17,14,25,33,41,56,33,41,11,271,78,130,332,325,397,405,295,214,60,2234
LGA30450,0,0,0,0,0,3,7,5,0,15,0,0,0,0,0,0,0,0,0,0,14,0,8,4,6,3,7,0,0,37,22,36,34,34,46,48,26,17,0,262
LGA30760,0,0,4,6,4,24,44,46,13,144,0,0,0,0,0,0,0,0,0,8,9,3,16,11,14,31,25,31,26,162,47,103,201,196,220,302,271,160,56,1557
LGA30900,0,0,0,0,6,8,4,3,0,26,0,0,0,0,0,0,0,0,0,3,0,7,7,3,8,6,6,0,0,43,17,32,73,51,49,59,50,14,0,344
LGA31000,219,230,868,1247,1852,2663,5181,7960,5039,25266,43,212,934,1033,1179,1301,1074,756,581,7097,2283,4568,10972,7966,6142,5183,4617,4260,3546,49537,32905,97327,206666,189480,163300,126895,92905,52247,22482,984210
LGA31750,0,0,0,0,0,4,3,4,0,18,0,0,0,0,0,0,0,4,0,5,0,0,4,5,6,12,3,0,0,25,12,25,52,53,31,54,26,10,0,271
LGA31820,41,37,118,175,311,578,1583,2115,1005,5960,0,24,64,53,66,76,63,90,39,483,312,329,824,712,892,1061,1055,900,405,6492,2575,4742,10143,10062,12126,14521,14364,8649,2715,79909
LGA31900,0,8,14,30,48,77,251,400,205,1041,0,5,9,8,15,10,15,7,13,68,99,118,246,197,216,200,162,151,73,1463,464,864,1818,1748,2155,2415,2176,1280,497,13421
LGA31950,0,0,0,0,0,6,4,4,0,16,0,0,0,0,0,0,0,0,0,0,3,9,10,14,7,20,13,5,0,82,26,43,63,53,46,62,42,9,3,352
LGA32080,45,39,168,290,330,560,958,1103,583,4081,10,19,113,159,201,193,154,111,37,1000,817,1063,2609,2154,2040,1752,1419,922,463,13244,4481,9167,22015,22844,23793,21073,15876,7467,2458,129178
LGA32250,0,3,12,14,11,25,37,19,0,121,0,0,0,0,4,3,4,3,0,19,13,31,36,22,25,28,21,25,3,209,97,173,293,233,270,299,179,85,11,1636
LGA32260,9,17,49,76,83,201,388,495,267,1584,0,3,31,17,28,35,30,20,22,196,157,138,449,395,424,445,409,239,101,2754,686,1233,3203,3121,3667,4637,3927,2009,734,23217
LGA32270,6,6,30,37,61,129,188,199,52,713,0,7,7,14,9,9,11,16,3,79,145,241,545,551,416,438,256,134,62,2794,778,1765,4191,4143,3608,3272,1734,772,190,20451
LGA32310,9,5,13,12,45,76,214,220,94,683,0,0,0,4,3,16,10,9,6,39,121,78,178,221,240,206,200,131,41,1409,369,537,1172,1306,1516,1544,1473,793,258,8969
LGA32330,4,5,6,9,12,23,20,13,3,84,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,5,0,0,0,31,80,91,165,126,120,106,33,16,5,739
LGA32450,4,0,5,4,10,31,55,26,12,142,0,0,3,0,5,4,5,3,0,22,27,54,120,95,83,81,40,24,0,523,130,291,623,553,457,440,241,99,25,2859
LGA32500,4,3,8,9,10,27,43,42,4,142,0,0,4,5,4,5,8,4,0,30,36,44,141,107,121,134,102,40,7,739,132,207,617,560,599,733,557,228,24,3651
LGA32600,0,0,0,0,5,0,5,3,0,21,0,0,0,0,0,0,0,0,0,0,4,4,9,3,6,6,4,0,0,38,11,11,53,34,39,31,19,9,0,213
LGA32750,0,0,0,0,0,4,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,12,11,10,11,3,0,0,48,14,24,46,38,38,45,24,4,0,235
LGA32770,9,7,9,10,12,19,12,3,0,81,13,5,5,3,4,3,6,0,0,33,0,0,19,11,7,16,6,0,0,59,102,129,244,159,137,109,34,6,4,927
LGA32810,4,9,9,15,27,51,86,94,45,332,0,0,9,3,6,4,10,5,3,38,54,80,259,170,205,205,218,121,35,1340,250,498,1553,1490,1774,2040,1645,744,184,10181
LGA33100,0,0,0,0,8,8,19,15,3,52,0,0,0,0,0,0,0,0,0,0,3,4,11,13,16,9,13,15,0,92,26,38,83,74,102,105,102,55,7,594
LGA33200,0,0,0,5,8,12,35,32,13,106,0,0,0,0,0,0,0,0,0,4,9,19,36,9,31,36,23,15,7,181,46,89,213,131,205,200,177,113,31,1200
LGA33220,53,52,122,170,316,616,1727,1969,910,5934,9,10,24,26,48,57,81,61,27,341,328,308,660,731,880,1090,1414,1230,589,7236,2610,4490,9405,10584,13234,17265,19464,10760,3224,91047
LGA33360,23,16,56,80,150,278,586,610,248,2044,4,7,11,14,30,25,23,13,8,136,220,215,601,662,739,674,468,265,119,3963,1695,3160,7828,8348,9059,8673,5716,2386,679,47544
LGA33430,143,130,383,575,793,1482,2913,3693,1977,12092,22,60,237,272,257,269,312,241,191,1866,1784,2612,6507,5240,4859,4267,4183,3878,2726,36049,16024,39296,86385,84916,83883,73132,62178,35936,12790,494533
