LGA_CODE_2021,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
LGA15240,14434,28841,157,870,694,3261,372,1703,3653,14542,4873,20379,272,1098,489,1552,1899,5905,2657,8558,7531,28936,75,341,277,999,231,848,1780,4979,2369,7169,100,309,312,671,1853,3958,2263,4938,4633,12109,366,768,26965,70647
LGA15270,3000,5990,66,349,245,1151,95,446,1555,6188,1963,8139,87,353,157,502,482,1507,727,2357,2692,10492,5,36,54,200,58,220,451,1251,570,1710,22,60,60,128,374,799,456,983,1025,2692,86,181,6800,19357
LGA15300,1141,2267,16,85,95,383,35,161,610,2473,757,3103,32,120,77,223,195,604,297,949,1056,4059,9,47,32,112,43,184,251,757,332,1098,14,33,23,39,205,466,232,533,561,1627,62,146,2822,8102
LGA15350,3382,6738,17,91,429,1901,18,71,1812,6950,2280,9005,170,719,522,1805,407,1277,1106,3798,3388,12804,3,15,66,209,8,31,295,683,372,938,29,87,171,366,285,614,488,1068,862,2006,95,191,7723,21743
LGA15520,1828,3651,22,114,112,522,38,169,701,2824,874,3634,61,243,110,352,213,659,388,1259,1268,4886,3,29,26,108,21,76,150,405,205,621,9,36,27,54,121,264,157,350,370,977,31,53,3493,9567
LGA15560,422,834,9,44,29,116,8,48,158,648,207,853,16,53,28,82,56,182,105,318,312,1166,3,22,8,38,7,18,43,124,66,192,0,7,0,8,61,131,63,145,130,338,11,28,872,2368
LGA15650,1643,3277,31,187,175,809,77,384,947,3795,1238,5178,67,286,108,350,298,936,477,1574,1715,6751,10,59,65,257,41,148,369,1046,493,1507,21,67,43,85,253,543,315,696,803,2198,60,119,4222,12349
LGA15700,2638,5282,28,160,166,801,63,289,821,3301,1082,4548,66,279,104,335,393,1241,558,1858,1642,6405,19,99,72,261,42,172,392,1124,536,1656,30,83,68,162,405,871,496,1120,1037,2773,89,182,5401,14649
LGA15750,1391,2780,26,145,113,549,44,182,710,2863,894,3739,30,127,78,253,238,719,345,1096,1233,4843,3,25,27,124,18,65,220,656,278,861,11,31,38,75,198,419,241,527,524,1393,45,99,3196,9107
LGA15800,626,1235,12,70,50,227,22,93,280,1140,361,1531,16,67,35,111,85,249,140,432,493,1956,3,15,25,82,19,72,124,361,170,532,6,16,18,34,86,180,109,241,278,771,27,66,1422,4027
LGA15850,647,1296,16,97,53,238,26,119,317,1309,414,1757,23,92,41,130,111,335,174,556,586,2310,5,17,28,103,19,80,107,342,160,534,9,27,25,47,98,210,132,278,286,820,29,62,1551,4484
LGA15900,17347,34633,209,1145,1638,7555,332,1515,9800,37553,11975,47768,754,3132,1567,5346,2853,9008,5165,17487,17135,65254,70,303,468,1578,250,907,2795,6923,3586,9711,251,768,802,1765,2804,6073,3860,8606,7440,18316,871,1804,42799,120015
LGA15950,9878,19626,10,73,433,1893,28,121,4178,14881,4649,16977,133,539,688,2296,621,1913,1440,4751,6094,21725,3,13,138,390,15,42,833,1831,994,2274,61,180,399,872,610,1276,1073,2335,2061,4607,369,761,18403,46722
LGA15990,26993,54201,386,2060,3860,17403,524,2328,19437,75446,24211,97239,2199,9331,4027,14289,5714,18591,11941,42215,36150,139451,81,326,631,1940,166,555,2743,6584,3621,9406,458,1481,1208,2743,3296,7237,4963,11461,8589,20867,713,1485,72448,216008
LGA16100,705,1393,10,54,44,207,25,103,257,1046,335,1416,21,76,23,77,123,378,166,540,502,1954,0,13,14,50,9,31,93,240,117,332,3,5,12,23,93,188,106,225,219,556,9,16,1432,3919
LGA16150,4331,8633,87,506,465,2152,157,750,2836,11299,3540,14708,152,637,288,940,702,2216,1145,3790,4683,18503,34,163,146,558,105,409,897,2461,1185,3596,61,200,132,285,622,1344,818,1826,2004,5424,168,353,11184,32910
LGA16200,1524,3055,23,147,158,758,58,270,762,3054,1002,4234,48,204,77,243,257,803,386,1247,1390,5482,19,80,59,213,36,150,305,908,422,1362,11,27,46,94,228,499,281,616,704,1974,45,97,3668,10604
LGA16260,24427,49408,278,1602,2770,12653,425,1944,21182,78674,24657,94870,1543,6623,3129,11035,5065,16698,9745,34360,34399,129231,75,360,542,1796,165,579,2879,7358,3658,10095,414,1378,1226,2831,3641,7983,5277,12197,8935,22291,1368,2896,69127,203822
LGA16350,17948,36493,601,3575,2538,12140,1018,4899,14821,58282,18985,78900,1504,6600,1683,5896,5606,18743,8796,31239,27776,110138,182,946,707,2609,482,1817,4394,12217,5770,17581,412,1380,809,1833,4273,9667,5496,12883,11264,30463,905,1929,57893,179020
LGA16380,12061,24135,140,775,847,3896,253,1129,4212,16649,5449,22446,337,1392,681,2261,1595,4962,2612,8621,8061,31066,64,301,282,930,145,534,1532,4196,2018,5966,108,355,339,712,1500,3203,1945,4275,3965,10240,270,567,24361,66009
LGA16400,9863,19727,176,971,737,3448,322,1478,3859,15212,5088,21104,343,1428,565,1873,1685,5331,2592,8633,7674,29743,55,263,243,877,181,653,1329,3727,1812,5516,110,342,254,549,1336,2877,1701,3770,3507,9286,223,465,21270,59219
LGA16490,6601,13182,124,707,737,3370,207,941,4660,17889,5736,22907,401,1683,624,2138,1415,4517,2436,8326,8175,31237,30,124,147,463,80,268,980,2477,1229,3342,82,256,192,411,817,1764,1089,2428,2322,5768,222,452,17312,50635
LGA16550,13402,26868,109,581,1392,6200,164,712,8572,32308,10232,39801,691,2937,1626,5773,2314,7483,4632,16193,14865,55994,26,112,277,879,58,200,1536,3663,1899,4856,196,626,649,1457,1981,4281,2824,6369,4731,11225,704,1482,33700,95572
LGA16610,2770,5553,41,235,208,995,103,503,1047,4270,1393,6003,88,365,118,404,497,1571,707,2339,2102,8345,15,75,69,244,58,233,478,1372,627,1929,34,117,79,156,457,985,568,1260,1193,3185,96,208,6165,17296
LGA16700,13496,27174,116,638,1320,5941,156,686,9541,35592,11134,42857,809,3488,1700,6001,2791,9155,5306,18639,16439,61499,23,93,238,737,61,216,1341,3271,1661,4314,187,601,609,1372,1856,4130,2648,6100,4314,10417,744,1544,34985,100630
LGA16900,8097,16322,193,1046,803,3669,334,1563,4658,18243,5984,24520,520,2214,567,1983,2191,7178,3273,11372,9257,35886,58,256,256,908,180,685,1482,4013,1983,5873,170,549,300,656,1594,3534,2064,4736,4045,10603,289,596,21682,63408
LGA16950,15027,30074,174,953,923,4287,334,1547,5204,20387,6629,27171,372,1542,647,2118,2107,6652,3127,10310,9758,37481,67,308,309,1125,195,723,1873,5139,2450,7292,116,364,366,786,1943,4214,2429,5367,4877,12656,383,804,30043,81015
LGA17000,2480,4934,64,339,294,1374,105,488,1619,6470,2080,8667,130,549,188,628,647,2051,968,3228,3049,11894,19,95,47,165,39,173,439,1188,547,1619,20,71,67,139,333,725,423,937,962,2557,73,164,6568,19548
LGA17040,2546,5049,36,195,223,1000,56,263,1159,4563,1477,6017,78,320,149,474,368,1151,601,1948,2068,7965,5,44,45,143,17,61,272,727,346,971,23,75,74,162,274,579,372,811,719,1783,52,108,5391,14908
LGA17080,1839,3655,34,188,137,632,58,269,788,3138,1021,4221,62,240,94,296,277,857,430,1395,1451,5618,5,28,43,145,26,102,256,710,334,990,15,39,43,89,241,500,295,631,626,1621,48,90,3963,10989
LGA17100,4258,8753,60,342,477,2240,71,317,2968,11167,3573,14065,347,1561,554,1967,1055,3544,1953,7068,5528,21130,16,72,94,335,18,50,342,919,469,1378,73,245,216,497,644,1448,931,2194,1399,3570,360,805,11545,34259
LGA17150,23731,47675,459,2512,3075,14089,584,2659,16416,64089,20534,83348,2160,9327,2806,10035,6475,21468,11444,40829,31979,124177,84,358,584,1891,202,725,2580,6387,3447,9366,437,1382,943,2118,3573,7859,4946,11363,8396,20726,651,1343,64749,193921
LGA17200,29833,59592,23,123,513,2218,59,245,7925,27600,8525,30186,237,978,965,3137,1137,3588,2343,7700,10863,37884,19,79,199,648,74,263,1731,3909,2018,4891,156,489,769,1659,1666,3551,2593,5698,4609,10586,1394,2937,46705,111005
LGA17310,6825,13626,120,640,616,2902,231,1064,3564,14113,4534,18729,230,969,430,1371,1119,3503,1780,5836,6311,24564,40,208,198,742,121,454,1477,4208,1840,5614,89,268,226,505,985,2113,1304,2889,3144,8502,273,569,16549,47259
LGA17350,779,1557,20,117,66,304,24,110,292,1238,406,1775,16,78,30,87,122,393,173,560,573,2337,6,17,17,70,18,53,89,247,128,377,5,15,17,32,98,206,118,254,244,634,28,50,1625,4583
LGA17400,1030,2051,10,46,53,273,21,105,239,936,331,1364,17,62,36,113,83,265,136,438,466,1807,7,26,19,70,20,60,119,337,164,496,8,15,15,28,105,227,122,270,283,766,15,36,1800,4654
LGA17420,16298,32876,447,2508,3483,16061,529,2442,16452,64511,20916,85512,2172,9400,3357,12108,5694,18967,11221,40473,32140,125993,60,265,404,1293,116,400,1652,4322,2232,6278,378,1238,729,1737,2117,4838,3220,7807,5452,14086,408,878,54291,173828
LGA17550,11692,23362,143,770,858,3918,313,1408,5152,20223,6464,26318,405,1688,706,2381,1898,6074,3006,10142,9471,36457,61,273,310,1059,184,685,1637,4345,2188,6360,149,483,408,880,1908,4086,2462,5451,4655,11812,360,754,26176,72383
LGA17620,1755,3490,28,148,174,800,62,263,829,3320,1098,4528,85,340,105,316,229,699,412,1352,1508,5881,0,3,31,112,21,74,218,582,270,766,11,47,40,92,196,413,251,547,525,1316,36,68,3821,10753
LGA17640,1205,2381,12,85,75,358,35,156,457,1829,579,2427,42,175,66,198,201,631,310,1004,891,3431,0,7,14,55,15,47,86,235,118,334,10,34,18,35,106,229,138,301,255,639,28,55,2379,6512
LGA17650,794,1577,13,86,60,283,38,160,304,1214,415,1742,23,81,51,169,110,348,178,602,595,2341,0,4,13,51,12,34,107,297,135,386,10,31,26,49,83,167,113,250,246,635,28,56,1666,4611
LGA17750,6678,13266,178,1070,739,3510,259,1224,4201,16715,5378,22525,294,1242,504,1659,1168,3674,1967,6574,7342,29091,34,152,201,731,127,494,1368,3728,1732,5107,112,360,218,452,941,2026,1271,2842,3001,7947,251,528,17273,50836
LGA17850,468,923,0,3,34,136,9,32,155,630,195,799,10,18,20,68,46,140,77,232,271,1035,0,0,11,32,4,12,31,86,44,132,0,0,6,14,26,45,27,63,73,193,10,21,820,2173
LGA17900,460,928,3,30,34,140,10,50,183,717,232,935,7,29,21,61,45,134,73,228,305,1162,3,26,21,77,12,39,99,300,135,434,0,5,9,16,78,183,88,199,219,634,23,46,1012,2775
LGA17950,287,571,0,9,29,147,5,41,132,551,174,745,12,36,15,31,39,114,57,187,237,929,0,8,3,13,6,22,43,122,51,163,0,3,6,12,35,71,41,87,92,249,10,28,625,1780
LGA18020,1092,2186,8,62,79,391,30,127,390,1604,510,2186,31,130,54,180,144,453,233,761,744,2949,13,55,35,117,11,51,147,397,199,614,12,32,32,66,136,293,185,393,380,1012,37,72,2252,6210
LGA18050,7487,14913,56,291,753,3394,58,248,4488,16831,5349,20767,265,1141,787,2777,706,2225,1760,6142,7114,26905,12,42,166,506,19,64,744,1695,938,2310,77,221,310,672,598,1263,986,2162,1918,4471,258,529,16776,46814
LGA18100,508,1015,7,34,39,186,7,47,153,624,213,893,3,19,35,112,60,178,102,303,310,1201,0,10,10,26,8,18,37,119,54,176,4,26,8,7,59,131,76,169,127,342,27,49,975,2609
LGA18200,878,1758,14,77,76,335,32,141,421,1690,543,2241,25,103,49,151,150,463,223,719,767,2964,0,10,16,63,11,39,93,253,114,356,10,38,28,62,83,188,127,287,241,641,25,63,1912,5430
LGA18250,7204,14463,49,259,1091,4852,68,296,6227,23472,7441,28885,419,1754,1361,4765,1334,4290,3112,10808,10550,39685,8,32,182,568,24,80,868,2058,1090,2740,106,339,509,1197,896,1924,1512,3473,2599,6211,347,736,20701,61097
LGA18350,7128,14279,93,525,554,2577,183,855,3002,11874,3836,15824,254,1057,476,1565,1063,3396,1785,6023,5623,21845,23,127,142,466,78,286,588,1582,833,2459,91,291,175,381,873,1909,1133,2572,1965,5039,157,317,14868,41480
LGA18400,5310,10720,202,1156,697,3350,341,1609,3836,15529,5076,21634,431,1900,423,1516,1623,5439,2484,8849,7557,30489,37,188,130,456,99,347,740,2060,1001,3060,71,224,147,317,718,1620,935,2168,1939,5223,112,246,14922,46680
LGA18450,21898,44059,396,2225,2384,11002,624,2892,12942,50611,16341,66731,1380,5888,1963,6902,5100,16728,8443,29511,24785,96244,129,608,632,2137,344,1245,3275,8671,4380,12657,408,1311,891,1980,3940,8703,5241,11996,9627,24654,841,1768,57143,166731
LGA18500,6407,12720,32,185,629,2811,47,187,3119,11749,3825,14930,261,1086,757,2617,655,2044,1674,5748,5501,20674,8,31,136,405,11,34,610,1392,766,1869,65,194,306,672,507,1076,878,1939,1641,3811,212,431,13761,37633
LGA18710,1962,3940,32,184,251,1147,67,299,1172,4691,1518,6314,115,465,206,684,429,1366,745,2520,2260,8833,12,54,41,136,18,60,191,516,263,763,30,95,62,123,194,410,284,634,553,1396,36,75,4813,14249
LGA19399,118,230,0,0,5,19,3,9,69,258,76,290,0,4,5,18,19,59,25,81,108,373,0,0,0,3,0,0,16,36,14,38,0,0,0,0,7,17,14,20,24,63,3,6,251,678
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,1894,3764,17,88,133,628,24,106,705,2743,878,3564,62,238,115,368,210,653,380,1259,1261,4824,5,11,35,124,10,40,169,402,218,573,14,39,38,75,155,319,207,436,423,1009,38,71,3617,9665
LGA20260,1434,2839,18,99,94,410,32,139,544,2192,683,2843,28,121,70,236,220,657,317,1013,1001,3852,8,34,29,101,16,67,190,537,247,741,13,37,33,72,184,404,238,512,481,1258,54,109,2973,8057
LGA20570,11872,23702,174,949,1201,5613,326,1482,6736,26412,8436,34454,471,1993,941,3166,1882,5991,3304,11146,11742,45604,94,421,424,1423,212,813,2353,6292,3089,8944,196,620,540,1153,1907,4127,2646,5901,5732,14844,444,931,29786,85084
LGA20660,12696,25465,163,926,1505,6859,205,908,9075,34780,10944,43469,959,4111,1646,5920,2919,9465,5516,19498,16457,62966,48,223,333,1076,69,224,1592,3892,2041,5419,251,827,664,1497,2159,4707,3078,7028,5120,12455,503,1061,34785,101952
LGA20740,5781,11511,50,268,360,1635,93,405,1972,7774,2472,10079,112,479,279,904,696,2170,1089,3550,3565,13632,21,104,109,374,53,210,610,1603,802,2298,49,144,127,277,644,1390,819,1806,1620,4103,108,232,11074,29480
LGA20830,6896,13820,141,796,615,2949,171,795,3484,13802,4410,18350,297,1282,469,1577,1233,3920,2001,6775,6408,25123,52,221,181,646,77,276,928,2575,1236,3713,89,269,235,502,800,1738,1117,2507,2350,6225,184,391,15843,45551
LGA20910,10418,20770,119,626,1698,7572,103,448,6808,26382,8730,35025,867,3660,2221,7940,1989,6384,5078,17983,13810,53007,22,79,306,908,36,98,1039,2450,1400,3540,172,516,717,1633,1201,2588,2091,4731,3486,8273,250,524,27964,82564
LGA21010,2084,4156,18,93,109,516,27,128,596,2355,757,3095,61,258,85,274,294,913,437,1440,1197,4535,16,52,43,151,24,85,217,594,296,881,15,51,41,101,257,541,320,697,618,1573,46,94,3939,10360
LGA21110,16248,32454,136,754,2912,13117,159,641,10362,39950,13565,54465,1477,6277,3750,13481,3285,10539,8514,30295,22080,84767,27,113,558,1771,51,167,1685,4014,2325,6066,291,896,1189,2735,1740,3702,3210,7333,5540,13401,748,1560,44611,132174
LGA21180,15455,31712,455,2815,2225,10737,569,2805,11132,43910,14385,60264,1575,6985,2053,7420,5926,20053,9556,34455,23938,94721,194,986,721,2691,321,1273,3061,8514,4300,13457,610,2114,1025,2500,4511,10565,6155,15183,10455,28639,1181,2602,51032,157667
LGA21270,826,1645,15,76,73,348,13,48,257,1068,357,1538,18,75,67,218,111,347,198,645,554,2178,4,12,8,32,8,25,75,222,92,282,3,9,14,27,87,176,101,215,200,503,31,67,1613,4391
LGA21370,4892,9737,75,382,401,1936,116,541,1902,7611,2494,10473,190,807,261,871,828,2621,1284,4291,3775,14766,18,89,124,445,69,251,650,1823,869,2603,57,183,121,265,618,1325,797,1776,1669,4380,131,267,10459,29158
LGA21450,10614,21470,316,1862,1568,7428,408,1889,9513,37418,11806,48599,826,3539,1049,3667,2398,7913,4263,15119,16071,63718,90,456,365,1365,157,570,1983,5425,2599,7822,283,939,442,993,1666,3725,2390,5655,4995,13481,386,810,32066,99475
LGA21610,27033,54996,1277,8010,5816,28047,1279,6245,30209,118448,38588,160750,3046,13521,4102,14563,8808,29541,15961,57624,54550,218378,313,1582,998,3597,503,1946,5180,14276,6990,21399,790,2721,1314,3069,5356,12319,7460,18103,14450,39499,1308,2821,97338,315692
LGA21670,1734,3489,15,96,113,525,37,162,488,1942,652,2725,53,229,79,233,268,832,398,1298,1050,4027,13,50,34,144,30,113,273,775,355,1080,18,59,39,82,282,601,338,743,689,1825,60,133,3540,9473
LGA21750,2692,5349,55,292,231,1085,57,278,1133,4519,1473,6180,117,496,157,500,406,1295,676,2289,2151,8467,12,62,51,184,25,77,315,867,403,1189,39,125,65,130,332,743,436,1003,837,2198,94,193,5774,16204
LGA21830,2066,4103,43,230,183,878,38,209,772,3183,1036,4501,83,341,121,371,330,1038,530,1748,1574,6247,13,55,29,125,19,71,215,584,273,833,18,49,38,84,267,568,321,694,596,1536,70,145,4309,12030
LGA21890,14774,29717,147,855,1419,6416,179,803,9390,34997,11131,43071,840,3639,1604,5705,2663,8860,5112,18204,16246,61277,38,185,335,1086,92,317,1772,4312,2233,5907,227,767,678,1511,2614,5826,3519,8110,5761,14015,945,2003,37717,107006
LGA22110,7096,14121,85,468,360,1646,145,655,2171,8571,2758,11349,161,660,273,885,922,2927,1350,4464,4111,15818,21,88,124,428,83,292,758,2090,979,2891,53,171,161,329,728,1552,938,2054,1920,4945,151,307,13282,35191
LGA22170,13185,26569,238,1327,1464,6695,377,1746,9024,34551,11100,44320,804,3415,1216,4202,3121,10160,5145,17776,16241,62097,94,441,532,1771,251,879,2736,7085,3614,10179,351,1125,709,1593,2911,6428,3974,9146,7587,19326,570,1196,37590,109189
LGA22250,1477,2943,20,111,95,451,30,150,470,1915,621,2624,37,147,76,237,218,694,328,1074,947,3699,4,28,29,111,12,50,151,425,200,619,5,11,17,41,152,324,174,374,377,988,42,97,2842,7730
LGA22310,14727,29500,151,857,2187,9965,157,715,10615,40548,13110,52084,1005,4244,2398,8599,2555,8225,5956,21064,19064,73146,34,146,385,1184,67,222,1633,3855,2124,5400,248,784,918,2065,1851,3965,3012,6817,5132,12212,658,1384,39585,116250
LGA22410,2739,5478,33,173,152,709,53,241,958,3760,1199,4882,74,308,149,454,430,1335,652,2098,1852,6984,14,56,66,218,41,140,323,868,441,1284,15,47,69,146,301,643,385,829,824,2116,67,142,5483,14717
LGA22490,2638,5276,86,475,385,1819,101,454,1863,7554,2434,10303,203,856,251,857,650,2121,1106,3828,3541,14125,15,71,50,166,28,116,267,709,361,1064,38,119,56,121,293,632,387,873,746,1934,50,111,6984,21452
LGA22620,13134,26250,257,1448,1271,5925,340,1572,7158,28144,9024,37082,628,2692,971,3259,2203,6986,3801,12934,12826,50015,109,493,460,1576,216,775,2376,6387,3157,9230,181,576,463,986,1995,4316,2635,5881,5796,15111,521,1081,32281,92460
LGA22670,12130,24976,392,2428,1856,9057,422,2039,9820,38472,12492,51992,1106,4975,1665,5900,3872,13094,6644,23970,19135,75966,121,624,474,1808,204,812,2185,5972,2987,9215,440,1574,836,2014,3337,7789,4620,11376,7605,20589,1034,2319,39906,123856
LGA22750,29544,59097,429,2442,2696,12512,619,2846,16862,65420,20611,83213,1415,5966,2474,8481,5226,16775,9107,31228,29719,114440,160,741,900,2999,387,1368,4262,11187,5706,16299,512,1628,1172,2616,4356,9587,6040,13827,11749,30126,1088,2246,72099,205914
LGA22830,6963,13930,164,1003,749,3641,227,1085,3877,15555,5012,21289,367,1556,482,1615,1391,4471,2239,7640,7258,28929,59,273,255,907,141,503,1255,3495,1704,5173,117,364,209,464,1035,2249,1360,3071,3060,8252,247,527,17523,51634
LGA22910,2412,4804,23,135,150,671,31,157,758,2971,965,3938,53,204,113,376,302,954,471,1537,1434,5477,7,16,44,135,23,68,220,534,285,757,14,46,55,116,255,538,322,697,608,1452,51,99,4500,11832
LGA22980,777,1556,15,79,51,251,8,30,267,1096,340,1455,25,91,43,121,128,389,188,601,525,2066,5,13,13,39,0,7,69,193,90,249,8,17,16,27,77,160,97,202,181,450,28,55,1516,4125
LGA23110,8937,17930,141,822,994,4529,166,793,6785,25750,8088,31900,548,2334,1026,3636,1959,6368,3531,12340,11623,44239,39,167,258,852,83,300,1293,3202,1672,4521,177,577,438,986,1674,3696,2291,5265,3966,9792,455,963,24972,72927
LGA23190,2387,4777,28,166,235,1057,57,266,1195,4687,1513,6181,104,421,152,493,366,1142,624,2052,2139,8228,9,35,67,222,38,125,368,1011,478,1403,24,73,66,138,292,617,385,833,861,2231,71,141,5463,15381
LGA23270,16782,34133,921,5645,3506,17482,858,4255,19024,75691,24303,103081,2208,10014,2157,7781,6466,22242,10826,40035,35130,143114,236,1200,747,2863,355,1350,3388,9654,4735,15065,653,2271,914,2176,4463,10568,6028,15012,10757,30075,970,2116,63644,209443
LGA23350,2355,4687,31,173,217,987,33,161,1021,4059,1306,5378,82,313,155,494,341,1073,578,1872,1886,7259,4,27,35,131,18,69,204,534,269,760,20,55,62,130,220,447,298,631,569,1395,49,102,4854,13438
LGA23430,15677,31588,217,1176,1936,8685,263,1154,11169,42358,13589,53384,1160,4926,2138,7559,3756,12266,7056,24754,20643,78143,49,222,428,1364,124,425,1986,4877,2585,6891,331,1043,913,2036,2885,6300,4135,9387,6720,16280,629,1331,43676,127335
LGA23670,15731,31741,253,1395,1966,8878,353,1629,10815,41371,13387,53277,1497,6460,2235,7989,4893,16051,8629,30501,22010,83776,73,323,455,1535,162,577,1937,5018,2630,7454,370,1179,843,1931,2954,6584,4164,9696,6796,17145,605,1275,45145,133938
LGA23810,8457,16885,151,844,685,3191,223,998,3964,15469,5019,20500,364,1521,494,1661,1600,5069,2460,8248,7471,28751,59,289,235,841,161,613,1692,4589,2148,6326,130,428,308,666,1454,3152,1896,4242,4048,10571,289,592,20265,56794
LGA23940,1023,2044,14,64,91,416,19,96,329,1339,446,1915,34,126,50,174,142,453,229,753,671,2667,0,3,19,59,4,14,82,250,107,332,5,9,21,48,119,248,143,304,249,634,27,61,1973,5409
LGA24130,5804,11601,93,494,722,3306,135,622,3682,14585,4629,19006,359,1503,645,2270,1140,3632,2148,7401,6774,26406,18,94,146,490,49,158,599,1610,815,2355,90,278,195,429,641,1384,921,2094,1739,4446,105,226,14419,42686
LGA24210,13088,26340,154,853,1697,7694,197,823,8206,31540,10257,40918,1183,5091,2215,7914,3829,12611,7230,25614,17484,66533,31,123,354,1150,80,251,1275,3238,1737,4763,288,941,727,1708,1961,4376,2980,7024,4719,11787,471,989,35767,105640
LGA24250,1437,2860,15,79,97,435,14,61,520,2085,650,2661,31,117,51,166,160,486,246,766,896,3428,3,12,22,68,7,31,117,289,152,404,8,15,17,43,137,280,165,343,307,740,21,36,2660,7068
LGA24330,8587,17289,58,341,713,3240,80,407,5747,21328,6608,25315,384,1651,810,2821,1244,4089,2438,8562,9039,33875,28,124,210,714,89,328,1091,2661,1416,3838,148,499,388,891,1378,3083,1911,4467,3329,8302,661,1408,21616,60879
LGA24410,11356,22834,182,1053,1404,6452,225,1033,8418,32205,10231,40741,918,3965,1285,4530,2724,8899,4930,17393,15161,58138,46,224,338,1098,121,398,1508,3755,2015,5484,293,920,626,1390,1991,4325,2906,6637,4916,12119,407,860,31842,93945
LGA24600,19259,38361,39,249,381,1747,34,156,4788,16458,5240,18612,158,668,593,1943,610,1883,1365,4493,6608,23102,12,86,169,551,40,121,1145,2605,1365,3365,103,318,645,1396,950,1993,1702,3704,3071,7070,1745,3615,30685,72150
LGA24650,11921,24271,523,3257,2763,13258,622,3000,15282,60247,19194,79761,1376,6058,1795,6484,3825,12965,7001,25503,26188,105255,192,1028,667,2502,292,1101,3060,8717,4216,13348,411,1397,673,1567,2562,5889,3644,8852,7858,22204,605,1323,46567,153060
LGA24780,6124,12242,117,653,585,2769,190,877,3046,12076,3934,16370,246,1032,350,1129,1133,3589,1728,5747,5667,22119,33,168,201,724,126,478,1115,3077,1480,4441,88,297,196,441,929,2043,1222,2783,2703,7219,239,509,14729,42097
LGA24850,4814,9653,134,742,535,2509,182,854,3527,13826,4382,17926,299,1310,371,1288,1132,3683,1807,6274,6184,24206,18,83,143,537,92,331,842,2336,1090,3280,86,290,198,454,868,1921,1152,2665,2244,5944,161,341,13404,40137
LGA24900,4049,8066,70,393,284,1356,99,469,1425,5743,1883,7960,147,637,182,609,574,1806,902,3051,2783,11014,18,65,76,271,46,157,516,1400,657,1890,41,130,86,185,474,1020,603,1336,1255,3224,76,163,8172,22463
LGA24970,17893,36175,177,938,2485,11019,240,1056,12551,47396,15449,60410,1425,6068,3178,11222,4532,14774,9127,32067,24572,92478,45,204,505,1669,98,316,1847,4701,2496,6889,370,1207,1192,2765,2912,6456,4475,10424,6972,17317,1089,2320,50528,148287
LGA25060,12016,24117,139,751,1457,6649,141,618,7873,30029,9606,38049,983,4295,1679,6080,2804,9239,5463,19609,15068,57653,37,169,319,1035,77,238,1356,3323,1792,4762,244,791,589,1326,2012,4446,2844,6569,4636,11329,670,1407,32394,94507
LGA25150,3999,8020,82,463,447,2047,136,617,2594,10251,3253,13379,219,949,321,1106,902,2928,1447,4979,4703,18358,23,97,130,442,58,209,611,1672,814,2417,69,230,133,300,576,1279,776,1804,1590,4224,124,256,10421,30862
