LGA_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
LGA12700,87,916,1430,608,472,3515,63,3578
LGA12730,176,1176,1251,445,221,3262,63,3331
LGA12750,713,6364,6255,1949,1020,16309,296,16603
LGA12850,6337,20587,19144,8331,5333,59730,1183,60918
LGA12870,249,1918,1958,636,372,5130,97,5231
LGA12900,183,1228,1289,500,276,3480,87,3563
LGA12930,6460,21408,16051,5078,2633,51633,766,52401
LGA12950,99,487,577,258,131,1545,51,1598
LGA13010,241,1375,1186,474,279,3555,81,3628
LGA13310,727,4065,4194,1756,1097,11840,211,12045
LGA13340,108,1058,1468,728,503,3867,68,3936
LGA13450,458,2868,3428,1383,940,9075,198,9266
LGA13550,228,1524,1760,690,413,4613,85,4697
LGA13660,68,626,665,293,190,1840,52,1898
LGA13800,884,6100,8434,3813,3579,22817,241,23060
LGA13850,67,398,387,149,94,1098,29,1134
LGA13910,390,2446,2612,1081,697,7223,184,7403
LGA14000,3448,19706,19087,5684,3275,51199,434,51629
LGA14100,373,1539,1849,557,317,4638,36,4670
LGA14170,12955,38423,17208,3385,1308,73279,806,74091
LGA14220,394,2236,2342,918,557,6443,179,6626
LGA14300,111,657,733,330,211,2035,59,2103
LGA14350,594,4098,4018,1524,862,11101,254,11352
LGA14400,297,2700,3660,1144,725,8531,80,8612
LGA14500,1806,14861,17499,5020,2372,41561,301,41864
LGA14550,138,1440,1338,480,267,3663,75,3736
LGA14600,131,726,766,330,203,2155,37,2191
LGA14650,4137,26527,31837,10803,6458,79765,918,80677
LGA14700,1467,7494,4862,1015,459,15293,128,15420
LGA14750,187,1235,1435,629,393,3880,79,3961
LGA14850,914,6256,6290,2220,1184,16870,281,17154
LGA14870,670,2955,2702,1110,718,8152,164,8319
LGA14900,5364,21811,24894,9837,6164,68069,1246,69314
LGA14920,160,922,1015,417,275,2782,64,2848
LGA14950,54,316,437,204,170,1174,30,1202
LGA15050,1484,10088,13278,4737,2716,32303,345,32648
LGA15240,2009,15635,14040,4562,2500,38750,904,39654
LGA15270,418,2887,3635,1515,964,9423,208,9638
LGA15300,320,1355,1384,503,339,3898,143,4042
LGA15350,1283,5409,3542,820,372,11432,104,11544
LGA15520,214,1556,1921,680,388,4756,121,4875
LGA15560,52,411,465,194,140,1259,34,1291
LGA15650,336,2079,2187,813,480,5901,100,6001
LGA15700,469,3382,2799,905,506,8068,195,8265
LGA15750,227,1421,1698,704,421,4475,104,4574
LGA15800,136,737,725,285,204,2094,47,2141
LGA15850,116,737,774,319,239,2180,41,2221
LGA15900,5416,25170,24399,6868,3483,65334,786,66129
LGA15950,6081,18176,6504,976,353,32093,310,32395
LGA15990,6126,34394,35922,10793,6233,93468,909,94377
LGA16100,60,588,784,334,229,1997,39,2038
LGA16150,985,5801,6180,1984,962,15918,266,16183
LGA16200,344,1880,1902,686,486,5301,105,5401
LGA16260,10829,42203,27726,6872,3158,90792,1321,92109
LGA16350,4778,24684,26845,9664,6440,72415,984,73398
LGA16380,1874,13493,12540,3980,2147,34043,811,34848
LGA16400,1142,10359,10917,3694,2373,28478,383,28868
LGA16490,797,7095,9090,3496,2382,22854,248,23100
LGA16550,8149,23746,14048,3334,1454,50721,708,51433
LGA16610,466,3201,3115,1205,643,8630,197,8825
LGA16700,6111,23137,13988,3538,1686,48465,578,49040
LGA16900,1397,8764,10717,3810,2502,27192,350,27543
LGA16950,1863,16055,16005,5106,2936,41960,703,42667
LGA17000,299,2206,3359,1489,999,8347,93,8443
LGA17040,317,2480,2993,1273,839,7909,134,8043
LGA17080,257,1881,2065,883,497,5584,90,5671
LGA17100,2226,7155,4153,1233,671,15437,310,15746
LGA17150,4709,28058,32998,10296,6494,82555,734,83292
LGA17200,37727,45146,10921,1511,584,95895,1848,97743
LGA17310,1395,8205,8694,3025,1880,23210,412,23617
LGA17350,149,795,823,349,232,2347,43,2393
LGA17400,150,1073,954,384,218,2787,92,2875
LGA17420,1454,16978,26013,8922,5957,59324,483,59810
LGA17550,2181,14526,13747,4214,2296,36962,635,37602
LGA17620,239,1799,2069,834,466,5410,85,5499
LGA17640,81,818,1251,597,447,3189,59,3249
LGA17650,76,668,907,361,242,2251,29,2285
LGA17750,1514,8510,9408,3227,1739,24391,377,24776
LGA17850,47,335,449,188,137,1152,27,1183
LGA17900,128,622,537,187,142,1618,39,1660
LGA17950,57,290,319,149,98,913,23,936
LGA18020,166,1160,1180,484,331,3314,85,3400
LGA18050,5100,13137,6825,1375,587,27021,432,27455
LGA18100,83,489,500,248,159,1478,25,1500
LGA18200,121,666,991,428,234,2440,102,2546
LGA18250,3840,13091,7904,1809,698,27341,255,27599
LGA18350,665,6745,7766,2860,1886,19927,260,20184
LGA18400,425,3688,6601,3178,3226,17123,198,17325
LGA18450,6764,28876,29052,9495,5487,79676,986,80658
LGA18500,3150,10231,6224,1336,689,21626,284,21907
LGA18710,135,1369,2302,1153,908,5867,65,5932
LGA19399,40,122,78,44,57,341,9,353
LGA19499,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0
LGA20110,165,1610,2055,797,491,5123,104,5222
LGA20260,263,1505,1575,638,462,4443,96,4541
LGA20570,2667,16726,16591,5240,2843,44076,583,44654
LGA20660,2773,17713,19078,5104,2524,47190,473,47666
LGA20740,693,6251,6444,1982,988,16359,307,16662
LGA20830,684,6506,8446,3294,2219,21146,290,21441
LGA20910,1895,13841,15730,4121,1984,37582,358,37936
LGA21010,311,1991,2138,876,558,5870,163,6033
LGA21110,4559,25120,23270,6207,3003,62161,553,62715
LGA21180,4468,21575,23000,8839,4856,62740,1211,63949
LGA21270,113,785,850,428,316,2481,76,2555
LGA21370,719,4687,5492,2314,1543,14754,329,15079
LGA21450,1006,11362,16664,6010,4064,39109,502,39607
LGA21610,3333,30757,50007,17682,10038,111827,1540,113365
LGA21670,325,2162,1967,726,464,5642,131,5774
LGA21750,456,2980,3225,1217,777,8649,192,8848
LGA21830,257,1844,2246,1073,798,6210,135,6343
LGA21890,7288,27373,17572,4343,2122,58702,791,59488
LGA22110,842,6664,7463,2769,1592,19335,441,19771
LGA22170,3036,18780,20716,6399,3382,52314,705,53019
LGA22250,202,1398,1529,649,469,4246,117,4359
LGA22310,4987,24884,20826,4564,2105,57370,602,57971
LGA22410,370,2564,2973,1319,826,8038,151,8190
LGA22490,81,1367,3404,1777,1559,8184,107,8287
LGA22620,2290,15823,17697,6341,3831,45982,619,46599
LGA22670,4184,18686,17920,6385,3481,50651,1021,51670
LGA22750,5409,36827,41257,12103,6573,102176,1333,103508
LGA22830,1214,8060,9137,3628,2218,24267,532,24795
LGA22910,221,2291,2596,1044,596,6753,95,6846
LGA22980,133,724,786,382,311,2330,36,2367
LGA23110,2506,13866,12979,3303,1558,34219,449,34663
LGA23190,484,2695,3002,1200,691,8079,140,8216
LGA23270,3359,23070,30789,10907,6377,74507,1239,75740
LGA23350,174,1761,2623,1130,793,6480,132,6615
LGA23430,3751,23245,23995,6298,2988,60277,664,60940
LGA23670,2161,17614,24405,8094,4576,56848,575,57422
LGA23810,2130,10893,10712,3951,2309,29996,611,30610
LGA23940,93,831,1024,586,429,2966,85,3049
LGA24130,379,4378,7608,3216,2268,17853,202,18060
LGA24210,1931,14708,18371,5691,3458,44161,417,44574
LGA24250,104,1126,1521,627,401,3769,59,3830
LGA24330,4176,16189,9797,2212,848,33231,468,33695
LGA24410,2030,15281,17524,4901,2842,42572,433,43006
LGA24600,32071,29411,6840,915,378,69618,1143,70760
LGA24650,1733,15878,23631,8157,4681,54090,816,54907
LGA24780,1275,7014,7772,2958,1770,20780,499,21283
LGA24850,529,4688,6768,2915,1961,16864,275,17140
LGA24900,544,3898,4281,1734,1209,11658,259,11917
LGA24970,4745,24159,26283,7481,3487,66152,822,66979
LGA25060,4650,19700,16279,4363,2230,47221,587,47814
LGA25150,414,3746,5196,2295,1669,13317,183,13500
LGA25250,8792,31777,19269,4860,2344,67035,839,67871
LGA25340,2329,21510,26620,8399,4945,63801,848,64650
LGA25430,345,3047,3031,1117,722,8264,130,8396
LGA25490,151,1558,2584,1174,859,6319,115,6439
LGA25620,152,1735,2287,1023,703,5898,104,6006
LGA25710,356,4413,9238,3787,2958,20757,158,20912
LGA25810,276,1656,1701,688,484,4803,100,4903
LGA25900,8705,26671,10483,1608,607,48076,652,48731
LGA25990,85,774,1105,527,426,2919,62,2976
LGA26080,56,574,586,135,65,1425,11,1441
LGA26170,375,3754,4488,1884,1290,11792,215,12001
LGA26260,341,2228,2360,1065,737,6736,111,6844
LGA26350,7794,22649,12162,2742,1323,46670,562,47229
LGA26430,177,1483,1730,760,488,4634,102,4734
LGA26490,235,3618,6135,1932,1198,13113,157,13270
LGA26610,475,2321,2898,1114,714,7528,192,7718
LGA26670,59,634,930,421,315,2362,50,2406
LGA26700,594,3794,4494,1606,1052,11537,309,11847
LGA26730,774,5145,5376,1641,863,13792,204,13993
LGA26810,769,5574,6621,2577,1682,17233,309,17538
LGA26890,60,445,558,295,251,1611,31,1643
LGA26980,5162,24887,23585,5877,2827,62340,760,63094
LGA27070,3206,24325,31695,10184,5511,74918,1053,75971
LGA27170,757,5519,6534,2074,1122,16006,366,16372
LGA27260,3261,31491,37823,10632,5194,88400,1421,89823
LGA27350,8142,21519,8426,1562,496,40146,501,40646
LGA27450,1584,15189,23164,8965,6420,55318,525,55842
LGA27630,130,886,966,388,302,2670,65,2740
LGA29399,36,80,21,13,0,148,6,156
LGA29499,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0
LGA30250,136,63,19,0,0,210,15,236
LGA30300,72,502,553,231,186,1548,40,1588
LGA30370,224,1331,1854,837,621,4862,135,4995
LGA30410,59,361,318,154,136,1029,30,1058
LGA30450,3,40,35,6,17,110,4,115
LGA30760,35,260,260,108,73,741,17,759
LGA30900,17,53,28,9,21,135,8,144
LGA31000,37311,181962,168679,48007,23578,459539,5577,465124
LGA31750,8,52,31,15,14,112,0,119
LGA31820,2173,14125,13655,4958,2780,37687,778,38462
LGA31900,323,2016,2434,932,532,6233,158,6396
LGA31950,17,41,40,8,19,116,8,121
LGA32080,3794,22320,22637,7057,3434,59243,1073,60318
LGA32250,69,275,186,69,44,644,25,672
LGA32260,625,3965,4024,1365,659,10644,322,10962
LGA32270,316,2838,3467,1525,929,9079,210,9284
LGA32310,222,1424,1415,554,348,3960,121,4081
LGA32330,116,109,61,14,0,303,4,307
LGA32450,97,361,330,127,89,1000,59,1057
LGA32500,119,588,457,163,98,1422,73,1498
LGA32600,9,20,21,10,15,74,10,80
LGA32750,6,43,16,8,3,73,12,82
LGA32770,100,117,35,11,14,282,4,285
LGA32810,227,1813,1651,511,243,4443,115,4560
LGA33100,13,93,69,29,33,232,25,260
LGA33200,35,183,164,83,63,535,11,545
LGA33220,2540,17080,15341,5216,2927,43113,813,43927
LGA33360,966,7545,9092,3424,1762,22794,387,23181
LGA33430,10990,81442,88327,28906,15909,225571,3343,228913
LGA33610,161,1183,1404,577,353,3688,73,3757
LGA33620,839,6806,7614,2990,1832,20085,376,20461
LGA33800,235,1455,1650,657,317,4314,114,4426
LGA33830,65,120,59,17,7,266,16,281
LGA33960,3912,26054,30603,10637,5719,76924,1136,78058
LGA33980,156,1826,2513,1008,646,6154,148,6298
LGA34420,109,77,32,9,7,236,16,247
LGA34530,462,4045,5442,2215,1361,13518,267,13783
LGA34570,55,56,21,8,0,145,10,155
LGA34580,377,3690,5324,2555,1875,13828,312,14142
LGA34590,5355,34896,42304,16939,11147,110644,2001,112653
LGA34710,83,484,439,171,134,1314,32,1342
LGA34770,1748,13183,16834,6667,3660,42101,867,42964
LGA34800,8,73,71,26,47,227,11,238
LGA34830,30,42,21,9,0,93,0,94
LGA34860,225,1426,1640,714,476,4484,97,4581
LGA34880,418,2476,2819,1155,720,7592,249,7836
LGA35010,7738,57622,65673,23619,14264,168910,2110,171018
LGA35250,117,67,37,4,7,234,5,234
LGA35300,470,2100,2390,774,407,6139,276,6416
LGA35600,92,567,495,209,128,1497,34,1528
LGA35670,87,58,38,7,0,193,13,199
LGA35740,769,7554,8584,2939,1679,21532,316,21847
LGA35760,176,1280,1317,578,425,3777,125,3903
LGA35780,152,266,156,39,30,644,31,678
LGA35790,235,172,57,11,3,475,15,491
LGA35800,86,259,199,69,62,683,17,694
LGA36070,79,39,17,9,3,146,6,153
LGA36150,7,87,96,45,35,273,7,279
LGA36250,2654,18344,23293,8707,5106,58103,652,58756
LGA36300,7,65,84,39,37,235,8,243
LGA36370,1962,10734,10839,3835,2040,29409,500,29911
LGA36510,416,4436,5837,2591,1904,15176,250,15430
LGA36580,220,2568,3426,1605,1045,8866,200,9066
LGA36630,599,4436,4478,1859,1041,12409,277,12685
LGA36660,691,4774,5014,1990,1264,13747,281,14031
LGA36720,4972,44461,50224,16867,9715,126238,1691,127927
LGA36820,407,3430,3747,1396,758,9738,248,9986
LGA36910,3460,22655,24200,8514,4947,63781,870,64650
LGA36950,245,386,177,57,35,902,45,950
LGA36960,536,335,98,24,6,998,20,1013
LGA37010,3692,24071,27504,9075,4508,68843,1048,69892
LGA37300,29,307,551,218,99,1203,38,1233
LGA37310,520,3817,4273,1903,1162,11672,233,11901
LGA37340,702,4438,4690,1640,873,12340,273,12614
LGA37400,27,153,123,53,51,413,22,438
LGA37550,125,105,26,16,3,271,8,273
LGA37570,32,29,5,3,0,75,7,79
LGA37600,135,165,119,27,25,474,15,486
LGA39499,0,0,0,0,0,0,0,0
LGA39799,0,0,0,0,0,3,0,3
LGA40070,3421,5409,1717,268,137,10956,155,11116
LGA40120,242,3407,6249,2637,1872,14406,132,14537
LGA40150,73,667,1259,716,631,3343,47,3391
LGA40220,389,4049,4298,1720,1114,11567,156,11724
LGA40250,199,181,75,17,9,476,39,514
LGA40310,276,2882,3714,1582,1170,9631,103,9739
LGA40430,48,385,386,166,109,1091,20,1118
LGA40520,293,1444,1446,646,387,4217,84,4301
LGA40700,997,6489,6956,2085,1059,17589,111,17704
LGA40910,1586,8090,7832,2302,1309,21119,211,21332
LGA41010,100,392,470,188,116,1270,61,1328
LGA41060,4055,19088,17474,5321,2728,48662,568,49233
LGA41140,131,1128,1461,567,381,3671,39,3709
LGA41190,32,188,252,115,85,668,6,675
LGA41330,69,281,193,62,31,632,40,674
LGA41560,294,2294,2358,754,449,6155,111,6267
LGA41750,8,99,159,51,42,367,16,380
LGA41830,17,220,233,103,75,660,15,671
LGA41960,16,144,174,89,57,484,8,492
LGA42030,711,3721,3501,1256,767,9953,138,10089
LGA42110,50,527,593,271,211,1658,14,1673
LGA42250,30,492,1044,624,541,2728,48,2771
LGA42600,1308,6793,5627,1477,742,15948,182,16131
LGA42750,91,642,725,270,166,1896,47,1940
LGA43080,17,100,126,76,72,391,8,398
LGA43220,10,105,138,85,44,379,6,384
LGA43360,40,314,364,150,104,964,16,982
LGA43650,80,1149,2110,1105,884,5335,67,5405
LGA43710,23,463,885,429,246,2042,26,2071
LGA43790,218,1395,1768,693,472,4554,94,4649
LGA44000,5,12,3,0,0,19,10,28
LGA44060,3160,14499,14093,4123,1936,37814,413,38224
LGA44210,123,1254,1313,593,435,3721,71,3793
LGA44340,1224,8121,10323,3380,1852,24900,203,25099
LGA44550,516,4298,5939,2199,1428,14370,146,14514
LGA44620,814,4098,3885,1293,701,10793,159,10947
LGA44830,28,314,428,213,171,1146,22,1167
LGA45040,560,2939,2845,1141,788,8274,154,8426
LGA45090,133,937,1276,519,354,3214,65,3281
LGA45120,67,554,685,309,228,1850,34,1884
LGA45290,1671,7030,5083,1332,682,15801,164,15965
LGA45340,3583,23812,26254,8856,4912,67409,723,68135
LGA45400,20,84,106,53,65,327,12,340
LGA45540,72,306,193,85,49,702,20,723
LGA45680,3231,12750,12171,4158,2325,34627,656,35285
LGA45890,4760,19620,18035,5318,2601,50344,685,51024
LGA46090,519,1876,1711,613,314,5032,112,5143
LGA46300,428,2111,2136,658,304,5638,125,5760
LGA46450,682,2652,2243,900,507,6991,162,7154
LGA46510,662,3202,3204,1003,484,8551,83,8635
LGA46670,215,1222,1390,609,341,3775,56,3837
LGA46860,22,194,275,100,53,638,11,650
LGA46970,28,312,525,212,97,1176,24,1195
LGA47140,3661,18930,18946,6626,3518,51684,744,52426
LGA47290,37,228,289,139,99,790,10,799
LGA47490,23,231,298,130,98,781,14,795
LGA47630,76,702,971,443,293,2477,63,2546
LGA47700,1813,12944,15345,5228,2924,38256,339,38595
LGA47800,103,699,748,323,270,2145,44,2188
LGA47910,53,379,456,178,93,1158,28,1181
LGA47980,1244,6463,5505,1446,734,15401,125,15526
LGA48050,389,3178,2448,704,352,7068,80,7156
LGA48130,114,837,938,430,304,2625,40,2667
LGA48260,248,1164,1218,326,190,3150,31,3184
LGA48340,201,1455,1727,793,469,4650,78,4726
LGA48410,2462,10144,8539,2492,1217,24848,268,25122
LGA48540,1085,3397,2777,1003,529,8790,192,8984
LGA48640,18,108,137,76,68,401,8,414
LGA48750,48,893,974,342,183,2441,29,2466
LGA48830,181,1684,1906,668,428,4862,99,4954
LGA49399,93,349,279,110,134,964,44,1008
LGA49499,0,0,0,0,0,0,0,0
LGA49799,0,0,0,0,0,0,0,0
LGA50080,661,4869,5539,2117,1327,14508,220,14733
LGA50210,1315,9875,13661,4638,2644,32131,419,32549
LGA50250,60,614,560,211,104,1548,33,1581
LGA50280,141,1791,2582,835,427,5777,110,5885
LGA50350,400,2390,2418,715,347,6273,77,6350
LGA50420,1859,11192,10433,2788,1431,27703,352,28055
LGA50490,1286,7139,5930,1629,742,16732,286,17018
LGA50560,22,181,247,121,95,666,12,676
LGA50630,13,162,218,124,71,592,14,599
LGA50770,18,171,241,137,96,663,14,677
LGA50840,52,621,794,327,219,2013,28,2039
LGA50910,15,82,130,56,45,326,7,332
LGA50980,489,1662,1748,713,380,4988,180,5172
LGA51080,13,97,101,88,68,364,6,377
LGA51120,13,98,122,42,43,323,4,332
LGA51190,850,5354,4847,1423,629,13105,252,13356
LGA51260,465,5078,6048,2076,1095,14763,228,14988
LGA51310,493,3442,4306,1332,732,10306,70,10378
LGA51330,1537,10873,13622,4582,2413,33030,413,33444
LGA51400,128,1575,2603,1173,662,6147,79,6221
LGA51470,5,74,86,23,24,212,6,219
LGA51540,156,648,607,196,129,1737,36,1771
LGA51610,8,96,213,105,78,496,11,506
LGA51680,18,307,721,461,403,1911,18,1926
LGA51710,31,167,129,62,24,414,6,422
LGA51750,243,1832,1655,432,190,4353,49,4399
LGA51820,1746,14079,18228,5883,3108,43043,468,43510
LGA51860,0,32,38,20,24,118,4,122
LGA51890,165,1042,1220,553,353,3331,75,3404
LGA51960,58,370,394,186,101,1096,26,1126
LGA52030,6,121,157,76,49,412,0,418
LGA52100,6,120,142,63,51,387,11,395
LGA52170,96,984,1242,430,220,2970,28,2998
LGA52240,8,119,134,92,53,402,5,405
LGA52310,3,93,114,68,77,350,7,359
LGA52380,0,20,23,11,5,59,13,70
LGA52450,17,114,161,91,54,442,10,447
LGA52520,7,113,176,74,48,423,12,431
LGA52590,22,365,501,216,129,1233,21,1253
LGA52660,131,1572,2192,873,476,5237,63,5302
LGA52730,55,841,954,334,147,2326,35,2362
LGA52800,561,625,360,134,82,1760,84,1844
LGA52870,35,649,880,428,281,2277,33,2305
LGA52940,4,92,102,45,29,278,6,282
LGA53010,3,53,93,36,43,230,6,235
LGA53080,22,111,64,19,18,230,28,258
LGA53150,124,1037,1197,371,168,2897,19,2913
LGA53220,163,565,575,198,102,1596,49,1644
LGA53290,223,1524,1908,743,514,4908,79,4990
LGA53360,20,335,413,167,137,1068,25,1097
LGA53430,1113,5448,4698,1158,562,12974,174,13148
LGA53570,34,540,752,373,285,1973,48,2026
LGA53640,9,84,170,77,89,431,7,437
LGA53710,11,108,134,64,55,376,9,383
LGA53780,1775,13766,16665,6264,3624,42095,582,42675
LGA53800,679,4858,5457,2010,1101,14104,239,14338
LGA53920,398,285,108,33,23,839,66,908
LGA53990,238,2719,4225,1737,1022,9945,131,10077
LGA54060,50,496,517,214,119,1398,35,1437
LGA54130,8,115,152,91,63,424,7,424
LGA54170,1451,15938,25740,8972,4897,57002,516,57522
LGA54200,597,5847,8596,3526,2434,21006,247,21248
LGA54280,479,3053,3859,1516,872,9776,213,9991
LGA54310,211,1566,2768,1086,552,6181,123,6308
LGA54340,104,468,493,203,146,1413,43,1456
LGA54410,32,122,137,72,63,422,10,436
LGA54480,0,33,51,35,43,164,6,174
LGA54550,34,180,253,116,135,717,22,737
LGA54620,10,92,100,48,42,294,9,297
LGA54690,5,58,47,16,25,153,4,157
LGA54760,3,56,91,44,58,260,9,270
LGA54830,773,5400,6265,1979,1013,15422,236,15666
LGA54900,14,112,188,59,92,458,10,469
LGA54970,33,75,34,22,9,172,8,183
LGA55040,38,119,101,29,6,294,21,314
LGA55110,1788,13845,12896,4200,2091,34815,543,35358
LGA55180,164,1134,1283,541,333,3449,60,3514
LGA55250,46,103,60,19,22,254,23,276
LGA55320,1660,12760,16236,4905,2639,38196,372,38566
LGA55390,10,27,19,9,3,63,4,66
LGA55460,64,372,406,176,102,1121,31,1151
LGA55530,7,34,45,25,27,137,6,147
LGA55600,33,257,268,127,102,797,30,824
LGA55670,12,62,76,44,23,211,3,214
LGA55740,317,1283,1278,392,212,3481,43,3520
LGA55810,6,45,41,15,18,128,0,128
LGA55880,3,53,57,27,37,173,0,174
LGA55950,5,54,81,37,35,206,9,215
LGA56090,337,3273,5343,2555,1897,13404,136,13541
LGA56160,3,8,7,3,3,29,4,32
LGA56230,163,2092,2363,1104,794,6520,122,6641
LGA56300,27,163,250,103,50,594,9,604
LGA56370,9,68,99,50,37,262,3,262
LGA56460,114,645,592,260,166,1776,43,1819
LGA56580,264,2112,3484,1115,564,7540,59,7602
LGA56620,199,85,25,4,0,314,25,340
LGA56730,198,1265,1430,643,444,3983,88,4070
LGA56790,26,361,452,190,123,1150,45,1191
LGA56860,5,26,29,16,17,86,5,93
LGA56930,16,138,203,98,68,520,4,523
LGA57000,4,32,47,17,22,125,9,139
LGA57080,2559,7115,2098,282,104,12155,169,12329
LGA57140,21,140,138,67,60,423,7,432
LGA57210,44,549,743,362,266,1963,40,2001
LGA57280,264,1432,2004,733,334,4764,103,4872
LGA57350,7,99,109,42,43,305,9,313
LGA57420,29,287,276,91,84,765,22,786
LGA57490,1909,16574,19282,6638,3369,47776,647,48428
LGA57630,0,13,21,4,9,40,0,43
LGA57700,124,2194,4277,1914,1569,10077,131,10211
LGA57770,22,150,109,32,31,349,18,360
LGA57840,988,7374,6620,1789,748,17516,172,17690
LGA57910,5386,35839,34242,9170,4547,89179,1137,90318
LGA57980,709,3794,2303,491,173,7478,62,7534
LGA58050,1942,15965,21448,7887,4743,51985,675,52666
LGA58190,4,43,48,22,24,132,6,136
LGA58260,6,72,65,28,23,202,6,205
LGA58330,30,415,644,310,277,1683,68,1749
LGA58400,6,44,50,18,10,132,0,131
LGA58470,3,26,15,6,8,53,5,57
LGA58510,1416,6847,5140,1257,505,15162,200,15367
LGA58540,5,58,108,53,55,290,8,288
LGA58570,1453,7143,5122,1165,441,15317,136,15450
LGA58610,40,215,251,92,79,671,14,684
LGA58680,7,26,63,38,39,181,4,182
LGA58760,2307,22195,29689,10418,5805,70417,831,71246
LGA58820,57,447,584,272,200,1553,33,1584
LGA58890,4,63,109,51,63,290,8,293
LGA59030,8,21,35,21,14,97,0,101
LGA59100,3,42,105,30,37,226,0,229
LGA59170,9,93,132,85,43,358,8,365
LGA59250,9,37,22,3,7,80,5,84
LGA59310,18,147,205,97,44,514,9,521
LGA59320,0,37,59,33,37,163,0,161
LGA59330,13,79,71,27,18,211,5,209
LGA59340,319,706,624,223,139,2005,116,2122
LGA59350,6,14,15,4,3,42,3,44
LGA59360,16,122,127,60,50,368,13,377
LGA59370,43,461,500,239,151,1393,25,1420
LGA59499,0,0,0,0,0,0,0,0
LGA59799,0,0,0,0,0,3,0,3
LGA60210,132,1065,1085,435,238,2950,50,3000
LGA60410,446,2149,2296,1081,798,6768,117,6889
LGA60610,608,3074,2725,994,587,7987,121,8104
LGA60810,409,3031,3356,1372,902,9074,163,9235
LGA61010,20,287,346,186,140,980,27,1012
LGA61210,108,948,1168,465,264,2960,69,3027
LGA61410,1274,7881,8890,3243,2033,23319,266,23584
LGA61510,222,1198,1414,722,499,4048,57,4102
LGA61610,810,4043,3673,1334,743,10601,169,10769
LGA61810,102,877,940,435,348,2703,67,2763
LGA62010,24,128,139,76,33,398,21,416
LGA62210,187,1007,972,409,266,2839,67,2911
LGA62410,56,689,826,293,194,2053,40,2085
LGA62610,1890,7666,6214,2351,1401,19522,342,19865
LGA62810,2061,8929,7055,2121,1073,21240,222,21459
LGA63010,203,2084,2724,1101,735,6857,113,6966
LGA63210,59,609,925,472,351,2412,36,2451
LGA63410,25,240,231,92,50,639,14,652
LGA63610,529,4934,5951,2177,1346,14945,148,15083
LGA63810,143,1545,1889,775,482,4835,78,4916
LGA64010,2141,10412,9327,3390,1890,27160,567,27729
LGA64210,307,2503,3013,1376,939,8141,116,8257
LGA64610,194,1670,2039,915,602,5417,84,5506
LGA64810,161,2016,2479,1071,691,6426,84,6514
LGA65010,60,524,893,492,454,2424,46,2465
LGA65210,34,399,416,178,96,1120,20,1144
LGA65410,363,2015,2033,856,508,5767,85,5850
