LGA_CODE_2021,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
LGA11150,5,0,4,150,173,322,0,0,0,13,21,34,0,0,0,361,437,798,0,0,0,3,4,4,5,6,3,0,0,0,0,0,0,0,0,0,0,0,3,9,8,13,30,33,64,5,0,4,3,5,5,20,14,33,20,26,51,0,0,0,626,729,1351,14,12,28,4,0,9,0,0,0,0,4,4,0,0,0,0,0,0,0,5,9,287,195,483,0,0,0,0,3,6,293,200,488,220,230,449,1164,1178,2340
LGA11200,0,0,3,119,119,239,0,0,0,8,13,15,6,0,6,110,116,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,5,3,14,14,7,8,17,0,0,0,4,13,15,3,7,8,15,17,35,0,0,0,285,314,594,8,8,11,3,0,3,0,0,0,0,4,4,6,0,8,4,3,4,3,5,8,263,235,494,0,0,0,5,0,5,266,234,505,107,117,231,676,679,1356
LGA11250,36,40,79,722,820,1543,0,0,0,69,81,155,0,0,0,1426,1733,3161,17,22,40,21,28,52,9,14,27,13,11,27,50,61,110,6,5,17,45,54,98,41,59,98,66,66,135,48,72,124,13,22,33,435,632,1067,100,122,224,0,0,0,3085,3814,6903,34,32,67,27,28,55,0,0,3,0,0,0,0,0,6,23,37,58,19,36,57,4436,4147,8585,29,21,51,14,19,26,4479,4184,8663,883,887,1770,8565,9020,17588
LGA11300,1364,1788,3150,659,758,1415,3,4,10,189,204,393,0,0,0,4215,4635,8850,4,7,9,717,834,1547,49,55,106,11,11,22,20,15,40,88,80,168,69,71,139,68,99,168,370,519,884,16,21,39,17,26,39,203,235,435,396,457,856,13,4,14,7092,8039,15131,2329,1709,4038,427,347,778,21,21,43,0,0,0,23,18,42,69,68,138,88,96,181,6870,7043,13909,48,44,88,21,30,45,6930,7118,14049,1401,1448,2855,19657,20556,40217
LGA11350,303,456,753,1185,1271,2458,0,0,0,40,56,94,0,0,0,1701,2066,3770,0,5,5,62,75,137,39,54,97,10,5,11,22,33,52,4,3,7,31,34,69,84,115,194,219,227,448,0,0,5,34,60,94,283,352,631,175,230,408,7,13,22,3896,4608,8502,69,68,135,31,29,70,219,208,429,9,9,17,30,26,51,95,148,240,127,182,315,10167,10678,20841,74,65,131,126,218,342,10368,10958,21325,2310,2286,4591,17313,18800,36116
LGA11400,12,25,45,1467,1646,3112,0,0,0,150,162,315,35,38,71,1708,1797,3504,0,0,5,10,7,20,8,6,12,3,4,11,3,8,14,0,0,0,32,35,67,45,51,100,159,172,335,3,14,20,4,10,21,407,439,849,164,133,300,6,9,9,4209,4543,8754,10,5,17,12,4,22,0,4,5,0,0,0,4,10,11,7,24,37,11,33,48,1959,1689,3649,17,11,28,3,11,10,1981,1710,3695,601,582,1184,6851,6915,13766
LGA11450,779,1040,1814,7618,8926,16547,281,249,528,652,725,1384,59,58,121,18227,19576,37808,14,20,40,1535,1586,3120,170,221,394,183,171,358,89,111,195,348,321,671,233,271,506,728,840,1570,579,703,1279,42,88,134,143,182,326,682,901,1584,1682,1842,3517,55,69,132,33324,36856,70182,2191,2107,4302,2859,2883,5745,35,26,60,0,4,5,609,547,1156,193,228,419,801,777,1578,15679,14219,29898,107,99,204,46,67,117,15823,14391,30215,2766,2660,5425,58587,60735,119325
LGA11500,2101,2684,4782,8429,10036,18464,117,125,246,1125,1257,2379,159,139,299,18935,21251,40189,68,96,166,1601,1628,3233,344,439,785,711,771,1478,113,131,247,635,622,1262,509,496,1007,1144,1394,2535,1135,1278,2421,89,122,219,438,484,923,1004,1177,2185,2791,3113,5907,99,102,204,39454,44678,84136,6260,6123,12385,10381,10031,20408,29,25,55,11,10,21,845,801,1647,428,555,983,1285,1369,2654,20449,18248,38693,194,121,312,101,147,242,20742,18510,39255,6389,6454,12844,86646,89874,176519
LGA11520,1124,1747,2874,2562,3103,5667,25,37,59,310,377,687,4,3,6,14239,15855,30094,7,14,23,1884,2053,3936,82,110,186,30,33,63,62,74,137,250,263,514,127,156,286,226,290,514,918,1128,2047,18,22,38,39,35,68,461,643,1100,739,873,1612,22,21,43,21982,25093,47075,1797,1544,3338,900,890,1792,81,94,179,3,0,3,86,75,160,142,158,294,226,230,453,14212,13916,28128,127,142,270,54,79,136,14392,14137,28525,2457,2482,4935,42959,46218,89177
LGA11570,10065,12400,22461,6869,7973,14847,46,42,92,1696,2019,3713,10,7,21,38328,41311,79642,89,86,167,15455,15971,31423,335,455,790,293,305,605,137,190,333,1403,1437,2839,705,805,1511,1007,1245,2251,1628,1924,3550,125,174,300,231,274,513,1548,1940,3481,4099,4380,8484,155,169,323,74163,80712,154874,4207,3687,7892,45686,41733,87423,103,105,205,9,7,9,477,449,928,570,616,1190,1059,1071,2129,34550,30202,64750,319,198,517,132,197,330,35003,30597,65597,15717,14699,30417,186002,184997,371006
LGA11600,6,3,8,194,222,417,0,0,0,21,21,46,0,0,0,343,334,683,0,0,0,0,0,0,0,0,0,0,0,0,9,9,18,0,0,0,12,4,18,3,7,17,42,29,66,3,3,5,6,0,11,97,100,199,35,37,67,0,0,0,775,769,1541,26,21,49,21,11,28,3,3,6,0,0,0,26,14,37,4,0,5,30,15,40,461,350,817,3,5,4,0,0,0,472,358,822,198,167,367,1527,1343,2866
LGA11650,1316,2095,3414,25964,32140,58107,7,8,20,2334,2872,5199,123,141,268,34987,40367,75356,116,175,294,1181,1253,2427,570,809,1377,324,377,700,296,375,670,175,162,345,1550,1679,3228,1387,1772,3153,3142,3756,6901,263,376,640,631,720,1353,3544,4775,8318,3620,4183,7796,128,152,278,80326,96098,176433,1172,1034,2205,802,690,1500,214,231,439,64,52,114,277,266,546,407,573,976,748,886,1633,71293,65281,136578,578,455,1036,282,481,758,72153,66219,138374,11234,11370,22602,167980,178618,346596
LGA11700,5,5,6,88,98,187,0,0,0,6,9,13,0,0,0,191,194,384,0,0,0,0,0,3,0,0,0,0,0,0,4,3,9,0,0,0,4,0,4,8,9,14,14,15,31,0,0,0,0,5,3,19,30,51,8,7,12,0,0,0,353,362,716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,6,317,296,614,0,0,0,0,0,0,318,300,621,198,180,374,876,846,1725
LGA11720,132,241,371,5644,6579,12224,0,0,0,334,369,706,0,0,3,5359,5903,11259,14,17,25,83,75,160,85,139,222,62,72,138,33,56,84,3,9,9,147,181,328,191,210,399,640,770,1408,85,114,198,134,155,286,977,1342,2323,495,571,1066,17,16,36,14310,16568,30872,108,93,205,62,54,112,10,12,16,8,14,22,33,23,52,57,114,167,97,148,243,13721,12406,26127,97,79,173,35,64,105,13853,12546,26401,3465,1945,5406,32030,31603,63632
LGA11730,128,248,375,4908,5627,10529,0,0,0,317,333,643,0,0,0,4253,4910,9165,5,7,13,35,37,73,155,173,321,26,33,61,42,53,93,4,3,7,61,59,116,140,208,349,1161,1309,2471,83,100,184,64,92,152,681,807,1484,480,557,1032,0,6,10,12409,14303,26711,47,52,101,45,39,87,11,14,23,10,9,18,49,57,104,64,110,170,123,174,291,10851,9760,20609,79,60,137,34,58,90,10967,9879,20845,3337,2349,5684,27064,27059,54115
LGA11750,16,18,28,281,302,577,0,0,0,46,50,95,0,0,0,586,600,1187,0,0,0,5,6,4,0,0,0,5,5,8,0,5,8,0,0,0,3,3,7,8,9,17,33,33,68,3,0,3,3,5,3,75,77,153,19,23,41,0,6,3,1069,1124,2189,7,4,11,9,10,12,0,0,0,0,0,0,8,3,12,7,0,8,11,7,17,607,513,1124,4,0,11,0,0,5,615,517,1135,337,323,661,2062,1993,4059
LGA11800,337,489,827,5125,6176,11302,0,0,0,630,702,1331,5,9,13,6163,7319,13482,22,29,51,92,88,175,242,297,540,26,38,64,83,109,189,18,21,39,159,198,351,580,708,1293,1007,1176,2184,57,98,153,110,147,253,764,1053,1817,816,1092,1914,17,25,47,15922,19282,35202,176,159,335,238,190,428,32,35,65,17,16,38,952,896,1845,330,425,756,1299,1332,2628,16713,15993,32705,136,108,242,68,128,200,16927,16223,33148,3077,3035,6116,38010,40746,78759
LGA12000,4,0,5,359,451,813,0,0,0,18,17,35,0,0,0,650,660,1315,0,0,0,4,4,5,0,3,3,9,5,12,9,13,26,0,0,0,6,0,3,26,28,55,90,66,158,0,0,6,8,10,11,145,161,308,25,37,55,0,0,0,1335,1468,2806,7,6,12,6,0,8,0,0,0,0,0,0,0,0,0,0,3,7,0,3,8,634,573,1207,0,5,3,0,4,5,637,577,1214,173,161,334,2166,2227,4385
LGA12150,6,0,11,485,521,1006,0,0,0,3,3,8,0,0,0,520,514,1031,0,0,0,5,3,7,7,15,16,0,0,0,3,0,0,5,3,6,3,0,5,9,3,12,52,56,107,0,0,0,3,3,11,34,33,73,18,18,39,0,0,0,1134,1187,2322,10,9,17,5,3,9,0,0,0,0,0,0,0,0,0,0,8,12,0,8,8,421,369,799,5,5,3,0,0,0,429,372,805,277,276,560,1865,1861,3732
LGA12160,15,23,37,1399,1544,2940,0,0,0,59,67,126,0,0,0,1552,1619,3173,0,0,0,5,6,13,11,18,27,3,8,12,11,17,24,0,0,0,16,6,22,22,30,50,134,139,273,4,7,13,8,7,13,201,235,441,91,95,183,8,0,8,3540,3799,7338,17,16,26,8,5,11,0,6,9,0,0,5,5,4,10,9,13,21,18,16,31,1532,1381,2915,9,5,15,3,8,15,1547,1391,2941,533,475,1005,5672,5732,11403
LGA12350,30,27,60,1304,1459,2766,0,0,0,72,86,160,75,70,149,1608,1688,3295,0,4,4,27,24,45,46,70,118,22,24,41,11,11,20,3,7,7,19,11,28,36,47,87,213,271,478,3,15,23,8,4,13,207,247,454,99,118,224,3,4,12,3768,4159,7919,16,22,33,16,11,25,0,0,6,7,10,13,5,5,7,10,20,27,19,32,48,1828,1573,3404,7,12,20,8,9,17,1847,1595,3443,624,563,1187,6316,6409,12724
LGA12380,4193,5341,9526,3518,4026,7539,79,97,178,1057,1107,2170,17,10,29,24232,25986,50219,43,59,102,2799,2874,5679,186,257,444,193,209,399,61,55,114,457,515,966,466,459,924,771,937,1707,1298,1448,2747,68,91,156,167,214,380,1202,1297,2498,2559,2770,5327,116,114,229,39280,42529,81807,17161,14502,31662,28607,24997,53608,20,28,57,5,10,12,1166,878,2045,603,624,1220,1770,1513,3283,19200,15388,34591,147,98,247,89,113,205,19437,15601,35042,11033,9422,20458,121502,113938,235439
LGA12390,160,222,390,4585,5396,9985,0,0,3,457,487,944,3,3,5,6449,7444,13888,12,13,29,59,69,129,48,59,104,19,14,37,65,77,139,17,11,27,65,65,131,193,220,413,778,892,1669,57,84,142,58,58,120,942,1166,2112,593,678,1272,4,5,12,14410,16741,31153,643,597,1241,285,249,534,15,12,28,20,15,37,161,138,298,30,59,93,212,209,428,7807,7030,14843,57,34,92,19,27,53,7892,7098,14989,3517,2652,6173,27139,27784,54922
LGA12700,9,15,21,1126,1221,2345,0,0,0,88,99,185,0,0,0,786,870,1662,0,0,4,15,9,25,7,7,12,5,9,16,3,11,14,0,0,0,16,8,25,16,18,38,188,160,351,5,11,13,13,8,20,192,244,440,84,89,171,6,4,4,2555,2769,5321,4,5,13,0,0,5,4,4,8,0,0,0,0,0,0,10,11,24,10,16,20,1868,1682,3551,10,8,21,5,6,9,1885,1697,3579,290,277,575,4761,4781,9541
LGA12730,13,22,32,547,679,1227,0,0,0,63,71,130,0,0,0,871,960,1831,0,0,0,6,6,13,8,17,27,0,9,3,15,12,29,0,0,0,5,7,19,3,11,15,126,136,263,7,6,17,5,4,9,256,327,577,67,69,139,0,3,3,1984,2317,4298,22,15,34,6,5,6,0,0,0,0,6,8,0,0,3,9,11,17,12,21,32,1671,1484,3153,14,9,20,0,6,6,1686,1494,3180,450,422,876,4170,4286,8456
LGA12750,124,192,312,3181,3831,7014,0,0,0,159,167,327,0,0,0,3640,4014,7653,14,8,18,100,82,188,111,151,262,8,12,18,55,96,151,8,7,15,37,43,81,114,154,266,451,539,986,38,42,76,42,42,80,408,601,1011,312,377,687,7,12,18,8685,10163,18845,74,57,124,42,40,83,12,11,25,20,10,25,11,18,30,45,76,120,72,108,180,8842,8145,16991,87,75,157,32,71,99,8961,8285,17251,1930,1839,3769,19892,20696,40593
LGA12850,18878,22596,41473,2580,2874,5449,4782,5175,9958,1107,1183,2292,7,4,11,30867,32391,63255,16,21,39,3922,3875,7797,260,367,619,365,351,719,79,63,139,853,849,1705,349,409,758,496,605,1102,411,427,837,34,45,71,250,241,490,510,538,1049,4083,4285,8369,58,50,108,51023,53739,104761,680,621,1299,6856,6333,13190,22,17,36,3,0,3,78,53,130,834,924,1753,910,977,1888,16704,13776,30484,91,80,169,48,65,115,16843,13928,30766,7655,7397,15054,102874,105605,208475
LGA12870,22,33,55,939,1079,2019,0,0,0,83,85,164,0,0,0,1512,1640,3150,0,5,5,11,10,21,8,7,18,4,8,13,39,46,87,0,0,0,11,20,27,14,18,30,305,333,637,5,4,10,0,10,8,283,329,612,74,96,171,4,0,5,3300,3685,6988,10,10,20,18,12,25,3,6,0,0,0,0,5,0,4,9,4,12,10,11,21,2496,2225,4719,9,4,15,0,5,6,2500,2232,4733,567,491,1059,6429,6471,12899
LGA12900,16,15,34,920,1012,1935,0,0,0,61,78,141,0,0,0,1451,1520,2970,0,0,0,0,9,14,9,15,26,0,0,0,18,20,35,0,0,0,5,6,13,7,27,37,112,121,237,17,9,28,5,5,7,198,229,426,63,84,142,0,0,0,2878,3139,6011,15,17,28,3,0,6,0,0,5,0,0,0,0,4,5,0,5,7,0,7,9,1237,1135,2367,3,0,5,0,4,4,1240,1134,2376,452,405,857,4597,4716,9319
LGA12930,2984,4299,7288,4809,5684,10492,10,9,19,1147,1368,2517,6,9,19,14564,16405,30960,40,56,90,7728,8134,15858,167,203,372,117,119,231,60,78,133,806,796,1601,312,417,726,430,511,944,884,1059,1948,62,91,154,43,78,125,835,1034,1865,2077,2258,4332,82,99,180,34164,38400,72565,5789,4576,10363,3658,3301,6964,106,103,212,3,3,10,103,102,201,192,218,409,293,320,614,23323,21376,44697,187,119,304,82,130,215,23592,21628,45217,4429,4615,9053,75024,77250,152274
LGA12950,8,4,11,431,473,899,0,0,0,10,13,21,0,0,0,421,497,914,0,0,0,6,0,5,15,12,22,0,0,0,21,26,48,0,0,0,5,16,17,45,55,99,170,163,332,0,0,0,5,7,6,90,95,182,42,37,80,3,0,4,1259,1393,2655,3,0,3,3,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,496,1063,0,0,0,0,0,0,568,498,1062,284,269,559,2122,2174,4295
LGA13010,15,24,38,1039,1185,2230,4,0,4,44,50,92,0,0,0,744,850,1593,0,0,0,0,8,6,14,17,33,0,3,3,8,11,18,0,3,9,3,10,16,19,19,33,158,149,311,11,20,31,12,19,30,170,217,383,86,108,193,0,0,6,2329,2666,4996,21,26,52,7,12,19,4,5,12,5,0,0,4,4,7,14,27,49,23,33,62,1354,1219,2578,3,3,10,8,7,15,1369,1231,2600,645,520,1162,4409,4518,8931
LGA13310,110,135,241,3144,3563,6707,0,0,0,178,175,357,95,88,178,3809,4142,7948,9,10,17,143,120,263,54,64,116,9,17,34,23,31,54,4,8,11,36,50,84,67,71,139,276,277,556,33,59,94,32,42,79,463,494,960,250,252,502,11,4,21,8637,9473,18107,164,155,319,120,87,207,7,12,14,0,0,0,32,26,57,54,69,120,83,93,183,5186,4687,9873,49,39,86,29,29,57,5262,4751,10014,1766,1204,2973,16141,15909,32053
