LGA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA18500,7956,5583,8405,7215,6990,6173,5573,3876,1724,53496
LGA18710,3424,1909,1591,2181,2709,2300,1897,935,338,17281
LGA19399,181,57,119,150,136,164,135,55,20,1016
LGA19499,1260,1357,2187,1859,1678,1648,1055,277,49,11371
LGA19799,0,0,0,0,0,0,0,0,0,0
LGA20110,2026,1182,1194,1459,1760,2151,1982,1080,396,13235
LGA20260,1804,1121,1438,1312,1520,1745,1644,915,371,11880
LGA20570,21321,14126,15533,14072,13845,13314,11927,6743,2877,113763
LGA20660,22430,13841,16254,18164,16921,14862,12694,7678,3400,126236
LGA20740,6166,3273,3585,4242,4815,6672,7185,3641,1218,40789
LGA20830,10964,6098,7130,6567,6921,7577,7078,3940,1359,57626
LGA20910,17682,12177,7912,11814,16260,14041,11081,6937,3422,101306
LGA21010,2071,1347,1389,1350,1725,2350,2342,1392,566,14528
LGA21110,26933,24255,21044,20408,23812,20747,15917,9829,4961,167900
LGA21180,33764,24536,30553,26419,24555,23114,18308,9714,3664,194618
LGA21270,930,568,550,490,805,1051,945,547,286,6178
LGA21370,6613,4085,3902,3885,4918,5716,5143,3201,1273,38735
LGA21450,26774,14348,18597,17514,14459,11663,8701,4640,1494,118194
LGA21610,83045,47470,55683,58004,45253,36204,23658,11711,4207,365239
LGA21670,1967,1238,1185,1108,1678,2111,2260,1433,501,13483
LGA21750,3734,2237,2573,2463,2814,3223,3071,1651,651,22423
LGA21830,2681,1679,1571,1591,2065,2536,2154,1322,517,16115
LGA21890,22358,16148,28587,23888,20391,15323,10566,7356,3949,148570
LGA22110,7290,4125,4378,4496,5618,7752,8664,4873,1516,48715
LGA22170,25833,15585,19076,19695,18983,16928,12919,7236,3017,139281
LGA22250,1677,932,884,1013,1293,1670,1744,1068,409,10683
LGA22310,26069,17799,22436,21899,20378,16099,13025,7220,3979,148908
LGA22410,3092,1949,1865,2050,2667,3330,3059,1545,594,20152
LGA22490,5507,2813,2547,3348,3693,3234,2568,1007,258,24985
LGA22620,22735,14265,15687,14674,14673,15299,13545,7499,3097,121470
LGA22670,27409,19987,27782,23041,18472,16646,13369,8102,3400,158208
LGA22750,47777,32292,38200,34409,32985,32161,29684,16706,6844,271057
LGA22830,13223,7966,8899,8176,8527,8503,7214,4255,1649,68409
LGA22910,2354,1192,1297,1748,2432,2927,2881,1311,467,16604
LGA22980,850,520,610,533,664,918,784,537,282,5698
LGA23110,16938,9032,12426,14248,12897,11063,8051,4548,2115,91322
LGA23190,3742,2346,2557,2267,2421,2759,2266,1425,656,20429
LGA23270,54750,31810,40097,37187,28715,24719,16262,7891,2473,243901
LGA23350,3039,1572,1463,1945,2453,2796,2468,1232,394,17368
LGA23430,27206,16935,19848,22756,22848,19205,15387,9541,4401,158129
LGA23670,27114,18981,20219,22280,21548,20530,15998,8898,3540,159103
LGA23810,13697,8639,9809,8868,9314,10657,9321,5066,1947,77318
LGA23940,1155,655,618,694,988,1388,1299,651,308,7759
LGA24130,10228,5410,4469,6672,7838,7007,5937,2999,893,51458
LGA24210,20146,14700,13388,16055,16718,15921,13063,10148,4558,124700
LGA24250,1747,868,870,1127,1229,1703,1645,762,239,10178
LGA24330,13259,9001,19257,15258,10931,8225,5253,2669,1348,85209
LGA24410,21021,12920,15033,16863,15364,13610,10760,6580,2883,115043
LGA24600,10100,31487,52962,23170,11740,9236,6589,3141,1188,149615
LGA24650,43589,22684,28329,30533,22490,15104,10748,4321,1154,178960
LGA24780,10544,6455,7619,6720,7076,7383,6137,3505,1526,56972
LGA24850,10327,5890,7015,6535,6369,5923,4491,2186,730,49460
LGA24900,5053,2947,3055,3039,3661,4402,4581,2735,1050,30522
LGA24970,29584,27264,29254,25886,23735,19929,16273,12266,6204,190397
LGA25060,19574,14211,18488,17538,16887,14095,10867,6913,3274,121851
LGA25150,7585,4071,4763,5124,5068,4642,3898,1861,628,37632
LGA25250,26507,19639,37163,28624,20756,15806,10596,7581,4682,171357
LGA25340,27514,17256,14555,17834,22616,23203,24115,15833,6029,168948
LGA25430,2853,1550,1730,2258,2808,3292,3353,1755,644,20253
LGA25490,3298,1770,1729,1879,2273,2606,2377,1062,381,17374
LGA25620,2202,1375,1291,1579,2145,2650,2410,1204,346,15197
LGA25710,11669,8400,5573,7660,9874,9297,6646,2909,880,62895
LGA25810,1800,1120,1348,1117,1458,1891,1804,1022,384,11948
LGA25900,11625,8838,23118,18287,14681,11604,8050,4268,1468,101942
LGA25990,1125,683,645,778,1123,1228,1302,602,195,7671
LGA26080,310,217,153,226,311,574,798,512,175,3276
LGA26170,5135,2815,2628,3123,3917,4840,4817,2454,857,30577
LGA26260,2819,1721,1660,1700,2006,2398,2342,1349,585,16588
LGA26350,12012,12798,23743,15042,12626,10682,8975,6073,2749,104703
LGA26430,1625,925,911,1137,1337,1947,2090,1068,433,11455
LGA26490,7430,3651,3662,5371,5178,4936,4628,2099,738,37694
LGA26610,4004,2293,3074,2672,2335,2852,2250,1321,597,21403
LGA26670,965,491,484,625,772,1116,1031,533,217,6223
LGA26700,5205,3069,3051,3303,3859,4135,3858,2379,952,29808
LGA26730,6179,3945,4509,4233,4444,4592,4080,2362,1065,35406
LGA26810,7756,4695,5166,5206,5565,6671,6433,3105,1038,45639
LGA26890,674,301,358,393,513,693,621,319,141,4006
LGA26980,26949,22723,23627,23300,22674,18721,15256,10629,5471,169346
LGA27070,48706,27570,35876,37234,27849,22630,17191,9006,3332,229396
LGA27170,8682,5372,5849,5438,5198,5034,4491,2334,846,43253
LGA27260,74129,34051,51014,57085,31385,22013,14415,6061,1852,292011
LGA27350,9530,9149,26917,15204,10219,8427,6200,3199,1268,90114
LGA27450,29033,18154,19122,20374,21524,20271,16358,8550,2677,156068
LGA27630,1020,589,589,580,740,1127,1001,616,297,6556
LGA29399,85,229,258,121,105,77,56,16,3,955
LGA29499,1143,1131,1819,1736,1393,1074,613,152,29,9089
LGA29799,0,0,6,16,3,14,4,0,0,38
LGA30250,265,195,192,142,156,105,44,5,0,1101
LGA30300,865,520,551,468,598,604,435,214,74,4320
LGA30370,3061,1623,1846,1941,1825,1880,1276,802,266,14513
LGA30410,542,273,332,325,397,405,295,214,60,2849
LGA30450,47,63,34,34,46,48,26,17,0,308
LGA30760,310,180,201,196,220,302,271,161,56,1905
LGA30900,111,51,73,51,49,59,50,14,0,458
LGA31000,216605,171732,206806,189563,163389,126972,92972,52286,22497,1242825
LGA31750,61,45,52,54,31,54,26,10,0,337
LGA31820,16237,10331,10151,10083,12132,14524,14379,8662,2720,99215
LGA31900,2768,1825,1814,1758,2155,2417,2176,1288,497,16692
LGA31950,66,73,63,53,46,62,42,9,3,419
LGA32080,31842,19481,22037,22856,23805,21092,15888,7477,2457,166943
LGA32250,450,284,293,233,270,299,179,85,11,2090
LGA32260,5091,2750,3202,3124,3675,4636,3927,2009,738,29157
LGA32270,6489,3423,4196,4151,3612,3272,1734,772,190,27836
LGA32310,2307,1422,1174,1306,1520,1544,1473,793,258,11794
LGA32330,419,207,161,126,120,106,33,16,5,1194
LGA32450,709,493,623,553,459,440,241,99,25,3644
LGA32500,786,411,619,560,603,728,555,229,24,4511
LGA32600,48,24,53,34,39,31,19,9,0,266
LGA32750,30,41,46,38,38,45,24,4,0,266
LGA32770,433,256,244,159,137,109,34,6,4,1387
LGA32810,1849,1050,1551,1489,1777,2040,1649,744,184,12337
LGA33100,119,69,83,74,102,105,102,55,7,714
LGA33200,278,154,213,131,205,200,177,113,31,1500
LGA33220,16801,10249,9408,10591,13238,17277,19470,10778,3229,111032
LGA33360,13647,7166,7833,8345,9062,8678,5715,2390,679,63515
LGA33430,109933,75702,86422,84945,83918,73182,62219,35953,12805,625087
LGA33610,2155,1084,1209,1220,1253,1374,1105,666,241,10310
LGA33620,8820,5230,4924,5471,6886,8458,8105,4151,1204,53242
LGA33800,1644,1016,956,970,1336,1822,1680,1043,454,10920
LGA33830,293,146,162,121,123,69,41,13,6,976
LGA33960,53649,30597,35410,32952,27656,22741,15637,7982,2575,229208
LGA33980,4691,2581,4142,3617,3101,2413,1017,379,100,22046
LGA34420,282,190,184,103,169,85,49,12,0,1079
LGA34530,7136,4205,4162,4802,5213,5945,4751,2434,753,39398
LGA34570,172,113,98,71,82,52,31,12,6,640
LGA34580,7826,5145,5150,4979,5371,5430,4305,2239,660,41101
LGA34590,77542,46022,49902,47099,42596,36024,28018,13776,4118,345098
LGA34710,683,403,466,464,437,545,385,163,88,3647
LGA34770,24498,14360,15641,16204,16395,16026,11007,5576,1979,121691
LGA34800,143,113,150,125,83,124,60,26,5,836
LGA34830,128,68,73,48,33,41,29,7,0,432
LGA34860,2716,1503,1619,1601,1653,1660,1191,654,229,12825
LGA34880,3838,2360,2853,2685,3139,3268,2655,1596,470,22858
LGA35010,94450,57283,58511,62658,63615,55529,49072,26718,8506,476340
LGA35250,248,191,145,155,128,96,36,24,0,1025
LGA35300,4385,2573,3348,2663,2277,1955,939,473,114,18727
LGA35600,695,393,534,400,496,679,451,209,111,3971
LGA35670,246,156,118,114,104,86,40,7,0,883
LGA35740,8350,4973,4121,5983,8163,9091,8980,5032,1611,56298
LGA35760,1590,982,965,981,1305,1533,1510,915,291,10068
LGA35780,970,473,422,294,258,232,102,23,3,2781
LGA35790,659,334,318,226,243,203,91,19,0,2098
LGA35800,359,144,196,160,214,270,197,110,33,1679
LGA36070,138,94,81,98,104,59,32,9,0,611
LGA36150,140,55,103,70,105,125,64,28,13,698
LGA36250,28377,18287,16086,19550,21779,21854,19053,10448,3799,159222
LGA36300,158,68,126,83,85,117,75,34,6,761
LGA36370,16638,10574,11142,10406,9715,9863,7504,4352,1776,81968
LGA36510,7558,4331,3864,4968,6120,6429,5718,3029,971,42984
LGA36580,4598,2548,2442,2897,3418,3767,3387,1639,351,25057
LGA36630,5624,3386,3187,3137,4038,4915,5156,2732,820,32996
LGA36660,6237,3657,3462,3492,4476,5415,5478,3068,1004,36290
LGA36720,59492,37383,37804,42382,45977,45184,41086,24171,9058,342541
LGA36820,4449,2457,2335,2576,3369,4132,4063,2153,715,26244
LGA36910,33904,21902,21846,20352,20894,20570,18096,11264,4381,173204
LGA36950,901,530,518,459,402,358,187,62,10,3421
LGA36960,1329,567,644,525,417,360,205,65,9,4124
LGA37010,36970,27863,27901,25201,24814,22520,16591,8268,2647,192768
LGA37300,1052,556,797,636,572,364,91,31,10,4100
LGA37310,7242,3965,4404,3963,4304,4175,3338,1827,625,33843
LGA37340,6375,4007,5457,4803,5081,5170,3967,1789,503,37152
LGA37400,189,93,122,143,157,177,146,87,19,1129
LGA37550,362,172,172,98,108,69,36,8,0,1019
LGA37570,80,29,53,29,35,36,10,8,0,276
LGA37600,749,480,393,277,253,213,92,31,5,2505
LGA39499,1437,1495,2649,2077,1929,2468,2124,444,44,14670
LGA39799,0,16,49,64,45,5,3,0,0,183
LGA40070,1451,5953,6094,3161,2282,2284,2239,1140,425,25026
LGA40120,7349,4789,3461,4858,6128,6085,5053,2391,768,40879
LGA40150,1840,1159,1253,1203,1474,1488,912,405,98,9835
LGA40220,4058,2471,2224,2624,3470,4470,5343,3130,941,28730
LGA40250,555,439,477,302,269,187,62,24,17,2333
LGA40310,4394,2579,2332,3007,3455,3609,3258,1760,671,25066
LGA40430,372,162,182,184,296,474,529,309,107,2619
LGA40520,1665,1170,1136,1116,1334,1497,1463,748,358,10484
LGA40700,7751,5723,4192,5638,6223,5725,5543,3628,1609,46030
LGA40910,8904,6461,7522,7439,6988,6305,5151,4101,1929,54800
LGA41010,710,355,470,378,472,471,406,192,53,3505
LGA41060,18451,13890,18414,15820,15751,15528,12512,7749,3732,121840
LGA41140,1529,839,888,947,1189,1444,1354,741,260,9187
LGA41190,345,136,188,172,211,285,222,127,58,1742
LGA41330,188,122,216,168,194,232,246,171,29,1566
LGA41560,2127,1214,1264,1353,1708,2468,2787,1599,527,15050
LGA41750,207,75,112,118,109,192,127,56,20,1014
LGA41830,233,129,165,144,191,276,308,149,52,1646
LGA41960,204,85,122,123,166,212,243,103,35,1293
LGA42030,4375,2917,3129,2845,3010,3368,2667,1852,831,24988
LGA42110,640,359,347,374,494,745,664,334,107,4060
LGA42250,1463,909,780,1131,1318,1373,1093,438,133,8636
LGA42600,4935,3896,3979,4400,4769,5466,5444,3105,1548,37543
LGA42750,776,361,480,488,603,851,804,403,119,4894
LGA43080,159,90,95,90,134,177,151,75,41,1007
LGA43220,223,75,111,135,113,152,116,82,39,1037
LGA43360,329,200,202,225,251,369,444,236,86,2326
LGA43650,3181,2074,1584,1907,2297,2292,1550,697,211,15792
LGA43710,1181,491,542,772,872,913,735,315,83,5910
LGA43790,2014,1095,1177,1157,1481,1625,1739,992,392,11666
LGA44000,17,9,12,14,20,11,7,4,0,96
LGA44060,15281,11172,14278,13378,11337,11310,9935,5294,2729,94721
LGA44210,1179,708,734,825,1228,1736,1748,799,214,9164
LGA44340,11650,8387,7125,8664,9313,8335,7283,4648,2220,67617
LGA44550,7652,4623,4916,5055,5297,4737,4156,2042,740,39217
LGA44620,4898,3152,3399,3035,3287,3384,3058,1874,802,26878
LGA44830,392,209,202,235,347,615,511,271,83,2862
LGA45040,3665,2419,2642,2388,2707,2969,2566,1664,615,21644
LGA45090,1630,878,1041,1142,1070,1139,978,587,220,8686
LGA45120,816,401,389,473,534,747,681,379,130,4559
LGA45290,5345,4486,5758,4924,4568,4528,3885,2611,1377,37487
LGA45340,31053,20093,21451,22544,22741,22395,20330,10711,3887,175204
LGA45400,142,67,78,77,94,155,149,68,49,874
LGA45540,206,131,122,156,209,312,300,157,49,1638
LGA45680,22682,13121,15770,12715,11319,10878,7214,3912,1574,99190
LGA45890,22305,15465,22399,19793,16214,15389,11653,6188,2988,132400
LGA46090,2550,1530,2096,1653,1682,1870,1406,799,250,13829
LGA46300,2599,1642,1806,1626,1783,1907,1656,959,432,14404
LGA46450,3047,2012,1904,1743,2198,2380,2093,1371,521,17282
LGA46510,3857,2757,3572,3265,2763,2748,1953,883,474,22272
LGA46670,1593,1085,1226,1063,1232,1343,1287,682,275,9783
LGA46860,215,125,142,145,192,291,270,141,30,1542
LGA46970,1024,437,856,746,510,346,53,14,3,3976
LGA47140,28366,18929,21328,20462,17641,16489,12831,7146,2607,145806
LGA47290,332,185,236,234,241,288,254,146,69,1979
LGA47490,418,140,224,231,281,334,354,134,59,2165
LGA47630,1245,756,861,824,944,921,745,431,172,6891
LGA47700,17467,11744,12098,13462,13156,12550,11374,6842,2482,101174
LGA47800,881,507,596,554,640,915,744,486,142,5463
LGA47910,475,185,236,277,324,449,461,289,117,2817
LGA47980,5993,4480,4792,5040,5084,4688,4401,2599,1572,38641
LGA48050,1991,1136,998,1290,1572,2337,3537,2363,909,16139
LGA48130,1281,720,666,714,869,1014,874,453,184,6780
LGA48260,1193,978,886,946,1056,993,980,647,339,8023
LGA48340,1924,1209,1032,1242,1625,1901,1778,874,305,11888
LGA48410,8956,7731,11172,8656,7332,6793,5118,3626,2317,61699
LGA48540,3795,2441,2714,2359,2943,2981,2132,1433,451,21244
LGA48640,240,99,116,128,146,170,124,61,48,1136
LGA48750,798,427,375,490,693,1080,1227,575,174,5834
LGA48830,1558,771,838,947,1221,2112,2412,1306,427,11598
LGA49399,429,368,433,345,499,518,306,88,25,3006
LGA49499,409,394,627,534,478,513,359,64,11,3377
LGA49799,0,0,0,3,5,0,0,0,0,12
LGA50080,6798,4134,4150,4231,4976,5440,4990,2890,1164,38763
LGA50210,22087,10747,14140,15526,11039,9336,7019,3289,1006,94184
LGA50250,1727,637,1511,1494,1021,744,200,54,10,7391
LGA50280,3423,1275,1734,2673,2511,2214,1925,746,286,16791
LGA50350,2799,1601,2231,2389,2165,1971,1574,839,360,15932
LGA50420,11024,7332,11640,10678,8739,7799,6607,3832,1634,69283
LGA50490,6725,4879,8528,6610,5019,4498,3282,1827,902,42257
LGA50560,204,117,124,161,220,292,349,165,58,1694
LGA50630,375,126,183,208,242,266,197,86,20,1705
LGA50770,361,145,129,220,243,295,245,158,35,1834
LGA50840,867,413,381,537,699,896,922,426,104,5238
LGA50910,161,68,67,102,137,134,133,90,41,929
LGA50980,3994,1869,2890,2707,2353,1828,953,289,75,16959
LGA51080,228,95,114,125,129,179,104,52,13,1046
LGA51120,181,87,88,111,123,143,155,72,26,979
LGA51190,5449,3544,4214,4053,4290,4440,3875,2158,968,32987
LGA51260,7621,3663,3812,5162,5504,5355,5509,2960,1045,40640
LGA51310,5652,3456,2837,3743,4391,3602,2616,1608,969,28876
LGA51330,17402,13703,14885,14030,11751,10116,8086,4299,1591,95860
LGA51400,4029,2289,1842,2425,2727,2332,1692,701,136,18175
LGA51470,76,41,62,95,64,82,86,33,11,552
LGA51540,973,558,715,617,767,753,556,241,70,5251
LGA51610,327,142,127,194,274,254,169,53,9,1556
LGA51680,1109,665,516,682,942,988,642,309,77,5930
LGA51710,285,127,319,271,263,210,178,32,4,1692
LGA51750,1776,1583,1244,1175,1475,1286,1196,1030,529,11284
LGA51820,22972,13975,17894,18564,15830,12939,9368,4740,1811,118091
LGA51860,130,49,65,85,53,111,63,33,11,593
LGA51890,1571,947,920,976,1120,1301,1220,568,183,8812
LGA51960,690,412,461,471,533,513,297,86,14,3478
LGA52030,132,60,98,89,107,220,215,103,23,1055
LGA52100,173,84,105,118,110,147,156,75,42,1007
LGA52170,1252,1014,908,841,1094,1113,959,577,219,7970
LGA52240,215,87,90,132,159,178,134,85,15,1100
LGA52310,142,72,74,75,142,166,151,61,12,902
LGA52380,4,19,35,20,31,35,58,11,0,215
LGA52450,260,201,152,155,136,154,151,64,27,1302
LGA52520,298,118,176,211,155,204,118,63,36,1379
LGA52590,471,224,368,364,413,589,599,265,65,3355
LGA52660,2991,1526,1843,1927,1851,1805,1489,900,347,14686
LGA52730,1084,522,393,691,833,1055,1042,542,155,6310
LGA52800,1609,1036,1270,958,858,781,421,119,29,7075
LGA52870,1024,537,502,684,847,1009,978,460,127,6155
LGA52940,152,60,55,86,90,84,126,45,10,715
LGA53010,136,39,74,93,89,102,96,44,0,681
LGA53080,74,62,96,53,109,133,95,49,3,677
LGA53150,1374,912,717,925,1198,1081,876,471,254,7819
LGA53220,1578,1026,2324,2020,1476,1035,251,44,13,9760
LGA53290,2720,1488,1548,1642,1899,1894,1486,918,284,13883
LGA53360,562,323,544,498,425,379,244,101,16,3085
LGA53430,4575,3203,4531,4498,4338,4423,3573,1936,849,31930
LGA53570,794,462,574,577,782,898,928,462,88,5576
LGA53640,261,98,175,155,150,181,143,34,8,1215
LGA53710,166,76,65,117,122,153,158,68,24,955
LGA53780,26265,16250,17620,19859,16225,12945,10175,5162,1869,126376
LGA53800,7863,4581,4684,4866,5377,5164,3981,2149,839,39489
LGA53920,890,648,605,505,421,277,158,62,11,3574
LGA53990,5963,3146,3228,3762,3741,3784,3061,1466,400,28567
LGA54060,551,308,222,359,479,644,673,362,78,3680
LGA54130,252,90,137,158,148,191,133,46,12,1160
LGA54170,29848,19300,16285,21336,22768,21744,18096,7853,2782,160003
