LGA_CODE_2021,C15_17F_EO_M_O_E_T,C15_17F_EO_M_LPENS,C15_17F_EO_M_T,C15_17F_O_EVWW_M_EO,C15_17F_O_EVWW_M_O_EVWW,C15_17F_O_EVWW_M_O_ENWNA,C15_17F_O_EVWW_M_O_PENS,C15_17F_O_EVWW_M_O_E_T,C15_17F_O_EVWW_M_LPENS,C15_17F_O_EVWW_M_T,C15_17F_O_ENWNA_M_EO,C15_17F_O_ENWNA_M_O_EVWW,C15_17F_O_ENWNA_M_O_ENWNA,C15_17F_O_ENWNA_M_O_PENS,C15_17F_O_ENWNA_M_O_E_T,C15_17F_O_ENWNA_M_LPENS,C15_17F_O_ENWNA_M_T,C15_17F_O_PENS_M_EO,C15_17F_O_PENS_M_O_EVWW,C15_17F_O_PENS_M_O_ENWNA,C15_17F_O_PENS_M_O_PENS,C15_17F_O_PENS_M_O_E_T,C15_17F_O_PENS_M_LPENS,C15_17F_O_PENS_M_T,C15_17F_O_E_T_M_EO,C15_17F_O_E_T_M_O_EVWW,C15_17F_O_E_T_M_O_ENWNA,C15_17F_O_E_T_M_O_PENS,C15_17F_O_E_T_M_O_E_T,C15_17F_O_E_T_M_LPENS,C15_17F_O_E_T_M_T,C15_17F_LPENS_M_EO,C15_17F_LPENS_M_O_EVWW,C15_17F_LPENS_M_O_ENWNA,C15_17F_LPENS_M_O_PENS,C15_17F_LPENS_M_O_E_T,C15_17F_LPENS_M_LPENS,C15_17F_LPENS_M_T,C15_17F_T_M_EO,C15_17F_T_M_O_EVWW,C15_17F_T_M_O_ENWNA,C15_17F_T_M_O_PENS,C15_17F_T_M_O_E_T,C15_17F_T_M_LPENS,C15_17F_T_M_T,C18_20F_EO_M_EO,C18_20F_EO_M_O_EVWW,C18_20F_EO_M_O_ENWNA,C18_20F_EO_M_O_PENS,C18_20F_EO_M_O_E_T,C18_20F_EO_M_LPENS,C18_20F_EO_M_T,C18_20F_O_EVWW_M_EO,C18_20F_O_EVWW_M_O_EVWW,C18_20F_O_EVWW_M_O_ENWNA,C18_20F_O_EVWW_M_O_PENS,C18_20F_O_EVWW_M_O_E_T,C18_20F_O_EVWW_M_LPENS,C18_20F_O_EVWW_M_T,C18_20F_O_ENWNA_M_EO,C18_20F_O_ENWNA_M_O_EVWW,C18_20F_O_ENWNA_M_O_ENWNA,C18_20F_O_ENWNA_M_O_PENS,C18_20F_O_ENWNA_M_O_E_T,C18_20F_O_ENWNA_M_LPENS,C18_20F_O_ENWNA_M_T,C18_20F_O_PENS_M_EO,C18_20F_O_PENS_M_O_EVWW,C18_20F_O_PENS_M_O_ENWNA,C18_20F_O_PENS_M_O_PENS,C18_20F_O_PENS_M_O_E_T,C18_20F_O_PENS_M_LPENS,C18_20F_O_PENS_M_T,C18_20F_O_E_T_M_EO,C18_20F_O_E_T_M_O_EVWW,C18_20F_O_E_T_M_O_ENWNA,C18_20F_O_E_T_M_O_PENS,C18_20F_O_E_T_M_O_E_T,C18_20F_O_E_T_M_LPENS,C18_20F_O_E_T_M_T,C18_20F_LPENS_M_EO,C18_20F_LPENS_M_O_EVWW,C18_20F_LPENS_M_O_ENWNA,C18_20F_LPENS_M_O_PENS,C18_20F_LPENS_M_O_E_T,C18_20F_LPENS_M_LPENS,C18_20F_LPENS_M_T,C18_20F_T_M_EO,C18_20F_T_M_O_EVWW,C18_20F_T_M_O_ENWNA,C18_20F_T_M_O_PENS,C18_20F_T_M_O_E_T,C18_20F_T_M_LPENS,C18_20F_T_M_T,C21_24F_EO_M_EO,C21_24F_EO_M_O_EVWW,C21_24F_EO_M_O_ENWNA,C21_24F_EO_M_O_PENS,C21_24F_EO_M_O_E_T,C21_24F_EO_M_LPENS,C21_24F_EO_M_T,C21_24F_O_EVWW_M_EO,C21_24F_O_EVWW_M_O_EVWW,C21_24F_O_EVWW_M_O_ENWNA,C21_24F_O_EVWW_M_O_PENS,C21_24F_O_EVWW_M_O_E_T,C21_24F_O_EVWW_M_LPENS,C21_24F_O_EVWW_M_T,C21_24F_O_ENWNA_M_EO,C21_24F_O_ENWNA_M_O_EVWW,C21_24F_O_ENWNA_M_O_ENWNA,C21_24F_O_ENWNA_M_O_PENS,C21_24F_O_ENWNA_M_O_E_T,C21_24F_O_ENWNA_M_LPENS,C21_24F_O_ENWNA_M_T,C21_24F_O_PENS_M_EO,C21_24F_O_PENS_M_O_EVWW,C21_24F_O_PENS_M_O_ENWNA,C21_24F_O_PENS_M_O_PENS,C21_24F_O_PENS_M_O_E_T,C21_24F_O_PENS_M_LPENS,C21_24F_O_PENS_M_T,C21_24F_O_E_T_M_EO,C21_24F_O_E_T_M_O_EVWW,C21_24F_O_E_T_M_O_ENWNA,C21_24F_O_E_T_M_O_PENS,C21_24F_O_E_T_M_O_E_T,C21_24F_O_E_T_M_LPENS,C21_24F_O_E_T_M_T,C21_24F_LPENS_M_EO,C21_24F_LPENS_M_O_EVWW,C21_24F_LPENS_M_O_ENWNA,C21_24F_LPENS_M_O_PENS,C21_24F_LPENS_M_O_E_T,C21_24F_LPENS_M_LPENS,C21_24F_LPENS_M_T,C21_24F_T_M_EO,C21_24F_T_M_O_EVWW,C21_24F_T_M_O_ENWNA,C21_24F_T_M_O_PENS,C21_24F_T_M_O_E_T,C21_24F_T_M_LPENS,C21_24F_T_M_T,TCF_EO_M_EO,TCF_EO_M_O_EVWW,TCF_EO_M_O_ENWNA,TCF_EO_M_O_PENS,TCF_EO_M_O_E_T,TCF_EO_M_LPENS,TCF_EO_M_T,TCF_O_EVWW_M_EO,TCF_O_EVWW_M_O_EVWW,TCF_O_EVWW_M_O_ENWNA,TCF_O_EVWW_M_O_PENS,TCF_O_EVWW_M_O_E_T,TCF_O_EVWW_M_LPENS,TCF_O_EVWW_M_T,TCF_O_ENWNA_M_EO,TCF_O_ENWNA_M_O_EVWW,TCF_O_ENWNA_M_O_ENWNA,TCF_O_ENWNA_M_O_PENS,TCF_O_ENWNA_M_O_E_T,TCF_O_ENWNA_M_LPENS,TCF_O_ENWNA_M_T,TCF_O_PENS_M_EO,TCF_O_PENS_M_O_EVWW,TCF_O_PENS_M_O_ENWNA,TCF_O_PENS_M_O_PENS,TCF_O_PENS_M_O_E_T,TCF_O_PENS_M_LPENS,TCF_O_PENS_M_T,TCF_O_E_T_M_EO,TCF_O_E_T_M_O_EVWW,TCF_O_E_T_M_O_ENWNA,TCF_O_E_T_M_O_PENS,TCF_O_E_T_M_O_E_T,TCF_O_E_T_M_LPENS,TCF_O_E_T_M_T,TCF_LPENS_M_EO,TCF_LPENS_M_O_EVWW,TCF_LPENS_M_O_ENWNA,TCF_LPENS_M_O_PENS,TCF_LPENS_M_O_E_T,TCF_LPENS_M_LPENS,TCF_LPENS_M_T,TCF_T_M_EO,TCF_T_M_O_EVWW,TCF_T_M_O_ENWNA,TCF_T_M_O_PENS,TCF_T_M_O_E_T,TCF_T_M_LPENS,TCF_T_M_T
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,8,0,270,9,13,0,0,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,8,0,14,0,0,0,0,0,0,0,269,13,0,0,13,3,281,60,4,0,0,4,0,59,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,0,0,0,60,4,0,0,5,0,63,23,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,23,1698,44,0,0,44,0,1746,64,79,8,0,83,0,145,0,4,14,0,17,0,17,0,3,0,0,3,0,3,64,82,25,0,104,0,166,4,0,0,0,0,12,13,1756,122,25,0,147,11,1916
LGA20260,0,0,183,0,9,0,0,9,0,15,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,11,0,0,13,0,15,0,0,0,0,0,0,0,183,11,0,0,13,0,194,24,0,0,0,0,0,24,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,32,0,0,0,0,0,29,9,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,1340,9,0,0,9,0,1346,31,94,0,0,95,0,128,0,10,4,0,10,0,10,0,0,0,0,0,0,0,31,106,9,0,108,0,140,0,0,0,0,0,0,0,1375,113,9,0,121,0,1493
LGA20570,23,0,2092,38,137,10,0,146,0,186,0,11,0,0,8,0,9,0,0,0,0,0,0,0,44,147,10,0,157,0,201,0,0,0,0,0,0,0,2115,167,11,0,177,0,2294,710,8,0,0,8,0,711,14,39,4,0,40,0,53,0,0,6,0,3,0,3,0,0,0,0,0,0,0,14,37,9,0,43,0,55,0,0,0,0,0,0,0,723,45,7,0,50,0,770,225,6,0,0,6,0,227,4,32,0,0,33,0,38,0,0,3,0,4,0,4,0,0,0,0,0,0,0,4,32,4,0,34,0,44,0,0,0,0,0,0,0,229,38,4,0,42,0,270,15864,214,10,0,225,6,16098,412,1534,51,3,1584,0,1995,9,87,21,0,99,0,113,4,0,0,4,4,0,8,423,1613,65,3,1690,0,2112,14,6,0,0,6,16,36,16302,1836,78,3,1922,26,18250
LGA20660,66,0,2275,136,453,17,0,472,0,608,4,33,34,0,67,0,72,0,0,0,0,0,0,0,136,487,52,0,544,0,678,0,0,0,0,0,0,0,2344,558,52,0,611,0,2954,1227,36,0,0,36,0,1265,64,342,24,0,363,0,426,4,24,29,0,50,0,54,0,0,0,0,0,0,0,64,363,51,0,416,0,479,0,0,0,0,0,0,4,1296,399,51,0,449,0,1746,665,25,0,0,25,0,686,47,192,8,0,200,0,250,0,13,18,0,35,0,37,0,0,0,0,0,0,0,51,209,26,0,232,0,283,0,0,0,0,0,0,0,711,233,26,0,265,0,974,16700,717,8,0,725,5,17438,1240,4837,225,4,5068,7,6311,15,283,194,0,477,0,492,3,6,0,0,6,0,8,1264,5127,416,4,5549,7,6809,13,17,0,0,17,9,39,17974,5863,427,4,6292,21,24286
LGA20740,7,4,658,9,12,6,0,12,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,6,0,12,0,20,0,0,0,0,0,4,0,654,18,6,0,23,4,681,160,4,0,0,4,0,167,4,7,0,0,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,12,0,11,0,0,0,0,0,0,0,168,11,0,0,9,0,180,48,0,0,0,0,0,48,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,54,0,0,0,0,0,49,4758,77,3,0,74,19,4860,125,251,9,0,264,0,388,0,14,10,0,21,0,21,0,0,0,0,0,0,0,131,271,16,0,287,0,409,11,0,0,0,0,12,24,4901,341,19,6,360,33,5295
LGA20830,8,0,1151,16,49,0,0,47,0,64,0,3,0,0,3,0,3,0,0,0,0,0,0,0,16,51,0,0,55,0,65,0,0,0,0,0,0,0,1154,63,0,0,63,0,1217,356,0,0,0,0,0,357,9,29,5,0,27,0,36,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,26,6,0,33,0,41,0,0,0,0,0,0,0,369,31,6,0,32,0,402,158,0,0,0,0,0,162,4,8,0,0,8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,8,0,12,0,0,0,0,0,0,0,164,9,0,0,9,0,176,8951,93,0,0,93,13,9060,198,487,23,0,509,5,705,5,18,10,0,26,0,33,0,3,0,0,3,0,3,197,509,26,0,544,5,748,14,0,0,0,0,10,26,9172,604,26,0,637,27,9830
LGA20910,53,0,2785,126,313,10,0,324,0,447,3,12,10,0,29,0,27,0,0,0,0,0,0,0,129,324,21,0,352,0,478,0,0,0,0,0,0,0,2858,382,21,0,403,0,3263,1788,34,0,0,34,0,1820,90,238,5,0,243,0,331,0,11,11,0,26,0,26,0,0,0,0,0,0,0,90,252,18,0,266,0,350,4,0,0,0,0,0,4,1876,282,18,0,302,0,2176,911,17,0,0,17,0,930,50,132,4,0,134,0,181,0,10,7,0,13,0,13,0,0,0,0,0,0,0,50,137,9,0,149,0,197,0,0,0,0,0,0,0,959,155,9,0,168,0,1123,16993,543,3,0,545,8,17544,1065,2553,72,0,2628,0,3688,12,101,83,0,191,0,200,0,0,0,0,4,0,4,1072,2663,159,0,2824,0,3895,11,0,0,0,0,0,14,18076,3202,161,0,3368,10,21450
LGA21010,0,0,230,4,4,0,0,4,0,13,0,5,0,0,5,0,5,0,0,0,0,0,0,0,4,5,0,0,5,0,14,0,0,0,0,0,0,0,232,10,0,0,10,0,244,54,0,0,0,0,0,54,5,0,0,0,0,0,5,0,5,0,0,5,0,5,0,0,0,0,0,0,0,5,5,0,0,5,0,6,0,0,0,0,0,0,0,53,5,0,0,5,0,54,12,0,0,0,0,0,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,14,0,0,0,0,0,15,1507,12,0,0,12,10,1523,40,62,0,0,62,0,105,0,8,3,0,11,0,11,0,0,0,0,0,0,0,46,69,3,0,75,0,117,0,0,0,0,0,3,10,1552,86,3,0,83,11,1647
LGA21110,119,0,3815,211,1051,70,0,1126,0,1335,0,65,100,0,169,0,175,0,0,0,0,3,0,3,215,1119,175,3,1297,0,1506,0,0,0,0,0,0,0,3909,1240,175,3,1409,0,5324,2618,79,0,0,79,0,2703,161,757,39,0,792,0,957,4,48,70,0,120,0,124,0,0,0,0,0,0,0,162,809,108,0,913,0,1079,0,0,0,0,0,0,0,2782,889,108,0,995,0,3778,1383,45,0,0,45,0,1425,94,472,47,0,512,0,610,0,30,49,0,79,0,79,0,0,0,0,0,0,0,94,501,92,0,595,0,690,0,0,0,0,0,0,0,1480,545,92,0,637,0,2122,20943,869,0,0,868,4,21819,1894,8454,473,3,8936,6,10834,12,467,551,0,1024,6,1032,0,3,0,0,11,0,11,1901,8926,1028,13,9960,14,11873,12,25,0,0,25,17,47,22857,9811,1032,13,10851,32,33741
LGA21180,84,0,1281,123,1608,175,0,1781,0,1905,5,348,473,0,823,0,826,0,3,0,0,4,0,6,131,1958,650,0,2602,0,2740,0,3,0,0,3,3,8,1329,2041,648,0,2690,3,4026,682,38,0,0,38,0,721,75,1115,127,0,1241,0,1313,0,275,371,0,649,0,648,0,0,0,0,0,0,0,73,1396,498,0,1888,0,1965,0,0,0,0,0,0,0,757,1434,498,0,1924,4,2686,347,32,0,0,32,0,379,35,625,80,0,706,0,742,0,195,260,0,451,0,451,0,0,0,0,0,0,0,35,816,342,0,1157,0,1191,0,0,0,0,0,0,6,386,846,344,0,1187,0,1577,8748,927,17,3,952,8,9714,1544,13927,1310,11,15254,17,16812,52,2901,3272,8,6189,10,6249,8,33,3,8,43,0,53,1602,16860,4593,35,21482,26,23114,10,33,5,0,40,40,93,10367,17826,4621,34,22478,80,32919
LGA21270,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,158,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,37,11,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,11,833,11,0,0,11,0,841,17,33,0,0,33,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,33,0,0,33,0,48,0,0,0,0,0,4,4,847,45,0,0,45,4,891
LGA21370,9,0,768,13,22,4,0,21,0,42,0,3,6,0,5,0,5,0,0,0,0,0,0,0,13,25,9,0,31,0,46,0,0,0,0,0,0,0,771,37,9,0,39,0,813,193,0,0,0,0,0,196,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,201,0,0,0,4,0,207,65,0,0,0,0,0,65,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,62,0,0,0,0,0,65,5186,63,5,0,67,6,5267,101,248,12,0,263,0,363,0,19,5,0,23,0,27,4,0,0,0,0,0,4,109,272,20,0,291,0,394,0,0,0,0,0,11,11,5301,333,25,0,361,17,5671
LGA21450,58,3,2316,65,448,17,0,466,0,529,0,32,28,0,59,0,62,0,0,0,0,0,0,0,65,474,43,0,525,0,591,0,0,0,0,0,0,4,2328,529,48,0,584,8,2913,853,19,0,0,19,0,875,25,240,8,0,246,0,273,0,20,24,0,37,0,37,0,0,0,0,0,0,0,25,256,28,0,284,0,310,0,0,0,0,0,0,0,886,276,26,0,304,0,1188,351,3,0,0,4,0,363,15,113,5,0,122,0,136,0,13,12,0,18,0,18,0,0,0,0,0,0,0,15,124,14,0,143,0,157,0,0,0,0,0,0,0,366,128,13,0,150,0,514,17955,496,13,0,511,18,18486,658,5531,157,0,5682,0,6347,13,367,240,0,606,5,620,0,4,0,0,3,0,3,671,5900,398,0,6300,5,6973,26,21,0,0,21,43,88,18651,6413,409,0,6827,65,25546
LGA21610,188,4,4478,277,3747,186,3,3939,5,4219,7,690,559,0,1249,0,1257,0,0,3,0,5,0,3,286,4438,749,3,5191,5,5484,0,3,0,0,3,0,3,4575,4627,754,3,5381,11,9958,1810,92,0,0,94,0,1902,146,2261,141,0,2406,0,2553,4,404,404,0,807,0,812,0,0,0,0,0,0,3,150,2665,550,0,3212,0,3365,0,0,0,0,0,0,0,1963,2755,551,0,3306,5,5267,917,44,0,0,43,0,968,69,1279,88,0,1374,0,1445,0,288,319,0,610,0,610,0,5,0,0,5,0,3,76,1570,408,0,1982,0,2057,0,0,0,0,0,0,0,994,1613,416,0,2025,4,3030,32192,1914,25,11,1956,33,34178,2606,37996,1573,23,39588,41,42237,69,5270,3229,10,8512,0,8575,9,30,14,6,53,0,62,2680,43301,4817,37,48159,40,50882,33,97,19,0,113,65,208,34909,45309,4860,55,50226,135,85265
LGA21670,0,0,205,3,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,0,5,0,8,0,0,0,0,0,0,0,216,5,0,0,5,0,212,40,0,0,0,0,0,40,3,4,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,0,4,0,0,0,0,0,0,0,43,3,0,0,3,0,44,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,12,1338,6,0,0,6,0,1344,35,38,0,0,38,0,76,0,0,3,0,3,0,0,0,0,0,0,0,0,0,39,38,3,0,40,0,77,4,0,0,0,0,3,3,1381,41,3,0,46,3,1429
LGA21750,0,0,424,6,11,0,0,11,0,23,0,8,0,0,8,0,8,0,0,0,0,0,0,0,6,19,0,0,21,0,29,0,0,0,0,0,0,0,433,20,0,0,21,0,453,114,0,0,0,0,0,117,0,8,0,0,8,0,8,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,8,5,0,13,0,8,0,0,0,0,0,0,0,115,10,5,0,9,0,128,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,34,2988,24,3,0,29,0,3021,88,144,6,0,152,0,240,0,25,20,0,40,0,40,5,0,0,0,0,0,5,90,168,21,0,194,0,283,0,0,0,0,0,6,6,3081,196,30,0,226,4,3309
LGA21830,0,0,350,9,3,0,0,3,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,10,3,0,0,6,0,14,0,0,0,0,0,0,0,361,5,0,0,4,0,369,65,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,72,20,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,18,2310,13,0,0,13,4,2325,53,64,0,0,64,0,120,3,5,0,0,5,0,6,0,0,0,0,0,0,0,53,66,0,0,66,0,121,10,0,0,0,0,11,18,2379,76,0,0,76,14,2469
LGA21890,100,0,1793,139,654,45,0,703,0,844,0,45,54,0,102,0,107,0,0,0,0,0,0,0,138,701,105,0,808,0,947,0,0,0,0,0,0,0,1831,798,104,0,910,0,2744,901,65,0,0,62,0,965,73,457,33,0,485,0,561,3,49,43,0,94,0,103,0,0,0,0,0,0,0,77,510,77,0,581,0,660,0,0,0,0,0,0,0,977,572,74,0,647,0,1625,435,30,0,0,30,0,468,40,245,23,0,271,0,306,0,37,39,0,71,0,74,0,0,0,0,0,0,0,40,281,58,0,339,0,384,0,0,0,0,0,0,0,475,309,58,0,366,0,845,13929,931,7,0,946,4,14880,1339,5671,294,8,5973,0,7312,16,480,337,3,815,0,838,0,8,0,0,8,0,8,1354,6153,630,10,6796,0,8148,18,3,0,0,3,9,32,15306,7090,637,9,7742,17,23063
LGA22110,4,0,735,16,13,0,0,13,0,30,0,0,3,0,3,0,3,0,0,0,0,0,0,0,16,13,3,0,23,0,38,0,0,0,0,0,0,0,747,24,3,0,29,0,769,135,0,0,0,0,0,136,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,135,0,0,0,0,0,138,29,0,0,0,0,0,29,3,6,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,6,0,8,0,0,0,0,0,0,0,34,6,0,0,6,0,40,5354,46,0,0,45,7,5400,147,233,11,0,243,6,401,0,6,18,0,23,0,26,0,0,0,0,0,0,0,152,240,31,0,271,6,428,6,3,0,0,3,3,11,5506,288,29,0,320,17,5841
LGA22170,65,0,2265,111,314,20,0,330,0,438,5,18,5,0,25,0,27,0,0,0,0,3,0,5,112,330,29,0,359,0,470,0,0,0,0,0,0,0,2315,391,30,0,421,0,2743,860,17,5,0,18,0,883,35,199,12,0,208,0,248,0,20,5,0,23,0,30,0,0,0,0,0,0,0,37,215,15,0,231,0,273,0,0,0,0,0,0,0,895,239,16,0,255,0,1156,422,4,0,0,4,0,427,16,101,7,0,109,0,126,3,8,6,0,12,0,19,0,0,0,0,0,0,0,19,115,7,0,120,0,144,0,0,0,0,0,0,0,444,120,7,0,124,0,573,18718,564,22,0,585,18,19319,999,2487,93,6,2585,8,3589,21,188,55,0,245,0,265,6,0,0,4,0,0,9,1021,2676,150,9,2831,8,3866,25,4,0,0,4,13,46,19772,3241,171,5,3418,41,23223
LGA22250,0,0,193,0,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,5,0,0,0,0,0,0,0,191,3,0,0,5,0,200,34,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,36,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,1322,5,0,0,5,3,1332,17,30,0,0,30,0,56,0,0,6,0,6,0,6,7,0,0,0,0,0,7,25,30,6,0,41,0,60,0,0,0,0,0,5,5,1341,39,6,0,44,7,1396
LGA22310,109,0,2714,162,914,31,0,946,0,1102,4,40,27,0,66,0,71,0,0,0,0,0,0,0,168,954,59,0,1015,0,1177,0,0,0,0,0,0,0,2770,1061,58,0,1122,0,3895,1599,51,0,0,51,0,1648,75,555,20,0,577,0,649,0,21,41,0,57,0,61,0,0,0,0,0,0,0,76,581,56,0,637,0,715,0,0,0,0,0,0,0,1676,631,56,0,687,0,2364,919,30,0,0,30,0,950,44,314,15,0,326,0,374,3,21,24,0,44,0,47,0,0,0,0,0,0,0,46,329,40,0,370,0,424,0,0,0,0,0,0,0,966,362,40,0,403,0,1367,18271,939,4,0,950,10,19233,1611,8092,245,4,8341,8,9958,17,333,197,0,535,0,548,0,4,0,0,5,0,5,1623,8429,448,4,8877,8,10511,32,8,0,0,8,6,50,19926,9377,456,4,9839,29,29790
LGA22410,4,0,346,6,0,0,0,0,0,11,3,0,4,0,4,0,0,0,0,0,0,0,0,0,7,0,4,0,4,0,12,0,0,0,0,0,0,0,349,7,4,0,12,0,358,62,0,0,0,0,0,62,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,64,0,0,0,0,0,64,18,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18,2395,20,0,0,20,4,2428,62,55,11,0,62,0,131,4,0,4,0,4,0,7,0,0,0,0,0,0,0,69,55,10,0,66,0,136,7,0,0,0,0,3,12,2469,80,10,0,90,9,2567
LGA22490,10,0,727,13,16,0,0,16,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16,0,0,16,0,24,0,0,0,0,0,0,0,730,25,0,0,25,0,756,217,5,0,0,5,0,217,5,10,0,0,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,11,0,18,0,0,0,0,0,0,0,220,11,0,0,11,0,236,82,0,0,0,0,0,79,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,82,4,0,0,4,0,83,5261,85,0,0,85,14,5349,105,101,0,0,107,0,216,4,3,3,0,12,0,11,0,0,0,0,0,0,0,110,110,7,0,112,0,222,0,0,0,0,0,8,8,5368,191,7,0,197,16,5579
