LGA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
LGA10050,4679,629,275,31,12,3,43,5658
LGA10180,2126,242,111,25,3,3,21,2544
LGA10250,3840,477,162,43,3,3,33,4563
LGA10300,181,10,14,0,0,0,0,200
LGA10470,3585,537,246,47,8,3,39,4459
LGA10500,18198,1175,341,162,17,4,58,19947
LGA10550,2478,378,150,30,8,0,35,3088
LGA10600,951,124,74,11,0,0,9,1170
LGA10650,600,62,49,3,0,0,9,725
LGA10750,52157,3568,1612,896,77,40,223,58576
LGA10800,457,61,26,0,0,0,3,551
LGA10850,670,104,41,13,3,0,10,839
LGA10900,7899,817,329,67,19,0,57,9183
LGA10950,219,30,16,0,0,0,0,270
LGA11150,176,21,4,9,0,0,7,219
LGA11200,52,9,3,3,0,0,6,77
LGA11250,1050,221,96,21,0,0,13,1417
LGA11300,3771,255,52,38,0,0,13,4129
LGA11350,2782,329,107,27,6,0,15,3261
LGA11400,1335,149,75,14,0,0,14,1590
LGA11450,15863,1516,756,151,17,15,74,18391
LGA11500,20130,1700,836,389,58,22,131,23262
LGA11520,10084,646,153,45,4,0,20,10951
LGA11570,42974,2576,1080,616,42,25,144,47462
LGA11600,244,22,13,4,0,0,4,285
LGA11650,31385,4020,1819,332,66,34,251,37902
LGA11700,72,6,5,4,0,0,4,95
LGA11720,5208,868,437,101,22,10,77,6727
LGA11730,3527,589,274,69,10,3,50,4532
LGA11750,283,54,29,0,0,0,3,373
LGA11800,6297,879,341,82,21,9,70,7698
LGA12000,368,38,25,6,0,0,10,444
LGA12150,229,18,17,7,0,0,4,279
LGA12160,832,107,42,18,0,4,21,1021
LGA12350,927,113,65,11,6,0,7,1129
LGA12380,27706,1413,520,346,35,11,69,30097
LGA12390,4405,689,284,64,13,7,57,5527
LGA12700,908,126,54,8,6,0,16,1119
LGA12730,625,76,45,11,0,0,13,769
LGA12750,2465,380,149,24,14,0,43,3071
LGA12850,23839,1442,617,494,56,16,123,26596
LGA12870,918,126,67,8,4,5,15,1143
LGA12900,721,84,40,9,0,0,5,861
LGA12930,18212,1122,338,179,22,4,40,19917
LGA12950,296,39,12,4,0,0,6,364
LGA13010,532,84,32,9,4,0,4,664
LGA13310,2510,355,208,46,9,0,30,3163
LGA13340,1013,107,39,16,0,0,14,1190
LGA13450,2724,249,103,41,0,4,26,3150
LGA13550,1102,164,82,14,0,3,10,1371
LGA13660,359,39,18,8,3,0,0,432
LGA13800,7262,830,378,88,12,8,56,8635
LGA13850,186,39,18,3,0,0,7,249
LGA13910,1513,174,126,14,0,0,15,1843
LGA14000,21602,1261,372,149,7,6,35,23434
LGA14100,1645,117,24,10,0,0,0,1800
LGA14170,17560,1199,282,105,12,3,35,19189
LGA14220,1243,176,107,18,4,0,30,1574
LGA14300,473,47,26,5,0,0,4,564
LGA14350,1902,278,142,37,3,3,38,2405
LGA14400,2270,258,85,13,0,0,10,2635
LGA14500,18046,1180,251,91,3,6,31,19610
LGA14550,584,77,42,6,0,0,9,719
LGA14600,502,51,15,8,0,0,16,593
LGA14650,20343,2728,1077,204,48,22,183,24611
LGA14700,4749,297,65,20,3,0,9,5142
LGA14750,912,127,62,13,3,0,10,1122
LGA14850,3374,452,190,40,10,4,38,4109
LGA14870,1491,234,113,16,11,4,27,1890
LGA14900,29831,1939,832,422,33,18,94,33171
LGA14920,546,71,38,9,0,0,10,672
LGA14950,265,29,20,3,0,0,6,325
LGA15050,8872,1438,602,91,21,6,71,11109
LGA15240,5994,893,413,109,14,7,104,7531
LGA15270,2182,291,142,34,7,0,33,2692
LGA15300,888,102,48,15,0,0,8,1056
LGA15350,3082,247,42,8,0,0,0,3388
LGA15520,1045,133,59,12,0,0,17,1268
LGA15560,272,21,15,3,0,0,5,312
LGA15650,1305,236,132,19,13,0,16,1715
LGA15700,1324,186,92,20,7,0,16,1642
LGA15750,1031,100,66,13,0,0,27,1233
LGA15800,404,50,28,4,0,0,10,493
LGA15850,480,61,28,4,0,0,11,586
LGA15900,14621,1718,580,112,23,0,78,17135
LGA15950,5504,484,85,3,0,0,12,6094
LGA15990,32617,2546,695,177,20,6,89,36150
LGA16100,409,46,27,3,4,0,13,502
LGA16150,3822,526,256,36,5,5,33,4683
LGA16200,1096,180,80,17,4,0,14,1390
LGA16260,31700,1836,515,245,19,5,80,34399
LGA16350,23388,2542,1309,311,55,26,152,27776
LGA16380,6595,955,348,73,10,7,74,8061
LGA16400,6070,967,436,84,28,8,75,7674
LGA16490,6992,720,349,61,16,0,32,8175
LGA16550,13591,919,256,53,5,0,31,14865
LGA16610,1644,239,140,37,13,4,30,2102
LGA16700,15205,882,232,90,4,0,26,16439
LGA16900,7492,1101,492,85,12,3,72,9257
LGA16950,7958,1090,458,98,20,12,115,9758
LGA17000,2437,378,163,32,10,0,21,3049
LGA17040,1741,215,87,15,0,0,17,2068
LGA17080,1155,172,81,14,0,0,24,1451
LGA17100,5121,277,69,44,5,0,16,5528
LGA17150,28527,2401,826,156,17,0,52,31979
LGA17200,9776,868,124,49,8,0,44,10863
LGA17310,5097,723,367,55,11,4,63,6311
LGA17350,494,41,26,8,0,0,4,573
LGA17400,381,42,22,7,4,0,8,466
LGA17420,29432,1845,578,222,10,3,49,32140
LGA17550,7824,1078,392,94,18,9,54,9471
LGA17620,1228,155,79,12,8,0,18,1508
LGA17640,750,84,41,9,0,0,8,891
LGA17650,496,53,33,5,0,0,12,595
LGA17750,6141,739,346,41,13,10,54,7342
LGA17850,227,30,11,0,0,0,3,271
LGA17900,234,40,16,10,0,0,4,305
LGA17950,202,14,5,0,0,0,6,237
LGA18020,618,66,33,13,0,0,14,744
LGA18050,6482,482,116,21,4,0,8,7114
LGA18100,250,33,22,4,0,0,0,310
LGA18200,606,100,41,3,6,0,10,767
LGA18250,9737,605,143,38,8,0,20,10550
LGA18350,4788,541,203,42,3,4,35,5623
LGA18400,6450,612,360,84,12,6,38,7557
LGA18450,21482,2135,820,182,22,15,125,24785
LGA18500,4967,421,90,17,0,3,5,5501
LGA18710,1897,232,90,28,0,0,13,2260
LGA19399,90,8,5,0,0,0,0,108
LGA19499,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0
LGA20110,1116,90,40,3,0,0,8,1261
LGA20260,853,79,46,8,0,0,6,1001
LGA20570,10113,913,536,108,16,13,55,11742
LGA20660,15346,741,283,58,3,0,22,16457
LGA20740,3085,281,146,17,5,0,29,3565
LGA20830,5407,542,348,59,10,4,39,6408
LGA20910,12835,686,230,45,0,0,12,13810
LGA21010,990,113,59,16,0,0,9,1197
LGA21110,20864,822,276,84,10,0,29,22080
LGA21180,21497,1276,644,389,31,20,90,23938
LGA21270,496,26,22,0,0,0,5,554
LGA21370,3188,310,198,37,8,0,27,3775
LGA21450,14031,1135,688,119,20,6,69,16071
LGA21610,48827,3114,1713,655,57,37,147,54550
LGA21670,851,103,70,6,4,0,17,1050
LGA21750,1896,148,73,15,0,0,22,2151
LGA21830,1385,98,81,9,0,0,7,1574
LGA21890,15157,703,258,86,6,0,32,16246
LGA22110,3465,361,201,41,4,3,36,4111
LGA22170,13875,1420,732,121,26,9,56,16241
LGA22250,810,81,43,9,4,0,8,947
LGA22310,17943,791,252,49,9,0,21,19064
LGA22410,1579,160,85,10,4,0,14,1852
LGA22490,3094,236,157,35,7,0,15,3541
LGA22620,11001,1028,586,107,14,10,74,12826
LGA22670,17207,1000,457,342,30,27,72,19135
LGA22750,26149,2177,1045,192,23,14,109,29719
LGA22830,6292,534,307,74,11,7,45,7258
LGA22910,1239,107,71,4,4,0,8,1434
LGA22980,464,34,20,10,0,0,0,525
LGA23110,10664,611,256,56,5,3,26,11623
LGA23190,1817,173,115,13,0,3,12,2139
LGA23270,32247,1594,813,343,30,15,85,35130
LGA23350,1653,138,77,10,0,0,9,1886
LGA23430,18907,1146,437,112,6,3,35,20643
LGA23670,19978,1283,535,151,13,4,50,22010
LGA23810,6125,753,445,59,7,7,70,7471
LGA23940,587,48,24,5,0,0,10,671
LGA24130,6137,381,195,34,4,4,17,6774
LGA24210,16372,720,247,106,12,5,36,17484
LGA24250,789,72,27,4,3,0,7,896
LGA24330,8334,453,140,65,9,5,31,9039
LGA24410,13798,862,362,91,10,0,35,15161
LGA24600,6142,348,73,20,4,4,11,6608
LGA24650,23330,1505,882,320,34,16,99,26188
LGA24780,4777,465,293,64,12,5,55,5667
LGA24850,5293,488,300,53,12,8,35,6184
LGA24900,2337,223,157,36,4,0,23,2783
LGA24970,23108,936,307,174,9,3,37,24572
LGA25060,14073,665,226,74,3,5,29,15068
LGA25150,4048,363,220,35,9,0,22,4703
LGA25250,17334,715,265,102,4,4,30,18455
LGA25340,15922,1426,642,79,15,7,79,18170
LGA25430,1596,128,57,8,0,0,4,1798
LGA25490,1695,118,91,22,8,0,24,1950
LGA25620,1197,135,63,8,0,0,7,1414
LGA25710,8874,562,224,43,0,0,21,9717
LGA25810,907,70,51,12,0,3,6,1042
LGA25900,7039,524,140,24,4,0,7,7752
LGA25990,539,46,32,3,0,0,11,641
LGA26080,232,15,6,0,0,0,0,249
LGA26170,2605,238,137,17,6,4,19,3026
LGA26260,1448,95,56,8,0,0,17,1631
LGA26350,8615,421,110,23,0,0,10,9180
LGA26430,814,89,41,6,4,0,0,958
LGA26490,4285,290,108,13,0,0,7,4700
LGA26610,1805,150,89,22,7,0,14,2086
LGA26670,501,37,21,4,0,0,3,567
LGA26700,2579,217,144,18,10,3,32,3002
LGA26730,3188,294,135,18,6,0,17,3654
LGA26810,3726,364,210,33,6,0,27,4370
LGA26890,327,16,15,0,0,0,4,359
LGA26980,20317,873,288,103,10,0,38,21628
LGA27070,30006,1603,833,334,20,10,81,32887
LGA27170,3863,408,261,51,5,5,29,4628
LGA27260,40246,2132,1148,547,57,17,131,44282
LGA27350,5765,354,95,23,3,0,13,6254
LGA27450,18023,1545,763,151,16,8,70,20583
LGA27630,469,28,27,0,0,0,4,537
LGA29399,23,0,0,0,0,0,0,24
LGA29499,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0
LGA30250,70,3,5,5,0,0,7,92
LGA30300,374,37,17,5,0,0,3,436
LGA30370,1356,109,77,14,0,0,9,1557
LGA30410,236,26,5,3,0,0,3,266
LGA30450,28,0,0,0,0,0,0,28
LGA30760,159,11,9,0,0,0,0,179
LGA30900,32,6,0,0,0,0,0,35
LGA31000,129014,11620,3664,999,121,43,414,145869
LGA31750,23,5,3,0,0,0,0,35
LGA31820,6937,1066,501,101,27,10,75,8732
LGA31900,1360,165,59,8,4,0,13,1609
LGA31950,16,5,0,6,0,0,0,26
LGA32080,13362,2008,712,229,50,22,105,16499
LGA32250,112,17,3,8,0,0,5,143
LGA32260,2152,227,102,36,7,7,28,2562
LGA32270,2566,374,169,31,3,5,19,3171
LGA32310,783,87,49,17,6,0,9,945
LGA32330,53,8,5,4,0,0,7,73
LGA32450,219,29,24,6,0,0,3,291
LGA32500,263,39,14,5,0,0,10,332
LGA32600,18,0,4,0,0,0,0,21
LGA32750,10,3,0,0,0,0,0,13
LGA32770,104,15,10,27,0,0,0,150
