LGA_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
LGA11450,1961,934,1072,1134,891,599,382,206,99,7278,30093,14488,19454,18834,14279,10328,7203,3432,1220,119331
LGA11500,3667,1958,2131,2130,1692,1430,915,545,225,14693,38859,22208,25608,26597,20283,19501,14817,6689,1953,176515
LGA11520,817,636,980,775,679,592,519,332,343,5673,14101,9496,14886,13677,11738,10252,8074,4743,2219,89186
LGA11570,7149,4485,5410,4875,4065,3406,2349,1637,1325,34701,73477,47782,55449,51070,45671,41923,29760,17504,8374,371010
LGA11600,70,44,74,50,69,59,48,30,5,449,567,298,472,337,371,390,251,126,56,2868
LGA11650,5336,3293,3027,3187,3370,3167,2717,2025,1326,27448,62348,38764,38119,41358,44183,44882,40693,25702,10545,346594
LGA11700,74,60,46,38,37,62,53,16,3,389,302,208,217,182,225,240,222,105,22,1723
LGA11720,1230,838,1140,976,846,688,492,277,136,6623,12833,7585,9106,7898,7749,7635,6577,3083,1167,63633
LGA11730,951,684,923,836,784,801,641,340,148,6108,8656,5098,5203,5404,6516,8407,8356,4719,1757,54116
LGA11750,154,90,93,90,69,88,59,38,7,688,831,458,592,508,444,552,390,211,75,4061
LGA11800,1318,795,838,877,852,816,660,499,326,6981,13964,8105,8788,9273,9821,10579,10183,5726,2320,78759
LGA12000,84,42,31,40,42,47,40,35,14,375,866,475,439,438,533,599,565,335,135,4385
LGA12150,179,71,73,84,47,75,52,43,7,631,811,390,460,395,435,511,404,240,85,3731
LGA12160,226,133,110,127,141,150,166,106,40,1199,1982,1128,999,1096,1303,1674,1763,1086,382,11413
LGA12350,259,183,157,131,172,147,162,112,36,1359,2155,1372,1285,1203,1560,1763,1869,1105,411,12723
LGA12380,4788,3002,4235,3523,2479,2048,1276,783,492,22626,46888,31305,43631,36083,25996,23165,16129,8806,3442,235445
LGA12390,1551,907,1237,1003,856,671,484,312,145,7166,11507,6236,8321,6671,6273,6424,5169,3131,1186,54918
LGA12700,151,76,65,97,68,70,68,42,20,657,1772,915,864,1120,1242,1529,1254,658,184,9538
LGA12730,178,111,124,113,113,129,105,78,27,978,1486,876,868,846,1022,1262,1136,676,286,8458
LGA12750,705,404,311,373,509,651,609,325,159,4046,5617,3238,3172,3547,4767,6929,7823,4000,1498,40591
LGA12850,3619,2403,2344,2306,2290,2259,1531,902,597,18251,37247,29122,27047,24959,27188,27942,20373,10159,4440,208477
LGA12870,244,133,128,113,154,188,201,90,47,1298,2021,1189,1135,1153,1525,1956,2169,1284,468,12900
LGA12900,193,130,110,106,117,135,108,90,30,1019,1850,1023,1003,1003,1074,1217,1126,748,284,9328
LGA12930,1416,1211,1510,1242,1182,1075,819,624,640,9719,24266,19595,23667,20681,19057,18651,13895,8224,4229,152265
LGA12950,125,61,67,68,72,74,63,54,16,600,818,379,444,435,531,650,555,353,129,4294
LGA13010,226,133,145,147,148,153,142,92,43,1229,1367,854,849,840,1074,1416,1375,855,303,8933
LGA13310,668,384,519,461,449,369,305,161,73,3389,5784,3474,4097,3740,3987,4284,3744,2121,825,32056
LGA13340,229,139,73,144,160,183,169,89,22,1208,2250,1228,934,1253,1376,1669,1486,743,229,11168
LGA13450,596,352,394,356,368,329,273,161,99,2928,5257,3270,4019,3396,3433,3221,2369,1431,689,27085
LGA13550,387,183,220,173,163,166,148,114,69,1623,2895,1371,1747,1509,1394,1575,1264,851,332,12938
LGA13660,108,48,46,70,62,81,74,44,18,551,868,382,393,501,616,758,742,477,173,4910
LGA13800,1035,717,697,639,702,633,415,287,152,5277,12849,8641,8834,7916,9184,8650,6361,3560,1215,67210
LGA13850,74,49,46,41,42,72,44,36,12,416,463,312,314,259,333,522,331,255,90,2879
LGA13910,407,228,193,205,244,291,205,159,53,1985,3642,1999,1969,1979,2293,2747,2587,1504,541,19261
LGA14000,1266,884,678,962,1050,834,687,625,608,7594,28859,18119,14405,22239,22004,18731,14233,8902,4327,151819
LGA14100,119,102,69,98,136,100,96,130,266,1116,2319,1725,996,1537,2017,1714,1498,1009,734,13549
LGA14170,1475,1302,2363,1940,1633,1405,917,597,364,11996,26701,18706,35238,30530,26101,19845,14219,7906,3569,182815
LGA14220,481,234,244,233,288,259,216,148,73,2176,3420,2028,1971,1832,2171,2366,2170,1424,471,17853
LGA14300,104,180,298,280,211,127,75,53,8,1336,1051,693,890,840,844,868,719,391,125,6421
LGA14350,738,516,647,575,463,443,349,232,72,4035,5071,3148,3062,3017,3570,4773,4743,2444,863,30691
LGA14400,246,179,128,163,187,218,270,148,77,1616,3795,2236,1992,2485,2763,3436,3597,1988,777,23069
LGA14500,973,701,417,595,804,686,492,371,353,5392,24148,16091,9330,16439,18833,15230,11713,8150,4138,124072
LGA14550,211,89,99,130,123,207,160,68,33,1120,1483,793,710,907,1167,1811,1588,675,228,9362
LGA14600,213,91,105,99,116,108,77,52,25,886,1298,579,710,678,706,818,687,412,199,6087
LGA14650,3137,1799,1649,1754,1787,1717,1452,1056,619,14970,38759,23988,24165,25799,26769,27279,25149,15618,6305,213831
LGA14700,307,206,364,392,231,207,144,112,137,2100,7182,3980,6440,6953,5239,3990,3110,1824,725,39443
LGA14750,302,163,169,160,164,163,94,57,39,1311,2419,1535,1366,1258,1385,1447,1065,710,284,11469
LGA14850,891,593,518,549,596,595,452,222,137,4553,7580,4940,4751,5196,5986,6638,5537,2620,1081,44329
LGA14870,393,262,344,307,278,282,268,148,37,2319,3412,2116,2273,2144,2613,3171,2910,1666,534,20839
LGA14900,4743,2846,2962,2995,2390,1968,1252,863,597,20616,51573,32697,33456,33975,29602,25169,15987,8048,2943,233450
LGA14920,177,116,93,115,157,138,155,74,37,1062,1334,771,703,786,961,1136,1073,600,189,7553
LGA14950,71,52,20,30,45,52,39,18,14,341,690,338,265,309,389,527,433,248,125,3324
LGA15050,1626,867,912,897,730,672,418,271,150,6543,19266,11041,12943,12042,10990,9936,8181,4334,1494,90227
LGA15240,1609,878,773,851,1006,1226,1347,925,454,9069,14067,8120,7601,8382,10914,15414,17646,10533,3884,96561
LGA15270,578,262,286,309,334,351,278,179,63,2640,5114,2523,2945,2981,3329,3497,2935,1782,598,25704
LGA15300,634,376,380,390,374,398,254,140,47,2993,2621,1474,1699,1508,1607,1723,1238,690,199,12759
LGA15350,232,188,153,193,232,225,163,155,48,1589,4611,2963,2935,3649,4238,3727,3073,2216,916,28328
LGA15520,209,109,124,131,140,188,160,137,60,1258,2167,1095,1194,1277,1533,1926,2034,1223,401,12850
LGA15560,82,43,45,41,47,63,59,29,14,423,568,342,406,353,418,545,436,214,76,3358
LGA15650,380,222,288,252,254,188,129,69,31,1813,3462,1928,2309,2112,2116,1977,1451,746,256,16357
LGA15700,445,230,221,187,236,347,283,147,68,2164,3214,1775,1675,1828,2313,3461,3471,1953,713,20403
LGA15750,366,191,195,180,234,251,163,69,27,1676,2542,1403,1564,1388,1552,1822,1345,787,303,12706
LGA15800,176,82,67,91,81,82,82,47,25,733,1143,568,549,616,667,822,687,437,203,5692
LGA15850,259,112,113,121,91,135,97,72,51,1051,1345,674,712,687,703,854,749,473,173,6370
LGA15900,1937,2249,1933,1532,1516,1358,938,668,595,12726,27360,24150,26941,21852,20660,19267,15262,8967,4421,168880
LGA15950,430,336,834,711,529,489,421,301,173,4224,8724,5505,14656,12343,8800,7436,6417,3848,1226,68955
LGA15990,2685,1789,1782,2048,2435,1994,1368,1007,681,15789,48729,30004,28875,35504,40004,32479,24219,16501,7243,263558
LGA16100,164,101,101,125,102,81,124,58,7,863,959,522,539,609,742,828,846,429,107,5581
LGA16150,858,459,491,464,438,372,327,190,135,3734,9377,5071,5893,5464,5108,4776,4256,2511,1049,43505
LGA16200,343,195,184,196,162,206,109,75,49,1519,2935,1666,1631,1562,1672,1915,1551,995,438,14365
LGA16260,2732,1984,3819,3190,1926,1555,1044,651,373,17274,46643,28537,49933,45531,29102,24787,18185,9948,4067,256733
LGA16350,4148,2637,3231,2860,2392,1697,1244,811,532,19552,46117,28321,32976,31767,26855,23332,17418,8164,2713,217663
LGA16380,1177,791,625,666,731,812,787,526,311,6426,13860,8803,7637,8655,10452,12073,13187,8690,3417,86774
LGA16400,1163,653,585,608,744,749,799,584,264,6149,12890,7935,7049,7877,9271,10759,11058,6564,1860,75263
LGA16490,895,541,698,637,599,645,404,170,78,4667,12359,6836,9347,9004,9200,8022,5281,2475,777,63301
LGA16550,1330,1271,2009,1635,1384,1056,819,563,508,10575,20665,16173,24573,20345,17468,14085,10665,6904,3371,134249
LGA16610,639,363,302,335,334,357,290,195,91,2906,4316,2571,2296,2336,2811,3330,3296,1857,765,23578
LGA16700,1075,794,1335,1121,813,807,567,415,445,7372,20967,14501,23722,21266,15232,13994,10500,5836,3111,129129
LGA16900,1319,797,715,673,682,638,510,407,376,6117,14618,9409,9585,9343,9674,9667,7827,4452,1695,76270
LGA16950,1912,1197,1302,1287,1254,1249,1093,706,314,10314,17341,10221,11029,11131,12301,16093,17085,9829,3504,108534
LGA17000,458,415,309,260,302,280,142,80,19,2265,5076,3295,3219,3030,3337,3079,2153,1033,353,24575
LGA17040,307,271,392,306,323,315,237,120,50,2321,3553,2353,2807,2473,3013,3182,2449,1349,483,21662
LGA17080,331,162,198,234,218,218,158,134,36,1689,2745,1483,1465,1693,1837,2210,1915,1141,398,14887
LGA17100,456,533,793,452,283,258,160,108,52,3095,6767,6662,11081,6639,4535,4388,2971,1717,826,45586
LGA17150,2505,1614,1562,1793,1927,1595,1214,858,651,13719,42528,26981,26420,30575,31902,28567,22941,13859,6435,230208
LGA17200,1156,2418,5594,3202,2107,1654,1078,623,299,18131,16033,26862,68112,39461,22838,17940,12378,5972,2037,211633
LGA17310,1434,868,784,743,750,651,525,414,211,6380,12705,7414,7984,7352,7452,7638,6768,4178,1579,63070
LGA17350,81,60,36,45,54,74,60,48,17,475,1100,643,520,562,710,862,866,530,236,6029
LGA17400,112,61,53,79,103,137,147,65,21,778,955,555,479,569,825,1194,1392,633,211,6813
LGA17420,1772,1192,981,1290,1306,982,713,433,311,8980,40664,24508,19325,30834,27125,21006,16849,8724,2845,191880
LGA17550,1657,964,924,1115,1207,1179,1011,737,495,9289,16084,9217,8868,11161,12115,14018,13616,8467,3844,97390
LGA17620,237,123,153,150,172,195,132,90,52,1304,2647,1499,1659,1707,1789,1934,1651,942,406,14234
LGA17640,155,79,66,94,104,161,152,69,27,907,1412,782,723,837,1123,1510,1229,667,229,8512
LGA17650,101,58,61,59,79,87,65,31,9,550,1057,605,547,602,821,952,845,422,118,5969
LGA17750,1197,975,793,663,652,587,437,297,176,5777,13755,9801,9689,8230,7554,7394,6105,3524,1567,67619
LGA17850,72,35,30,28,42,56,51,32,8,354,509,265,271,265,361,461,486,324,81,3023
LGA17900,314,156,176,160,188,209,170,88,17,1478,973,504,633,520,644,834,711,353,83,5255
LGA17950,63,26,25,32,38,43,50,37,32,346,496,254,271,244,303,387,303,212,87,2557
LGA18020,241,143,130,122,180,222,206,163,74,1481,1551,846,858,824,1099,1408,1425,873,345,9229
LGA18050,699,504,1412,911,633,443,345,269,171,5387,10813,6218,16114,11614,8858,6127,4621,2849,1381,68595
LGA18100,52,20,26,34,44,55,47,36,10,324,561,316,290,340,439,587,588,354,143,3618
LGA18200,205,129,134,135,138,132,115,49,15,1052,1428,777,804,828,963,1098,942,464,136,7440
LGA18250,671,397,531,615,565,392,337,203,178,3889,14285,8145,9375,12731,10832,8161,6527,3611,1954,75621
LGA18350,685,414,314,404,501,509,507,422,298,4054,8797,5134,4747,5332,6753,7235,7778,5167,1764,52707
LGA18400,861,591,458,528,546,433,315,256,194,4182,11725,6902,6537,6900,7346,6311,5005,2462,766,53954
LGA18450,2739,2244,1974,1832,1905,1702,1215,862,485,14958,37709,28813,28419,26758,26838,26064,20904,13310,5754,214569
LGA18500,475,428,567,487,444,373,333,317,293,3717,7956,5583,8405,7215,6990,6173,5573,3876,1724,53495
LGA18710,256,163,118,160,192,160,142,84,34,1309,3424,1909,1591,2181,2709,2300,1897,935,338,17284
LGA19399,20,7,9,12,8,20,20,13,4,113,181,57,119,150,136,164,135,55,20,1017
LGA19499,555,462,763,794,661,469,210,54,14,3982,1260,1357,2187,1859,1678,1648,1055,277,49,11370
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,155,125,102,103,150,201,160,103,49,1148,2026,1182,1194,1459,1760,2151,1982,1080,396,13230
LGA20260,155,130,289,277,276,237,201,108,40,1713,1804,1121,1438,1312,1520,1745,1644,915,371,11870
LGA20570,1830,1221,1175,974,1112,926,785,501,286,8810,21321,14126,15533,14072,13845,13314,11927,6743,2877,113758
LGA20660,1207,875,984,1003,955,835,683,428,234,7204,22430,13841,16254,18164,16921,14862,12694,7678,3400,126244
LGA20740,590,297,304,408,432,561,592,352,165,3701,6166,3273,3585,4242,4815,6672,7185,3641,1218,40797
LGA20830,1039,508,564,566,587,578,510,342,149,4843,10964,6098,7130,6567,6921,7577,7078,3940,1359,57634
LGA20910,1059,690,467,664,989,795,638,431,274,6007,17682,12177,7912,11814,16260,14041,11081,6937,3422,101326
LGA21010,291,153,158,159,193,205,198,154,69,1580,2071,1347,1389,1350,1725,2350,2342,1392,566,14532
LGA21110,1263,1238,1150,1007,1259,1053,788,548,345,8651,26933,24255,21044,20408,23812,20747,15917,9829,4961,167906
LGA21180,3241,2139,2929,2375,2072,1777,1256,797,437,17023,33764,24536,30553,26419,24555,23114,18308,9714,3664,194627
LGA21270,89,79,54,51,99,103,73,66,67,681,930,568,550,490,805,1051,945,547,286,6172
LGA21370,673,390,359,357,467,527,471,316,185,3745,6613,4085,3902,3885,4918,5716,5143,3201,1273,38736
LGA21450,2235,1151,1353,1267,1149,876,628,387,193,9239,26774,14348,18597,17514,14459,11663,8701,4640,1494,118190
LGA21610,6179,3609,4104,3778,3186,2377,1489,795,371,25888,83045,47470,55683,58004,45253,36204,23658,11711,4207,365235
LGA21670,243,133,107,121,186,174,161,130,54,1309,1967,1238,1185,1108,1678,2111,2260,1433,501,13481
LGA21750,363,201,224,209,280,304,263,147,58,2049,3734,2237,2573,2463,2814,3223,3071,1651,651,22417
LGA21830,243,202,152,151,192,203,187,113,73,1516,2681,1679,1571,1591,2065,2536,2154,1322,517,16116
LGA21890,1472,1198,1807,1446,1403,965,725,514,433,9963,22358,16148,28587,23888,20391,15323,10566,7356,3949,148566
LGA22110,799,433,454,454,597,697,741,471,245,4891,7290,4125,4378,4496,5618,7752,8664,4873,1516,48712
LGA22170,2169,1326,1517,1526,1568,1191,816,529,290,10932,25833,15585,19076,19695,18983,16928,12919,7236,3017,139272
LGA22250,202,102,74,129,130,148,168,103,57,1113,1677,932,884,1013,1293,1670,1744,1068,409,10690
LGA22310,1316,1004,1279,1152,1083,831,758,481,363,8267,26069,17799,22436,21899,20378,16099,13025,7220,3979,148904
LGA22410,312,199,162,219,236,272,279,146,65,1890,3092,1949,1865,2050,2667,3330,3059,1545,594,20151
LGA22490,485,229,190,223,307,237,185,71,15,1942,5507,2813,2547,3348,3693,3234,2568,1007,258,24975
LGA22620,2112,1243,1276,1179,1239,1272,931,662,427,10341,22735,14265,15687,14674,14673,15299,13545,7499,3097,121474
LGA22670,2276,1461,2295,1817,1426,1292,913,592,265,12337,27409,19987,27782,23041,18472,16646,13369,8102,3400,158208
LGA22750,3716,2750,2997,2710,2492,2250,1982,1236,610,20743,47777,32292,38200,34409,32985,32161,29684,16706,6844,271058
LGA22830,1410,893,952,893,840,820,613,448,181,7050,13223,7966,8899,8176,8527,8503,7214,4255,1649,68412
LGA22910,257,138,130,178,228,261,266,134,68,1660,2354,1192,1297,1748,2432,2927,2881,1311,467,16609
LGA22980,72,43,42,54,48,63,68,52,49,491,850,520,610,533,664,918,784,537,282,5698
LGA23110,1262,691,1016,1013,896,719,515,316,191,6619,16938,9032,12426,14248,12897,11063,8051,4548,2115,91318
LGA23190,319,246,222,174,164,189,144,112,60,1630,3742,2346,2557,2267,2421,2759,2266,1425,656,20439
LGA23270,4638,2657,3273,2974,2327,1853,1029,575,225,19551,54750,31810,40097,37187,28715,24719,16262,7891,2473,243904
LGA23350,254,163,157,200,221,225,155,117,31,1523,3039,1572,1463,1945,2453,2796,2468,1232,394,17362
LGA23430,1567,1067,1289,1278,1314,1109,903,662,330,9519,27206,16935,19848,22756,22848,19205,15387,9541,4401,158127
LGA23670,1575,1127,1184,1141,1208,1113,770,541,281,8940,27114,18981,20219,22280,21548,20530,15998,8898,3540,159108
LGA23810,1632,957,988,924,918,970,774,506,365,8034,13697,8639,9809,8868,9314,10657,9321,5066,1947,77318
LGA23940,129,81,61,86,132,191,159,93,73,1005,1155,655,618,694,988,1388,1299,651,308,7756
LGA24130,740,486,334,468,608,537,440,245,79,3937,10228,5410,4469,6672,7838,7007,5937,2999,893,51453
LGA24210,982,771,667,778,885,778,673,579,352,6465,20146,14700,13388,16055,16718,15921,13063,10148,4558,124697
LGA24250,175,97,90,131,133,176,134,63,18,1017,1747,868,870,1127,1229,1703,1645,762,239,10190
LGA24330,909,706,1475,1060,783,618,397,224,130,6302,13259,9001,19257,15258,10931,8225,5253,2669,1348,85201
LGA24410,1183,772,840,907,848,764,527,396,293,6530,21021,12920,15033,16863,15364,13610,10760,6580,2883,115034
LGA24600,902,2516,4431,2168,1154,893,638,304,161,13167,10100,31487,52962,23170,11740,9236,6589,3141,1188,149613
LGA24650,3609,2177,2992,2769,1953,1220,752,334,133,15939,43589,22684,28329,30533,22490,15104,10748,4321,1154,178952
LGA24780,1231,719,775,753,736,733,584,355,227,6113,10544,6455,7619,6720,7076,7383,6137,3505,1526,56965
LGA24850,991,564,573,602,547,519,340,185,83,4404,10327,5890,7015,6535,6369,5923,4491,2186,730,49466
LGA24900,586,307,308,328,356,376,388,260,116,3025,5053,2947,3055,3039,3661,4402,4581,2735,1050,30523
LGA24970,1548,1727,2040,1415,1319,1078,850,771,593,11341,29584,27264,29254,25886,23735,19929,16273,12266,6204,190395
LGA25060,1205,970,1256,1097,1142,951,633,439,202,7895,19574,14211,18488,17538,16887,14095,10867,6913,3274,121847
LGA25150,654,329,354,363,406,344,291,132,52,2925,7585,4071,4763,5124,5068,4642,3898,1861,628,37640
LGA25250,1809,1350,2456,1774,1457,1016,676,550,404,11492,26507,19639,37163,28624,20756,15806,10596,7581,4682,171354
LGA25340,2331,1441,1182,1434,1873,1763,1789,1277,684,13774,27514,17256,14555,17834,22616,23203,24115,15833,6029,168955
LGA25430,255,197,355,339,326,284,277,193,131,2357,2853,1550,1730,2258,2808,3292,3353,1755,644,20243
LGA25490,267,179,163,144,203,210,206,110,51,1533,3298,1770,1729,1879,2273,2606,2377,1062,381,17375
LGA25620,252,160,117,177,268,292,236,111,26,1639,2202,1375,1291,1579,2145,2650,2410,1204,346,15202
LGA25710,690,493,277,439,576,565,374,207,80,3701,11669,8400,5573,7660,9874,9297,6646,2909,880,62908
LGA25810,218,113,153,119,154,196,185,137,97,1372,1800,1120,1348,1117,1458,1891,1804,1022,384,11944
LGA25900,834,733,1959,1534,1272,1026,656,460,299,8773,11625,8838,23118,18287,14681,11604,8050,4268,1468,101939
LGA25990,155,92,91,163,180,140,168,72,25,1086,1125,683,645,778,1123,1228,1302,602,195,7681
LGA26080,20,13,12,23,21,55,65,55,19,283,310,217,153,226,311,574,798,512,175,3276
LGA26170,515,259,231,300,312,406,383,232,105,2743,5135,2815,2628,3123,3917,4840,4817,2454,857,30586
LGA26260,276,136,126,143,162,162,177,129,71,1382,2819,1721,1660,1700,2006,2398,2342,1349,585,16580
LGA26350,792,874,1631,1020,864,738,570,472,330,7291,12012,12798,23743,15042,12626,10682,8975,6073,2749,104700
LGA26430,186,111,97,120,157,211,218,111,66,1277,1625,925,911,1137,1337,1947,2090,1068,433,11473
LGA26490,567,303,279,395,431,358,377,157,105,2972,7430,3651,3662,5371,5178,4936,4628,2099,738,37693
LGA26610,569,274,349,323,258,317,233,125,77,2525,4004,2293,3074,2672,2335,2852,2250,1321,597,21398
LGA26670,88,58,45,66,78,92,109,62,41,639,965,491,484,625,772,1116,1031,533,217,6234
LGA26700,496,273,250,273,302,313,276,200,95,2478,5205,3069,3051,3303,3859,4135,3858,2379,952,29811
LGA26730,620,392,326,412,375,328,269,216,129,3067,6179,3945,4509,4233,4444,4592,4080,2362,1065,35409
LGA26810,785,554,817,798,627,594,554,247,122,5098,7756,4695,5166,5206,5565,6671,6433,3105,1038,45635
LGA26890,68,29,19,46,63,55,64,38,15,397,674,301,358,393,513,693,621,319,141,4013
LGA26980,1307,1393,1453,1143,1141,957,806,632,562,9394,26949,22723,23627,23300,22674,18721,15256,10629,5471,169350
LGA27070,3565,2074,2449,2307,1989,1531,1076,777,496,16264,48706,27570,35876,37234,27849,22630,17191,9006,3332,229394
LGA27170,769,481,436,417,388,361,286,166,80,3384,8682,5372,5849,5438,5198,5034,4491,2334,846,43244
LGA27260,5875,3014,4329,4073,2413,1531,931,454,253,22873,74129,34051,51014,57085,31385,22013,14415,6061,1852,292005
LGA27350,752,720,1875,1105,823,698,458,227,118,6776,9530,9149,26917,15204,10219,8427,6200,3199,1268,90113
LGA27450,2091,1407,1286,1303,1506,1406,987,532,208,10726,29033,18154,19122,20374,21524,20271,16358,8550,2677,156063
LGA27630,96,69,57,59,74,93,90,87,57,682,1020,589,589,580,740,1127,1001,616,297,6559
LGA29399,21,81,78,30,32,15,15,11,0,283,85,229,258,121,105,77,56,16,3,950
LGA29499,501,403,707,880,652,410,198,23,9,3783,1143,1131,1819,1736,1393,1074,613,152,29,9090
LGA29799,0,0,0,11,3,9,0,0,0,23,0,0,6,16,3,14,4,0,0,43
LGA30250,67,25,35,22,13,9,4,0,0,175,265,195,192,142,156,105,44,5,0,1104
LGA30300,114,67,80,49,71,64,34,25,26,530,865,520,551,468,598,604,435,214,74,4329
LGA30370,406,276,272,285,276,283,196,123,50,2167,3061,1623,1846,1941,1825,1880,1276,802,266,14520
LGA30410,73,31,33,50,48,65,39,43,6,388,542,273,332,325,397,405,295,214,60,2843
LGA30450,4,13,8,5,4,5,4,0,0,43,47,63,34,34,46,48,26,17,0,315
LGA30760,31,12,14,20,23,32,24,26,24,206,310,180,201,196,220,302,271,161,56,1897
LGA30900,15,6,14,6,15,10,10,0,0,76,111,51,73,51,49,59,50,14,0,458
LGA31000,12810,11707,15201,12514,10579,7991,5337,3362,2502,82003,216605,171732,206806,189563,163389,126972,92972,52286,22497,1242822
LGA31750,0,0,4,4,5,8,4,5,0,30,61,45,52,54,31,54,26,10,0,333
LGA31820,1714,1017,1019,937,1176,1272,1101,677,280,9193,16237,10331,10151,10083,12132,14524,14379,8662,2720,99219
LGA31900,353,254,264,234,251,237,159,138,53,1943,2768,1825,1814,1758,2155,2417,2176,1288,497,16698
LGA31950,6,15,10,14,8,20,12,5,0,90,66,73,63,53,46,62,42,9,3,417
LGA32080,3397,2480,2999,2668,2663,2171,1519,741,318,18956,31842,19481,22037,22856,23805,21092,15888,7477,2457,166935
LGA32250,48,42,43,30,34,27,19,12,0,255,450,284,293,233,270,299,179,85,11,2104
LGA32260,725,362,455,445,480,482,397,212,75,3633,5091,2750,3202,3124,3675,4636,3927,2009,738,29152
LGA32270,745,492,623,646,499,492,241,127,51,3916,6489,3423,4196,4151,3612,3272,1734,772,190,27839
LGA32310,362,241,188,234,255,235,200,110,40,1865,2307,1422,1174,1306,1520,1544,1473,793,258,11797
LGA32330,47,6,3,3,0,3,0,0,0,62,419,207,161,126,120,106,33,16,5,1193
LGA32450,113,81,121,99,84,79,34,18,0,629,709,493,623,553,459,440,241,99,25,3642
LGA32500,144,89,152,111,135,145,98,34,3,911,786,411,619,560,603,728,555,229,24,4515
LGA32600,10,8,11,7,5,5,3,0,0,49,48,24,53,34,39,31,19,9,0,257
LGA32750,12,9,5,14,14,10,5,0,0,69,30,41,46,38,38,45,24,4,0,266
LGA32770,27,0,17,6,5,14,0,0,0,69,433,256,244,159,137,109,34,6,4,1382
LGA32810,237,176,267,192,227,243,224,95,26,1687,1849,1050,1551,1489,1777,2040,1649,744,184,12333
LGA33100,15,9,11,16,15,14,12,18,0,110,119,69,83,74,102,105,102,55,7,716
LGA33200,36,31,41,14,36,37,23,13,8,239,278,154,213,131,205,200,177,113,31,1502
LGA33220,1695,1157,1108,1186,1285,1380,1404,935,377,10527,16801,10249,9408,10591,13238,17277,19470,10778,3229,111041
LGA33360,1355,700,791,895,998,865,529,236,100,6469,13647,7166,7833,8345,9062,8678,5715,2390,679,63515
LGA33430,9599,7010,8391,7496,7357,6061,4648,2959,1532,55053,109933,75702,86422,84945,83918,73182,62219,35953,12805,625079
LGA33610,259,135,162,163,145,156,117,72,19,1228,2155,1084,1209,1220,1253,1374,1105,666,241,10307
LGA33620,1013,591,543,573,752,724,597,338,122,5253,8820,5230,4924,5471,6886,8458,8105,4151,1204,53249
