LGA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA12850,39,2000,485,390,1482,1,1390,3.2
LGA12870,51,1300,646,250,1592,0.7,1187,2.2
LGA12900,42,1283,718,230,1691,0.7,1259,2.4
LGA12930,38,2474,792,450,2209,1,1991,2.8
LGA12950,46,1083,632,200,1384,0.7,1149,2.3
LGA13010,50,1083,528,220,1324,0.7,934,2.1
LGA13310,41,1733,749,320,1939,0.7,1466,2.4
LGA13340,44,1300,723,220,1833,0.8,1420,2.5
LGA13450,37,1473,837,290,2006,0.8,1738,2.7
LGA13550,37,1476,780,300,2001,0.7,1557,2.5
LGA13660,50,997,541,200,1308,0.7,1029,2.3
LGA13800,39,2200,860,400,2272,0.8,1980,2.8
LGA13850,48,894,700,175,1622,0.7,1236,2.2
LGA13910,45,1213,657,250,1552,0.7,1175,2.4
LGA14000,41,2600,958,495,2825,0.9,2417,2.8
LGA14100,46,4000,1210,540,4116,0.8,2998,2.6
LGA14170,38,3000,1207,500,3155,1,2340,2.3
LGA14220,43,1210,619,260,1445,0.8,1163,2.4
LGA14300,41,1257,742,260,1796,0.7,1398,2.4
LGA14350,48,1301,550,300,1347,0.8,1085,2.4
LGA14400,48,2194,827,485,2202,0.7,1834,2.5
LGA14500,42,3500,1117,630,3447,0.8,3038,2.9
LGA14550,52,1224,520,250,1311,0.8,983,2.2
LGA14600,41,878,644,180,1576,0.7,1218,2.4
LGA14650,42,1950,759,375,2050,0.8,1623,2.5
LGA14700,37,2980,1424,540,3619,1,2801,2.4
LGA14750,38,1300,745,250,1815,0.8,1417,2.5
LGA14850,44,1517,685,310,1719,0.8,1319,2.4
LGA14870,46,1500,632,270,1658,0.7,1196,2.3
LGA14900,34,2200,694,400,2001,0.9,1819,3.2
LGA14920,47,1133,620,230,1479,0.7,1165,2.3
LGA14950,46,1192,639,200,1636,0.7,1295,2.5
LGA15050,36,1829,802,370,2088,0.8,1766,2.7
LGA15240,54,1500,564,315,1341,0.7,1060,2.2
LGA15270,42,1733,703,330,1966,0.8,1486,2.4
LGA15300,38,1300,816,210,1919,0.8,1524,2.5
LGA15350,45,3870,1487,590,4502,0.9,2892,2.3
LGA15520,49,1408,653,260,1593,0.7,1260,2.4
LGA15560,45,869,782,190,1790,0.7,1401,2.3
LGA15650,37,1517,769,300,2019,0.7,1628,2.5
LGA15700,52,1368,525,300,1309,0.8,976,2.2
LGA15750,40,1343,778,250,1944,0.8,1498,2.4
LGA15800,44,1000,651,200,1524,0.7,1184,2.3
LGA15850,41,1200,717,240,1721,0.7,1308,2.5
LGA15900,37,1987,852,400,2264,0.8,1760,2.4
LGA15950,38,3000,1593,580,3743,1,2524,2
LGA15990,41,3124,1109,625,3131,0.9,2592,2.7
LGA16100,47,1560,759,280,1869,0.7,1441,2.3
LGA16150,37,1700,842,330,2133,0.7,1665,2.5
LGA16200,41,1300,700,250,1790,0.7,1336,2.4
LGA16260,35,2383,908,450,2298,1,2051,2.6
LGA16350,35,2167,866,400,2188,0.8,1903,2.8
LGA16380,49,1733,647,375,1576,0.7,1263,2.3
LGA16400,47,1733,671,370,1714,0.7,1372,2.4
LGA16490,38,2167,1159,355,2801,0.8,2295,2.6
LGA16550,37,3033,1121,550,3009,1,2305,2.4
LGA16610,46,1341,609,295,1431,0.8,1137,2.4
LGA16700,37,2600,967,460,2519,1,2098,2.5
LGA16900,39,2114,729,420,1977,0.8,1647,2.6
LGA16950,48,1733,634,350,1537,0.7,1250,2.3
LGA17000,37,1917,819,338,2315,0.8,2016,2.7
LGA17040,43,1500,835,300,2092,0.8,1593,2.4
LGA17080,45,1300,685,230,1683,0.8,1306,2.4
LGA17100,33,2300,869,460,2301,1.1,2105,2.7
LGA17150,41,2620,1018,500,2758,0.9,2288,2.7
LGA17200,34,2700,1241,550,3057,1.1,2212,1.9
LGA17310,39,1517,755,300,1821,0.7,1416,2.4
LGA17350,47,1100,656,230,1623,0.7,1203,2.3
LGA17400,55,1083,490,240,1206,0.7,885,2.1
LGA17420,38,3000,1033,580,2990,0.8,2831,3.1
LGA17550,47,1872,658,400,1663,0.8,1296,2.4
LGA17620,42,1560,751,270,1914,0.7,1429,2.4
LGA17640,49,1540,753,277,1906,0.7,1465,2.4
LGA17650,47,1333,677,250,1708,0.7,1346,2.4
LGA17750,35,1517,839,300,2060,0.7,1638,2.5
LGA17850,50,1056,690,200,1583,0.7,1224,2.2
LGA17900,44,858,556,180,1362,0.8,1001,2.2
LGA17950,45,1045,744,200,1743,0.7,1321,2.4
LGA18020,50,922,559,200,1387,0.7,1068,2.3
LGA18050,35,3500,1442,670,3709,1,2854,2.3
LGA18100,52,953,575,198,1398,0.7,1046,2.2
LGA18200,43,1300,717,200,1765,0.8,1392,2.5
LGA18250,39,3299,1145,571,3235,1,2556,2.6
LGA18350,48,2167,794,430,2096,0.7,1673,2.4
LGA18400,37,2363,877,415,2350,0.8,2151,3
LGA18450,39,2167,754,390,2151,0.8,1682,2.5
LGA18500,41,3900,1619,695,4561,0.9,3192,2.3
LGA18710,43,2167,1050,350,2701,0.8,2289,2.7
LGA19399,45,1300,900,263,1927,0.8,1638,2.5
LGA19499,0,0,0,0,0,0,0,0
LGA19799,56,0,1649,0,0,0,0,0
LGA20110,49,1473,731,275,1769,0.7,1340,2.3
LGA20260,46,1083,685,245,1651,0.7,1252,2.2
LGA20570,39,1477,743,297,1871,0.7,1429,2.4
LGA20660,40,2167,915,399,2521,0.8,2027,2.5
LGA20740,51,1500,626,300,1485,0.7,1163,2.2
LGA20830,41,1600,726,320,1874,0.7,1495,2.5
LGA20910,45,3000,1098,520,3361,0.8,2487,2.5
LGA21010,51,1300,654,250,1548,0.7,1192,2.2
LGA21110,40,3000,1071,451,3186,0.9,2376,2.5
LGA21180,37,1700,611,346,1674,0.9,1506,2.9
LGA21270,52,734,618,158,1468,0.7,1088,2.2
LGA21370,47,1300,668,250,1630,0.7,1264,2.4
LGA21450,34,1868,831,361,2097,0.8,1874,2.8
LGA21610,34,1950,783,380,2045,0.9,1918,3.1
LGA21670,52,1018,503,235,1260,0.7,904,2.1
LGA21750,45,1300,704,265,1721,0.7,1277,2.3
LGA21830,48,1083,689,225,1669,0.7,1263,2.3
LGA21890,37,2080,879,381,2369,0.9,1829,2.4
LGA22110,52,1300,603,268,1417,0.7,1110,2.2
LGA22170,39,1800,805,356,2098,0.8,1653,2.5
LGA22250,51,1000,590,195,1417,0.7,1071,2.2
LGA22310,38,2400,1021,436,2806,0.9,2133,2.5
LGA22410,49,1083,640,220,1599,0.7,1214,2.2
LGA22490,39,1733,783,338,2125,0.8,1899,2.9
LGA22620,40,1417,739,295,1865,0.7,1448,2.4
LGA22670,36,1785,618,346,1605,1,1453,2.9
LGA22750,39,1733,769,346,2051,0.8,1592,2.4
LGA22830,39,1300,712,260,1759,0.8,1400,2.5
LGA22910,52,1421,666,295,1697,0.7,1281,2.2
LGA22980,50,750,644,180,1569,0.7,1159,2.2
LGA23110,39,2167,913,380,2453,0.8,1972,2.5
LGA23190,41,1200,772,240,1850,0.7,1381,2.3
LGA23270,33,1806,665,369,1852,0.9,1703,3.1
LGA23350,47,1517,777,275,1954,0.7,1511,2.4
LGA23430,41,2167,878,402,2406,0.8,1914,2.5
LGA23670,40,2000,797,400,2194,0.8,1884,2.7
LGA23810,42,1213,654,236,1679,0.7,1260,2.3
LGA23940,52,867,554,170,1394,0.8,1039,2.2
LGA24130,43,2000,865,390,2403,0.8,2059,2.7
LGA24210,43,2400,756,462,2252,0.8,1920,2.7
LGA24250,49,1500,716,320,1705,0.7,1325,2.3
LGA24330,35,2100,965,376,2494,0.9,1998,2.4
LGA24410,39,2000,851,385,2306,0.8,1867,2.6
LGA24600,30,1963,959,396,2368,1,1678,1.8
LGA24650,33,1800,786,360,2051,0.8,1887,3.1
LGA24780,40,1283,694,265,1700,0.8,1341,2.4
LGA24850,36,1733,789,328,2012,0.8,1719,2.7
LGA24900,48,1300,629,250,1505,0.7,1192,2.3
LGA24970,38,2383,754,436,2223,0.8,1901,2.7
LGA25060,39,2188,954,386,2625,0.9,2011,2.4
LGA25150,39,1733,802,330,2127,0.8,1785,2.6
LGA25250,35,2034,921,400,2403,0.9,1943,2.4
LGA25340,48,1989,761,380,2054,0.7,1555,2.4
LGA25430,51,1432,674,300,1702,0.7,1252,2.2
LGA25490,45,1452,767,250,1916,0.7,1530,2.5
LGA25620,50,1517,673,270,1713,0.7,1287,2.3
LGA25710,42,2200,962,440,2772,0.8,2476,2.9
LGA25810,49,975,653,200,1496,0.7,1124,2.2
LGA25900,38,2169,1289,420,3052,0.9,2069,1.9
LGA25990,50,1083,579,210,1419,0.7,1101,2.2
LGA26080,62,2025,834,370,1960,0.6,1509,2
LGA26170,49,1408,655,260,1651,0.7,1266,2.3
LGA26260,47,1083,699,220,1684,0.7,1261,2.2
LGA26350,37,2500,1294,421,3299,0.9,2210,2.1
LGA26430,53,1300,653,260,1580,0.7,1188,2.2
LGA26490,42,2145,941,461,2441,0.8,2088,2.6
LGA26610,39,1157,715,225,1721,0.8,1379,2.5
LGA26670,52,1200,689,210,1658,0.7,1282,2.2
LGA26700,45,1350,727,260,1771,0.7,1326,2.3
LGA26730,42,1430,759,295,1891,0.7,1420,2.3
LGA26810,44,1300,658,260,1661,0.7,1272,2.3
LGA26890,51,739,702,140,1651,0.7,1207,2.2
LGA26980,39,2231,778,411,2300,0.8,1841,2.6
LGA27070,35,1900,737,371,1970,0.8,1768,2.9
LGA27170,38,1479,805,290,1938,0.7,1498,2.4
LGA27260,32,1930,839,370,2129,0.8,2023,3.1
LGA27350,34,2321,1324,451,3138,1,2270,2
LGA27450,40,1950,808,380,2203,0.8,1881,2.7
LGA27630,52,672,625,166,1491,0.7,1102,2.1
LGA29399,30,1300,843,385,1766,1,1382,2.2
LGA29499,0,0,0,0,0,0,0,0
LGA29799,50,0,2200,0,0,0,0,0
LGA30250,29,0,331,125,785,1.2,1069,3.9
LGA30300,40,1169,780,200,1704,0.8,1358,2.4
LGA30370,38,1300,856,240,2138,0.8,1766,2.5
LGA30410,43,1083,858,163,1962,0.7,1418,2.3
LGA30450,38,2000,991,100,2374,0.8,1875,2.3
LGA30760,48,867,729,157,1557,0.8,1254,2.3
LGA30900,33,1020,1006,125,1875,1,1490,2.5
LGA31000,36,2019,947,408,2474,0.8,2068,2.5
LGA31750,36,696,960,153,1968,0.9,1625,2.5
LGA31820,47,1300,594,285,1427,0.8,1157,2.4
LGA31900,45,1220,723,222,1804,0.8,1345,2.3
LGA31950,35,477,884,150,2125,1,1312,2.3
LGA32080,39,1588,809,340,1950,0.8,1578,2.5
LGA32250,36,1128,770,173,1704,1.1,1469,2.5
LGA32260,46,1300,647,250,1475,0.8,1204,2.3
LGA32270,34,1500,1011,250,2443,0.8,2095,2.6
LGA32310,42,1300,669,220,1734,0.8,1307,2.4
LGA32330,23,0,375,100,803,1,793,3.4
LGA32450,34,1200,1190,220,2321,0.8,1879,2.5
LGA32500,42,1300,669,200,1494,1,1159,2.3
LGA32600,35,0,819,148,1937,1,1375,2.7
LGA32750,39,953,1074,140,2187,0.9,1792,2.1
LGA32770,25,737,354,120,882,1.5,1223,4.2
LGA32810,46,1517,736,310,1682,0.8,1310,2.3
LGA33100,46,758,744,160,1441,1,1145,2.2
LGA33200,42,758,821,160,1743,0.8,1343,2.3
LGA33220,51,1300,533,300,1293,0.7,1062,2.3
LGA33360,38,1600,758,275,2048,0.8,1639,2.5
LGA33430,39,1950,787,450,2010,0.8,1691,2.5
LGA33610,40,1300,754,250,1735,0.8,1394,2.5
LGA33620,48,1327,554,290,1359,0.8,1115,2.4
LGA33800,51,1170,644,200,1555,0.7,1158,2.2
LGA33830,28,975,386,120,874,1.1,836,3.1
LGA33960,33,1600,795,330,1936,0.8,1668,2.8
LGA33980,34,1213,1314,113,2910,0.8,2420,2.6
LGA34420,29,0,341,115,858,1.3,1132,3.7
LGA34530,43,1733,765,350,2008,0.8,1625,2.5
LGA34570,27,0,420,125,959,1.2,1066,3.4
LGA34580,39,1500,665,300,1684,0.8,1457,2.7
LGA34590,34,1733,736,350,1825,0.8,1616,2.9
LGA34710,40,1083,938,200,2094,0.7,1561,2.3
LGA34770,38,1733,866,340,2215,0.8,1853,2.6
LGA34800,36,550,1074,130,2297,0.8,1733,2.5
LGA34830,27,0,365,120,924,1.2,1010,3.6
LGA34860,38,1300,875,220,2042,0.7,1588,2.5
LGA34880,43,1517,655,275,1596,0.9,1269,2.5
LGA35010,39,1777,761,360,1957,0.8,1648,2.6
LGA35250,29,0,285,104,624,1.2,855,3.5
LGA35300,31,1536,1155,270,2647,0.9,2231,2.6
LGA35600,43,867,798,170,1766,0.7,1294,2.2
LGA35670,27,0,342,121,924,1.3,788,3.7
LGA35740,50,1900,722,470,1800,0.8,1467,2.4
LGA35760,49,1000,555,200,1317,0.8,1021,2.2
LGA35780,23,1300,604,120,1287,1.3,1331,3.5
LGA35790,26,2167,380,125,898,1.2,977,3.7
LGA35800,44,679,529,125,1268,0.8,920,2.2
LGA36070,34,0,351,120,947,1.2,1071,3.4
LGA36150,42,850,823,140,1968,0.8,1312,2.4
LGA36250,43,1950,786,420,2131,0.7,1767,2.6
LGA36300,37,800,918,133,1929,0.8,1757,2.6
LGA36370,37,1400,758,280,1888,0.8,1477,2.5
LGA36510,46,1733,661,315,1706,0.8,1410,2.6
LGA36580,45,1500,620,300,1517,0.8,1312,2.6
LGA36630,48,1083,542,245,1337,0.8,1045,2.3
LGA36660,48,1300,590,255,1396,0.7,1108,2.3
LGA36720,43,1915,755,440,1920,0.8,1595,2.5
LGA36820,49,1352,625,260,1478,0.8,1167,2.3
LGA36910,39,1517,743,300,1847,0.8,1461,2.5
LGA36950,30,1791,877,200,1951,1.2,2006,3.1
LGA36960,27,0,411,130,923,1,976,3.5
LGA37010,36,1517,864,305,2082,0.8,1701,2.5
LGA37300,30,2063,1558,500,3283,1,2978,2.9
LGA37310,38,1300,716,240,1713,0.8,1374,2.5
LGA37340,40,1612,795,300,1856,0.8,1472,2.4
LGA37400,45,863,882,150,2048,0.8,1316,2.1
LGA37550,23,0,361,120,707,1.2,684,3.3
LGA37570,29,0,332,70,833,1.2,840,3.2
LGA37600,25,1392,337,150,911,1.5,1254,4.5
LGA39499,0,0,0,0,0,0,0,0
LGA39799,39,0,1196,0,2750,1,1749,1.5
LGA40070,32,1733,780,400,2220,0.9,1473,1.8
LGA40120,44,1860,892,350,2416,0.8,2067,2.7
LGA40150,40,1517,753,295,1937,0.8,1685,2.7
LGA40220,53,1400,606,280,1428,0.7,1143,2.3
LGA40250,28,0,324,85,739,1.4,1266,4
LGA40310,45,1458,749,295,1910,0.7,1480,2.4
LGA40430,57,1042,525,208,1320,0.7,975,2.1
LGA40520,46,1083,637,210,1485,0.7,1169,2.3
LGA40700,44,2300,970,360,2686,0.8,2069,2.5
LGA40910,40,1733,758,345,2058,0.8,1590,2.5
LGA41010,40,1247,764,200,1794,0.8,1381,2.4
LGA41060,41,1733,786,325,2072,0.8,1563,2.4
LGA41140,48,1207,705,240,1658,0.7,1311,2.3
LGA41190,46,877,664,165,1391,0.7,1110,2.3
LGA41330,50,630,498,163,1380,0.8,764,1.8
LGA41560,54,1177,551,250,1300,0.7,997,2.2
LGA41750,44,953,682,150,1480,0.8,1135,2.3
LGA41830,53,873,634,175,1489,0.7,1045,2.1
LGA41960,52,1040,668,200,1463,0.7,1194,2.2
LGA42030,41,1350,701,285,1728,0.7,1324,2.3
LGA42110,51,867,497,190,1283,0.7,916,2.2
LGA42250,45,1400,811,200,2039,0.8,1747,2.6
LGA42600,48,1950,885,340,2331,0.8,1604,2.2
LGA42750,50,1023,672,208,1501,0.8,1128,2.2
LGA43080,50,542,477,160,1287,0.7,912,2.2
LGA43220,42,860,744,150,1625,0.7,1282,2.4
LGA43360,53,1170,676,200,1497,0.7,1184,2.1
LGA43650,40,1500,770,280,2046,0.8,1781,2.8
LGA43710,44,1300,809,240,1905,0.8,1557,2.5
LGA43790,48,1083,660,204,1488,0.7,1169,2.3
LGA44000,44,0,343,50,725,1.3,1312,2.3
LGA44060,39,1699,776,330,2038,0.8,1557,2.4
LGA44210,54,1083,512,201,1253,0.7,918,2.1
LGA44340,42,1981,891,335,2518,0.8,1996,2.6
LGA44550,39,1602,828,350,2114,0.8,1753,2.6
LGA44620,41,1127,702,220,1684,0.7,1232,2.3
LGA44830,55,919,600,180,1406,0.7,1119,2.2
LGA45040,43,1127,603,240,1398,0.7,1109,2.3
LGA45090,41,1083,786,220,1797,0.8,1435,2.4
LGA45120,49,806,640,192,1506,0.7,1147,2.2
LGA45290,41,2000,878,340,2338,0.8,1664,2.2
LGA45340,41,1449,710,312,1778,0.7,1410,2.4
LGA45400,52,650,606,150,1437,0.7,1077,2.2
LGA45540,54,585,459,158,992,0.6,717,1.9
LGA45680,33,1300,632,266,1488,0.8,1263,2.6
LGA45890,37,1600,717,300,1878,0.8,1466,2.4
LGA46090,38,1153,699,200,1653,0.7,1275,2.3
LGA46300,41,1300,717,240,1667,0.7,1243,2.3
LGA46450,44,953,570,185,1459,0.7,1063,2.2
LGA46510,37,1947,964,331,2488,0.9,2005,2.5
LGA46670,44,1083,674,200,1538,0.8,1226,2.3
LGA46860,52,1200,736,250,1694,0.7,1220,2.2
LGA46970,31,1517,1787,260,3467,0.8,3140,2.7
LGA47140,36,1300,643,300,1586,0.8,1356,2.6
LGA47290,45,672,757,160,1740,0.7,1312,2.2
LGA47490,47,1083,652,240,1433,0.8,1109,2.3
LGA47630,41,867,817,200,1829,0.7,1470,2.4
LGA47700,41,1517,778,330,2023,0.8,1635,2.5
LGA47800,48,880,604,190,1370,0.7,1084,2.2
LGA47910,52,1138,657,210,1554,0.7,1139,2.2
LGA47980,43,2167,983,350,2697,0.8,1999,2.3
LGA48050,60,1300,545,290,1255,0.7,980,2.1
LGA48130,45,918,627,220,1463,0.7,1138,2.4
LGA48260,45,2167,1001,380,2762,0.8,2052,2.3
LGA48340,48,953,636,180,1550,0.7,1180,2.3
LGA48410,38,1733,796,310,2112,0.8,1587,2.3
LGA48540,41,1083,641,180,1676,0.7,1188,2.2
LGA48640,43,780,810,150,1895,0.7,1379,2.4
LGA48750,56,1300,567,275,1353,0.7,1052,2.2
LGA48830,57,997,544,200,1318,0.7,960,2.1
LGA49399,42,625,773,90,1417,0.8,1105,2.1
LGA49499,0,0,0,0,0,0,0,0
LGA49799,48,0,1812,0,0,0,0,0
LGA50080,45,1517,710,300,1757,0.7,1350,2.4
LGA50210,35,1750,815,305,2061,0.8,1774,2.8
LGA50250,34,1613,1865,48,3310,0.9,2937,2.7
LGA50280,42,1733,785,350,1871,0.8,1529,2.5
LGA50350,40,1801,872,330,2278,0.7,1738,2.4
LGA50420,38,1880,869,340,2228,0.8,1739,2.3
LGA50490,36,1733,886,350,2086,0.8,1641,2.3
LGA50560,55,1160,567,200,1406,0.7,1053,2.2
LGA50630,42,1690,834,280,2131,0.7,1760,2.5
LGA50770,47,1212,705,220,1581,0.7,1265,2.3
LGA50840,51,1408,621,280,1632,0.7,1218,2.3
LGA50910,50,1300,614,200,1616,0.8,1284,2.3
LGA50980,34,2167,1078,300,2428,1,2091,2.7
LGA51080,41,781,793,168,1836,0.7,1366,2.5
LGA51120,48,748,817,160,1762,0.8,1284,2.4
LGA51190,43,1480,725,300,1760,0.7,1326,2.2
LGA51260,45,1755,751,366,1866,0.7,1459,2.5
LGA51310,41,3000,1222,450,3898,0.8,2964,2.7
LGA51330,36,1828,768,355,2130,0.8,1838,2.8
LGA51400,38,1733,831,350,2206,0.7,1949,2.8
LGA51470,46,867,731,150,1766,0.7,1234,2
LGA51540,40,1300,793,209,1909,0.9,1401,2.3
LGA51610,44,2000,932,260,2286,0.8,2046,2.7
LGA51680,44,2100,798,320,2258,0.8,2044,2.8
LGA51710,38,1300,1233,150,2659,1,2109,2.5
LGA51750,43,3000,1142,485,3388,0.8,2252,2.3
LGA51820,37,1950,920,370,2344,0.8,1995,2.6
LGA51860,40,1972,741,231,1678,1.1,2519,3.8
LGA51890,44,1300,591,250,1618,0.7,1234,2.3
LGA51960,38,975,929,200,2303,0.8,1893,2.3
LGA52030,57,1200,619,210,1392,0.7,1030,2.1
LGA52100,47,867,838,180,2007,0.7,1399,2.3
LGA52170,44,3835,1447,535,4597,0.8,3303,2.5
LGA52240,46,1083,762,168,1762,0.7,1287,2.3
LGA52310,51,1127,674,200,1466,0.7,1236,2.3
LGA52380,54,725,1145,100,1333,0.6,682,1.5
LGA52450,37,1200,714,200,1971,0.7,1496,2.5
LGA52520,39,1083,1015,230,2198,0.7,1812,2.6
LGA52590,51,1560,710,310,1704,0.7,1305,2.2
LGA52660,40,1690,777,340,2089,0.7,1746,2.6
LGA52730,50,1517,630,300,1491,0.7,1134,2.3
LGA52800,32,1629,459,100,1032,1,1325,2.9
LGA52870,49,1562,658,290,1688,0.7,1332,2.4
LGA52940,45,687,758,150,1531,0.7,1197,2.3
LGA53010,44,515,802,150,1670,0.7,1260,2.3
LGA53080,50,600,654,150,1224,0.7,827,1.8
LGA53150,44,2600,1075,420,3178,0.8,2288,2.5
LGA53220,34,1083,1734,105,2828,1,2506,2.9
LGA53290,42,1560,806,265,2014,0.7,1521,2.4
LGA53360,37,2103,967,330,2252,0.9,1979,2.5
LGA53430,42,2167,969,370,2591,0.8,1887,2.2
LGA53570,50,1700,670,270,1626,0.7,1331,2.4
LGA53640,39,780,911,180,2034,0.7,1482,2.5
LGA53710,49,1000,747,200,1784,0.7,1217,2.2
LGA53780,36,1733,727,330,1930,0.8,1656,2.8
LGA53800,40,1519,777,260,2003,0.7,1536,2.4
LGA53920,29,1600,363,90,786,1.3,1098,3.3
LGA53990,40,1733,773,320,2067,0.7,1788,2.7
LGA54060,53,1537,626,250,1598,0.7,1168,2.2
LGA54130,40,1004,870,186,1798,0.8,1421,2.4
LGA54170,41,2080,906,400,2528,0.7,2165,2.7
LGA54200,40,1907,835,370,2215,0.7,1866,2.6
LGA54280,34,1600,1207,300,2825,0.8,2324,2.6
LGA54310,32,2000,1545,285,3462,0.9,3158,2.8
LGA54340,39,1055,712,200,1646,0.8,1343,2.5
LGA54410,52,867,586,160,1612,0.7,1078,2.2
LGA54480,39,230,1103,105,2187,0.7,1784,2.6
LGA54550,45,1073,882,200,2004,0.7,1446,2.3
LGA54620,46,650,860,148,1875,0.7,1293,2.2
LGA54690,51,748,759,129,1524,0.7,1341,2.2
LGA54760,44,546,1007,169,2225,0.8,1820,2.5
LGA54830,33,1724,812,315,1996,0.8,1716,2.7
LGA54900,41,1000,1001,180,2100,0.7,1715,2.4
LGA54970,37,413,1569,80,988,0.9,966,2.5
LGA55040,33,683,1508,93,2401,0.9,1951,2.5
LGA55110,45,1733,631,300,1651,0.7,1273,2.4
LGA55180,47,1300,675,230,1616,0.7,1211,2.3
LGA55250,34,650,1010,115,1292,0.9,1243,2.4
LGA55320,42,2200,909,400,2654,0.7,2096,2.6
LGA55390,39,397,1722,150,1208,1,1260,2.1
LGA55460,41,1078,755,210,1869,0.7,1380,2.3
LGA55530,47,729,806,150,1937,0.7,1468,2.4
LGA55600,44,1000,803,225,1906,0.7,1445,2.3
LGA55670,42,500,742,190,1676,0.8,1443,2.3
LGA55740,42,3000,1030,300,3456,0.8,2132,2.4
LGA55810,42,542,863,175,1375,0.8,1204,2.1
LGA55880,47,650,868,145,1802,0.7,1396,2.3
LGA55950,44,778,756,155,1875,0.8,1547,2.3
LGA56090,44,1950,817,350,2270,0.7,1907,2.6
LGA56160,36,1800,833,139,1674,0.9,1649,2.6
LGA56230,45,1750,629,300,1742,0.7,1368,2.5
LGA56300,56,1400,581,254,1381,0.8,1094,2.1
LGA56370,47,720,923,150,1875,0.7,1483,2.3
LGA56460,43,1191,734,240,1802,0.7,1310,2.2
LGA56580,43,3500,1178,520,4244,0.8,3226,2.8
LGA56620,30,0,369,65,878,1.2,1228,3.5
LGA56730,43,1393,660,250,1631,0.7,1316,2.4
LGA56790,53,1300,607,250,1450,0.7,1110,2.2
LGA56860,49,1000,640,88,1268,0.7,1087,2.1
LGA56930,42,4167,1501,440,5012,0.7,4565,2.7
LGA57000,43,780,1305,170,2018,0.7,1652,2.3
LGA57080,33,1924,1053,400,2480,1,1931,1.8
LGA57140,52,867,585,200,1340,0.7,996,2.2
LGA57210,48,1278,626,225,1491,0.8,1181,2.3
LGA57280,32,1517,1532,225,3264,0.9,2865,2.7
LGA57350,54,800,607,130,1445,0.7,1129,2.2
LGA57420,42,1029,926,250,2019,0.7,1655,2.2
LGA57490,36,1733,786,330,2077,0.7,1724,2.6
LGA57630,60,1517,675,70,1833,0.6,949,1.5
LGA57700,33,1972,909,380,2242,0.8,2097,3
LGA57770,43,1387,787,220,1818,0.8,1187,2.1
LGA57840,39,2200,1010,360,2761,0.8,2004,2.2
LGA57910,38,1967,912,340,2332,0.8,1786,2.4
LGA57980,40,2539,1210,400,3242,0.9,2140,2.1
LGA58050,35,1842,840,340,2109,0.8,1843,2.8
LGA58190,46,563,701,161,1583,0.8,1125,2.5
