LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA14000,..,9546,9546,14429,684,15114,9568,146,9716,11346,63,11412,3996,30,4030,1806,4,1811,41149,10484,51629
LGA14100,..,1126,1126,1447,65,1510,659,12,673,844,0,840,395,0,397,130,0,131,3475,1201,4670
LGA14170,..,22451,22451,22442,3345,25787,10609,1385,11990,9513,599,10109,2582,172,2757,937,61,1003,46078,28007,74091
LGA14220,..,1934,1934,2316,147,2457,909,20,930,720,7,730,353,3,359,210,0,210,4513,2108,6626
LGA14300,..,585,585,714,47,759,279,5,283,259,3,268,143,3,145,65,5,69,1452,646,2103
LGA14350,..,3282,3282,4099,321,4420,1502,34,1539,1145,6,1154,558,0,559,403,0,405,7705,3655,11352
LGA14400,..,1957,1957,3368,136,3501,1108,27,1132,1240,6,1248,580,0,580,195,0,195,6490,2122,8612
LGA14500,..,7065,7065,12140,435,12583,7642,82,7721,9461,27,9492,3667,12,3684,1310,14,1320,34227,7631,41864
LGA14550,..,1208,1208,1384,115,1500,418,11,431,320,0,319,172,0,172,109,0,109,2405,1338,3736
LGA14600,..,674,674,718,33,756,292,3,295,230,0,231,161,0,161,72,0,72,1475,718,2191
LGA14650,..,20010,20010,26999,1593,28593,12222,265,12485,12437,84,12521,4906,36,4941,2111,6,2118,58685,21997,80677
LGA14700,..,4163,4163,4766,465,5229,2434,87,2521,2390,19,2411,869,6,879,220,4,221,10682,4738,15420
LGA14750,..,1114,1114,1287,71,1356,552,17,569,498,3,495,290,3,289,132,3,137,2756,1206,3961
LGA14850,..,5212,5212,5436,640,6072,2351,113,2465,1983,28,2015,887,13,898,496,7,506,11150,6009,17154
LGA14870,..,2831,2831,2770,178,2951,995,23,1018,902,3,907,399,0,399,212,0,217,5280,3034,8319
LGA14900,..,11919,11919,15435,1059,16499,12514,155,12671,14521,62,14582,7766,29,7795,5854,4,5858,56085,13230,69314
LGA14920,..,876,876,1003,72,1071,335,6,340,320,0,316,171,0,168,74,0,74,1892,953,2848
LGA14950,..,323,323,442,27,469,140,0,141,125,0,125,77,0,77,69,0,69,849,352,1202
LGA15050,..,7256,7256,10215,652,10870,5476,107,5578,5444,30,5470,2369,16,2379,1084,6,1088,24585,8069,32648
LGA15240,..,12219,12219,15754,964,16723,4417,91,4504,3578,23,3599,1659,18,1677,918,9,931,26332,13323,39654
LGA15270,..,2724,2724,3235,233,3466,1265,31,1298,1212,7,1222,641,0,647,286,0,286,6641,2997,9638
LGA15300,..,1185,1185,1258,108,1365,538,13,547,498,3,504,287,3,288,151,0,150,2729,1313,4042
LGA15350,..,3658,3658,3772,222,3994,1501,29,1532,1574,3,1579,613,0,615,160,0,156,7620,3920,11544
LGA15520,..,1341,1341,1911,78,1990,550,5,561,558,5,567,294,0,294,116,4,119,3434,1441,4875
LGA15560,..,413,413,458,27,489,161,0,156,117,0,117,76,0,76,39,0,39,857,437,1291
LGA15650,..,1712,1712,1827,143,1971,871,16,882,823,0,824,390,4,399,213,0,213,4131,1875,6001
LGA15700,..,2737,2737,2912,245,3150,956,13,968,770,0,770,402,0,405,228,0,230,5264,3000,8265
LGA15750,..,1316,1316,1545,109,1661,608,21,625,508,3,512,325,0,329,138,0,142,3126,1450,4574
LGA15800,..,685,685,734,46,778,274,0,273,203,6,208,126,0,126,70,0,70,1405,730,2141
LGA15850,..,649,649,717,42,759,292,9,301,276,0,275,155,0,155,80,0,80,1522,698,2221
LGA15900,..,19486,19486,19868,2697,22565,9208,1256,10459,8556,427,8979,3243,139,3379,1179,73,1253,42051,24071,66129
LGA15950,..,12490,12490,10981,1193,12175,3826,355,4184,2721,62,2782,604,12,610,149,8,151,18279,14120,32395
LGA15990,..,21056,21056,28119,2141,30257,14472,571,15040,18123,176,18301,7052,70,7118,2576,26,2604,70330,24043,94377
LGA16100,..,587,587,771,40,809,245,5,247,229,0,229,102,0,102,58,0,58,1402,634,2038
LGA16150,..,4669,4669,4976,365,5338,2226,91,2324,2187,41,2228,1107,13,1124,495,4,500,10996,5190,16183
LGA16200,..,1683,1683,1723,107,1830,698,19,719,617,4,623,369,3,368,176,0,176,3587,1816,5401
LGA16260,..,20742,20742,25528,3074,28608,17351,950,18306,15653,377,16030,5475,141,5619,2734,81,2806,66741,25368,92109
LGA16350,..,15971,15971,20060,1609,21671,12924,215,13145,12886,69,12952,6006,24,6029,3613,16,3628,55491,17910,73398
LGA16380,..,10035,10035,13123,830,13953,4260,140,4398,3882,42,3920,1688,15,1704,834,8,843,23785,11069,34848
LGA16400,..,7503,7503,10647,589,11241,3824,64,3894,3616,27,3647,1673,6,1685,901,0,901,20670,8191,28868
LGA16490,..,5819,5819,7019,393,7418,3706,67,3769,3850,29,3879,1541,3,1545,665,5,671,16785,6321,23100
LGA16550,..,14505,14505,14972,2616,17584,7419,891,8314,7418,235,7653,2422,75,2498,822,51,872,33050,18386,51433
LGA16610,..,2578,2578,3096,232,3327,1119,20,1136,951,10,959,501,0,501,331,0,331,5989,2841,8825
LGA16700,..,12976,12976,14437,1541,15980,8196,367,8563,7532,151,7678,2561,50,2612,1186,48,1234,33907,15132,49040
LGA16900,..,5942,5942,9062,465,9529,4501,77,4584,4602,38,4644,1908,8,1915,933,0,935,21014,6530,27543
LGA16950,..,12150,12150,16312,986,17301,5305,117,5417,4660,47,4710,2055,15,2067,1017,7,1023,29348,13318,42667
LGA17000,..,1901,1901,2647,162,2809,1311,17,1328,1357,3,1362,693,0,698,347,0,350,6360,2088,8443
LGA17040,..,2386,2386,2716,234,2950,1019,58,1082,950,42,990,429,3,435,175,19,195,5291,2746,8043
LGA17080,..,1668,1668,2057,81,2138,707,11,723,670,0,673,321,4,326,146,0,146,3905,1766,5671
LGA17100,..,3224,3224,4095,722,4814,2881,310,3194,2556,205,2763,1034,91,1127,578,45,622,11147,4597,15746
LGA17150,..,18511,18511,25706,1472,27178,13120,218,13332,15524,50,15577,6428,29,6452,2224,8,2232,63002,20293,83292
LGA17200,..,40160,40160,30655,7032,37689,8763,2612,11383,5101,1153,6251,1240,340,1580,520,161,675,46287,51452,97743
LGA17310,..,6726,6726,7641,562,8210,3316,90,3415,3068,37,3104,1417,21,1438,725,11,731,16167,7446,23617
LGA17350,..,756,756,881,31,913,253,0,253,250,0,250,119,0,119,100,0,100,1601,789,2393
LGA17400,..,1024,1024,1116,74,1189,282,8,291,216,0,216,108,0,108,55,0,55,1772,1104,2875
LGA17420,..,7282,7282,15546,567,16116,11583,129,11713,15183,81,15266,6339,41,6381,3042,19,3060,51702,8110,59810
LGA17550,..,10812,10812,12839,1107,13943,4869,190,5061,4766,38,4800,2008,14,2019,962,8,972,25436,12164,37602
LGA17620,..,1581,1581,1921,117,2044,686,21,706,666,3,672,358,0,361,128,0,130,3763,1734,5499
LGA17640,..,894,894,1261,38,1297,384,0,390,369,0,373,174,0,174,111,0,111,2312,936,3249
LGA17650,..,604,604,874,52,922,280,0,283,281,0,281,130,0,134,63,0,63,1630,657,2285
LGA17750,..,6859,6859,7648,658,8306,3511,185,3701,3312,70,3385,1657,28,1680,836,11,848,16963,7805,24776
LGA17850,..,358,358,487,15,499,134,0,138,102,0,102,66,0,66,23,0,23,812,372,1183
LGA17900,..,621,621,514,54,572,185,9,193,128,0,128,81,0,81,70,0,70,980,683,1660
LGA17950,..,303,303,310,25,333,105,0,105,98,0,98,61,0,61,37,0,37,612,326,936
LGA18020,..,1114,1114,1211,79,1288,394,0,393,317,5,320,182,0,182,108,0,108,2210,1193,3400
LGA18050,..,8216,8216,8059,1826,9881,3499,609,4112,3497,162,3657,1210,42,1256,325,12,336,16587,10862,27455
LGA18100,..,514,514,565,22,590,162,0,165,137,0,137,64,0,64,36,0,36,963,541,1500
LGA18200,..,631,631,923,31,955,354,3,353,350,0,351,182,0,179,70,0,70,1876,669,2546
LGA18250,..,6320,6320,7988,749,8737,4725,204,4926,5253,80,5333,1677,21,1695,570,13,587,20207,7386,27599
LGA18350,..,5280,5280,7470,347,7816,2591,51,2639,2640,15,2658,1216,7,1225,559,4,563,14478,5710,20184
LGA18400,..,2911,2911,5181,217,5398,2733,26,2761,3344,7,3352,1825,4,1833,1067,0,1067,14163,3165,17325
LGA18450,..,21265,21265,24616,2239,26856,11829,833,12661,12283,349,12635,4943,112,5050,2124,69,2191,55796,24863,80658
LGA18500,..,6946,6946,7101,908,8006,2708,331,3044,2533,88,2619,1000,18,1018,267,5,268,13611,8294,21907
LGA18710,..,1186,1186,2020,75,2095,917,12,925,982,0,983,503,0,503,239,0,239,4653,1277,5932
LGA19399,..,91,91,119,12,131,49,3,54,41,0,41,20,0,25,11,0,11,246,106,353
LGA19499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA20110,..,1528,1528,2053,98,2155,590,19,609,582,4,584,265,0,269,76,0,77,3567,1661,5222
LGA20260,..,1473,1473,1627,97,1722,528,22,551,470,6,476,228,4,232,83,0,82,2939,1599,4541
LGA20570,..,13525,13525,14019,1240,15260,6045,321,6367,5845,115,5964,2535,31,2571,949,22,971,29393,15263,44654
LGA20660,..,11903,11903,14735,955,15684,7548,321,7875,8435,143,8573,2700,45,2749,859,26,878,34279,13389,47666
LGA20740,..,5347,5347,6373,343,6718,1838,55,1892,1662,9,1673,753,0,756,279,0,282,10909,5757,16662
LGA20830,..,5467,5467,7546,351,7900,3006,46,3056,2927,21,2944,1425,7,1432,639,4,642,15542,5897,21441
LGA20910,..,9581,9581,11847,530,12376,5691,90,5780,7106,35,7147,2514,22,2537,511,6,519,27673,10264,37936
LGA21010,..,1999,1999,2276,143,2427,666,13,682,558,5,566,256,0,254,110,0,113,3873,2165,6033
LGA21110,..,16223,16223,18251,1663,19914,9186,564,9747,11190,260,11453,4112,88,4200,1150,37,1183,43878,18840,62715
LGA21180,..,13077,13077,17045,1339,18378,11412,525,11935,11346,295,11641,5115,130,5241,3617,65,3683,48529,15422,63949
LGA21270,..,884,884,942,57,994,272,4,281,219,0,218,122,0,122,53,0,53,1606,953,2555
LGA21370,..,4455,4455,5423,287,5709,1854,43,1894,1716,17,1731,876,3,881,410,3,411,10273,4812,15079
LGA21450,..,7656,7656,11366,714,12081,6837,116,6952,7708,36,7749,3350,14,3368,1805,0,1809,31061,8547,39607
LGA21610,..,17639,17639,28143,1919,30063,21562,524,22088,24973,234,25200,10926,70,11001,7340,31,7376,92945,20417,113365
LGA21670,..,2136,2136,1999,144,2135,629,8,637,515,3,518,228,0,228,113,0,116,3483,2294,5774
LGA21750,..,2864,2864,2974,208,3181,1032,38,1068,972,26,996,503,13,515,217,4,222,5690,3153,8848
LGA21830,..,1930,1930,2331,141,2477,724,18,740,625,6,632,385,0,387,182,0,182,4251,2089,6343
LGA21890,..,18201,18201,16917,2361,19276,8510,1129,9640,8190,507,8701,2450,145,2594,1001,69,1076,37065,22424,59488
LGA22110,..,6212,6212,7688,417,8102,2219,52,2271,1881,18,1894,891,0,895,391,9,403,13063,6709,19771
LGA22170,..,14700,14700,15680,1305,16980,8679,214,8887,8085,34,8122,3099,18,3120,1194,9,1204,36737,16282,53019
LGA22250,..,1447,1447,1633,95,1727,483,4,484,382,0,388,209,0,209,106,0,107,2806,1551,4359
LGA22310,..,16293,16293,16754,1751,18510,8622,487,9110,9546,246,9789,3180,85,3264,974,34,1006,39078,18892,57971
LGA22410,..,2588,2588,3011,183,3190,1038,12,1051,856,6,863,352,0,351,145,0,142,5396,2794,8190
LGA22490,..,1369,1369,2727,103,2828,1274,15,1284,1619,3,1625,802,0,802,376,0,376,6801,1491,8287
LGA22620,..,13374,13374,15099,1180,16273,6522,264,6784,6102,80,6182,2700,20,2719,1251,12,1265,31673,14932,46599
LGA22670,..,11502,11502,12697,1356,14051,9102,583,9686,8309,343,8657,4133,162,4293,3383,97,3486,37633,14036,51670
LGA22750,..,28649,28649,33449,2477,35927,14897,833,15727,14599,422,15016,5816,127,5941,2177,74,2248,70933,32574,103508
LGA22830,..,6901,6901,7787,551,8342,3463,154,3620,3354,51,3405,1589,14,1603,908,16,923,17106,7685,24795
LGA22910,..,2232,2232,2618,162,2782,770,15,783,638,4,638,285,3,292,117,0,124,4425,2413,6846
LGA22980,..,794,794,873,64,930,262,8,270,209,0,211,112,0,110,50,0,50,1499,870,2367
LGA23110,..,9118,9118,10474,745,11215,5722,156,5873,5740,70,5810,1880,24,1906,729,11,740,24545,10120,34663
LGA23190,..,2597,2597,2710,186,2893,1096,34,1128,959,9,967,478,4,480,152,0,152,5394,2821,8216
LGA23270,..,12954,12954,18512,1225,19733,14080,302,14378,15486,164,15650,7562,71,7629,5364,33,5395,61006,14740,75740
LGA23350,..,1725,1725,2539,104,2651,824,13,840,856,0,856,400,0,398,148,0,148,4774,1843,6615
LGA23430,..,16388,16388,18121,1200,19324,9925,292,10216,10429,133,10557,3343,50,3397,1037,24,1056,42855,18085,60940
LGA23670,..,12185,12185,17260,1095,18354,10445,195,10638,10827,74,10892,3810,30,3839,1507,10,1514,43837,13585,57422
LGA23810,..,9859,9859,9982,699,10683,4047,85,4136,3668,18,3690,1518,11,1527,706,9,713,19915,10689,30610
LGA23940,..,1022,1022,1109,80,1185,317,3,314,294,4,292,140,0,140,88,0,88,1946,1109,3049
LGA24130,..,3610,3610,6171,251,6420,2739,38,2773,3366,0,3370,1386,5,1389,483,8,492,14147,3910,18060
LGA24210,..,9008,9008,14016,573,14591,7895,157,8055,8480,85,8572,3107,43,3145,1176,24,1198,34680,9900,44574
LGA24250,..,1129,1129,1527,56,1586,407,13,423,410,3,418,216,0,216,66,0,65,2623,1208,3830
LGA24330,..,9996,9996,9688,1520,11207,4989,612,5604,4555,218,4774,1406,86,1495,570,50,622,21213,12482,33695
LGA24410,..,10719,10719,12998,849,13842,7079,168,7237,7402,56,7456,2709,31,2737,1008,7,1011,31180,11830,43006
LGA24600,..,30524,30524,21064,6909,27966,5737,1922,7659,2830,676,3501,616,169,781,264,62,326,30511,40254,70760
LGA24650,..,9052,9052,12993,903,13890,10524,141,10663,12378,40,12425,5492,15,5511,3357,7,3365,44745,10156,54907
LGA24780,..,6177,6177,6909,471,7376,2905,120,3019,2650,47,2698,1289,26,1323,659,26,692,14414,6868,21283
LGA24850,..,3780,3780,5357,280,5644,2793,46,2842,2857,11,2870,1317,0,1321,681,7,692,13008,4128,17140
LGA24900,..,3579,3579,4443,263,4710,1334,35,1363,1247,10,1259,661,4,666,324,10,335,8013,3903,11917
LGA24970,..,14109,14109,19229,1809,21041,11636,1021,12662,12455,629,13082,4042,253,4295,1630,161,1791,48995,17979,66979
LGA25060,..,13958,13958,13924,1297,15221,7126,418,7549,7521,137,7661,2631,37,2671,739,19,761,31933,15876,47814
LGA25150,..,3085,3085,4323,221,4543,2156,27,2185,2251,9,2261,1022,0,1025,407,0,410,10160,3341,13500
LGA25250,..,20051,20051,19365,2906,22269,9525,1532,11059,9172,751,9920,2941,211,3150,1347,71,1413,42343,25530,67871
LGA25340,..,17727,17727,23197,1004,24206,8621,126,8744,9079,36,9116,3610,18,3625,1231,3,1234,45733,18918,64650
LGA25430,..,2785,2785,3055,204,3261,1016,36,1051,867,3,874,293,0,293,133,0,132,5369,3030,8396
LGA25490,..,1629,1629,2377,93,2471,821,13,839,853,0,853,456,0,456,203,0,203,4704,1735,6439
LGA25620,..,1825,1825,2277,129,2410,692,15,707,653,8,659,284,3,288,120,0,120,4029,1976,6006
LGA25710,..,3078,3078,6462,182,6646,3784,24,3818,4849,13,4860,1936,6,1944,569,3,567,17601,3312,20912
LGA25810,..,1724,1724,1723,104,1832,540,23,559,471,6,481,211,0,218,89,0,92,3038,1865,4903
LGA25900,..,21347,21347,14730,2464,17190,4646,609,5256,3532,147,3681,973,32,1010,238,12,251,24123,24609,48731
LGA25990,..,938,938,1155,60,1211,315,7,323,285,0,287,140,0,140,74,0,74,1964,1011,2976
LGA26080,..,486,486,641,17,652,133,0,136,110,0,110,42,0,42,11,0,11,939,503,1441
LGA26170,..,3585,3585,4449,215,4663,1404,21,1429,1319,3,1322,698,0,703,307,3,311,8184,3820,12001
LGA26260,..,2334,2334,2355,121,2477,806,17,821,707,0,707,361,0,364,140,0,140,4365,2480,6844
LGA26350,..,18524,18524,14265,2360,16628,4721,767,5487,4412,216,4630,1556,56,1610,347,12,354,25295,21930,47229
LGA26430,..,1559,1559,1844,95,1941,539,10,553,410,0,412,189,0,189,89,0,89,3075,1663,4734
LGA26490,..,2828,2828,4587,246,4834,1841,95,1939,2382,45,2429,976,13,986,247,11,256,10041,3236,13270
LGA26610,..,2150,2150,2532,217,2751,1013,56,1066,907,36,943,523,11,531,260,19,278,5228,2495,7718
LGA26670,..,712,712,984,40,1026,271,3,273,235,0,235,118,0,118,49,0,49,1655,756,2406
LGA26700,..,3645,3645,4139,219,4356,1457,38,1492,1413,10,1415,678,3,675,257,7,257,7927,3923,11847
LGA26730,..,4229,4229,4649,319,4970,1906,84,1990,1721,29,1750,771,11,778,269,4,274,9310,4680,13993
LGA26810,..,5321,5321,6305,358,6660,2129,44,2174,1998,4,2005,949,5,952,420,0,422,11797,5738,17538
LGA26890,..,576,576,583,39,625,170,0,170,148,0,152,91,0,91,29,0,29,1021,619,1643
LGA26980,..,15879,15879,18145,1709,19855,10199,675,10872,10962,382,11341,3656,147,3805,1258,84,1340,44225,18870,63094
LGA27070,..,13808,13808,20130,1305,21436,14310,372,14683,15785,178,15968,6648,75,6726,3304,50,3350,60186,15787,75971
LGA27170,..,4605,4605,5244,355,5606,2388,61,2452,2282,14,2297,987,8,990,424,0,424,11332,5040,16372
LGA27260,..,13668,13668,20403,1777,22179,18838,585,19418,20506,364,20874,8053,162,8213,5376,82,5458,73173,16643,89823
LGA27350,..,15019,15019,12645,2521,15164,4099,1545,5640,3047,545,3590,842,126,960,240,26,269,20876,19777,40646
LGA27450,..,11893,11893,17945,922,18871,9189,143,9338,9931,52,9988,3955,14,3968,1782,10,1793,42808,13033,55842
LGA27630,..,996,996,986,53,1038,293,0,298,213,0,213,132,0,132,64,0,64,1688,1048,2740
LGA29399,..,58,58,50,11,56,14,6,20,8,0,6,3,0,8,0,3,6,81,80,156
LGA29499,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,..,39,39,39,0,38,50,0,50,27,0,27,19,0,19,61,0,61,187,43,236
LGA30300,..,484,484,508,31,543,206,3,206,196,0,196,99,0,104,59,0,61,1069,526,1588
LGA30370,..,1342,1342,1667,113,1786,644,12,659,691,0,690,358,0,353,170,0,172,3528,1469,4995
LGA30410,..,357,357,341,21,363,117,0,123,122,0,122,58,0,58,35,0,35,675,381,1058
LGA30450,..,40,40,37,0,39,8,0,8,13,0,9,3,0,9,9,0,9,68,42,115
LGA30760,..,233,233,288,10,295,84,3,84,85,0,85,34,0,34,14,0,14,510,251,759
LGA30900,..,49,49,37,0,42,20,0,20,7,0,7,8,0,8,13,0,13,89,51,144
LGA31000,..,119025,119025,135953,19472,155420,71262,6188,77459,71551,2194,73747,26722,743,27467,11698,303,12005,317189,147935,465124
LGA31750,..,38,38,32,6,35,13,0,13,15,0,15,8,0,8,5,0,10,71,45,119
LGA31820,..,10672,10672,14347,1085,15429,4904,146,5056,4201,56,4252,1888,9,1895,1152,14,1170,26492,11977,38462
LGA31900,..,1896,1896,2351,130,2485,786,15,798,742,4,746,340,0,340,123,0,125,4345,2047,6396
LGA31950,..,51,51,38,4,41,9,0,9,8,0,8,3,0,4,6,0,6,73,52,121
LGA32080,..,16313,16313,18953,2132,21087,9068,382,9450,8172,104,8274,3208,29,3239,1935,18,1954,41336,18980,60318
LGA32250,..,208,208,199,11,212,87,9,97,62,0,65,54,0,54,41,0,41,443,226,672
LGA32260,..,3204,3204,3943,325,4259,1386,47,1431,1144,17,1159,523,14,536,364,3,367,7356,3608,10962
LGA32270,..,2377,2377,2837,221,3056,1258,43,1300,1402,8,1408,758,3,765,372,0,379,6627,2657,9284
LGA32310,..,1236,1236,1406,97,1507,517,20,541,443,0,443,236,0,236,128,0,128,2726,1353,4081
LGA32330,..,69,69,45,4,48,63,0,64,40,0,40,29,0,29,55,0,55,232,76,307
