SAL_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SAL10101,..,24,24,31,0,30,18,0,18,17,0,17,10,0,10,7,0,7,79,27,110
SAL10102,..,495,495,448,47,496,187,0,187,146,0,144,77,0,77,45,0,45,901,543,1445
SAL10103,..,253,253,493,19,508,292,3,297,301,0,304,146,0,146,52,0,52,1280,277,1564
SAL10104,..,424,424,621,51,677,509,3,519,416,0,415,141,0,141,50,0,50,1738,485,2228
SAL10105,..,6,6,12,0,12,0,0,0,3,0,3,4,0,4,0,0,0,17,5,22
SAL10106,..,57,57,76,5,82,28,0,28,28,0,28,16,0,16,3,0,3,156,59,214
SAL10107,..,1824,1824,2067,378,2447,1770,331,2104,1770,290,2054,1116,142,1264,1175,108,1280,7904,3079,10982
SAL10108,..,7,7,25,0,25,4,0,4,11,0,11,3,0,3,4,0,4,38,7,46
SAL10109,..,162,162,306,12,324,170,7,175,186,3,188,88,0,88,13,0,17,767,189,953
SAL10110,..,259,259,508,15,523,439,7,445,402,3,406,229,0,229,137,0,137,1712,278,1992
SAL10111,..,11,11,17,0,25,10,0,10,3,0,3,8,0,8,0,0,0,40,7,51
SAL10112,..,712,712,1117,49,1166,532,10,540,671,3,675,355,0,352,123,0,123,2800,763,3561
SAL10113,..,5,5,3,0,3,5,0,5,3,0,3,0,0,0,0,0,0,14,5,19
SAL10114,..,11,11,31,0,30,11,0,14,12,0,12,8,0,8,0,0,0,60,12,69
SAL10115,..,252,252,515,10,529,241,4,244,320,0,324,149,0,149,52,0,52,1277,264,1539
SAL10116,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,..,170,170,221,14,236,119,0,119,85,0,85,37,0,37,10,0,10,486,184,663
SAL10118,..,3,3,25,0,26,10,0,10,10,0,10,5,0,5,0,0,0,47,5,51
SAL10119,..,28,28,40,0,42,24,0,28,22,0,22,18,0,18,8,0,8,106,37,142
SAL10120,..,23,23,35,3,38,17,0,17,7,0,7,0,0,0,6,0,6,58,22,78
SAL10121,..,6,6,29,0,29,5,0,5,3,0,3,8,0,8,0,0,0,48,6,52
SAL10122,..,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10
SAL10123,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
SAL10124,..,0,0,0,0,0,8,0,8,7,0,7,3,0,3,0,0,0,13,0,11
SAL10125,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9
SAL10126,..,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11
SAL10127,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
SAL10128,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10129,..,0,0,4,0,4,5,0,5,0,0,0,0,0,0,0,0,0,3,0,3
SAL10130,..,0,0,17,0,17,6,0,6,3,0,3,0,0,0,3,0,3,28,0,32
SAL10131,..,5,5,22,3,19,13,0,11,4,0,4,5,0,5,4,0,4,45,9,56
SAL10132,..,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,10
SAL10133,..,4,4,17,4,18,5,0,5,10,0,10,6,0,6,4,0,4,41,12,51
SAL10134,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10135,..,8,8,13,0,11,6,0,6,0,0,0,3,0,3,3,0,3,27,6,35
SAL10136,..,0,0,7,0,7,0,0,0,4,0,4,0,0,0,0,0,0,9,0,11
SAL10137,..,8,8,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,12,8,15
SAL10138,..,0,0,3,0,3,5,0,5,0,0,0,0,0,0,3,0,3,11,0,16
SAL10139,..,7,7,10,0,5,6,0,6,3,0,3,0,0,0,0,0,0,14,3,23
SAL10140,..,0,0,4,0,6,4,0,4,0,0,0,0,0,0,0,0,0,11,3,12
SAL10141,..,4,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,11,11
SAL10142,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SAL10143,..,13,13,5,0,8,5,0,5,0,0,0,0,0,0,0,0,0,13,10,23
SAL10144,..,41,41,58,4,62,29,0,30,33,0,33,25,0,25,14,0,13,149,45,196
SAL10145,..,12,12,23,0,23,6,0,6,4,0,4,5,0,5,0,0,0,40,12,51
SAL10146,..,99,99,135,13,144,56,0,52,53,0,53,23,0,24,11,0,11,278,108,385
SAL10147,..,0,0,3,0,3,3,0,3,3,0,3,0,0,0,0,0,0,15,0,20
SAL10148,..,19,19,51,0,53,13,0,13,20,0,20,4,0,4,6,0,6,96,18,116
SAL10149,..,0,0,5,0,5,0,0,0,4,0,4,0,0,0,0,0,0,8,0,7
SAL10150,..,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6
SAL10151,..,4,4,12,0,12,5,0,5,0,0,0,0,0,0,0,0,0,18,4,19
SAL10152,..,0,0,8,0,8,5,0,5,0,0,0,3,0,3,0,0,0,22,0,19
SAL10153,..,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,0,0,9,0,11
SAL10154,..,782,782,937,96,1034,525,25,553,560,3,565,189,0,189,28,0,28,2243,910,3151
SAL10155,..,112,112,254,0,255,173,0,175,343,0,343,124,0,127,42,0,42,943,112,1048
SAL10156,..,476,476,726,31,751,329,14,340,363,5,364,128,0,127,64,4,62,1601,530,2131
SAL10157,..,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,4
SAL10158,..,5,5,19,0,19,7,0,10,8,0,8,3,0,3,0,0,0,44,6,43
SAL10159,..,4,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,3,8
SAL10160,..,19,19,13,0,16,3,0,3,8,0,8,7,0,7,0,0,0,30,24,55
SAL10161,..,4,4,6,0,8,7,0,7,3,0,3,3,0,3,3,0,3,27,3,28
SAL10162,..,21,21,26,5,30,12,0,13,6,0,6,6,0,6,5,0,5,54,23,74
SAL10163,..,1823,1823,1413,151,1569,437,27,466,325,9,332,117,4,116,46,0,48,2345,2016,4357
SAL10164,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10165,..,1485,1485,1448,111,1556,617,26,636,600,11,604,166,3,168,17,0,17,2840,1637,4473
SAL10166,..,263,263,280,22,302,83,3,95,101,0,102,27,0,27,12,0,12,509,286,795
SAL10167,..,43,43,117,0,121,40,0,40,49,0,49,18,0,18,4,0,4,223,51,272
SAL10168,..,15,15,51,0,54,23,0,23,37,0,37,13,0,13,3,0,3,134,15,148
SAL10169,..,157,157,152,8,164,56,6,62,35,0,35,22,0,22,18,0,20,288,172,460
SAL10170,..,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
SAL10171,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,..,8,8,18,0,18,9,0,9,6,0,6,5,0,5,3,0,3,35,8,42
SAL10173,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3
SAL10174,..,35,35,111,5,115,39,0,45,46,0,46,22,0,22,15,0,15,230,38,270
SAL10175,..,173,173,265,24,292,176,16,190,162,3,175,62,0,62,28,0,24,694,215,912
SAL10176,..,8,8,8,0,8,3,0,3,0,0,0,0,0,0,0,0,0,13,8,19
SAL10177,..,7,7,15,0,15,11,0,11,7,0,7,3,0,3,0,0,0,37,7,47
SAL10178,..,250,250,577,14,590,323,3,321,419,0,421,176,0,182,59,0,59,1554,267,1826
SAL10179,..,192,192,318,31,345,199,15,212,211,4,215,84,0,82,46,0,47,856,242,1105
SAL10180,..,64,64,82,3,86,37,0,41,17,0,17,0,0,0,0,0,0,135,72,203
SAL10181,..,2422,2422,2512,269,2782,2028,88,2118,1813,46,1861,987,32,1016,759,27,780,8099,2879,10980
SAL10182,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SAL10183,..,8,8,8,0,8,6,0,4,0,0,0,0,0,0,0,0,0,15,5,22
SAL10184,..,12,12,24,0,24,10,0,10,4,0,4,4,0,4,0,0,0,43,12,54
SAL10185,..,5,5,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,4,12
SAL10186,..,1805,1805,2394,145,2536,850,29,877,821,6,826,343,0,343,153,0,158,4557,1978,6535
SAL10187,..,5,5,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,5,15
SAL10188,..,171,171,154,36,186,52,10,60,57,0,64,31,0,26,11,0,11,300,222,523
SAL10189,..,29,29,17,0,17,6,0,6,5,0,5,0,0,0,0,0,0,27,29,55
SAL10190,..,3,3,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,13
SAL10191,..,106,106,87,11,95,38,0,38,22,0,22,22,0,22,11,0,11,176,110,291
SAL10192,..,43,43,38,0,45,15,0,15,0,0,0,0,0,0,0,0,0,60,43,104
SAL10193,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10194,..,90,90,353,3,357,207,0,211,330,0,333,169,0,169,66,0,67,1127,97,1224
SAL10195,..,146,146,261,14,274,376,3,378,496,0,494,187,0,189,126,0,126,1442,174,1610
SAL10196,..,136,136,247,5,253,138,4,142,167,4,175,65,0,65,27,0,28,641,156,798
SAL10197,..,151,151,227,18,243,121,7,128,154,0,154,70,0,70,45,0,45,614,178,793
SAL10198,..,73,73,60,4,65,17,0,17,27,0,27,10,0,10,4,0,4,117,75,190
SAL10199,..,333,333,490,23,510,237,0,239,220,0,220,150,0,150,99,0,99,1196,362,1553
SAL10200,..,252,252,261,12,272,55,0,51,51,0,51,26,0,25,13,0,18,406,269,672
SAL10201,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10202,..,19,19,26,4,27,13,0,13,7,0,7,3,0,3,5,0,5,46,20,74
SAL10203,..,50,50,54,5,57,22,0,22,12,0,12,10,0,10,3,0,3,105,54,153
SAL10204,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10205,..,110,110,205,10,216,119,3,121,120,0,120,37,0,39,21,0,21,494,127,616
SAL10206,..,203,203,294,13,310,94,5,101,90,0,90,39,0,39,12,0,12,531,214,746
SAL10207,..,266,266,226,22,245,52,0,52,33,0,33,15,0,15,8,0,8,333,291,621
SAL10208,..,553,553,765,35,808,397,0,397,319,0,323,139,0,137,64,0,64,1682,594,2278
SAL10209,..,78,78,93,3,94,30,0,30,41,0,41,20,0,20,9,0,9,194,80,269
SAL10210,..,11,11,17,0,22,8,0,8,5,0,5,6,0,6,0,0,0,37,12,53
SAL10211,..,9,9,18,0,23,0,0,0,0,0,0,0,0,0,0,0,0,26,10,42
SAL10212,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
SAL10213,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10214,..,12,12,37,0,37,4,0,4,6,0,6,10,0,10,0,0,0,56,12,73
SAL10215,..,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8
SAL10216,..,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,14
SAL10217,..,38,38,67,4,71,22,0,22,14,0,14,4,0,4,5,0,5,115,40,153
SAL10218,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10219,..,21,21,16,0,19,6,0,6,11,0,11,5,0,5,0,0,0,37,20,63
SAL10220,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10221,..,13,13,19,0,19,7,0,7,6,0,6,4,0,4,3,0,3,38,13,46
SAL10222,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6
SAL10223,..,152,152,209,28,235,88,3,91,81,0,81,37,0,37,12,0,12,421,185,602
SAL10224,..,494,494,607,34,648,419,11,426,524,0,525,374,0,374,326,0,330,2251,535,2787
SAL10225,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10226,..,8,8,13,0,13,5,0,5,4,0,4,4,0,4,0,0,0,27,8,30
SAL10227,..,1278,1278,1458,69,1527,695,10,707,748,0,750,293,0,293,113,0,113,3306,1363,4673
SAL10228,..,300,300,309,24,331,79,0,81,69,0,69,29,0,29,10,0,10,492,321,812
SAL10229,..,403,403,215,30,250,58,4,58,34,3,35,16,0,18,10,0,10,332,438,775
SAL10230,..,0,0,8,0,8,4,0,4,5,0,5,0,0,0,0,0,0,9,0,10
SAL10231,..,1470,1470,943,123,1062,325,40,365,219,9,228,75,5,76,36,0,36,1596,1648,3246
SAL10232,..,163,163,201,9,207,61,6,57,44,0,44,29,0,26,11,0,11,341,167,509
SAL10233,..,1881,1881,3231,156,3385,2432,31,2471,2999,11,3012,1092,5,1097,429,0,429,10192,2082,12276
SAL10234,..,15,15,32,0,32,19,0,19,16,0,16,3,0,3,8,0,8,73,15,95
SAL10235,..,87,87,143,7,152,36,0,36,30,0,30,15,0,15,3,0,3,235,97,330
SAL10236,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10237,..,533,533,502,13,515,177,0,176,182,0,188,86,0,86,52,0,52,997,550,1544
SAL10238,..,287,287,616,22,638,412,10,422,633,10,645,261,0,261,132,0,132,2054,336,2392
SAL10239,..,120,120,161,33,188,72,10,81,56,8,65,5,0,9,13,0,13,304,176,475
SAL10240,..,10,10,14,0,14,0,0,0,4,0,4,0,0,0,0,0,0,17,10,25
SAL10241,..,5,5,6,0,13,0,0,0,3,0,3,3,0,3,0,0,0,17,0,22
SAL10242,..,6,6,24,0,24,8,0,8,3,0,3,5,0,5,0,0,0,36,6,51
SAL10243,..,154,154,520,11,533,515,0,515,854,0,855,360,0,360,159,0,159,2407,168,2574
SAL10244,..,13,13,13,0,13,7,0,8,9,0,9,4,0,4,0,0,0,32,14,47
SAL10245,..,10,10,33,0,33,12,0,12,12,0,12,4,0,4,0,0,0,61,10,75
SAL10246,..,3,3,8,0,8,0,0,0,0,0,0,0,0,0,3,0,3,17,3,17
SAL10247,..,16,16,14,0,14,8,0,8,8,0,8,4,0,4,4,0,4,28,16,50
SAL10248,..,46,46,117,4,117,55,0,56,46,0,46,34,0,34,13,0,13,259,55,310
SAL10249,..,506,506,985,21,1009,558,11,565,844,0,847,302,0,302,134,0,134,2821,542,3363
SAL10250,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10251,..,28,28,44,0,46,16,0,16,22,0,22,14,0,14,4,0,4,101,30,128
SAL10252,..,0,0,5,0,5,4,0,4,0,0,0,4,0,4,0,0,0,6,0,13
SAL10253,..,642,642,662,46,706,248,9,259,216,0,219,94,0,95,53,0,53,1282,702,1982
SAL10254,..,7,7,13,0,13,3,0,3,3,0,3,8,0,8,3,0,3,34,7,42
SAL10255,..,0,0,3,0,3,6,0,6,0,0,0,0,0,0,0,0,0,5,0,9
SAL10256,..,17,17,29,4,28,8,0,8,4,0,4,0,0,0,0,0,0,36,21,55
SAL10257,..,479,479,575,33,606,364,0,366,393,5,399,194,4,195,133,0,133,1664,525,2184
SAL10258,..,0,0,17,0,15,12,0,12,10,0,10,3,0,3,5,0,5,48,3,45
SAL10259,..,4,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
SAL10260,..,12,12,10,0,10,7,0,7,8,0,8,4,0,4,0,0,0,30,12,41
SAL10261,..,17,17,54,3,53,23,0,23,34,0,34,20,0,20,19,0,19,149,19,170
SAL10262,..,0,0,5,0,7,0,0,0,5,0,5,0,0,0,0,0,0,9,4,14
SAL10263,..,154,154,589,9,591,494,3,501,678,3,680,316,4,322,163,6,172,2238,180,2423
SAL10264,..,544,544,482,42,529,237,7,250,189,0,192,76,0,75,37,0,37,1027,596,1621
SAL10265,..,8,8,24,0,24,0,0,0,5,0,5,4,0,4,0,0,0,36,8,44
SAL10266,..,27,27,35,3,39,9,0,9,3,0,3,8,0,8,5,0,5,60,33,96
SAL10267,..,9,9,31,0,36,4,0,4,7,0,7,0,0,0,0,0,0,42,8,44
SAL10268,..,163,163,246,18,267,152,3,153,128,0,131,65,0,65,34,0,34,630,187,816
SAL10269,..,76,76,88,0,93,58,0,62,45,0,45,22,0,22,8,0,8,222,77,305
SAL10270,..,40,40,37,3,42,10,0,12,13,0,13,8,0,8,7,0,7,76,45,121
SAL10271,..,1048,1048,1313,193,1508,508,51,556,560,11,568,272,0,275,94,0,94,2750,1309,4056
SAL10272,..,9,9,11,0,11,3,0,3,4,0,4,0,0,0,0,0,0,25,9,34
